entidad,municipio,lat,lon,z_m
Sonora,Aconchi,29.783731,-110.246637,627.000000
Sonora,Agua Prieta,31.326749,-109.546346,1223.000000
Sonora,Alamos,27.022693,-108.934604,394.000000
Sonora,Altar,31.093813,-111.889791,644.000000
Sonora,Arivechi,28.855022,-109.058980,1445.000000
Sonora,Arizpe,30.438233,-110.078843,994.000000
Sonora,Atil,30.833559,-111.547044,614.000000
Sonora,Bacadéhuachi,29.782792,-109.126046,717.000000
Sonora,Bacanora,28.861833,-109.398754,613.000000
Sonora,Bacerac,30.253066,-108.731092,1602.000000
Sonora,Bacoachi,30.678498,-110.012426,1087.000000
Sonora,Bácum,27.663765,-110.105305,68.000000
Sonora,Banámichi,30.063494,-110.298452,836.000000
Sonora,Baviácora,29.713360,-110.161881,558.000000
Sonora,Bavispe,30.649586,-109.070035,1288.000000
Sonora,Benjamín Hill,30.152304,-111.191668,684.000000
Sonora,Caborca,30.897488,-112.608001,169.000000
Sonora,Cajeme,27.711981,-109.902208,58.000000
Sonora,Cananea,30.986517,-110.288893,1591.000000
Sonora,Carbó,29.738876,-111.043247,581.000000
Sonora,La Colorada,28.726250,-110.343970,360.000000
Sonora,Cucurpe,30.430434,-110.631776,1175.000000
Sonora,Cumpas,30.068554,-109.845443,884.000000
Sonora,Divisaderos,29.624665,-109.369710,1113.000000
Sonora,Empalme,28.003091,-110.661588,26.000000
Sonora,Etchojoa,27.045938,-109.678000,16.000000
Sonora,Fronteras,30.830219,-109.617780,1223.000000
Sonora,Granados,29.751508,-109.342322,806.000000
Sonora,Guaymas,27.921644,-110.899406,8.000000
Sonora,Hermosillo,29.094821,-110.969220,210.000000
Sonora,Huachinera,30.147356,-108.920714,1426.000000
Sonora,Huásabas,29.972290,-109.354977,696.000000
Sonora,Huatabampo,26.604878,-109.232063,39.000000
Sonora,Huépac,29.931454,-110.254851,652.000000
Sonora,Imuris,30.838011,-110.787299,987.000000
Sonora,Magdalena,30.771988,-111.139421,770.000000
Sonora,Mazatán,28.931204,-110.356087,465.000000
Sonora,Moctezuma,29.748798,-109.707886,779.000000
Sonora,Naco,31.186120,-109.885243,1521.000000
Sonora,Nácori Chico,29.619399,-108.912398,1334.000000
Sonora,Nacozari de García,30.485376,-109.472086,1398.000000
Sonora,Navojoa,27.072187,-109.443823,49.000000
Sonora,Nogales,31.328506,-110.945047,1188.000000
Sonora,Onavas,28.456852,-109.494923,515.000000
Sonora,Opodepe,30.034873,-110.874475,803.000000
Sonora,Oquitoa,30.793372,-111.713535,570.000000
Sonora,Pitiquito,30.096180,-112.219388,544.000000
Sonora,Puerto Peñasco,31.530172,-113.389719,71.000000
Sonora,Quiriego,27.591748,-109.374314,273.000000
Sonora,Rayón,29.749958,-110.517271,703.000000
Sonora,Rosario,28.041031,-109.351411,699.000000
Sonora,Sahuaripa,29.012778,-109.008946,1327.000000
Sonora,San Felipe de Jesús,29.870299,-110.319858,801.000000
Sonora,San Javier,28.615755,-109.751700,1139.000000
Sonora,San Luis Río Colorado,32.437801,-114.772929,39.000000
Sonora,San Miguel de Horcasitas,29.478894,-110.788818,473.000000
Sonora,San Pedro de La Cueva,29.278097,-109.685660,675.000000
Sonora,Santa Ana,30.457521,-111.039789,776.000000
Sonora,Santa Cruz,31.149350,-110.592657,1448.000000
Sonora,Sáric,31.243827,-111.445433,1129.000000
Sonora,Soyopa,28.812174,-109.630167,207.000000
Sonora,Suaqui Grande,28.394105,-109.888323,241.000000
Sonora,Tepache,29.485841,-109.527966,575.000000
Sonora,Trincheras,30.286503,-111.652994,731.000000
Sonora,Tubutama,30.938952,-111.354073,744.000000
Sonora,Ures,29.358207,-110.322957,544.000000
Sonora,Villa Hidalgo,30.257967,-109.352840,676.000000
Sonora,Villa Pesqueira,29.136919,-109.991392,757.000000
Sonora,Yécora,28.415575,-108.925440,1595.000000
Sonora,General Plutarco Elías Calles,31.694984,-112.711749,544.000000
Sonora,Benito Juárez,27.098324,-109.861569,12.000000
Sonora,San Ignacio Río Muerto,27.324980,-110.391040,7.000000
