Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2011,2012,31.326749,-109.546346,1223.0,4,3.0,0.8,928.6021139121937,4.380198650529215,1.381671985987389,10.451339058706646,12.287004716981132,-9.165000000000001,24.615000000000002,20.67570754716981,-5.61,33.02,3.8983018867924533,-12.72,16.49,37.892405660377364,9.85,72.34,18.924339622641508,5.25,31.29,2.841933962264151,1.05,7.26,28.529999999999998,0.1345754716981132,0.0,6.3,22.824000000000005,0.10766037735849059,0.0,5.04,9.72167863485506,3.900756717447562,17.186267035457806,0.030723600100158423,8,1,0,123,798.0175496127727,3.7642337245885504,1.381671985987389,7.315937341094651,18.14684530139601,0.0855983268933774,0.0,3.0074575162091537,779.8707043113767,3.678635397695173,0.0,7.315937341094651,181.4684530139601,7798.707043113767,7980.1754961277275,775.1935496127727,0.02273990754990479,0.9772600924500953,4.5,14.0,14.0,63.0,15000.0,945000.0,40.32632289199113,1733.046009580837,1773.3723324728282
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2012,2013,31.326749,-109.546346,1223.0,5,2.857142857142857,0.42857142857142855,861.8554573733516,4.046269752926533,0.763141589305079,9.249977809280722,11.871244131455398,-1.54,24.4,19.896713615023476,1.8,34.4,3.8457746478873243,-6.36,16.38,41.96755868544601,10.69,88.96,18.336338028169013,2.53,30.65,2.7209389671361506,0.82,7.38,105.13000000000001,0.49356807511737094,0.0,21.26,84.10400000000001,0.3948544600938968,0.0,17.008000000000003,9.587548280781077,3.02076137754689,17.286351012214414,0.12198101096952062,20,5,0,135,738.2765488064141,3.4660870835981883,0.763141589305079,6.478517146596417,34.71832152107575,0.1629968146529378,0.0,3.3360000000000003,703.5582272853383,3.30309026894525,0.0,6.478517146596417,347.1832152107575,7035.582272853382,7382.765488064139,654.172548806414,0.04702617410400686,0.952973825895993,7.0,15.0,15.0,105.0,20000.0,2100000.0,49.59760217296536,1005.0831818361975,1054.6807840091628
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2013,2014,31.326749,-109.546346,1223.0,3,2.142857142857143,0.14285714285714285,879.6343800705611,4.149218773917741,1.1127480458844858,9.515007034214573,12.16551886792453,-1.7,22.73,20.144952830188682,2.82,32.02,4.186084905660378,-6.36,14.71,38.77650943396226,9.98,83.14,18.334764150943396,6.22,30.86,2.7098584905660377,1.01,7.59,68.17,0.3215566037735849,0.0,11.79,54.536,0.25724528301886795,0.0,9.432,9.523171574418358,4.368188068006901,17.18741529680416,0.07749810778715999,10,5,0,104,754.3121968936804,3.5580764004418888,1.1127480458844858,6.660504923950201,24.967208290854742,0.1177698504285601,0.0,3.3854074821949522,729.3449886028257,3.4403065500133287,0.0,6.660504923950201,249.67208290854742,7293.4498860282565,7543.121968936804,699.7761968936804,0.03309930343652371,0.9669006965634763,6.0,20.0,20.0,120.0,19220.0,2306400.0,41.612013818091235,1215.5749810047093,1257.1869948228007
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2014,2015,31.326749,-109.546346,1223.0,3,2.3333333333333335,0.5555555555555556,885.5915792725802,4.17731877015368,1.0897883159184896,9.078468093139332,12.617169811320755,3.49,22.25,20.614952830188685,8.42,30.96,4.61938679245283,-4.03,14.06,40.94834905660377,12.11,82.66,18.139481132075474,5.0,31.58,2.803443396226415,0.89,6.85,61.31,0.2891981132075472,0.0,14.85,49.048,0.23135849056603774,0.0,11.88,9.497008145091662,3.975641711424353,17.499281025836716,0.06923055891109497,12,4,0,105,764.4775330702091,3.606026099387779,1.0897883159184896,6.354927665197532,23.495279315816582,0.11082678922554992,0.0,3.332987318608422,740.9822537543924,3.4951993101622287,0.0,6.354927665197532,234.95279315816583,7409.822537543924,7644.77533070209,715.4295330702091,0.0307337734589236,0.9692662265410763,4.0,15.0,15.0,60.0,18000.0,1080000.0,58.73819828954146,1852.455634385981,1911.1938326755226
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2015,2016,31.326749,-109.546346,1223.0,2,1.5,0.0,767.769306686223,3.62155333342558,0.9597874136853184,7.323391696975726,12.55483490566038,0.22999999999999998,21.68,20.00702830188679,5.87,30.22,5.102641509433962,-5.59,14.82,52.91127358490566,22.58,86.47,17.471462264150944,3.09,30.87,2.6510849056603774,0.89,6.1,160.75,0.7582547169811321,0.0,34.87,128.6,0.6066037735849056,0.0,27.896,9.54547687520655,3.3897711321625037,17.9065171581455,0.20937278763306486,23,12,0,99,662.2072516759067,3.1236191116788055,0.9597874136853184,5.126374187883008,47.155837413618244,0.22243319534725586,0.0,3.091452980626738,615.0514142622885,2.9011859163315497,0.0,5.126374187883008,471.55837413618247,6150.514142622886,6622.072516759068,533.6072516759067,0.07121008912885925,0.9287899108711408,6.2,8.0,8.0,49.6,18100.0,897760.0,76.05780228002942,992.0184101004654,1068.0762123804948
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2016,2017,31.326749,-109.546346,1223.0,2,1.6,0.0,847.1127148301119,3.9770549992024034,0.8184828440802576,8.771056573290272,12.30100938967136,-0.395,26.335,20.06122065727699,3.87,33.7,4.540798122065728,-5.73,18.97,44.93521126760563,14.6,89.23,18.109765258215962,4.72,30.89,2.803474178403756,1.02,6.7,91.27,0.4284976525821596,0.0,10.04,73.016,0.34279812206572774,0.0,8.032,9.599594526817281,3.942279580087363,17.725861441809293,0.1077424508004276,23,5,0,114,732.8901807823866,3.4407989708093267,0.8184828440802576,6.13973960130319,44.517402354798236,0.20900188898966307,0.0,3.1528939022741405,688.3727784275884,3.2317970818196637,0.0,6.13973960130319,445.17402354798236,6883.727784275884,7328.901807823866,659.8741807823866,0.0607422551456131,0.9392577448543871,6.5,10.0,10.0,65.0,19500.0,1267500.0,68.48831131507421,1059.0350437347513,1127.5233550498256
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2017,2018,31.326749,-109.546346,1223.0,1,1.0,0.0,889.8053483871281,4.197195039561925,1.1251756277666167,9.94963256456715,13.853278301886792,1.9349999999999996,23.18,21.56132075471698,8.12,33.1,6.145235849056603,-4.99,15.55,44.78443396226415,17.78,88.58,17.97245283018868,3.71,31.56,2.8431603773584904,1.11,7.3,110.97999999999999,0.5234905660377358,0.0,15.92,88.784,0.41879245283018873,0.0,12.736,9.570324980433076,3.4769229243612196,17.900376998932742,0.1247239075390631,21,6,0,90,763.484498454412,3.601341973841566,1.1251756277666167,6.9647427951970045,39.06029549419007,0.18424667685938714,0.0,3.052289733564101,724.4242029602219,3.417095296982179,0.0,6.9647427951970045,390.60295494190075,7244.242029602219,7634.84498454412,674.700498454412,0.05116056131232949,0.9488394386876705,7.38,9.0,9.0,66.4,16500.0,1095600.0,52.92722966692422,981.6046110572113,1034.5318407241355
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2018,2019,31.326749,-109.546346,1223.0,3,2.4285714285714284,0.5,947.7860764517764,4.47068903986687,0.922999109324264,9.689598960425688,14.546745283018867,1.715,25.375,22.390330188679247,6.65,32.74,6.703160377358492,-5.73,18.86,37.212547169811316,14.17,92.72,17.906698113207547,4.51,30.56,2.7383490566037736,0.83,6.71,86.82,0.4095283018867924,0.0,19.61,69.456,0.327622641509434,0.0,15.688,9.33346632164184,3.9197016965392995,17.34302950429389,0.09160294939658509,14,5,0,76,820.0387409215082,3.8681072684976803,0.922999109324264,6.782719272297981,27.53473350017356,0.1298808183970451,0.0,3.5840000000000005,792.5040074213346,3.7382264501006346,0.0,6.782719272297981,275.3473350017356,7925.040074213346,8200.387409215082,750.5827409215082,0.033577356929785716,0.9664226430702142,6.6,10.0,10.0,66.0,11598.48,765499.68,41.71929318208115,1200.7636476080827,1242.4829407901639
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2019,2020,31.326749,-109.546346,1223.0,2,1.5,0.0,758.3856981324868,3.5772910289268247,0.7707166614895653,8.53691222903321,11.568608490566039,-1.44,23.225,18.877216981132076,2.95,31.86,4.26,-6.03,17.63,51.4486320754717,23.49,88.84,16.859764150943395,3.57,30.61,2.8620283018867925,1.11,7.08,195.04999999999995,0.9200471698113205,0.0,30.38,156.04000000000002,0.7360377358490567,0.0,24.304000000000002,9.253868146729971,3.489536938936855,18.369240292131757,0.257191031529613,30,12,0,113,652.7214006136231,3.0788745311963357,0.7707166614895653,5.975838560323246,60.686083061233546,0.2862551087794035,0.0,3.9982247420162524,592.0353175523895,2.792619422416932,0.0,5.975838560323246,606.8608306123355,5920.3531755238955,6527.214006136231,496.6814006136231,0.0929739441730922,0.9070260558269078,6.9,12.0,12.0,82.8,12604.35,1043640.18,87.9508450162805,858.0221993512891,945.9730443675696
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2020,2021,31.326749,-109.546346,1223.0,1,1.0,0.0,739.7509343510517,3.4730090814603365,0.7906609450579125,8.40596128576994,11.772488262910798,-0.08499999999999996,23.805,19.02286384976526,5.61,34.09,4.522112676056338,-5.96,17.83,55.61652582159624,22.88,90.88,17.233474178403757,2.58,30.09,2.802629107981221,0.96,6.72,317.19,1.4891549295774649,0.0,54.8,190.31399999999996,0.8934929577464787,0.0,32.879999999999995,9.505421553158891,3.0527193424214607,17.832965012551444,0.4287794516653848,27,18,0,121,633.0710360975534,2.972164488720908,0.7906609450579125,5.884172900038958,43.42206425386995,0.2038594565909387,0.0,2.8925398951638566,589.6489718436834,2.768305032129969,0.0,5.884172900038958,434.2206425386995,5896.489718436834,6330.710360975533,442.7570360975534,0.06858956069375255,0.9314104393062475,7.0,11.0,11.0,77.0,13811.69,1063500.13,62.03152036267136,842.3556740624048,904.3871944250761
Sonora,Agua Prieta,2,Agua Prieta,141,Ajo,2021,2022,31.326749,-109.546346,1223.0,5,4.785714285714286,1.0,961.5632818338697,4.5356758577069325,1.088141064661402,9.199591300467588,12.851155660377357,0.10499999999999998,25.685000000000002,21.143160377358488,2.88,34.54,4.559150943396226,-5.69,17.55,33.81183962264151,11.07,83.63,18.432358490566042,7.41,30.13,2.9724528301886797,0.88,6.31,63.41,0.29910377358490564,0.0,13.99,50.728,0.23928301886792452,0.0,11.192,9.33831868737196,4.558204019601726,17.762390880780426,0.06594469776244577,11,4,0,122,831.1951316245766,3.9207317529461156,1.088141064661402,6.5826122129132445,20.131712458718262,0.09496090782414275,0.0,2.19500765145957,811.0634191658584,3.8257708451219736,0.0,6.5826122129132445,201.3171245871826,8110.634191658583,8311.951316245766,780.4671316245766,0.024220200158500318,0.9757797998414998,7.47,15.0,15.0,112.05,24120.53,2702705.39,26.950083612741984,1085.7609359650046,1112.7110195777466
