Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Alamos,3,Navojoa,149,Calabaza,2010,2011,27.022693,-108.934604,394.0,692.9228776507459,6.929228776507459,2.159074709441162,9.01942148509209,23.659049999999997,15.260000000000002,30.285,32.0195,20.05,39.75,15.298599999999999,6.18,22.75,32.136399999999995,15.59,68.81,27.2128,6.34,32.41,1.8071000000000002,1.1,3.33,10.329999999999998,0.10329999999999999,0.0,3.37,8.264000000000001,0.08264,0.0,2.696,15.954921638821043,5.328728687436505,19.74980140441133,0.01490786396752025,3,0,30,0,608.5236655049686,6.085236655049686,1.079537354720581,9.00448938553207,6.815537354720582,0.06815537354720581,0.0,2.696,601.708128150248,6.017081281502479,0.0,9.00448938553207,68.15537354720581,6017.081281502479,6085.236655049685,600.2596655049686,0.011200118813891772,0.9887998811861082,8.0,100.0,100.0,800.0,4300.0,3440000.0,8.519421693400727,752.1351601878099,760.6545818812107
Sonora,Alamos,3,Navojoa,149,Calabaza,2011,2012,27.022693,-108.934604,394.0,759.5703258141459,7.595703258141459,5.361422042853475,9.53184245793952,25.4489,18.61,32.11,34.4075,25.64,42.53,16.490299999999998,9.82,22.44,22.343600000000002,10.18,48.27,28.233000000000008,16.63,32.36,1.8010000000000002,1.1,2.54,1.27,0.0127,0.0,0.34,1.016,0.01016,0.0,0.272,15.982043769807449,9.95450619936302,19.183107637835874,0.0016719979136082623,0,0,40,0,659.8150956943333,6.598150956943333,2.8321203722870743,9.286803899854506,1.016,0.01016,0.0,0.272,658.7990956943331,6.587990956943331,2.8321203722870743,9.286803899854506,10.16,6587.990956943331,6598.150956943331,658.7990956943333,0.0015398253338396995,0.99846017466616,7.8,100.0,100.0,780.0,4300.0,3354000.0,1.3025641025641026,844.6142252491451,845.9167893517092
Sonora,Alamos,3,Navojoa,149,Calabaza,2012,2013,27.022693,-108.934604,394.0,749.1375796743082,7.491375796743082,3.033520410770959,9.693979093120676,25.338750000000005,14.065000000000001,31.605,34.090799999999994,18.96,40.56,16.5867,6.41,22.65,22.4967,10.65,55.01,27.565500000000007,13.81,33.39,1.7963,1.21,2.45,1.6,0.016,0.0,0.5,1.28,0.0128,0.0,0.4,15.700576884457153,9.200912046469861,19.311633985639745,0.0021357892640970024,0,0,44,0,657.1469025876592,6.571469025876592,1.5167602053854794,9.693979093120676,1.28,0.0128,0.0,0.4,655.8669025876592,6.558669025876592,1.5007602053854794,9.693979093120676,12.8,6558.669025876592,6571.469025876592,655.8669025876592,0.0019478140959954633,0.9980521859040046,7.85,100.0,100.0,785.0,5500.0,4317500.0,1.6305732484076434,835.499238965171,837.1298122135787
Sonora,Alamos,3,Navojoa,149,Calabaza,2013,2014,27.022693,-108.934604,394.0,748.7499345379467,7.487499345379467,4.061669879228953,9.869472909195153,25.103700000000007,15.285,31.53,33.967000000000006,23.04,41.26,16.2404,6.71,22.36,25.541200000000003,12.95,52.3,27.826200000000004,12.5,32.3,1.8671999999999997,1.03,3.22,1.6,0.016,0.0,0.76,1.28,0.0128,0.0,0.6080000000000001,16.001611419036486,8.06088451537009,19.908850246002856,0.002136895011533269,0,0,37,0,651.7707455430285,6.517707455430285,2.0308349396144765,9.315799187324032,1.28,0.0128,0.0,0.6080000000000001,650.4907455430285,6.504907455430286,1.5605438110424927,9.315799187324032,12.8,6504.907455430285,6517.707455430285,650.4907455430285,0.0019638807184166524,0.9980361192815834,7.35,100.0,100.0,735.0,4850.0,3564750.0,1.741496598639456,885.0214225075218,886.7629191061612
Sonora,Alamos,3,Navojoa,149,Calabaza,2014,2015,27.022693,-108.934604,394.0,717.3981093634684,7.1739810936346835,2.150930529212158,9.956948220432205,25.459449999999997,15.775,33.23,33.809999999999995,20.53,42.73,17.1089,9.7,23.95,28.526400000000002,9.66,69.84,26.0489,8.35,31.78,1.8043000000000005,0.85,2.52,14.660000000000002,0.1466,0.0,13.36,11.727999999999996,0.11727999999999997,0.0,10.688,15.326532907361711,6.373877911275585,19.994264274232638,0.02043495767365138,1,1,42,0,631.5589313426381,6.315589313426381,1.075465264606079,9.956948220432205,2.115465264606079,0.02115465264606079,0.0,1.075465264606079,629.4434660780321,6.294434660780321,0.0,9.956948220432205,21.154652646060793,6294.434660780321,6315.5893134263815,619.8309313426381,0.0033495928243921567,0.996650407175608,7.65,110.0,110.0,841.5,4300.0,3618450.0,2.765314071380496,822.801916441872,825.5672305132525
Sonora,Alamos,3,Navojoa,149,Calabaza,2015,2016,27.022693,-108.934604,394.0,608.6551986267921,6.086551986267921,1.3041294257744915,9.373322659889924,24.0192,15.965,32.475,31.515400000000003,20.24,41.17,16.522999999999996,8.11,24.36,42.01649999999999,22.16,84.23,23.685499999999998,3.98,32.41,1.6591999999999998,0.99,2.92,91.13999999999999,0.9113999999999999,0.0,17.4,72.91199999999999,0.7291199999999999,0.0,13.92,14.692418125089366,4.00929541865459,19.571726733502413,0.1497399516271677,15,6,15,0,536.2994493075828,5.362994493075828,0.6520647128872458,8.158853150480128,40.06840533149759,0.40068405331497586,0.0,5.829645180841158,496.23104397608523,4.962310439760852,0.0,8.158853150480128,400.68405331497587,4962.310439760852,5362.994493075828,463.3874493075828,0.07471274748320174,0.9252872525167983,6.51,106.0,106.0,690.0,7915.84,5461929.6,61.54900972580275,762.2596681660295,823.8086778918323
Sonora,Alamos,3,Navojoa,149,Calabaza,2016,2017,27.022693,-108.934604,394.0,691.6898765192446,6.916898765192446,2.068504373745372,9.484093330461084,24.70685,10.18,34.31,33.186699999999995,13.44,44.06,16.226999999999997,5.52,24.56,32.051,14.03,66.7,26.258000000000003,8.54,32.45,1.7667000000000002,0.99,2.63,14.070000000000002,0.14070000000000002,0.0,8.1,11.256,0.11256000000000001,0.0,6.48,15.589223530586036,6.843121304359178,19.13312924286737,0.020341486087383176,3,1,30,0,604.6122886959251,6.046122886959251,1.034252186872686,8.891690283397338,5.810252186872686,0.058102521868726865,0.0,1.064,598.8020365090523,5.988020365090523,0.0,8.891690283397338,58.10252186872687,5988.020365090523,6046.1228869592505,593.3562886959252,0.009609881068419384,0.9903901189315804,6.95,87.0,87.0,604.65,6679.38,4038687.12,8.360075089025448,861.5856640418019,869.9457391308274
Sonora,Alamos,3,Navojoa,149,Maíz grano,2010,2011,27.022693,-108.934604,394.0,1121.9271687471723,6.560977595012703,2.706367434689479,9.01942148509209,27.40415204678363,17.415,33.824999999999996,34.09122807017544,22.95,42.66,20.71707602339181,9.29,25.6,50.716900584795326,15.59,90.53,25.67485380116959,10.74,32.41,1.5136842105263157,0.6,2.64,376.22,2.2001169590643275,0.0,24.04,225.73199999999997,1.3200701754385964,0.0,14.424,16.398865012953415,8.203304275731057,20.298965687153633,0.33533371013745517,60,27,71,0,1008.8325525758619,5.899605570619076,1.1265083368728057,10.823305782110507,152.07451773023504,0.8893246650890938,0.0,7.65452839886076,856.7580348456268,5.010280905529981,0.0,10.823305782110507,1520.7451773023504,8567.580348456268,10088.325525758617,783.1005525758619,0.1507430716246633,0.8492569283753366,0.3,3000.0,3000.0,900.0,2100.0,1890000.0,5069.150591007835,28558.60116152089,33627.751752528726
Sonora,Alamos,3,Navojoa,149,Maíz grano,2011,2012,27.022693,-108.934604,394.0,1157.8168171755306,6.770858579973863,3.317075035560754,9.53184245793952,27.77877192982456,18.61,33.79,34.79736842105263,25.64,43.45,20.76017543859649,9.82,25.54,47.95935672514619,10.18,87.25,26.113801169590637,14.96,32.66,1.4861403508771929,0.72,2.54,432.28000000000003,2.5279532163742693,0.0,26.85,259.36799999999994,1.516771929824561,0.0,16.11,16.449893908096858,10.760676022426813,20.127880391897598,0.3733578521121656,57,31,76,0,1027.4686763044867,6.008588750318636,1.677218299554077,11.438210949527424,160.73869413119846,0.9399923633403419,0.0,6.502440269207446,866.7299821732884,5.068596386978294,0.0,11.438210949527424,1607.3869413119846,8667.299821732884,10274.686763044869,768.1006763044868,0.1564414544580862,0.8435585455419139,0.51,2250.0,2250.0,1147.5,2100.0,2409750.0,3151.7391006117346,16994.705532809578,20146.444633421313
Sonora,Alamos,3,Navojoa,149,Maíz grano,2012,2013,27.022693,-108.934604,394.0,1114.8056026941715,6.519331009907436,3.001828386998337,9.693979093120676,27.37263157894737,19.134999999999998,32.525,33.91713450292398,26.49,41.61,20.82812865497076,10.46,24.57,50.67204678362573,13.21,89.38,25.1972514619883,12.36,33.39,1.46766081871345,0.56,2.45,502.22999999999996,2.937017543859649,0.0,23.54,301.33799999999997,1.7622105263157892,0.0,14.123999999999999,15.947270192461561,9.166947384184745,19.32608535456255,0.45050903833480144,71,36,69,0,989.824264611113,5.788445991877854,1.7333030494012387,11.63277491174481,210.54318520372524,1.2312466970978084,0.0,6.913317503193409,779.2810794073879,4.557199294780046,0.0,11.63277491174481,2105.4318520372526,7792.810794073879,9898.242646111132,688.486264611113,0.21270764188271793,0.7872923581172823,0.52,2000.0,2000.0,1040.0,3200.0,3328000.0,4048.907407763947,14986.17460398823,19035.082011752176
Sonora,Alamos,3,Navojoa,149,Maíz grano,2013,2014,27.022693,-108.934604,394.0,1137.4316532967134,6.651647095302418,2.523244411592912,9.869472909195153,27.565760233918134,18.96,33.095,34.46602339181286,26.31,41.68,20.665497076023392,10.27,25.82,49.442573099415206,14.12,89.15,25.624619883040932,10.69,32.3,1.5648538011695907,0.69,3.22,440.97,2.5787719298245615,0.0,35.88,264.582,1.547263157894737,0.0,21.528000000000002,16.276913764883346,8.19163928720849,19.908850246002856,0.3876892283786017,67,32,74,0,1004.8688291548574,5.876425901490394,1.7980189358148098,11.843367491034183,172.56449347130467,1.0091490846275126,0.0,6.851999999999999,832.3043356835526,4.867276816862881,0.0,11.843367491034183,1725.6449347130467,8323.043356835526,10048.688291548573,740.2868291548574,0.1717283773409905,0.8282716226590093,0.57,2000.0,2000.0,1130.0,3600.0,4068000.0,3027.4472538825385,14601.830450588643,17629.27770447118
Sonora,Alamos,3,Navojoa,149,Maíz grano,2014,2015,27.022693,-108.934604,394.0,1085.0436632998542,6.345284580700902,2.005789406073642,9.956948220432205,27.224707602339183,19.895,33.23,33.32584795321638,24.98,42.73,21.12356725146199,10.52,25.37,54.50567251461989,9.66,92.87,24.78608187134503,6.95,31.78,1.4506432748538012,0.54,2.52,596.75,3.489766081871345,0.0,23.79,358.05,2.093859649122807,0.0,14.274,15.931899235309151,5.684305958311243,20.175408205239343,0.549977867420702,77,41,60,0,965.2982028986271,5.645018730401328,1.203473643644185,11.948337864518646,211.09919429664185,1.2344982122610635,0.0,7.043902762138268,754.1990086019854,4.410520518140266,0.0,11.948337864518646,2110.9919429664187,7541.990086019854,9652.982028986273,607.2482028986271,0.21868806309050065,0.7813119369094995,0.58,2250.0,2250.0,1309.5,3300.0,4321350.0,3639.6412809765843,13003.431182792852,16643.072463769437
Sonora,Alamos,3,Navojoa,149,Maíz grano,2015,2016,27.022693,-108.934604,394.0,1018.0980140155341,5.953789555646398,2.028303813646395,9.373322659889924,26.759824561403512,18.835,32.475,32.629356725146195,21.87,41.17,20.890292397660822,12.04,24.82,58.44614035087719,22.16,90.01,24.079005847953212,6.42,32.41,1.372514619883041,0.6,2.92,570.1700000000001,3.3343274853801175,0.0,18.04,342.102,2.00059649122807,0.0,10.824,15.824459560749764,5.664297332482863,19.901216876041303,0.5600344879872248,85,45,37,0,911.2196012133597,5.328769597738946,0.6084911440939185,11.247987191867908,236.72850987732411,1.3843772507445855,0.0,6.258702466122157,674.4910913360357,3.9443923469943605,0.0,11.241987191867908,2367.2850987732413,6744.910913360356,9112.196012133598,569.1176012133598,0.2597930395286731,0.740206960471327,0.51,1890.0,1890.0,954.45,3023.41,2885693.67,4641.735487790669,13225.315516392855,17867.051004183522
