Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Arivechi,5,Sahuaripa,146,Ajo,2010,2011,28.855022,-109.05898,1445.0,447.9700372160312,3.7330836434669266,0.9693900130296289,6.382406994813135,12.552833333333334,6.275,20.415,20.838,10.18,30.32,4.267666666666667,-2.73,12.62,47.456,22.21,91.38,20.418833333333335,3.79,30.0,1.2813333333333332,0.63,3.42,152.29000000000002,1.2690833333333336,0.0,48.5,121.832,1.0152666666666665,0.0,38.800000000000004,11.456746864406812,3.6616901135518387,17.787864954921446,0.33995577236912156,15,8,0,79,432.2824252869649,3.6023535440580408,0.8811560578636174,6.382406994813135,27.153456435950595,0.22627880363292163,0.0,3.3991022871796197,405.1289688510143,3.376074740425119,0.0,6.297138140102619,271.53456435950596,4051.2896885101427,4322.824252869648,310.4504252869649,0.06281415770702484,0.9371858422929752,5.04,1.0,1.0,5.04,18071.91,91082.43,53.8759056268861,803.8273191488379,857.703224775724
Sonora,Arivechi,5,Sahuaripa,146,Ajo,2011,2012,28.855022,-109.05898,1445.0,853.5742464269267,4.026293615221353,1.0712123022162445,7.732919166351495,15.38004716981132,-0.7349999999999999,23.73,24.35207547169811,5.69,34.1,6.408018867924528,-7.63,16.0,34.09150943396227,9.59,87.4,20.019056603773585,6.67,30.53,1.239622641509434,0.76,2.21,18.66,0.0880188679245283,0.0,5.79,14.928,0.07041509433962265,0.0,4.632000000000001,10.339307011830849,4.587074489376968,17.670979162822036,0.021861015697358502,5,1,0,78,743.0906883372102,3.5051447563075953,1.0712123022162445,5.557428745971524,10.905490236519983,0.05144099168169803,0.0,2.3942779343037373,732.1851981006903,3.4537037646258977,0.0,5.557428745971524,0.0,0.0,0.0,728.1626883372102,0.014675853711641634,0.9853241462883585,7.0,1.0,1.0,7.0,18000.0,126000.0,0.0,0.0,0.0
Sonora,Arivechi,5,Sahuaripa,146,Ajo,2017,2018,28.855022,-109.05898,1445.0,834.4865856197953,3.936257479338657,1.282815646146857,7.476250005144381,17.297853773584905,7.11,25.07,25.558301886792457,10.95,35.16,9.037405660377358,-0.13,17.79,39.643254716981126,9.73,85.46,18.976226415094338,3.16,30.98,1.1702830188679247,0.65,2.53,62.809999999999995,0.29627358490566036,0.0,12.94,50.248000000000005,0.23701886792452834,0.0,10.352,10.124872589485832,3.3547619425263453,17.762792614288237,0.07526783663436525,13,3,1,39,721.60324441275,3.4037888887393866,1.282815646146857,5.68706306104844,25.283553263223787,0.11926204369445183,0.0,1.9847994099960216,696.3196911495262,3.284526845044935,0.0,5.68706306104844,0.0,0.0,0.0,671.3552444127499,0.035038026032989736,0.9649619739670102,4.51,0.75,0.75,3.38,34500.0,116610.0,0.0,0.0,0.0
Sonora,Arivechi,5,Sahuaripa,146,Chile verde,2010,2011,28.855022,-109.05898,1445.0,1048.188159880328,5.791094805968663,1.9931373052980996,8.10042845045495,21.26814917127071,7.41,30.185000000000002,29.412486187845303,14.06,38.59,13.123812154696132,-2.07,21.78,44.24441988950276,10.69,88.65,26.152265193370162,7.99,32.14,1.191049723756906,0.44,2.52,376.61,2.080718232044199,0.0,23.65,225.96600000000004,1.2484309392265196,0.0,14.19,16.034889401653864,6.0970442564188385,19.336767134082557,0.3592961783149675,55,29,31,27,1041.1556016926259,5.752240893329424,1.1958823831788596,8.505449872977698,171.94309865102375,0.9499618710001312,0.0,6.166270529176184,869.2125030416022,4.8022790223292935,0.0,8.409449872977698,1719.4309865102375,8692.125030416022,10411.556016926259,815.1896016926258,0.16514639922360566,0.8348536007763945,3.0,1.0,1.0,3.0,10000.0,30000.0,573.1436621700792,2897.375010138674,3470.518672308753
Sonora,Arivechi,5,Sahuaripa,146,Chile verde,2011,2012,28.855022,-109.05898,1445.0,1126.9577558591625,6.226285943973274,2.943496658310796,8.439956357066626,22.541685082872927,11.98,30.895,31.133812154696137,19.77,41.01,13.949558011049723,2.86,21.4,37.018397790055246,5.38,90.61,26.76386740331492,14.1,32.8,1.2546961325966852,0.47,2.28,355.34999999999997,1.963259668508287,0.0,21.15,213.21,1.1779558011049724,0.0,12.69,15.965049530882666,10.22202585108228,19.187908166240415,0.31531794173517236,49,29,36,4,1109.6107393980058,6.130446074022132,2.7017088696051412,8.861954174919957,167.83792760622447,0.9272813679901905,0.0,6.276000000000001,941.7728117917814,5.2031647060319415,0.0,8.861954174919957,1678.3792760622446,9417.728117917814,11096.107393980059,896.4007393980057,0.1512583842666133,0.8487416157333868,1.5,1.0,1.0,1.5,11500.0,17250.0,1118.9195173748296,6278.485411945209,7397.404929320039
Sonora,Arivechi,5,Sahuaripa,146,Chile verde,2015,2016,28.855022,-109.05898,1445.0,969.1839028370428,5.354607197994711,1.3197800968157385,8.052514942384045,21.230773480662986,8.325,29.575,28.38602209944751,13.48,38.76,14.075524861878453,2.01,21.89,53.35204419889504,17.57,90.79,24.589889502762432,5.84,32.11,1.0758563535911603,0.46,2.21,510.00000000000006,2.81767955801105,0.0,29.04,306.0,1.6906077348066297,0.0,17.424,15.524333468537879,4.998807504849916,19.477187276792804,0.5262159209486487,76,41,16,4,963.2193467649768,5.321653849530258,0.791868058089443,8.455140689503247,239.59209935121288,1.323713256084049,0.0,5.982,723.627247413764,3.9979405934462102,0.0,8.455140689503247,2395.920993512129,7236.2724741376405,9632.19346764977,657.2193467649768,0.24874095413043315,0.751259045869567,4.3,1.0,1.0,4.3,7350.0,31605.0,557.190928723751,1682.8540637529397,2240.044992476691
Sonora,Arivechi,5,Sahuaripa,146,Sandía,2011,2012,28.855022,-109.05898,1445.0,760.8588641292088,6.9168987648109885,3.9361285140961644,8.439956357066626,23.409863636363642,11.98,30.895,32.73381818181818,19.77,41.01,14.085909090909091,2.86,21.4,28.511909090909093,5.38,75.46,28.592818181818185,15.61,32.8,1.4160909090909086,0.67,2.28,109.30000000000001,0.9936363636363638,0.0,12.55,87.44,0.7949090909090909,0.0,10.040000000000001,16.923068125329817,10.825404937404926,19.187908166240415,0.14365344895481,18,8,35,2,639.1853541390653,5.810775946718776,1.8036246621009782,8.439956357066626,55.078275570970746,0.500711596099734,0.0,5.180522233155642,584.1070785680945,5.310064350619041,0.0,8.439956357066626,550.7827557097074,5841.070785680945,6391.853541390652,551.7453541390653,0.08616948935752297,0.9138305106424769,2.0,1.0,1.0,2.0,3000.0,6000.0,275.3913778548537,2920.5353928404725,3195.926770695326
Sonora,Arivechi,5,Sahuaripa,146,Avena forrajera en verde,2010,2011,28.855022,-109.05898,1445.0,308.07339394000684,3.2773765312766683,0.9693900130296289,5.967363303166135,11.308829787234043,6.275,17.61,19.42457446808511,10.18,29.46,3.1930851063829793,-2.73,9.06,50.13138297872339,22.21,91.38,18.99212765957447,3.79,27.76,1.2354255319148935,0.63,3.42,133.46,1.4197872340425532,0.0,48.5,106.768,1.1358297872340426,0.0,38.800000000000004,10.386916905857971,3.6616901135518387,16.133460509677967,0.4332084581961322,13,7,0,76,309.8361692319868,3.296129459914753,0.37763831051297886,6.862467798641054,22.099513573554002,0.2351012082292979,0.0,2.6032999775758783,287.7366556584327,3.0610282516854546,0.0,6.862467798641054,220.99513573554003,2877.366556584327,3098.361692319867,203.0681692319868,0.07132644851740085,0.9286735514825989,24.0,6.0,6.0,144.0,446.4,64281.6,9.208130655647501,119.89027319101363,129.09840384666114
Sonora,Arivechi,5,Sahuaripa,146,Avena forrajera en verde,2011,2012,28.855022,-109.05898,1445.0,573.9876953213911,3.6559725816649116,1.0712123022162445,6.530294402337234,14.017547770700634,-0.7349999999999999,22.145,23.06089171974522,5.69,32.48,4.974203821656051,-7.63,14.48,32.04770700636943,12.26,87.4,18.771719745222928,6.67,27.25,1.2286624203821654,0.78,2.07,11.36,0.07235668789808916,0.0,5.79,9.088000000000001,0.05788535031847134,0.0,4.632000000000001,9.23310982152578,4.587074489376968,15.159259033304714,0.019791365028546875,3,1,0,76,526.2848216792205,3.35213262216064,0.799104766388063,5.877264962103511,5.5853137719979795,0.035575246955401145,0.0,2.7534196244492977,520.6995079072226,3.3165573752052393,0.0,5.877264962103511,0.0,0.0,0.0,517.1968216792205,0.010612720606642012,0.9893872793933581,23.85,10.0,10.0,238.5,495.0,118057.5,0.0,0.0,0.0
Sonora,Arivechi,5,Sahuaripa,146,Avena forrajera en verde,2012,2013,28.855022,-109.05898,1445.0,522.1790721575479,3.304930836440177,0.8046805564593866,6.241384188793245,12.955474683544303,3.0349999999999997,20.81,21.477405063291137,8.86,31.15,4.4335443037974684,-3.73,11.25,41.65639240506329,11.56,95.09,17.632531645569617,3.91,28.59,1.1921518987341773,0.74,2.02,118.66000000000001,0.7510126582278481,0.0,22.51,94.928,0.6008101265822785,0.0,18.008000000000003,9.073714629369537,3.597064148107359,15.747293622344756,0.22724005293762292,17,5,0,96,479.9134032266744,3.037426602700471,0.2925530926361382,5.617245769913921,25.551265074540424,0.16171686756038242,0.0,2.905905663669795,454.36213815213404,2.875709735140089,0.0,5.617245769913921,0.0,0.0,0.0,384.9854032266744,0.05324140751799749,0.9467585924820027,22.0,3.0,3.0,66.0,525.0,34650.0,0.0,0.0,0.0
