Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2010,2011,29.782792,-109.126046,717.0,1,1.0,0.0,329.21384244648254,3.5022749196434315,1.0902541771578256,6.9818372448798485,11.801010638297871,4.904999999999999,18.939999999999998,19.452765957446807,10.35,29.91,4.149255319148937,-2.8,10.07,51.19180851063829,26.61,89.94,18.241702127659575,4.06,27.58,2.1669148936170215,1.05,7.27,146.58,1.5593617021276598,0.0,39.5,117.26400000000001,1.2474893617021279,0.0,31.6,10.028254655246844,3.7472799144532507,15.882304896382415,0.44524251747958704,16,7,0,61,329.58758086867033,3.5062508603050033,0.3270762531473477,8.029112831611824,31.50174638331601,0.3351249615246384,0.0,2.984,298.0858344853543,3.171125898780365,0.0,8.029112831611824,315.0174638331601,2980.8583448535433,3295.8758086867033,212.32358086867032,0.09557928821313327,0.9044207117868668,17.96,65.0,65.0,1167.66,403.2,470800.51,17.539947874897553,165.97206819897232,183.5120160738699
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2011,2012,29.782792,-109.126046,717.0,4,2.25,0.5,663.2783826915979,4.224703074468777,1.1373737112322428,8.212277285846008,14.695254777070062,-4.35,23.73,23.148471337579622,-0.27,33.64,6.24203821656051,-8.43,14.36,31.70528662420382,12.23,84.42,18.25872611464968,6.25,27.19,2.0363057324840765,1.07,6.79,15.93,0.10146496815286624,0.0,9.88,12.744,0.081171974522293,0.0,7.904000000000001,8.879599889596404,4.358078800090899,14.917609330491326,0.024017064954470122,4,1,0,56,607.715841004994,3.870801535063656,0.9476007275857928,7.391049557261407,6.14797976791708,0.039159106802019616,0.0,1.736,601.5678612370771,3.8316424282616373,0.0,7.391049557261407,61.479797679170794,6015.678612370771,6077.158410049941,594.971841004994,0.010116536961995298,0.989883463038005,14.0,30.0,28.0,392.0,350.0,137200.0,4.391414119940771,429.69132945505504,434.0827435749958
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2012,2013,29.782792,-109.126046,717.0,4,2.6666666666666665,0.3333333333333333,574.370591679951,3.6352569093667784,0.8385049392650585,7.587468234074473,13.292626582278478,2.86,22.18,21.11082278481013,7.08,31.86,5.474430379746836,-3.24,14.58,43.55626582278481,11.28,92.56,17.220759493670887,2.99,28.78,1.9953164556962024,0.89,5.04,160.07000000000002,1.013101265822785,0.0,33.25,128.056,0.8104810126582279,0.0,26.6,8.83660322068676,3.223823749656267,15.508856284959315,0.27868766667147493,14,9,0,65,523.5939851442713,3.3138859819257678,0.2773124373644954,6.8287214106670255,20.95538136032843,0.13262899595144576,0.0,2.8762539893352432,502.6386037839429,3.1812569859743225,0.0,6.8287214106670255,209.5538136032843,5026.386037839429,5235.939851442714,395.53798514427126,0.040022196501272596,0.9599778034987275,10.34,29.0,29.0,300.0,450.0,135000.0,20.266326267242196,486.1108353809893,506.3771616482315
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2013,2014,29.782792,-109.126046,717.0,2,1.8333333333333333,0.0,615.7757967082915,3.9221388325368887,1.389911954497788,7.388434856551684,14.582929936305732,1.3850000000000002,22.71,22.625477707006368,8.21,33.08,6.540382165605095,-5.44,16.6,35.301464968152864,10.99,83.5,17.070509554140127,4.78,28.23,1.9316560509554142,0.98,4.6,49.82000000000001,0.31732484076433126,0.0,14.97,39.856,0.253859872611465,0.0,11.976,8.578560526301784,4.079695723628959,15.200233728442848,0.08090607046642496,10,3,0,60,561.2605432402092,3.5749079187274475,0.7479626182673845,6.649591370896515,22.327266315750286,0.14221188736146678,0.0,3.507130081556973,538.9332769244589,3.4326960313659804,0.0,6.649591370896515,223.27266315750285,5389.332769244589,5612.6054324020915,521.4045432402093,0.03978057354050385,0.9602194264594961,14.7,30.0,30.0,441.0,410.88,181198.08,15.188616541326725,366.6212768193598,381.80989336068654
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2014,2015,29.782792,-109.126046,717.0,1,1.0,0.0,616.3241578987543,3.9256315789729572,0.9756330638689508,7.873616457514581,15.579299363057327,5.369999999999999,22.45,23.28917197452229,9.2,31.72,7.869426751592357,0.43,15.02,40.045668789808914,13.76,88.12,16.759999999999998,4.34,27.47,1.9766878980891722,0.87,3.79,66.86999999999999,0.4259235668789808,0.0,12.99,53.49600000000001,0.3407388535031848,0.0,10.392000000000001,8.598316042605445,3.7328373895260816,15.37892855169867,0.10849809981160102,12,5,0,39,567.8520346171549,3.6168919402366555,0.5920042612429876,7.086254811763123,20.702238663474834,0.1318613927609862,0.0,3.5673865815602097,547.14979595368,3.485030547475669,0.0,7.086254811763123,207.02238663474833,5471.4979595368,5678.520346171549,514.3560346171549,0.036457100444189226,0.9635428995558107,14.5,30.0,30.0,435.0,350.0,152250.0,14.277405974810229,377.3446868646069,391.6220928394171
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2015,2016,29.782792,-109.126046,717.0,0,0.0,0.0,553.9508989634318,3.528349674926317,1.074459129340515,6.498408191559279,15.465063694267512,5.755,23.515,22.80044585987261,10.25,32.55,8.129681528662422,-2.36,17.26,47.38675159235668,24.46,87.59,16.069426751592356,3.05,26.95,1.8615923566878982,0.89,4.51,151.86999999999998,0.967324840764331,0.0,26.88,121.49600000000001,0.773859872611465,0.0,21.504,8.533780337255124,3.362157941760156,15.94058095610708,0.2741578726276703,17,10,0,29,511.61053718009805,3.2586658419114527,0.7710847915628641,5.848567372403351,34.02113427205732,0.21669512275195743,0.0,3.007900020000504,477.5894029080408,3.0419707191594956,0.0,5.848567372403351,340.21134272057316,4775.8940290804085,5116.105371800982,390.11453718009807,0.06649811096459324,0.933501889035407,13.55,25.0,25.0,338.75,378.0,128047.5,25.10784817126001,352.464503991174,377.572352162434
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2016,2017,29.782792,-109.126046,717.0,1,1.0,0.0,586.5833067624828,3.712552574446094,1.2067009877103052,7.785520447952127,14.279430379746833,2.15,21.57,22.33025316455696,8.33,31.7,6.228607594936709,-4.29,14.41,43.51177215189874,15.3,86.34,17.285126582278483,2.85,28.32,1.9186708860759496,0.85,4.38,123.88999999999999,0.7841139240506328,0.0,19.06,99.112,0.6272911392405063,0.0,15.248,8.922913459372827,3.2188948310788668,15.421450008953572,0.2112061468025463,20,10,0,55,542.119523603606,3.4311362253392788,0.36201029631309156,7.006968403156915,31.13513642179384,0.19705782545439138,0.0,3.209403945053606,510.98438718181217,3.234078399884887,0.0,7.006968403156915,311.3513642179384,5109.843871818121,5421.19523603606,443.00752360360605,0.05743223600365965,0.9425677639963403,15.0,26.0,26.0,390.0,360.0,140400.0,20.756757614529228,340.6562581212081,361.41301573573736
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2017,2018,29.782792,-109.126046,717.0,0,0.0,0.0,616.3905995996911,3.9260547745203254,1.1109111174113235,7.959167066903871,16.156687898089174,6.6450000000000005,25.189999999999998,23.747579617834393,11.49,33.6,8.565796178343948,-1.71,19.07,41.75917197452229,19.06,86.47,16.827770700636943,2.87,27.95,1.990191082802548,0.96,5.47,84.01,0.5350955414012739,0.0,16.19,67.208,0.4280764331210191,0.0,12.952000000000002,8.702941278018423,3.0934765492030705,15.571802775872705,0.13629344778223335,15,6,0,36,558.3234714686661,3.5562004552144337,1.0236980878361617,7.163250360213484,27.68257254297821,0.17632211810814147,0.0,2.746133322006967,530.6408989256878,3.3798783371062915,0.0,7.163250360213484,276.8257254297821,5306.408989256878,5583.2347146866605,491.1154714686661,0.04958160270453863,0.9504183972954613,16.9,24.0,24.0,405.6,521.15,211378.44,16.38022043963208,313.9886975891644,330.3689180287965
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2018,2019,29.782792,-109.126046,717.0,2,1.7777777777777777,0.0,629.2384893993969,4.007888467512083,1.0549380814457545,7.882358654446251,16.826496815286625,6.965,25.35,24.51980891719745,11.35,33.81,9.133184713375798,-0.82,16.89,37.35165605095541,13.55,89.15,16.52624203821656,3.69,28.02,1.9237579617834393,0.92,4.64,83.69999999999999,0.5331210191082801,0.0,34.64,66.96000000000001,0.42649681528662425,0.0,27.712000000000003,8.424221826170877,3.4994186814286357,15.08498453832602,0.1330179278764256,12,5,0,29,578.8437389648043,3.6869027959541674,1.0148262384230922,7.094122789001626,23.377447790982515,0.1489009413438377,0.0,2.3760000000000003,555.4662911738217,3.538001854610329,0.0,7.094122789001626,233.77447790982515,5554.662911738216,5788.437389648041,511.88373896480425,0.04038645703033845,0.9596135429696614,18.2,28.0,28.0,509.6,669.39,341121.14,12.844751533506876,305.2012588867152,318.0460104202221
Sonora,Bacadéhuachi,8,Moctezuma,143,Avena forrajera en verde,2019,2020,29.782792,-109.126046,717.0,0,0.0,0.0,510.03394084969915,3.2486238270681476,0.8241102832268045,6.374292029555341,13.693280254777068,3.0549999999999997,20.78,20.812675159235667,8.52,29.59,6.573885350318471,-3.58,14.37,50.09668789808917,28.75,89.18,15.836305732484078,3.06,27.38,1.8217197452229295,0.73,5.44,179.07999999999998,1.140636942675159,0.0,32.73,143.264,0.9125095541401275,0.0,26.183999999999997,8.506368186512756,3.2575679823548636,15.924844148531964,0.35111388803195887,21,10,0,46,465.01030248515303,2.9618490604149876,0.7243408680936779,5.736862826599807,38.18721589368607,0.2432306744820769,0.0,2.911646341343317,426.8230865914671,2.718618385932911,0.0,5.736862826599807,381.8721589368607,4268.230865914671,4650.103024851532,321.746302485153,0.08212122546447306,0.9178787745355271,19.65,30.0,30.0,589.5,676.35,398708.33,19.433697655819884,217.21276671321482,236.6464643690347
