Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2010,2011,28.861833,-109.398754,613.0,1,1.0,0.0,548.353263022942,4.569610525191183,1.2768138768566077,8.08658312875916,15.892541666666666,8.700000000000001,24.055,23.963416666666667,12.93,33.57,7.821666666666667,-1.27,15.75,43.58541666666667,21.81,89.1,20.418833333333335,3.79,30.0,2.0898333333333334,0.87,6.98,141.10999999999999,1.1759166666666665,0.0,51.37,112.888,0.9407333333333334,0.0,41.096000000000004,11.394604453965853,3.6477253056108223,17.594625374583828,0.25733411199578515,16,6,0,27,528.1680402044515,4.401400335037096,1.1175298481863292,8.08658312875916,30.820017257359247,0.25683347714466037,0.0,4.024,497.3480229470922,4.144566857892435,0.0,8.05458312875916,308.20017257359245,4973.4802294709225,5281.680402044515,415.28004020445144,0.05835267360256966,0.9416473263974303,5.03,6.0,6.0,30.15,17820.0,537273.0,61.27240011403428,988.763465103563,1050.0358652175973
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2011,2012,28.861833,-109.398754,613.0,4,2.2,0.4,1074.461364919711,5.068213985470335,1.4886787342300483,10.15581893276336,18.794457547169813,1.0100000000000002,28.33,27.495943396226412,8.16,37.41,10.092971698113208,-6.14,21.36,30.749669811320757,8.27,80.95,20.019056603773585,6.67,30.53,1.9374056603773586,0.95,4.37,26.619999999999997,0.12556603773584904,0.0,8.0,21.296000000000003,0.10045283018867926,0.0,6.4,10.231282840071382,4.58715464885157,17.542448003473645,0.024775204459761262,5,2,9,25,937.5866084634511,4.422578341808731,1.4886787342300483,7.302716075849617,14.851526360037262,0.07005436962281728,0.0,3.351776014304874,922.7350821034137,4.352523972185914,0.0,7.302716075849617,148.51526360037263,9227.350821034137,9375.86608463451,916.290608463451,0.01584016476555318,0.9841598352344467,7.0,7.0,7.0,49.0,17500.0,857500.0,21.21646622862466,1318.1929744334482,1339.409440662073
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2012,2013,28.861833,-109.398754,613.0,3,1.7142857142857142,0.14285714285714285,1010.6443965767744,4.74480937359988,0.9018516888750645,9.303363245841572,18.146995305164317,6.135,28.595,26.56014084507042,11.28,38.76,9.733849765258215,-1.9,22.08,35.9637089201878,9.36,91.82,19.316995305164316,3.91,30.45,1.8705633802816901,0.98,3.64,135.31,0.6352582159624414,0.0,21.78,108.248,0.5082065727699531,0.0,17.424000000000003,10.121153077449126,3.58813597617785,17.60673858559675,0.13388487628123022,14,8,18,29,872.6356705822975,4.096881082545997,0.9018516888750645,6.688636469222372,29.242716921666194,0.13728975080594458,0.0,3.270351171865231,843.3929536606313,3.959591331740053,0.0,6.688636469222372,292.4271692166619,8433.929536606312,8726.356705822975,764.3876705822975,0.03351079712585315,0.9664892028741469,6.0,2.0,2.0,12.0,20000.0,240000.0,48.73786153611032,1405.6549227677187,1454.392784303829
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2013,2014,28.861833,-109.398754,613.0,1,1.0,0.0,1029.2326092879553,4.854870798528091,1.7453058014889937,9.118197176635796,18.889646226415095,4.8100000000000005,27.1,27.253443396226416,12.13,36.36,10.525849056603775,-3.55,20.38,32.17084905660377,5.05,72.76,19.05570754716981,4.39,30.72,1.8633018867924527,0.74,4.77,34.45,0.1625,0.0,11.0,27.560000000000006,0.13000000000000003,0.0,8.8,9.948873245824643,3.903552509577014,17.041073664960198,0.03347153956172574,6,2,5,37,893.1782625427132,4.21310501199393,1.7453058014889937,7.157978694454773,17.008853625036714,0.08023044162753167,0.0,3.3225615776404718,876.1694089176765,4.132874570366399,0.0,7.157978694454773,170.08853625036716,8761.694089176764,8931.782625427131,865.6182625427132,0.019043067143859563,0.9809569328561404,9.5,2.0,2.0,19.0,20000.0,380000.0,17.90405644740707,922.2835883343963,940.1876447818033
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2014,2015,28.861833,-109.398754,613.0,1,1.0,0.0,1009.7450371237218,4.762948288319443,1.2435312256716153,9.671450184084973,19.477617924528303,8.86,26.68,27.449386792452827,12.79,37.68,11.505849056603772,2.34,19.69,36.38490566037736,7.06,84.73,18.417216981132075,4.28,30.34,1.8823584905660378,0.85,4.19,85.50999999999999,0.4033490566037735,0.0,22.24,68.408,0.3226792452830189,0.0,17.791999999999998,9.80037299844824,3.7347679360809254,17.558858634830443,0.0846847440256571,11,5,5,11,878.5357061485851,4.144036349757477,1.117331200829465,6.770015128859481,24.935986234723135,0.11762257657888271,0.0,2.84,853.5997199138619,4.026413773178594,0.0,6.770015128859481,249.35986234723134,8535.99719913862,8785.35706148585,810.127706148585,0.028383577423437993,0.971616422576562,7.0,7.0,7.0,49.0,15000.0,735000.0,35.6228374781759,1219.428171305517,1255.0510087836929
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2015,2016,28.861833,-109.398754,613.0,1,1.0,0.0,925.1037958483873,4.3636971502282424,1.0812525331768967,7.542362059943658,19.37806603773585,8.465,27.020000000000003,26.997499999999995,13.27,36.67,11.758632075471699,-0.17,20.85,42.811650943396224,13.9,87.22,17.94995283018868,3.0,30.05,1.7452358490566038,0.82,3.62,170.89,0.8060849056603773,0.0,34.16,136.71200000000002,0.644867924528302,0.0,27.328,9.881345545621581,3.341265874137115,17.967721074907875,0.18472521761007527,18,9,7,12,811.3030357786462,3.8269011121634255,1.0812525331768967,6.025910181532423,41.773555584793804,0.19704507351317832,0.0,4.471370533144623,769.5294801938524,3.6298560386502468,0.0,6.025910181532423,417.73555584793803,7695.294801938524,8113.0303577864615,674.5910357786462,0.05148946046368695,0.948510539536313,6.5,3.0,3.0,19.5,21000.0,409500.0,64.26700859199046,1183.891507990542,1248.1585165825325
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2016,2017,28.861833,-109.398754,613.0,2,1.5,0.0,979.9294651599332,4.600607817652269,1.5201748627728076,8.68090446587684,18.715516431924883,5.345,28.9,26.90450704225352,11.0,36.59,10.526525821596245,-1.91,21.66,39.42131455399061,11.17,80.03,18.821596244131452,3.37,30.78,1.8479342723004695,0.89,3.66,106.14999999999999,0.49835680751173705,0.0,14.58,84.92000000000002,0.39868544600938977,0.0,11.664000000000001,10.086298018831659,3.437317520115954,18.02476812128915,0.10832412308642578,20,5,3,30,853.8970541627739,4.008906357571709,1.5201748627728076,6.948735666553157,47.03722372378455,0.2208320362618993,0.0,3.1888721178676205,806.8598304389893,3.788074321309809,0.0,6.948735666553157,470.3722372378455,8068.598304389893,8538.97054162774,768.9770541627738,0.055085356594775294,0.9449146434052247,3.27,1.0,1.0,3.27,22400.0,73248.0,143.84472086784265,2467.461255165105,2611.3059760329475
Sonora,Bacanora,9,Sahuaripa,146,Ajo,2017,2018,28.861833,-109.398754,613.0,1,1.0,0.0,1048.3528013889218,4.9450603839100085,1.6096022428808205,9.675956689578902,20.708443396226418,10.435,28.895,28.79825471698113,14.45,38.43,12.618632075471698,2.4,21.57,35.54580188679246,8.88,79.41,18.976226415094338,3.16,30.98,1.8633490566037738,1.02,4.79,65.99,0.31127358490566037,0.0,15.21,52.792,0.24901886792452832,0.0,12.168000000000001,10.034409670034547,3.3681236556684113,17.695267768786465,0.06294636682667554,10,4,34,10,908.4818243646671,4.285291624361637,1.6096022428808205,7.086212016049573,22.957897070826768,0.1082919673152206,0.0,2.641240462959568,885.5239272938404,4.176999657046417,0.0,7.086212016049573,229.57897070826766,8855.239272938405,9084.818243646672,855.6898243646671,0.025270617920047023,0.9747293820799531,5.21,3.0,3.0,15.63,25000.0,390750.0,44.06506155628938,1699.662048548638,1743.7271101049273
Sonora,Bacanora,9,Sahuaripa,146,Chile verde,2010,2011,28.861833,-109.398754,613.0,1,1.0,0.0,1263.8582072045365,6.982642028754345,2.7585748051583376,10.316283880250735,24.705055248618777,11.055,34.89,32.48165745856354,17.79,42.98,16.928453038674036,1.97,26.8,39.78850828729282,9.25,84.49,26.152265193370162,7.99,32.14,2.0290055248618786,0.83,4.8,334.18999999999994,1.8463535911602207,0.0,30.6,200.51399999999998,1.1078121546961326,0.0,18.36,15.93828595859651,6.096715049794345,19.53990353832962,0.2644204849048516,49,21,66,6,1255.0037621678962,6.933722442916554,1.6634806462115115,10.832098074263271,148.84845515288373,0.8223671555407941,0.0,6.276000000000001,1106.1553070150126,6.11135528737576,0.0,10.832098074263271,1488.4845515288373,11061.553070150127,12550.037621678965,1054.4897621678963,0.11860399119104041,0.8813960088089596,3.0,1.0,1.0,3.0,10000.0,30000.0,496.1615171762791,3687.184356716709,4183.345873892988
Sonora,Bacanora,9,Sahuaripa,146,Chile verde,2011,2012,28.861833,-109.398754,613.0,5,4.0,1.0,1362.8463244963937,7.529537704399965,3.023206965617384,10.854100458383355,25.77232044198895,14.875,34.085,33.89679558011049,22.17,44.26,17.647845303867406,5.94,25.81,34.584475138121554,6.29,89.51,26.76386740331492,14.1,32.8,2.0811602209944753,0.68,4.37,335.92,1.8559116022099449,0.0,25.06,201.55200000000002,1.113546961325967,0.0,15.035999999999998,15.918708051764286,10.240838123689349,19.235854300773006,0.24648413688471515,44,24,67,0,1338.9556380265458,7.3975449614726285,3.1743673138982533,11.396805481302524,154.43396282444758,0.8532263139472241,0.0,6.888768795121778,1184.521675202098,6.544318647525404,0.0,11.396805481302524,1544.3396282444758,11845.21675202098,13389.556380265456,1137.4036380265457,0.11533911836845023,0.8846608816315497,1.0,2.0,2.0,2.0,12000.0,24000.0,1544.3396282444758,11845.21675202098,13389.556380265456
