Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2010,2011,30.253066,-108.731092,1602.0,1100.638176616799,6.0808739039602155,2.3302599400690225,9.290888088031807,19.369585635359115,4.2250000000000005,28.58,27.21171270718232,11.3,37.41,11.527458563535912,-2.93,21.91,44.594751381215474,15.27,85.8,26.09265193370166,9.22,32.94,2.29414364640884,0.67,7.14,283.48999999999995,1.5662430939226517,0.0,22.5,170.094,0.9397458563535911,0.0,13.5,15.945161678852596,7.318850072001325,19.88331674817256,0.2575687505874154,55,21,10,46,1099.125256557162,6.07251522959758,1.5512666493792677,9.755432492433398,138.03904439115914,0.7626466540948018,0.0,6.22320764266752,961.0862121660027,5.309868575502778,0.0,9.737432492433397,1380.3904439115913,9610.862121660028,10991.25256557162,929.0312565571619,0.12558991213025608,0.8744100878697438,8.0,3.0,3.0,24.0,9000.0,216000.0,172.54880548894891,1201.3577652075035,1373.9065706964525
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2011,2012,30.253066,-108.731092,1602.0,1230.0312953516004,6.795753012992267,3.7726927063753735,10.77164597051469,20.930248618784535,9.38,30.919999999999998,29.152707182320437,16.28,40.66,12.707790055248617,-0.35,21.99,34.97734806629834,7.37,85.31,26.753867403314917,16.37,33.34,2.473867403314917,0.79,6.98,242.9,1.3419889502762432,0.0,35.55,194.32,1.0735911602209944,0.0,28.439999999999998,15.865826863993632,11.144054636548972,19.116510495148432,0.19747465037510922,43,13,24,19,1214.969172390381,6.712536864035253,2.7190190533121923,11.310228269040426,137.24441803652294,0.7582564532404582,0.0,6.520085411392095,1077.7247543538579,5.954280410794794,0.0,11.310228269040426,1372.4441803652294,10777.247543538579,12149.691723903808,1020.649172390381,0.11296123486532796,0.887038765134672,4.0,4.0,4.0,16.0,8000.0,128000.0,343.11104509130735,2694.3118858846447,3037.422930975952
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2012,2013,30.253066,-108.731092,1602.0,1165.323683062103,6.438252392608304,1.8817952136161549,10.33865177490988,20.55455801104972,3.7449999999999997,28.58,28.712265193370165,8.72,38.41,12.396850828729281,-4.2,20.62,37.55309392265193,8.74,80.06,26.007127071823206,13.42,33.38,2.2382872928176796,0.66,6.55,207.86,1.1483977900552487,0.0,13.16,166.28800000000004,0.9187182320441991,0.0,10.528,15.62070339416006,8.950734563830155,19.166274465207653,0.17837104233032447,45,14,21,26,1157.8369624226268,6.396889295152635,1.129077128169693,10.855584363655375,148.42906751347778,0.8200500967595458,0.0,7.909901728962745,1009.407894909149,5.576839198393088,0.0,10.855584363655375,1484.2906751347778,10094.07894909149,11578.369624226269,991.5489624226268,0.12819513656128995,0.8718048634387101,4.1,3.0,3.0,12.3,6500.0,79950.0,362.0221158865312,2461.970475388169,2823.9925912747
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2013,2014,30.253066,-108.731092,1602.0,1162.8894700571773,6.424803701973355,2.8389838286255693,9.659706945690195,20.450524861878453,5.74,28.735,28.39182320441989,11.64,38.61,12.509226519337018,-2.63,20.67,38.30022099447515,9.25,81.39,26.016519337016568,10.74,32.9,2.2713259668508288,0.7,6.43,292.71000000000004,1.617182320441989,0.0,20.2,175.62600000000003,0.9703093922651935,0.0,12.12,15.613302536942157,8.01258624872264,19.269369139075167,0.25170921874940355,53,22,21,19,1150.8699078586117,6.358397280986805,1.7247648621034268,10.142692292974704,145.73875351201514,0.8051864834917963,0.0,6.4674658055589305,1005.1311543465968,5.55321079749501,0.0,10.142692292974704,1457.3875351201514,10051.311543465967,11508.699078586118,975.2439078586117,0.1266335599852348,0.8733664400147654,9.0,2.0,2.0,18.0,8000.0,144000.0,161.9319483466835,1116.8123937184407,1278.7443420651243
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2014,2015,30.253066,-108.731092,1602.0,1133.5005054678606,6.262433731866634,2.739759809670057,9.683301810762353,20.349944751381212,8.175,30.135,27.865524861878452,14.94,40.56,12.834364640883978,1.08,20.85,40.21403314917127,10.38,83.08,25.263204419889504,11.55,32.41,2.2591160220994473,0.69,6.31,236.65000000000003,1.3074585635359117,0.0,14.58,189.32,1.0459668508287292,0.0,11.664000000000001,15.300842430078507,7.7605550143742175,19.248179100177403,0.20877802776304985,51,18,19,23,1123.295228257959,6.206050984850602,1.6438558858020342,10.167466901300472,148.74380526619237,0.8217889793712285,0.0,5.575709187931547,974.5514229917667,5.384262005479374,0.0,10.167466901300472,1487.4380526619236,9745.514229917666,11232.95228257959,933.9752282579591,0.13241737481327048,0.8675826251867296,7.5,3.0,3.0,22.5,8500.0,191250.0,198.32507368825648,1299.4018973223554,1497.7269710106118
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2015,2016,30.253066,-108.731092,1602.0,1014.9409215160788,5.607408406166181,1.8035342464236184,9.057739610787849,19.713729281767957,6.055000000000001,28.765,26.82828729281768,10.46,37.73,12.59917127071823,-1.19,21.57,50.13226519337016,19.7,84.05,24.42325966850829,10.0,33.07,2.090662983425414,0.5,5.72,365.89,2.0214917127071823,0.0,20.03,219.534,1.2128950276243093,0.0,12.018,15.279430750933642,6.949309214534648,19.8559282343571,0.3605037418862252,63,25,9,20,1012.9323034835578,5.596311068969933,1.0821205478541709,9.510626591327242,170.34174055063673,0.9411145886775509,0.0,6.407430301328252,842.5905629329211,4.655196480292382,0.0,9.468626591327242,1703.4174055063672,8425.90562932921,10129.323034835577,793.3983034835578,0.1681669544596588,0.8318330455403412,7.44,2.0,2.0,14.88,8640.46,128570.04,228.95395235300634,1132.5141974904852,1361.4681498434916
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2016,2017,30.253066,-108.731092,1602.0,1113.229523841403,6.150439358239796,1.4494440156099853,9.322335202249004,20.25154696132597,3.235,28.41,27.90292817679558,6.77,38.94,12.600165745856355,-1.73,21.91,42.418232044198895,15.38,87.92,25.85093922651934,10.01,33.0,2.214198895027624,0.79,6.08,287.39000000000004,1.587790055248619,0.0,17.04,172.43399999999997,0.9526740331491711,0.0,10.223999999999998,15.768664448374034,7.198024056317743,19.602377321006436,0.25815880179705264,47,21,15,19,1101.119037961822,6.083530596474154,0.8696664093659912,9.788451962361455,135.72889234863965,0.7498833831416555,0.0,6.36225301326316,965.3901456131823,5.333647213332499,0.0,9.788451962361455,1357.2889234863965,9653.901456131824,11011.19037961822,928.685037961822,0.12326450426274951,0.8767354957372505,6.1,2.0,2.0,12.2,8520.0,103944.0,222.50638089940927,1582.6067960871842,1805.1131769865935
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2017,2018,30.253066,-108.731092,1602.0,1139.840486959854,6.297461253921845,3.1171167930919483,9.63214155934337,21.224530386740334,10.26,31.259999999999998,28.94850828729282,16.67,41.03,13.500552486187845,0.94,22.45,40.16767955801105,9.04,86.04,25.77182320441989,13.47,33.19,2.1392817679558007,0.58,6.5,237.46999999999997,1.311988950276243,0.0,17.26,189.97600000000003,1.0495911602209946,0.0,13.808000000000002,15.554052096524394,9.807795483416893,19.95513408502055,0.20833616871547733,51,17,18,11,1126.3429582133906,6.222889271897186,2.244597753059348,10.11374863731054,158.83494723335514,0.8775411449356637,0.0,5.876691633526245,967.5080109800354,5.345348126961521,0.0,10.11374863731054,1588.3494723335514,9675.080109800354,11263.429582133906,936.3669582133906,0.14101828051138146,0.8589817194886185,7.55,2.5,2.5,18.88,7500.0,141600.0,210.37741355411276,1281.4675642119676,1491.8449777660803
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2018,2019,30.253066,-108.731092,1602.0,1160.2869511682043,6.410425144575714,3.154728457597165,10.117170442181578,21.33196132596685,9.085,30.465,29.065911602209948,12.88,38.78,13.598011049723759,-2.76,22.44,38.95651933701657,10.49,81.29,25.41160220994475,9.63,33.3,2.1860220994475137,0.5,5.71,235.71999999999997,1.30232044198895,0.0,20.28,188.57600000000002,1.0418563535911602,0.0,16.224,15.360497205930606,7.139990557776815,20.12599761915522,0.20315664134865216,40,22,21,15,1152.1489078749087,6.365463579419385,1.892837074558299,10.623028964290658,142.22011499357595,0.7857464916772152,0.0,6.093113289327227,1009.9287928813326,5.579717087742169,0.0,10.623028964290658,1422.2011499357595,10099.287928813326,11521.489078749086,963.5729078749087,0.1234390051680864,0.8765609948319135,12.0,3.0,3.0,36.0,7800.0,280800.0,118.51676249464663,841.6073274011105,960.1240898957572
Sonora,Bacerac,10,Moctezuma,143,Chile verde,2019,2020,30.253066,-108.731092,1602.0,1087.2437795759033,6.0068717103641065,1.4727649665250757,9.881201127050685,19.831850828729284,6.705,29.085,27.351160220994473,11.12,37.66,12.312541436464087,-0.99,21.27,45.62546961325966,18.06,87.79,25.70171270718232,6.24,33.03,2.2159668508287296,0.62,5.97,291.33,1.6095580110497236,0.0,22.38,174.79799999999997,0.9657348066298341,0.0,13.427999999999999,15.82434949434891,5.2912695169719255,19.52801533134164,0.2679527861853005,45,23,12,24,1085.4768447999963,5.997109639778985,0.8836589799150454,10.37526118340322,130.90640259013807,0.72323979331568,0.0,5.450360625979492,954.5704422098584,5.273869846463306,0.0,10.37526118340322,1309.0640259013808,9545.704422098584,10854.768447999966,910.6788447999963,0.12059806085891968,0.8794019391410804,10.0,4.0,2.0,20.0,8000.0,160000.0,130.90640259013807,954.5704422098585,1085.4768447999966
