Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2011,2012,30.678498,-110.012426,1087.0,4,2.6,0.6,985.2338877320259,4.647329659113329,1.1560867114717321,10.212659005341441,14.642169811320752,-6.99,25.880000000000003,23.098396226415094,-3.05,34.24,6.185943396226414,-10.93,18.21,36.29301886792452,11.13,81.15,19.315283018867927,7.01,31.15,2.576981132075472,0.93,9.59,29.0,0.13679245283018868,0.0,6.76,23.200000000000003,0.10943396226415096,0.0,5.408,9.894260096987576,4.516522153458151,17.29588813496212,0.02943463512684992,8,1,0,84,854.5046512520753,4.03068231722677,1.1560867114717321,7.266851870644337,17.397388097412836,0.08206315140289074,0.0,2.7260301938115608,837.1072631546625,3.94861916582388,0.0,7.266851870644337,173.97388097412835,8371.072631546625,8545.046512520754,831.3046512520752,0.020359617787827206,0.9796403822121729,4.5,63.0,63.0,283.5,14000.0,3969000.0,38.66086243869519,1860.2383625659168,1898.899225004612
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2012,2013,30.678498,-110.012426,1087.0,4,2.5714285714285716,0.42857142857142855,929.0686909232041,4.361824840015043,0.9329427245393278,9.034894889769221,14.110821596244131,0.31499999999999995,25.729999999999997,22.319812206572774,5.27,36.49,5.901830985915492,-4.69,20.6,39.85535211267606,10.98,89.32,18.785446009389673,2.47,30.89,2.5004694835680747,0.78,6.6,116.71,0.5479342723004694,0.0,39.18,93.368,0.43834741784037556,0.0,31.344,9.780888816287176,3.031420797308353,17.640602597768087,0.12562042090130784,16,5,2,103,798.7813373263086,3.750147123597693,0.9329427245393278,6.588152993360094,25.065010188814323,0.11767610417283719,0.0,2.343283236732069,773.7163271374943,3.632471019424856,0.0,6.588152993360094,250.65010188814324,7737.163271374943,7987.813373263087,705.4133373263087,0.03137906335257187,0.9686209366474281,7.0,65.0,65.0,455.0,20000.0,9100000.0,35.80715741259189,1105.309038767849,1141.116196180441
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2013,2014,30.678498,-110.012426,1087.0,3,2.142857142857143,0.14285714285714285,940.5821373795911,4.436708195186751,1.2099971231140525,9.29470939776025,14.529103773584906,0.125,24.744999999999997,22.68287735849057,6.3,33.86,6.375330188679245,-6.05,16.89,37.19891509433962,6.79,86.65,18.6175,6.21,31.28,2.4583962264150943,0.89,6.47,66.68,0.3145283018867925,0.0,15.42,53.34400000000001,0.251622641509434,0.0,12.336,9.673033848786481,4.396532724771451,17.250931708549533,0.07089226698028386,11,3,0,83,810.9981459166627,3.8254629524370882,1.2099971231140525,6.506296578432175,22.147386863786025,0.10446880596125484,0.0,2.5822434657935225,788.8507590528767,3.7209941464758334,0.0,6.506296578432175,221.47386863786025,7888.507590528767,8109.981459166627,757.6541459166626,0.027308800858913268,0.9726911991410868,5.5,75.0,75.0,412.5,19252.44,7941631.5,40.26797611597459,1434.2741073688667,1474.5420834848412
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2014,2015,30.678498,-110.012426,1087.0,3,2.25,0.375,968.9350848418484,4.570448513404945,1.1144068281366013,9.49827009008024,15.41759433962264,3.9650000000000003,23.995,23.45731132075472,8.13,33.35,7.377877358490566,-2.49,16.3,37.46905660377358,7.62,88.25,18.593254716981136,5.74,31.49,2.5049056603773585,1.0,5.56,49.12,0.23169811320754716,0.0,6.98,39.296,0.18535849056603773,0.0,5.5840000000000005,9.646176498341436,4.083259567885282,17.467545188929176,0.050694830611916035,9,5,0,59,840.6775514113965,3.9654601481669647,1.1144068281366013,6.648789063056167,22.40130164803783,0.10566651720772562,0.0,3.717778823741579,818.2762497633586,3.8597936309592384,0.0,6.648789063056167,224.0130164803783,8182.762497633586,8406.775514113964,801.3815514113965,0.026646722765974587,0.9733532772340253,6.0,60.0,60.0,360.0,16875.0,6075000.0,37.335502746729716,1363.7937496055977,1401.1292523523273
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2015,2016,30.678498,-110.012426,1087.0,1,1.0,0.0,825.1104372717352,3.892030364489317,0.9709376567310563,7.854853743836175,14.882759433962264,2.9149999999999996,23.11,22.457924528301888,8.7,31.85,7.307594339622642,-4.41,17.24,51.630518867924536,23.06,89.64,17.955707547169812,2.62,30.77,2.3749056603773586,1.1,6.45,173.40000000000003,0.817924528301887,0.0,35.13,138.71999999999997,0.6543396226415092,0.0,28.104000000000003,9.847291734938393,3.160418216678974,17.75664144069939,0.2101536863033207,19,10,0,57,715.987703210578,3.377300486842349,0.9709376567310563,6.097817185011117,42.92297623015352,0.20246686901015812,0.0,3.2848701928491106,673.0647269804244,3.1748336178321908,0.0,6.097817185011117,429.22976230153523,6730.647269804244,7159.87703210578,577.267703210578,0.05994932041106509,0.9400506795889347,7.0,20.0,20.0,140.0,17500.0,2450000.0,61.31853747164789,961.5210385434635,1022.8395760151114
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2016,2017,30.678498,-110.012426,1087.0,2,1.6,0.0,900.8161324306599,4.229183720331736,0.9271905726026373,8.666480100839806,14.502723004694836,1.435,26.385,22.581220657277,6.52,34.35,6.424225352112677,-5.14,18.64,44.02455399061033,13.65,88.04,18.526103286384977,5.57,30.93,2.489671361502347,1.06,5.72,121.92999999999999,0.5724413145539906,0.0,14.11,97.54400000000001,0.45795305164319255,0.0,11.288,9.840705376251208,4.119674412269147,17.816779393748984,0.13535503596166504,22,8,0,80,782.8569906655766,3.675384932702238,0.9271905726026373,6.066536070587864,45.22017281996408,0.21230128084490177,0.0,2.9705928121863217,737.6368178456125,3.463083651857336,0.0,6.066536070587864,452.2017281996408,7376.368178456125,7828.569906655765,685.3129906655766,0.057763005707489906,0.9422369942925101,7.5,30.0,30.0,225.0,20000.0,4500000.0,60.29356375995211,983.5157571274833,1043.8093208874354
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2017,2018,30.678498,-110.012426,1087.0,1,1.0,0.0,958.6897372911887,4.5221214023169285,0.9241533392291044,10.009930856589246,16.324622641509436,4.79,25.27,24.268301886792457,9.2,34.94,8.380943396226415,-3.32,17.92,41.6002358490566,10.89,89.39,18.47518867924528,3.82,31.48,2.4836320754716987,1.14,6.47,111.81,0.5274056603773585,0.0,18.44,89.44800000000001,0.4219245283018868,0.0,14.752000000000002,9.784221566373558,3.5414869736888672,17.81282324728413,0.11662793044590532,13,8,0,55,826.1420789918095,3.8968965990179694,0.9241533392291044,7.006951599612472,23.278645722025935,0.10980493265106574,0.0,2.4615826251937514,802.8634332697836,3.787091666366904,0.0,7.006951599612472,232.78645722025936,8028.634332697837,8261.420789918096,736.6940789918095,0.028177533034552914,0.9718224669654472,7.8,55.0,55.0,429.0,10932.28,4689948.12,29.844417592340946,1029.3120939356202,1059.1565115279611
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2018,2019,30.678498,-110.012426,1087.0,4,2.857142857142857,0.7857142857142857,1011.5743892695596,4.771577307875281,0.8573920533884956,9.439057080126807,17.049693396226417,4.505000000000001,27.045,25.081226415094335,9.27,35.16,9.018160377358491,-4.29,19.92,35.492641509433966,9.4,93.09,18.278160377358493,3.84,30.26,2.4632075471698114,1.07,5.65,95.47,0.4503301886792453,0.0,31.05,76.376,0.36026415094339626,0.0,24.840000000000003,9.500241107302157,3.8021585010592847,17.32295941495338,0.09437763649684452,12,4,2,50,878.4296721349939,4.143536189316009,0.8573920533884956,7.955462910810013,22.02540390693005,0.10389341465533042,0.0,2.5247983180997284,856.4042682280639,4.0396427746606784,0.0,7.955462910810013,220.2540390693005,8564.042682280638,8784.29672134994,802.0536721349939,0.025073611019306805,0.9749263889806932,7.67,45.0,45.0,345.0,10404.59,3589583.55,28.716302355841,1116.5635830874367,1145.2798854432776
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2019,2020,30.678498,-110.012426,1087.0,1,1.0,0.0,791.0468298122572,3.731352970812534,0.8400698246407337,8.69649916115486,13.787264150943399,1.5199999999999998,24.22,21.149481132075476,5.63,32.92,6.425047169811322,-4.06,18.44,51.3763679245283,25.23,90.6,17.35872641509434,2.64,30.56,2.3784905660377356,0.96,6.99,216.64000000000001,1.0218867924528303,0.0,35.65,173.312,0.8175094339622642,0.0,28.52,9.560761080423571,3.1326195284372016,18.400845086614314,0.27386494937526795,30,10,0,74,682.8435675849742,3.2209602244574254,0.8400698246407337,6.087549412808401,49.89343457334276,0.23534638949689982,0.0,4.009210160442503,632.9501330116315,2.985613834960526,0.0,6.087549412808401,498.93434573342756,6329.501330116314,6828.4356758497415,509.53156758497414,0.07306715174868209,0.926932848251318,7.3,50.0,50.0,365.0,11376.71,4152499.15,68.34717064841473,867.0549767282623,935.402147376677
Sonora,Bacoachi,11,Agua Prieta,141,Ajo,2020,2021,30.678498,-110.012426,1087.0,1,1.0,0.0,766.3396457948659,3.5978387126519524,0.7277202097686215,8.476603353577108,13.956220657276994,1.7299999999999995,25.689999999999998,21.267981220657273,7.84,35.43,6.644460093896713,-5.41,17.94,55.875586854460096,27.53,94.26,17.492159624413148,2.38,30.17,2.384788732394366,0.9,6.58,347.35,1.6307511737089202,0.0,81.96,208.41,0.9784507042253521,0.0,49.175999999999995,9.741228718485546,2.933849234002496,17.74432917150459,0.45325855435773554,30,16,1,82,659.400559764472,3.0957772758895397,0.7277202097686215,5.974053293855144,41.85494257558122,0.19650207781963014,0.0,2.325834251601986,617.5456171888908,2.8992751980699096,0.0,5.974053293855144,418.5494257558122,6175.456171888908,6594.00559764472,450.990559764472,0.06347422967085618,0.9365257703291439,7.29,48.0,48.0,350.0,12677.26,4437041.0,57.4141873464763,847.1133294772164,904.5275168236927
