Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Bavispe,15,Moctezuma,143,Ajo,2010,2011,30.649586,-109.070035,1288.0,1,1.0,0.0,458.7796048450714,3.8231633737089283,0.8911626533626691,8.017039509452605,11.375,3.07,21.1,19.134416666666667,8.73,29.76,3.6155833333333334,-4.46,12.71,50.88008333333334,27.28,90.95,19.61991666666667,3.57,29.78,2.4945833333333334,0.95,7.8,154.18,1.2848333333333335,0.0,36.48,123.344,1.0278666666666667,0.0,29.183999999999997,11.045040756502003,3.537620143002873,17.789411256818404,0.3360655059024827,22,7,0,79,442.77625206642443,3.689802100553537,0.8398080630427435,8.017039509452605,34.42927493314512,0.286910624442876,0.0,2.4583647902816943,408.34697713327927,3.4028914761106606,0.0,8.017039509452605,344.2927493314512,4083.469771332793,4427.762520664244,319.43225206642444,0.07775772700650646,0.9222422729934935,5.98,2.0,2.0,11.95,10001.67,119520.0,57.574038349741,682.8544768115038,740.4285151612448
Sonora,Bavispe,15,Moctezuma,143,Ajo,2013,2014,30.649586,-109.070035,1288.0,3,2.2857142857142856,0.2857142857142857,906.4755139642787,4.275827896057918,1.1409838526933904,8.952980983788605,14.41882075471698,-0.38500000000000023,24.509999999999998,22.502735849056602,5.63,33.05,6.334905660377358,-6.4,16.9,36.69419811320754,7.06,85.08,18.556462264150944,3.81,30.95,2.2417924528301887,0.72,6.59,55.199999999999996,0.26037735849056604,0.0,14.64,44.16,0.20830188679245282,0.0,11.712000000000002,9.632964571682612,3.5450944427910582,17.12048064672271,0.060895191485751766,12,3,0,82,780.0946542714804,3.6796917654315116,1.1409838526933904,6.2670866886520225,22.146532679217906,0.1044647767887637,0.0,2.863672914417142,757.9481215922625,3.575226988642748,0.0,6.2670866886520225,221.46532679217904,7579.481215922625,7800.946542714804,735.9346542714804,0.028389545496758012,0.971610454503242,4.5,1.0,1.0,4.5,10000.0,45000.0,49.21451706492868,1684.3291590939166,1733.5436761588453
Sonora,Bavispe,15,Moctezuma,143,Ajo,2014,2015,30.649586,-109.070035,1288.0,3,2.142857142857143,0.42857142857142855,908.8353376764516,4.286959139983262,1.1231706377098465,9.063634272964714,15.060353773584906,4.7299999999999995,22.89,22.927358490566036,9.26,32.71,7.193349056603774,-1.86,15.89,39.54740566037736,8.48,86.03,18.33603773584906,4.78,31.15,2.2810849056603777,0.78,5.94,66.19,0.31221698113207547,0.0,12.06,52.95200000000001,0.24977358490566043,0.0,9.648000000000001,9.615574884244026,3.7808544278782334,17.498453125478907,0.0728294744449779,16,4,0,62,785.3456651894716,3.7044606848559978,1.1231706377098465,6.3445439910753,29.204686734639,0.137757956295467,0.0,3.773192866351457,756.1409784548325,3.566702728560531,0.0,6.3445439910753,292.04686734639,7561.409784548325,7853.456651894715,732.3936651894716,0.037187047728331334,0.9628129522716686,5.3,2.0,2.0,10.6,10500.0,111300.0,55.10318251818679,1426.6810914242124,1481.784273942399
Sonora,Bavispe,15,Moctezuma,143,Ajo,2015,2016,30.649586,-109.070035,1288.0,1,1.0,0.0,803.6243009734364,3.79068066496904,1.043751616578951,7.282565758065845,14.878891509433961,3.5149999999999997,23.775,22.384716981132073,8.43,32.5,7.373066037735849,-3.74,16.38,50.14759433962264,22.74,87.44,17.700943396226414,2.65,30.95,2.1613207547169813,0.84,5.86,169.71999999999997,0.8005660377358489,0.0,27.47,135.776,0.6404528301886793,0.0,21.976,9.699336868329212,3.1860014288224434,17.736809210971476,0.2111932152803453,22,10,0,54,697.9781616879837,3.292349819282942,1.043751616578951,5.476984465016045,46.28097479298923,0.2183064848725907,0.0,2.712,651.6971868949945,3.0740433344103515,0.0,5.476984465016045,462.8097479298923,6516.971868949945,6979.781616879837,562.2021616879838,0.06630719603184111,0.9336928039681589,5.0,2.5,2.5,12.5,9500.0,118750.0,92.56194958597845,1303.394373789989,1395.9563233759675
Sonora,Bavispe,15,Moctezuma,143,Ajo,2016,2017,30.649586,-109.070035,1288.0,2,1.6666666666666667,0.0,844.1196457036368,3.963003031472473,1.1103504010891274,8.133850735177031,14.197276995305161,0.5800000000000001,26.675,22.084647887323946,6.32,34.38,6.309906103286386,-5.16,18.97,46.03361502347418,16.22,87.15,18.4062441314554,3.73,31.01,2.23,0.91,5.6,158.17,0.7425821596244131,0.0,16.92,126.536,0.5940657276995305,0.0,13.536000000000001,9.84752405607172,3.5636008142668327,17.879213369839476,0.18737865041412877,24,13,0,81,730.671237341407,3.430381395969047,1.1103504010891274,5.693695514623921,50.083553781534306,0.23513405531236764,0.0,3.3040000000000003,680.5876835598729,3.19524734065668,0.0,5.693695514623921,500.83553781534306,6805.876835598729,7306.712373414071,604.135237341407,0.06854458095786889,0.9314554190421312,5.9,3.0,3.0,17.7,9030.51,159840.03,84.8873792907361,1153.538446711649,1238.425826002385
Sonora,Bavispe,15,Moctezuma,143,Ajo,2018,2019,30.649586,-109.070035,1288.0,2,1.8461538461538463,0.0,952.7533337602869,4.494119498869278,0.8108513703624262,9.245373394784371,16.663372641509437,3.86,26.759999999999998,24.564339622641505,8.73,34.94,8.76240566037736,-4.12,19.85,36.95938679245283,8.96,91.54,18.13910377358491,3.39,30.45,2.2520283018867926,0.88,5.87,100.6,0.4745283018867924,0.0,35.37,80.47999999999999,0.3796226415094339,0.0,28.296,9.487574652481609,3.3709241805235552,17.438372020780413,0.10558871476519126,13,6,0,54,823.8739348487129,3.886197805890155,0.8108513703624262,7.1044405801351385,29.78096547746263,0.14047625225218222,0.0,3.44,794.0929693712503,3.7457215536379733,0.0,7.1044405801351385,297.8096547746263,7940.929693712504,8238.73934848713,743.3939348487129,0.036147478658772325,0.9638525213412277,6.1,5.0,5.0,30.5,12880.33,392850.07,48.82125488108628,1301.7917530676236,1350.61300794871
Sonora,Bavispe,15,Moctezuma,143,Ajo,2019,2020,30.649586,-109.070035,1288.0,1,1.0,0.0,753.9234254392738,3.5562425728267635,0.8402788868322935,8.294712763045979,13.550849056603772,0.895,24.03,20.769622641509432,5.39,32.61,6.332075471698114,-4.44,18.98,52.45943396226416,26.21,90.49,17.105141509433963,3.15,30.5,2.187688679245283,0.78,6.18,239.52999999999997,1.1298584905660376,0.0,33.19,191.62400000000002,0.9038867924528303,0.0,26.552,9.479461336177568,3.294393763672308,18.19966454976479,0.31771131114600626,31,13,0,73,649.9837346253152,3.065961012383562,0.8402788868322935,5.806298934132185,54.1403372556495,0.25537894931910143,0.0,3.5212244565585245,595.8433973696656,2.8105820630644605,0.0,5.806298934132185,541.403372556495,5958.433973696656,6499.837346253151,458.3597346253151,0.08329491089012996,0.9167050891098699,7.0,3.5,3.5,24.5,12700.0,311150.0,77.34333893664214,851.2048533852366,928.5481923218787
Sonora,Bavispe,15,Moctezuma,143,Ajo,2020,2021,30.649586,-109.070035,1288.0,0,0.0,0.0,722.3939717097358,3.3915209939424216,0.7416819934591063,7.765119491514214,13.720258215962442,1.5250000000000004,25.009999999999998,20.74347417840376,7.13,34.59,6.6970422535211265,-5.09,18.09,57.54375586854461,30.81,94.42,17.11422535211268,2.6,30.1,2.1847417840375587,0.78,6.54,400.58000000000004,1.8806572769953054,0.0,82.06,240.34799999999998,1.128394366197183,0.0,49.236,9.614684275034657,3.040598245981309,17.829076365296945,0.5545173626683538,34,18,0,73,621.3566758250809,2.91716749213653,0.7416819934591063,5.43558364405995,51.32972549841511,0.24098462675312257,0.0,2.6279999999999997,570.0269503266658,2.6761828653834074,0.0,5.43558364405995,513.2972549841511,5700.269503266658,6213.566758250809,381.0086758250809,0.08260911565849986,0.9173908843415002,0.0,1.7,0.0,0.0,0.0,0.0,,,
Sonora,Bavispe,15,Moctezuma,143,Ajo,2021,2022,30.649586,-109.070035,1288.0,4,3.9285714285714284,1.0,956.5837970217633,4.51218772180077,1.217737894351304,9.3547795872289,14.96936320754717,1.6300000000000001,26.009999999999998,23.2927358490566,4.99,35.57,6.645990566037737,-4.58,17.41,33.06146226415094,11.23,88.02,18.728584905660377,7.39,30.11,2.3934433962264148,0.89,5.94,75.77999999999999,0.3574528301886792,0.0,20.71,60.623999999999995,0.2859622641509434,0.0,16.568,9.521917623095364,4.684954990479376,17.70819269491661,0.07921940580212014,9,4,6,91,830.1605962913544,3.9158518692988418,1.217737894351304,6.548345711060231,18.71918405906235,0.08829803801444505,0.0,2.6891765886506676,811.4414122322919,3.8275538312843955,0.0,6.548345711060231,187.19184059062349,8114.414122322919,8301.605962913542,769.5365962913544,0.022548870836182927,0.9774511291638168,6.1,2.0,2.0,12.2,19000.0,231800.0,30.687186982069427,1330.2318233316262,1360.9190103136957
Sonora,Bavispe,15,Moctezuma,143,Ajo,2022,2023,30.649586,-109.070035,1288.0,3,3.0,1.0,926.9526453368612,4.372418138381421,1.0412869043536461,9.628631783021735,15.133349056603771,3.1950000000000003,25.345,23.2652358490566,10.24,36.14,7.001462264150943,-4.17,17.86,38.70844339622641,7.31,88.95,18.75391509433962,2.88,31.48,2.340990566037736,0.74,5.54,73.2,0.34528301886792456,0.0,30.28,58.56,0.27622641509433965,0.0,24.224000000000004,9.798818395106261,3.1779617436535172,17.273564745571775,0.07896843530059575,11,2,1,78,798.6254791714689,3.7671013168465515,1.0412869043536461,6.7400422481152145,21.42579356079521,0.10106506396601514,0.0,2.9933342844031188,777.1996856106738,3.6660362528805366,0.0,6.7400422481152145,214.2579356079521,7771.996856106738,7986.25479171469,740.065479171469,0.02682833708614371,0.9731716629138564,6.0,3.0,3.0,18.0,27000.0,486000.0,35.709655934658684,1295.332809351123,1331.0424652857816
