Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Benjamín Hill,16,Magdalena,140,Chile verde,2012,2013,30.152304,-111.191668,684.0,1409.3162654519156,7.786277709679092,2.693602196282048,13.775811162280561,24.68345303867403,9.979999999999999,33.82,32.69558011049723,12.92,42.87,16.67132596685083,2.97,26.05,35.29839779005525,8.2,85.49,26.618950276243098,10.08,33.04,2.7237569060773485,0.8,5.49,263.62,1.4564640883977902,0.0,14.98,158.17200000000003,0.8738784530386742,0.0,8.988,15.9204359906606,7.267770934887929,19.525965638607364,0.1870552454849209,45,25,69,5,1392.752711685548,7.6947663629035805,1.6161613177692287,14.46460172039459,149.17269540688358,0.8241585381595777,0.0,6.371999999999999,1243.5800162786645,6.870607824744003,0.0,14.46460172039459,1491.7269540688358,12435.800162786645,13927.527116855481,1234.580711685548,0.10710637585214293,0.8928936241478571,8.85,5.0,5.0,44.25,5525.0,244481.25,168.55671797387976,1405.175159636909,1573.7318776107888
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2011,2012,30.152304,-111.191668,684.0,938.4022826930369,8.530929842663971,3.2645153110107774,11.886744719605973,22.51731818181818,12.145,31.595,31.921090909090907,18.88,42.13,13.113545454545454,4.04,21.48,21.952545454545458,6.42,62.55,27.944272727272725,12.04,33.0,3.1202727272727278,1.84,6.28,4.789999999999999,0.04354545454545454,0.0,4.77,3.832,0.03483636363636364,0.0,3.816,15.710522931875174,8.491514962564803,19.46618160217969,0.005104420660885016,1,0,28,1,935.7023867744455,8.50638533431314,1.9945171329613638,13.669756427546869,3.770192607662394,0.03427447825147631,0.0,3.754192607662394,931.9321941667831,8.472110856061665,0.0,13.669756427546869,37.70192607662394,9319.321941667831,9357.023867744456,931.8703867744455,0.00402926471167719,0.9959707352883228,9.8,8.0,8.0,78.4,5450.0,427280.0,3.847135313941218,950.9512185375337,954.7983538514749
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2012,2013,30.152304,-111.191668,684.0,933.0335601240104,8.48212327385464,2.693602196282048,13.775811162280561,22.346136363636365,9.979999999999999,33.82,31.649818181818183,12.92,42.87,13.042454545454545,2.97,24.77,21.65827272727273,8.2,64.63,27.891000000000002,10.08,33.04,3.135181818181818,1.75,5.49,8.21,0.07463636363636364,0.0,6.14,6.5680000000000005,0.05970909090909091,0.0,4.912,15.69218531996238,7.267770934887929,19.525965638607364,0.008799254765186369,1,1,35,5,940.2163654390712,8.547421503991556,1.0774408785128191,14.46460172039459,6.5680000000000005,0.05970909090909091,0.0,4.912,933.6483654390711,8.487712413082464,0.34187220967633725,14.46460172039459,65.68,9336.483654390711,9402.163654390712,933.6483654390712,0.006985626119082509,0.9930143738809174,9.86,16.0,16.0,157.76,5200.0,820352.0,6.6612576064908735,946.9050359422629,953.5662935487537
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2013,2014,30.152304,-111.191668,684.0,927.5594406278493,8.432358551162267,3.6767010374523905,11.793806056965133,22.973318181818186,11.015,32.36,32.02172727272727,17.36,42.31,13.92490909090909,4.67,24.0,23.826181818181816,5.96,57.54,27.891909090909092,16.7,32.5,3.0912727272727274,1.81,5.8,2.2299999999999995,0.02027272727272727,0.0,1.16,1.7839999999999998,0.016218181818181816,0.0,0.9279999999999999,15.836474311034243,10.123609029972636,19.316025813490988,0.0024041585933194214,1,0,25,2,930.4208037361748,8.458370943056135,1.4706804149809563,13.562876965509902,1.7839999999999998,0.016218181818181816,0.0,0.9279999999999999,928.6368037361749,8.442152761237953,0.606659258382128,13.562876965509902,17.839999999999996,9286.36803736175,9304.20803736175,928.6368037361748,0.0019174119848096834,0.9980825880151905,9.56,20.0,20.0,191.2,4125.0,788700.0,1.866108786610878,971.3774097658734,973.2435185524843
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2017,2018,30.152304,-111.191668,684.0,910.3249427406221,8.275681297642018,4.174204141287295,11.510759658290802,23.65145454545455,14.36,32.345,32.6439090909091,19.46,42.51,14.659,6.75,23.23,24.856727272727277,6.57,58.95,27.771818181818173,14.09,33.35,2.899272727272727,1.86,5.32,3.7,0.03363636363636364,0.0,2.11,2.96,0.02690909090909091,0.0,1.688,15.749193204968215,8.63594702134731,19.125380997766285,0.004064482720709365,2,0,37,0,916.5568363289912,8.332334875718102,1.86142359238,12.210298863213067,2.96,0.02690909090909091,0.0,1.688,913.5968363289911,8.30542578480901,1.86142359238,12.210298863213067,29.6,9135.96836328991,9165.56836328991,913.5968363289911,0.00322947784870106,0.9967705221512989,9.41,6.0,6.0,56.46,3527.47,199160.96,3.1455897980871415,970.8786783517439,974.0242681498311
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2018,2019,30.152304,-111.191668,684.0,908.0918703482087,8.25538063952917,3.5255100873899234,11.555256256497035,23.470999999999997,12.52,32.43,32.29054545454545,21.35,41.59,14.651454545454545,1.8,24.46,24.959,7.34,64.88,26.95554545454545,7.26,32.84,2.934272727272727,1.76,5.5,8.84,0.08036363636363636,0.0,4.24,7.072,0.06429090909090909,0.0,3.3920000000000003,15.39356736321654,6.2150641629115295,19.61152126728725,0.009734697874357464,2,0,36,2,927.789651938151,8.434451381255919,1.756894855395175,12.60242062269529,7.072,0.06429090909090909,0.0,3.3920000000000003,920.7176519381511,8.37016047216501,0.7017855917594198,12.60242062269529,70.72,9207.176519381512,9277.896519381511,920.717651938151,0.007622417414579484,0.9923775825854206,9.5,7.0,7.0,66.5,3206.68,213244.22,7.444210526315789,969.1764757243697,976.6206862506855
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2019,2020,30.152304,-111.191668,684.0,818.075146340784,7.437046784916219,2.4210175348473832,12.171604039390052,21.406590909090916,11.365,34.260000000000005,29.882999999999996,14.59,42.52,12.930181818181818,4.27,27.97,33.24672727272727,14.76,77.63,26.619,7.47,32.45,2.919181818181818,1.37,4.97,32.2,0.2927272727272728,0.0,23.5,25.76,0.23418181818181819,0.0,18.8,15.689808587964677,5.841028324887718,19.444447595301778,0.03936068727185914,3,1,18,3,836.9832399550897,7.6089385450462705,0.9684070139389533,12.780184241359555,7.814591933346009,0.07104174484860008,0.0,3.192,829.1686480217438,7.537896800197671,0.0,12.780184241359555,78.1459193334601,8291.686480217439,8369.832399550898,811.2232399550898,0.009336616983830308,0.9906633830161697,9.7,8.0,8.0,77.6,3146.91,244200.22,8.056280343655681,854.8130391976741,862.8693195413298
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2020,2021,30.152304,-111.191668,684.0,802.1351616783832,7.292137833439847,1.683945397819087,12.254535969688227,21.74681818181819,10.245,31.915,30.127363636363643,15.29,41.94,13.366272727272728,3.01,23.46,38.361363636363635,10.94,82.84,26.564636363636364,6.62,33.75,2.777999999999999,0.92,4.62,89.07000000000001,0.8097272727272727,0.0,28.06,71.256,0.6477818181818182,0.0,22.448,15.828104537628093,5.537870975254425,19.945380339985835,0.11104113652570775,9,5,30,2,828.4743743218207,7.531585221107461,0.6735781591276349,12.867262768172639,14.63847541498797,0.13307704922716337,0.0,5.136,813.8358989068327,7.398508171880297,0.0,12.867262768172639,146.3847541498797,8138.358989068327,8284.743743218207,757.2183743218208,0.01766919517211483,0.982330804827885,7.88,8.0,8.0,63.0,3987.62,251220.06,18.57674545049235,1032.7866737396355,1051.3634191901278
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2022,2023,30.152304,-111.191668,684.0,935.1566243070206,8.501423857336551,4.598839838349318,11.635056661794739,23.177363636363634,12.34,32.995000000000005,32.518454545454546,20.48,42.6,13.836272727272725,3.5,24.39,21.752909090909093,4.75,52.68,27.975181818181824,10.55,32.61,3.006272727272728,1.64,4.73,3.77,0.034272727272727274,0.0,1.47,3.016,0.027418181818181817,0.0,1.176,15.713035718270568,7.53479812380438,19.345267180222557,0.004031410249372595,1,0,40,6,942.0102929446874,8.563729935860795,1.8395359353397271,13.282117437259567,3.016,0.027418181818181817,0.0,1.176,938.9942929446875,8.536311754042613,1.8395359353397271,13.282117437259567,30.16,9389.942929446875,9420.102929446875,938.9942929446875,0.0032016635302063437,0.9967983364697937,10.0,5.0,5.0,50.0,4350.0,217500.0,3.016,938.9942929446876,942.0102929446875
Sonora,Benjamín Hill,16,Magdalena,140,Elote,2023,2024,30.152304,-111.191668,684.0,858.8943934555055,7.808130849595504,3.1123956425182286,10.7870529033588,21.700954545454543,7.575,32.855000000000004,30.543636363636367,14.35,39.85,12.858272727272725,0.8,25.86,27.344,10.69,67.18,27.08418181818181,12.57,32.09,2.9451818181818186,1.37,4.96,9.41,0.08554545454545455,0.0,3.73,7.5280000000000005,0.06843636363636364,0.0,2.984,15.591217665062574,8.44004641646026,19.42694919924734,0.010955945307946035,2,0,19,6,873.6656969177816,7.9424154265252875,1.2449582570072915,11.741055186987953,6.439482596925199,0.05854075088113817,0.0,2.984,867.2262143208563,7.883874675644148,0.0,11.741055186987953,64.394825969252,8672.262143208563,8736.656969177815,866.1376969177816,0.007370648315074229,0.9926293516849257,9.5,5.0,5.0,47.5,4785.0,227287.5,6.778402733605473,912.8696992851119,919.6481020187174
Sonora,Benjamín Hill,16,Magdalena,140,Hortalizas,2014,2015,30.152304,-111.191668,684.0,722.125590570467,4.629010195964532,1.4152077393645806,7.748421369608872,19.367211538461536,7.9399999999999995,30.9,26.78846153846154,11.28,38.46,11.945961538461539,1.27,23.74,43.14878205128205,16.34,87.36,16.974743589743593,6.45,24.71,2.419102564102564,1.01,5.44,102.51,0.6571153846153847,0.0,27.53,82.008,0.5256923076923077,0.0,22.024,8.958270107644072,4.441454540449199,16.21120093495726,0.14195591644802233,12,7,10,14,669.4478200057824,4.291332179524247,1.2736869654281224,8.135842438089316,33.70244216972508,0.21604129595977617,0.0,3.9271032468334046,635.7453778360573,4.0752908835644694,0.0,8.135842438089316,0.0,0.0,0.0,587.4398200057824,0.05034364316763922,0.9496563568323607,9.75,1.0,1.0,9.75,14000.0,136500.0,0.0,0.0,0.0
Sonora,Benjamín Hill,16,Magdalena,140,Sandía,2013,2014,30.152304,-111.191668,684.0,982.7848299558638,8.934407545053308,3.468997532618627,13.031200543715846,25.828227272727272,15.010000000000002,34.045,34.31890909090909,21.2,45.33,17.337545454545456,6.85,26.46,28.980636363636368,5.96,82.71,28.777909090909098,13.21,32.5,3.0513636363636363,0.93,5.8,112.11,1.0191818181818182,0.0,25.39,89.68799999999999,0.8153454545454545,0.0,20.312,17.03882868433198,9.712950456033202,19.316025813490988,0.11407379986220868,12,8,44,0,829.9433775240644,7.544939795673313,2.043218353717376,11.793806056965133,50.64018418731902,0.46036531079380927,0.0,6.164002745241538,779.3031933367453,7.084574484879503,0.0,11.793806056965133,506.4018418731902,7793.031933367452,8299.433775240643,740.2553775240644,0.0610164326371177,0.9389835673628821,22.22,13.0,13.0,288.88,1845.0,532983.6,22.79036192048561,350.7215091524506,373.51187107293623
Sonora,Benjamín Hill,16,Magdalena,140,Avena forrajera en verde,2010,2011,30.152304,-111.191668,684.0,391.15562596532476,4.161230063460902,1.1201317411272913,8.614302131508726,13.984840425531916,8.135,20.25,21.598936170212763,13.62,31.11,6.3707446808510655,1.08,11.3,47.58787234042553,18.79,84.33,18.11021276595745,4.48,27.62,2.8139361702127665,1.2,8.72,101.04999999999998,1.0749999999999997,0.0,22.97,80.84,0.86,0.0,18.376,9.841675927617976,3.97058074189495,16.13874766531069,0.25833707427988745,13,7,0,20,381.35045523605106,4.056919736553735,0.6360858009570525,9.906447451235033,26.6278840951536,0.2832753627144,0.0,3.1637328447453723,354.72257114089746,3.7736443738393346,0.0,9.906447451235033,266.278840951536,3547.2257114089743,3813.5045523605104,300.51045523605103,0.06982523222286775,0.9301747677771323,27.0,25.0,25.0,675.0,600.0,405000.0,9.862179294501333,131.37873005218424,141.24090934668558
Sonora,Benjamín Hill,16,Magdalena,140,Avena forrajera en verde,2011,2012,30.152304,-111.191668,684.0,757.112363065697,4.822371739271955,1.84842589545217,9.07676691784675,16.107738853503186,-1.3299999999999998,25.11,24.373248407643313,3.64,34.56,7.842229299363058,-6.3,15.89,31.959235668789812,9.0,76.27,17.643184713375796,7.15,27.11,2.6455414012738854,1.18,8.43,8.469999999999999,0.05394904458598725,0.0,4.05,6.776,0.043159235668789805,0.0,3.24,8.610421254146175,4.508335782402205,15.208417298817032,0.011187243021238356,2,0,0,34,692.6222211178822,4.411606503935555,1.0686966032131804,8.10280005145928,5.520934751371319,0.03516518949918038,0.0,2.683244971601324,687.1012863665109,4.3764413144363745,0.0,8.10280005145928,0.0,0.0,0.0,685.8462211178822,0.007971062121657909,0.9920289378783421,19.0,30.0,30.0,570.0,750.0,427500.0,0.0,0.0,0.0
Sonora,Benjamín Hill,16,Magdalena,140,Avena forrajera en verde,2012,2013,30.152304,-111.191668,684.0,690.7992683169402,4.372147267828736,1.2011625214331538,8.199896984560704,14.97737341772152,4.680000000000001,24.685000000000002,22.88050632911392,10.63,33.74,7.074240506329114,-1.27,16.53,40.00462025316455,11.92,85.69,17.079177215189873,3.16,28.44,2.7071518987341774,1.15,6.62,77.09,0.4879113924050633,0.0,36.07,61.672,0.3903291139240506,0.0,28.856,8.634734808781285,3.271238808462839,15.607714066176335,0.11159537008170503,9,4,0,40,634.3008210623863,4.014562158622698,0.6101338501432004,7.3799072861046335,20.290400170398897,0.128420254243031,0.0,3.536,614.0104208919875,3.8861419043796674,0.0,7.3799072861046335,0.0,0.0,0.0,572.6288210623862,0.03198860776565706,0.9680113922343431,19.15,17.0,17.0,325.55,900.0,292995.0,0.0,0.0,0.0
