Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Caborca,17,Caborca,139,Ajo,2010,2011,30.897488,-112.608001,169.0,565.6865810419908,4.714054842016591,1.4768746852798176,8.183863824797971,16.357625,9.745000000000001,23.835,23.46033333333333,12.56,33.01,9.254916666666668,3.12,15.82,47.005166666666675,19.41,83.88,20.0515,6.65,29.52,2.734166666666667,1.29,8.77,128.6,1.0716666666666665,0.0,34.74,102.88,0.8573333333333333,0.0,27.792,11.179259835571374,4.706248009081451,18.041196837655093,0.2273343655476495,16,8,0,7,541.150789050596,4.5095899087549665,1.4768746852798176,8.183863824797971,39.68150381177465,0.3306791984314554,0.0,4.64348429150193,501.4692852388214,4.178910710323511,0.0,8.183863824797971,396.81503811774644,5014.692852388214,5411.507890505961,438.270789050596,0.07332799769430724,0.9266720023056928,3.0,6.0,6.0,18.0,10000.0,180000.0,132.27167937258216,1671.5642841294048,1803.835963501987
Sonora,Caborca,17,Caborca,139,Calabacita,2010,2011,30.897488,-112.608001,169.0,809.4375253615067,8.431640889182361,3.7333996716828355,12.416754783776428,24.025729166666668,13.325000000000001,36.085,32.3409375,18.17,43.8,15.710520833333332,7.36,28.38,32.72645833333333,12.53,62.04,29.460729166666663,18.6,32.31,2.994479166666667,1.63,6.16,26.29,0.2738541666666667,0.0,16.36,21.032000000000004,0.21908333333333338,0.0,13.088000000000001,17.6773638410941,11.800436245344628,19.731389728715108,0.03247934420665573,2,2,32,0,675.4710295139489,7.036156557436968,1.8666998358414177,10.846260213469655,5.105203582579197,0.053179203985199965,0.0,2.321742145750965,670.3658259313696,6.9829773534517665,0.0,10.846260213469655,51.05203582579197,6703.658259313696,6754.710295139488,654.4390295139489,0.007557990438542962,0.9924420095614569,21.5,64.0,64.0,1376.0,3500.0,4816000.0,2.3745132942228824,311.79805857273004,314.1725718669529
Sonora,Caborca,17,Caborca,139,Calabacita,2012,2013,30.897488,-112.608001,169.0,869.8543777151707,9.060983101199694,5.3015476912130115,12.055153470793487,26.245208333333334,14.79,34.445,34.58645833333333,18.4,43.46,17.903958333333335,7.15,26.53,28.282708333333332,11.55,57.54,29.122395833333332,16.75,32.35,3.0871875,1.88,5.61,13.31,0.13864583333333333,0.0,4.44,10.648000000000001,0.11091666666666668,0.0,3.5520000000000005,17.30167147001237,11.763378479144544,19.53516149164715,0.015301411754644627,4,0,46,0,722.2625266996654,7.5235679864548475,2.6507738456065058,11.452395797253812,10.648000000000001,0.11091666666666668,0.0,3.5520000000000005,711.6145266996652,7.412651319788179,1.9437529082413123,11.452395797253812,106.48000000000002,7116.145266996653,7222.6252669966525,711.6145266996654,0.014742561889034157,0.9852574381109657,24.0,37.0,37.0,888.0,7100.0,6304800.0,4.436666666666667,296.5060527915272,300.9427194581939
Sonora,Caborca,17,Caborca,139,Calabaza,2015,2016,30.897488,-112.608001,169.0,715.4872840253396,7.154872840253396,2.218474634084882,10.696244765475091,22.57835,14.05,32.035,30.088199999999997,19.17,39.24,15.068500000000002,8.4,25.88,36.8001,13.63,78.0,26.0619,8.18,31.81,2.8578,1.56,5.13,12.679999999999996,0.12679999999999997,0.0,6.02,10.144,0.10144,0.0,4.816,15.464266000880038,6.066848974076998,19.337184896664688,0.017722187777625024,3,1,15,0,626.7201618722838,6.267201618722838,1.109237317042441,9.782947578375147,6.437237317042441,0.06437237317042441,0.0,1.672,620.2829245552415,6.202829245552415,0.0,9.782947578375147,64.37237317042441,6202.829245552415,6267.201618722839,616.5761618722838,0.010271310400820093,0.98972868959918,25.0,30.0,30.0,750.0,5000.0,3750000.0,2.5748949268169765,248.1131698220966,250.68806474891358
Sonora,Caborca,17,Caborca,139,Calabaza,2018,2019,30.897488,-112.608001,169.0,771.0838079237502,7.710838079237502,3.8000948648493114,11.818428940716188,23.191300000000002,12.785,31.55,31.3576,20.34,40.93,15.025,3.95,22.21,30.77680000000001,9.03,62.01,26.839500000000008,9.61,32.56,2.7348000000000003,1.5,5.44,0.47,0.004699999999999999,0.0,0.32,0.376,0.00376,0.0,0.256,15.594579902167414,7.09876837312007,19.43650959339576,0.0006095316685037648,0,0,26,1,683.2766207109789,6.832766207109789,1.9000474324246557,11.818428940716188,0.376,0.00376,0.0,0.256,682.9006207109787,6.829006207109788,1.9000474324246557,11.818428940716188,3.76,6829.006207109787,6832.7662071097875,682.900620710979,0.0005502895732167094,0.999449710426783,18.5,7.0,7.0,129.5,8921.43,1155325.19,0.20324324324324322,369.1354706545831,369.3387138978264
Sonora,Caborca,17,Caborca,139,Calabaza,2019,2020,30.897488,-112.608001,169.0,666.253083802006,6.66253083802006,2.3833846779430172,10.274369582558734,21.1096,12.335,28.28,28.670399999999994,16.21,37.67,13.548800000000002,4.87,20.36,41.46719999999999,19.81,80.7,26.302999999999997,11.68,32.04,2.6647000000000003,1.41,4.74,30.46,0.3046,0.0,17.82,24.368000000000002,0.24368,0.0,14.256,15.787974408373103,7.7640265188961655,19.547678901751343,0.04571836249699365,3,2,11,1,589.2622916675928,5.892622916675927,1.1916923389715086,10.274369582558734,9.245189397670316,0.09245189397670316,0.0,4.904,580.0171022699225,5.8001710226992245,0.0,10.274369582558734,92.45189397670316,5800.1710226992245,5892.622916675928,564.8942916675927,0.01568942986578479,0.9843105701342153,34.0,9.0,9.0,306.0,9591.37,2934959.22,2.719173352255975,170.5932653735066,173.31243872576258
Sonora,Caborca,17,Caborca,139,Calabaza,2023,2024,30.897488,-112.608001,169.0,705.1432853082075,7.051432853082075,3.2032945834184456,10.246087721414066,21.34875,9.17,28.805,29.3645,15.43,39.07,13.333,2.91,21.23,36.26500000000001,13.43,68.82,26.666200000000003,13.01,31.93,2.7717,1.53,5.22,14.09,0.1409,0.0,6.16,11.272000000000002,0.11272000000000001,0.0,4.928000000000001,15.73438967457681,8.763246373105176,19.4867719090707,0.019981754479646605,5,1,13,2,623.5897644849686,6.235897644849685,1.6016472917092228,10.246087721414066,8.118788398016168,0.08118788398016168,0.0,1.7747883980161667,615.4709760869524,6.154709760869524,0.0,10.246087721414066,81.18788398016167,6154.709760869524,6235.897644849686,612.3177644849685,0.013019438195432198,0.9869805618045678,20.0,10.0,10.0,200.0,6700.0,1340000.0,4.059394199008084,307.7354880434762,311.7948822424843
Sonora,Caborca,17,Caborca,139,Cebolla,2017,2018,30.897488,-112.608001,169.0,1045.731670228532,4.932696557681755,1.3964442595851456,9.964056371552347,20.240731132075467,8.905,30.6,27.14405660377359,14.52,38.34,13.337405660377357,2.38,24.15,42.49660377358491,14.46,84.24,18.290518867924526,4.57,31.13,2.386745283018868,1.15,5.48,105.16,0.4960377358490566,0.0,18.21,84.128,0.3968301886792453,0.0,14.568000000000001,9.805714365279524,3.771928141046724,17.533014525359313,0.10056116974732011,13,7,19,5,954.2135779203616,4.5010074430205735,1.466266472564403,10.143911842239364,29.552168343277586,0.13939702048715844,0.0,2.718385168807602,924.661409577084,4.361610422533415,0.0,10.143911842239364,0.0,0.0,0.0,870.0855779203615,0.030970182176284233,0.9690298178237158,30.0,15.0,15.0,450.0,5386.67,2424001.5,0.0,0.0,0.0
Sonora,Caborca,17,Caborca,139,Cebolla,2018,2019,30.897488,-112.608001,169.0,1125.34503934611,5.30823131767033,1.3352283100799853,9.866368386643328,21.013702830188677,9.504999999999999,31.48,28.200943396226418,14.19,40.74,13.826462264150944,1.95,24.31,33.78683962264151,9.03,88.89,18.22372641509434,5.8,29.64,2.3540566037735853,0.61,5.44,59.33,0.27985849056603773,0.0,16.77,47.464,0.2238867924528302,0.0,13.416,9.43337416097034,4.1223999892241885,17.92779182779882,0.05272160797409666,9,4,26,9,1033.4074195640023,4.8745632998302,1.4019897255839846,10.326479984736366,19.17279211385057,0.09043769865023854,0.0,3.056,1014.234627450152,4.784125601179962,0.0,10.326479984736366,0.0,0.0,0.0,985.9434195640024,0.018552984767556274,0.9814470152324439,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonora,Caborca,17,Caborca,139,Cebolla,2021,2022,30.897488,-112.608001,169.0,1129.590956977254,5.328259231024783,1.6805703092826627,9.707502643288699,19.490943396226413,8.415,33.71,26.93433962264151,12.28,41.37,12.04754716981132,3.31,26.08,33.07844339622642,13.0,84.34,18.740047169811323,8.59,29.69,2.563160377358491,1.29,5.24,44.52,0.21000000000000002,0.0,8.02,35.616,0.168,0.0,6.416,9.533532427288982,4.323294711042077,17.87565644488494,0.039412496820206463,9,5,28,10,1034.268046835004,4.878622862429264,1.7645988247467959,7.397898178566082,20.65142659170854,0.09741238958353085,0.0,3.541699000568824,1013.6166202432956,4.781210472845734,0.0,7.397898178566082,0.0,0.0,0.0,998.6520468350041,0.019967189989968864,0.9800328100100313,28.33,18.0,18.0,509.94,4750.0,2422215.0,0.0,0.0,0.0
