Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Cajeme,18,Cajeme,148,Brócoli,2010,2011,27.711981,-109.902208,58.0,595.5396497019906,4.378968012514637,1.860945801359574,6.985634750743121,23.591544117647057,14.709999999999999,31.770000000000003,29.47264705882353,18.22,39.7,17.71044117647059,7.84,26.99,57.68455882352941,31.63,86.1,16.87882352941177,4.78,24.63,2.1744852941176473,1.12,5.66,242.95,1.7863970588235294,0.0,50.21,194.35999999999999,1.4291176470588234,0.0,40.168000000000006,9.896073571029001,4.225771786046792,16.599530111725763,0.40794932817919466,25,10,17,0,552.9173510320405,4.065568757588533,1.469216262901931,6.400268993633636,59.13193989512692,0.43479367569946265,0.0,4.104021498083078,493.7854111369136,3.6307750818890705,0.0,6.400268993633636,0.0,0.0,0.0,358.5573510320405,0.10694535048457962,0.8930546495154204,15.14,151.0,151.0,2286.0,9839.2,22492411.2,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2011,2012,27.711981,-109.902208,58.0,656.5685026934527,4.827709578628329,2.2361611415356926,7.697588111507689,23.992904411764705,14.635,33.464999999999996,30.20705882352941,19.0,39.55,17.77875,4.62,28.42,51.70816176470588,20.86,81.87,17.80183823529412,6.94,24.5,2.189779411764706,0.8,5.63,130.36,0.958529411764706,0.0,28.78,104.28800000000001,0.7668235294117648,0.0,23.024,10.13325824299235,5.390994446022659,16.795897225355993,0.19854744701462507,19,7,18,1,617.1258290800745,4.53768991970643,2.124353084458908,8.082467517083074,52.588150358163496,0.3866775761629669,0.0,4.0587964516919905,564.537678721911,4.151012343543464,0.0,8.082467517083074,0.0,0.0,0.0,512.8378290800745,0.08521463189533747,0.9147853681046625,22.0,89.0,89.0,1958.0,9800.0,19188400.0,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2012,2013,27.711981,-109.902208,58.0,686.5587798867062,5.04822632269637,1.4896235641699165,8.310720374804632,24.128970588235294,12.285,34.805,30.680367647058823,17.33,42.38,17.577573529411765,3.44,29.31,51.11051470588235,20.46,85.62,17.938014705882352,3.88,24.56,2.310147058823529,1.32,4.93,113.32999999999998,0.8333088235294116,0.0,26.0,90.664,0.6666470588235294,0.0,20.8,10.273018338130692,3.654884299706139,16.64718597855087,0.16506962451008397,16,6,52,2,632.2796243788537,4.64911488513863,1.5641047423784125,8.726256393544864,43.66252308982926,0.32104796389580337,0.0,4.7462852397207245,588.6171012890243,4.328066921242826,0.0,8.726256393544864,0.0,0.0,0.0,541.6156243788537,0.06905571744894193,0.9309442825510579,15.9,159.0,159.0,2528.1,9500.0,24016950.0,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2013,2014,27.711981,-109.902208,58.0,663.3149953904294,4.877316142576687,2.4093425812313862,7.332047722963652,24.55834558823529,11.785,31.82,30.6875,18.01,39.3,18.429191176470592,5.47,27.33,50.859632352941176,28.0,86.57,16.749632352941177,5.37,24.58,2.300588235294118,1.43,4.42,122.94999999999999,0.9040441176470587,0.0,26.88,98.36,0.7232352941176471,0.0,21.504,9.74144203838042,4.281149042795825,16.43584101740017,0.18535688301096104,20,9,28,0,621.6521907868951,4.5709719910801105,1.6939366046277566,7.193629320508429,53.35350015524346,0.39230514820031953,0.0,4.261918825296997,568.2986906316517,4.1786668428797915,0.0,7.193629320508429,0.0,0.0,0.0,523.292190786895,0.08582532314043313,0.914174676859567,13.0,90.0,90.0,1170.0,5500.0,6435000.0,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2014,2015,27.711981,-109.902208,58.0,634.7221795945818,4.66707484996016,2.0301787988971203,7.310115189341328,24.19143382352941,14.39,33.245,30.187058823529416,18.04,39.47,18.19580882352941,8.58,27.69,53.98264705882353,19.31,84.11,16.857794117647057,3.59,24.88,2.201029411764706,0.96,4.48,168.47000000000003,1.2387500000000002,0.0,60.46,134.776,0.9910000000000001,0.0,48.368,9.861119313359497,3.5419049467738106,16.64530200320367,0.2654232125740547,22,6,18,0,588.894776238945,4.330108648815773,2.097336965108324,6.969206558674691,55.235277718077455,0.4061417479270401,0.0,4.119345393968845,533.6594985208676,3.9239669008887326,0.0,6.969206558674691,0.0,0.0,0.0,454.11877623894503,0.09379481691253048,0.9062051830874696,12.6,120.0,120.0,1512.0,9000.0,13608000.0,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2015,2016,27.711981,-109.902208,58.0,653.1949150743699,4.802903787311543,2.2304810677112195,7.583159932695804,24.927610294117645,11.865,31.580000000000002,30.80566176470588,17.09,39.12,19.04955882352941,6.64,27.15,52.658088235294116,17.22,82.52,17.0360294117647,5.94,24.3,2.254779411764706,1.11,6.0,87.45,0.643014705882353,0.0,19.87,69.96,0.5144117647058823,0.0,15.896,9.901266643037028,4.386066707831028,16.312586377290998,0.1338804053458428,16,5,26,0,614.9080446219895,4.52138268104404,2.1189570143256584,7.962317929330595,44.72708122383077,0.3288755972340498,0.0,4.177105419149305,570.1809633981586,4.19250708380999,0.0,7.962317929330595,0.0,0.0,0.0,544.9480446219894,0.07273783716933878,0.9272621628306611,12.3,74.0,74.0,910.2,9950.0,9056490.0,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2017,2018,27.711981,-109.902208,58.0,714.6533097139784,5.2548037478969,1.848334329646384,8.97699532674926,26.08544117647059,15.795,33.2,32.42404411764706,19.81,40.61,19.746838235294117,10.36,27.07,49.29286764705882,24.05,76.6,17.41220588235294,3.52,25.52,2.287941176470588,1.26,6.03,88.83000000000001,0.6531617647058825,0.0,47.63,71.06400000000002,0.522529411764706,0.0,38.104000000000006,10.09574974193129,3.507850090118705,16.975238596849355,0.12429803205634343,12,4,51,0,668.6283544113242,4.916384958906796,1.7559176131640648,9.425845093086723,31.144318268017795,0.2290023402060132,0.0,4.2710468668163575,637.4840361433063,4.687382618700782,0.0,9.425845093086723,0.0,0.0,0.0,597.5643544113241,0.04657941599775255,0.9534205840022474,19.3,50.0,50.0,965.0,7509.76,7246918.4,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2021,2022,27.711981,-109.902208,58.0,776.2385288121297,5.70763624126566,2.105067365401815,9.296308969331063,26.06014705882353,14.415,35.43,32.890220588235294,19.05,42.71,19.230073529411765,7.59,28.41,41.2239705882353,19.18,73.55,17.96286764705882,6.62,24.34,2.3976470588235297,1.35,4.74,31.349999999999998,0.23051470588235293,0.0,4.7,25.080000000000002,0.18441176470588236,0.0,3.7600000000000002,9.95363828323197,4.67990163425148,16.57733754268641,0.04038707025786854,10,0,58,0,721.4412081918797,5.304714766116763,2.2103207336719057,9.761124417797618,23.530320733671907,0.17301706421817578,0.0,2.9600000000000004,697.9108874582079,5.131697701898587,0.0,9.745124417797618,0.0,0.0,0.0,696.3612081918797,0.032615714858657774,0.9673842851413423,22.8,250.0,250.0,5700.0,8326.32,47460024.0,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2022,2023,27.711981,-109.902208,58.0,669.2223128458545,4.920752300337165,1.7166827921630416,8.400312423765724,25.412169117647057,16.04,31.84,31.409558823529416,21.09,39.69,19.414779411764705,9.65,27.18,52.29139705882353,23.46,84.63,17.11639705882353,4.75,23.87,2.1719117647058823,1.07,4.95,140.6,1.0338235294117646,0.0,28.8,112.48,0.8270588235294118,0.0,23.040000000000003,9.969918345759227,3.925759909322533,16.292557825984808,0.21009460877372918,23,8,26,0,631.2768434064099,4.641741495635366,1.6308486525548895,8.82032804495401,60.995258760024946,0.4484945497060658,0.0,3.8436967715608814,570.281584646385,4.193246945929301,0.0,8.82032804495401,0.0,0.0,0.0,518.7968434064098,0.09662204371522748,0.9033779562847727,23.0,50.0,50.0,1150.0,8326.08,9574992.0,0.0,0.0,0.0
Sonora,Cajeme,18,Cajeme,148,Brócoli,2023,2024,27.711981,-109.902208,58.0,630.9629602477455,4.639433531233423,2.17617464119168,6.782379110882074,24.09125,15.94,31.765,30.056250000000002,21.3,38.44,18.12625,8.83,26.95,54.43286764705883,26.88,86.78,17.393529411764707,4.76,24.42,2.1758823529411764,1.09,6.17,82.85000000000001,0.6091911764705883,0.0,10.17,66.28,0.4873529411764706,0.0,8.136000000000001,10.061619366869586,3.9590351686002414,16.446656897743082,0.13130723230959426,19,6,9,0,593.3512302842546,4.362876693266578,1.9884411904952235,6.825179411361684,45.62147968836156,0.3354520565320703,0.0,4.10582828079281,547.7297505958929,4.027424636734507,0.0,6.825179411361684,0.0,0.0,0.0,527.0712302842546,0.07688781510827213,0.9231121848917277,23.0,10.0,10.0,230.0,8702.17,2001499.1,0.0,0.0,0.0
