Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Cananea,19,Agua Prieta,141,Ajo,2011,2012,30.986517,-110.288893,1591.0,4,2.8,0.6,909.6217717061377,4.290668734462914,1.162652077329371,9.912563651302154,12.598349056603771,-8.885,24.235,20.91797169811321,-5.1,32.77,4.27872641509434,-12.67,15.99,39.355094339622646,10.97,78.39,19.315283018867927,7.01,31.15,2.6842924528301886,0.98,8.42,32.3,0.15235849056603773,0.0,8.3,25.840000000000003,0.12188679245283021,0.0,6.640000000000001,9.937845440161267,4.477338637943189,17.30782298310985,0.035509264404936465,9,1,0,112,784.452843424504,3.7002492614363396,1.162652077329371,6.938794555911508,18.940223664563824,0.08934067766303691,0.0,2.876392707158546,765.5126197599401,3.6109085837733024,0.0,6.938794555911508,189.40223664563825,7655.126197599401,7844.5284342450395,758.6128434245039,0.02414450253233946,0.9758554974676605,4.0,24.0,24.0,96.0,14500.0,1392000.0,47.350559161409564,1913.7815493998503,1961.1321085612599
Sonora,Cananea,19,Agua Prieta,141,Ajo,2012,2013,30.986517,-110.288893,1591.0,4,2.7142857142857144,0.42857142857142855,858.2352923941787,4.029273673212106,0.7761048862555123,8.844360035036797,12.169788732394366,-1.335,24.705,20.220892018779345,2.91,34.73,4.1186854460093905,-5.58,18.0,42.45488262910798,11.76,88.69,18.785446009389673,2.47,30.89,2.5710798122065732,0.88,6.89,112.28,0.5271361502347418,0.0,25.52,89.82400000000001,0.4217089201877935,0.0,20.416,9.807514353958535,3.017885074432848,17.579837373454858,0.13082659381995088,18,4,0,132,736.1496218712716,3.4561015111327307,0.7761048862555123,6.311633928697425,29.552019927512823,0.13874187759395692,0.0,2.318760873187106,706.5976019437587,3.317359633538773,0.0,6.311633928697425,295.5201992751282,7065.976019437587,7361.496218712715,646.3256218712716,0.04014404008303695,0.9598559599169629,3.69,26.0,26.0,96.0,20000.0,1920000.0,80.08677487130846,1914.8986502540886,1994.9854251253971
Sonora,Cananea,19,Agua Prieta,141,Ajo,2013,2014,30.986517,-110.288893,1591.0,3,2.142857142857143,0.14285714285714285,864.1602876782325,4.076227772067135,1.1657108799926972,9.15668712646014,12.499316037735847,-1.3749999999999998,23.240000000000002,20.45551886792453,3.64,32.14,4.54311320754717,-6.39,15.47,40.103113207547175,10.05,87.74,18.6175,6.21,31.28,2.5450943396226413,0.81,7.31,77.82,0.36707547169811316,0.0,14.56,62.256,0.29366037735849054,0.0,11.648000000000001,9.714358184727175,4.366014755934374,17.181803565371403,0.09005273802743413,12,6,0,104,742.564268183745,3.5026616423761556,1.1657108799926972,6.409680988522098,27.11319331508622,0.12789242129757653,0.0,2.8075141807883135,715.4510748686587,3.3747692210785787,0.0,6.409680988522098,271.1319331508622,7154.510748686587,7425.642681837449,680.308268183745,0.036512924842725065,0.9634870751572748,7.0,25.0,25.0,175.0,16882.29,2954400.75,38.73313330726603,1022.0729640980838,1060.8060974053499
Sonora,Cananea,19,Agua Prieta,141,Ajo,2014,2015,30.986517,-110.288893,1591.0,3,2.0,0.3,892.5614994601186,4.210195752170371,1.023987137370504,8.904633371957523,13.252948113207546,3.38,22.55,21.22985849056604,7.49,30.95,5.276037735849057,-3.92,14.83,40.616745283018865,10.44,87.94,18.593254716981136,5.74,31.49,2.6283962264150946,0.97,6.37,67.32,0.3175471698113207,0.0,19.05,53.855999999999995,0.2540377358490566,0.0,15.240000000000002,9.698713222406537,4.053940173992721,17.52728649130817,0.07542337423328216,9,5,0,93,772.4121314413626,3.6434534501951066,1.023987137370504,6.233243360370266,20.94405726096747,0.09879272292909183,0.0,3.552160130057332,751.4680741803952,3.5446607272660153,0.0,6.233243360370266,209.4405726096747,7514.680741803952,7724.121314413626,718.5561314413626,0.027115132464173925,0.9728848675358261,3.5,20.0,20.0,70.0,17737.14,1241599.8,59.8401636027642,2147.051640515415,2206.891804118179
Sonora,Cananea,19,Agua Prieta,141,Ajo,2015,2016,30.986517,-110.288893,1591.0,1,1.0,0.0,756.7473460823849,3.5695629532187967,0.8918706740762432,7.333784950217332,12.77551886792453,0.8449999999999998,21.695,20.164198113207544,6.27,29.91,5.38683962264151,-5.28,15.01,55.09589622641509,22.53,90.7,17.955707547169812,2.62,30.77,2.489764150943396,1.06,6.55,187.47,0.8842924528301886,0.0,45.62,149.976,0.7074339622641509,0.0,36.496,9.831467214410905,3.1751551460557237,17.791903072433634,0.24773129495665347,23,11,0,97,653.0644695870876,3.080492781071168,0.8918706740762432,5.3425937523949125,44.82545771007648,0.21144083825507773,0.0,3.0399894221077726,608.2390118770113,2.869051942816091,0.0,5.3425937523949125,448.2545771007648,6082.390118770113,6530.6446958708775,503.0884695870876,0.06863864104935646,0.9313613589506438,4.0,10.0,10.0,40.0,18000.0,720000.0,112.0636442751912,1520.5975296925283,1632.6611739677194
Sonora,Cananea,19,Agua Prieta,141,Ajo,2016,2017,30.986517,-110.288893,1591.0,2,1.4,0.0,837.5532332941848,3.9321748041980507,0.7527200301998297,8.205888219242848,12.561267605633804,-0.7150000000000003,25.72,20.409014084507046,4.26,32.96,4.713521126760564,-5.69,18.48,46.265023474178406,17.13,91.18,18.526103286384977,5.57,30.93,2.6309859154929582,0.97,6.54,113.00999999999999,0.5305633802816901,0.0,14.52,90.40800000000002,0.4244507042253522,0.0,11.616,9.83543922318769,4.096467283399964,17.990843729008137,0.13492873707324823,25,8,0,111,726.3496107263047,3.4100920691375807,0.7527200301998297,5.745774917613142,43.21164640416793,0.20287157936229075,0.0,2.825435706220314,683.1379643221367,3.2072204897752896,0.0,5.745774917613142,432.1164640416793,6831.379643221367,7263.496107263046,635.9416107263047,0.05949152552165472,0.9405084744783451,5.0,10.0,10.0,50.0,19900.0,995000.0,86.42329280833586,1366.2759286442733,1452.6992214526092
Sonora,Cananea,19,Agua Prieta,141,Ajo,2017,2018,30.986517,-110.288893,1591.0,1,1.0,0.0,881.8882678014118,4.15985031981798,0.8788804518723429,9.57197462592653,14.204905660377356,2.33,23.380000000000003,21.9297641509434,7.48,32.85,6.4800471698113205,-4.52,16.34,45.32528301886793,16.81,90.27,18.47518867924528,3.82,31.48,2.642311320754717,1.05,7.04,119.08000000000001,0.5616981132075473,0.0,18.22,95.26400000000001,0.44935849056603777,0.0,14.576,9.82658957812503,3.5285431673065477,17.606023280932863,0.1350284433388279,17,9,0,88,757.3318586184544,3.572320087822898,0.8788804518723429,6.7003822381485705,28.301287443237385,0.1334966388831952,0.0,2.104,729.0305711752169,3.4388234489397025,0.0,6.7003822381485705,283.01287443237385,7290.305711752169,7573.318586184543,662.0678586184544,0.0373697304836289,0.962630269516371,6.0,15.0,15.0,90.0,15600.0,1404000.0,47.16881240539564,1215.050951958695,1262.2197643640905
Sonora,Cananea,19,Agua Prieta,141,Ajo,2018,2019,30.986517,-110.288893,1591.0,4,3.357142857142857,0.9285714285714286,936.8530086693496,4.41911796542146,0.852284092938046,9.174890138805987,15.000966981132075,2.675,25.740000000000002,22.858301886792454,7.16,33.23,7.143632075471698,-5.49,18.48,37.90929245283019,15.57,92.09,18.278160377358493,3.84,30.26,2.558537735849057,0.83,6.51,105.41999999999999,0.49726415094339615,0.0,26.24,84.336,0.397811320754717,0.0,20.992,9.533494850134211,3.810727371995812,17.28343475032748,0.11252565666596118,13,5,0,73,811.2785620716131,3.8267856701491185,0.852284092938046,7.013248598440044,24.315640629495043,0.11469641806365587,0.0,2.984,786.9629214421182,3.712089252085463,0.0,7.013248598440044,243.15640629495044,7869.629214421182,8112.785620716132,726.9425620716131,0.029971999466378917,0.9700280005336211,6.5,12.0,12.0,78.0,11104.04,866115.12,37.408677891530836,1210.712186834028,1248.120864725559
Sonora,Cananea,19,Agua Prieta,141,Ajo,2019,2020,30.986517,-110.288893,1591.0,2,1.5,0.0,741.4422259538187,3.4973689903482015,0.7584871176514911,8.370507707762759,11.79502358490566,-0.7650000000000001,22.75,19.0913679245283,3.03,31.6,4.498679245283019,-5.74,17.68,53.60575471698114,26.08,91.18,17.35872641509434,2.64,30.56,2.5972169811320756,0.97,6.69,215.61,1.0170283018867925,0.0,30.96,172.488,0.813622641509434,0.0,24.768,9.53006366705903,3.1106029802560577,18.51908474151317,0.2907981127223114,32,11,0,110,637.4872623406951,3.0070153883995054,0.7584871176514911,5.859355395433931,57.08568326856498,0.2692720908894574,0.0,3.565548184940456,580.4015790721301,2.7377432975100473,0.0,5.859355395433931,570.8568326856498,5804.015790721301,6374.872623406951,464.9992623406951,0.08954795905875909,0.9104520409412408,6.8,15.0,15.0,102.0,12013.73,1225400.46,83.94953421847792,853.5317339296031,937.481268148081
Sonora,Cananea,19,Agua Prieta,141,Ajo,2020,2021,30.986517,-110.288893,1591.0,0,0.0,0.0,719.4614473897382,3.3777532741302263,0.6734275641454617,8.084962816433826,12.021901408450704,0.1299999999999999,23.805,19.18399061032864,5.77,33.57,4.85981220657277,-6.2,17.99,57.6737558685446,28.67,94.86,17.492159624413148,2.38,30.17,2.5746009389671363,0.83,6.92,356.03,1.6715023474178403,0.0,69.04,213.618,1.0029014084507042,0.0,41.424,9.691352940923567,2.9603106575427622,17.78924008874059,0.4948562585135095,26,18,0,108,616.8904976513836,2.896199519490064,0.6734275641454617,5.659473971503678,39.02620728328925,0.1832216304379777,0.0,2.49,577.8642903680943,2.712977889052086,0.0,5.659473971503678,390.2620728328925,5778.642903680943,6168.904976513835,403.2724976513836,0.06326277910240027,0.9367372208975997,7.1,13.5,13.5,95.9,12899.89,1237099.45,54.96648913139331,813.8933667156258,868.8598558470192
