Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Cucurpe,22,Magdalena,140,Calabacita,2012,2013,30.430434,-110.631776,1175.0,3,3.0,1.0,824.7075651211914,8.590703803345743,4.299901043323726,11.965499067252818,23.94453125,11.22,31.955,32.97145833333334,17.76,40.54,14.917604166666669,1.69,24.1,22.289687500000003,6.42,73.25,29.45958333333333,18.14,33.15,2.7779166666666666,1.64,5.15,37.620000000000005,0.39187500000000003,0.0,8.22,30.096000000000004,0.31350000000000006,0.0,6.5760000000000005,16.96087445312988,12.576580839290584,19.225417347592405,0.04561616940481408,9,2,39,4,684.9607483884952,7.135007795713491,2.3675478615384873,11.367224113890176,27.97124881813785,0.2913671751889359,0.0,5.564978899491342,656.9894995703572,6.843640620524554,0.0,11.367224113890176,279.7124881813785,6569.894995703572,6849.607483884951,654.8647483884952,0.04083627986559187,0.959163720134408,18.0,3.0,3.0,54.0,3980.0,214920.0,15.53958267674325,364.9941664279762,380.53374910471945
Sonora,Cucurpe,22,Magdalena,140,Calabaza,2010,2011,30.430434,-110.631776,1175.0,1,1.0,0.0,682.5586740740293,6.8255867407402935,2.23488696490925,10.495465666575832,17.777449999999998,6.725,30.545,26.683200000000003,14.08,39.44,8.871699999999999,-0.75,21.66,31.966199999999994,12.16,79.02,27.2773,10.87,33.18,2.882599999999999,1.47,6.43,25.659999999999997,0.25659999999999994,0.0,9.72,20.528000000000002,0.20528000000000002,0.0,7.776000000000001,15.713655528506765,7.679899478262474,19.03643228030259,0.03759383767968488,4,2,7,22,601.575096921063,6.015750969210631,1.117443482454625,9.94864169285953,10.188072358945764,0.10188072358945764,0.0,3.6440508448685023,591.3870245621172,5.913870245621172,0.0,9.94864169285953,101.88072358945763,5913.870245621172,6015.75096921063,581.047096921063,0.016935661750444125,0.9830643382495557,15.0,3.0,3.0,45.0,3968.0,178560.0,7.54672026588575,438.06446263860533,445.6111829044911
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2010,2011,30.430434,-110.631776,1175.0,2,1.6666666666666667,0.0,515.5811190327967,4.2965093252733055,0.9666078095733402,8.386637115066192,12.686624999999998,5.255,21.81,20.393916666666666,9.57,30.29,4.979333333333333,-2.69,13.72,46.263333333333335,20.66,90.5,19.810499999999998,4.23,30.32,2.7983333333333333,1.3,8.39,137.0,1.1416666666666666,0.0,27.72,109.6,0.9133333333333333,0.0,22.176000000000002,11.025387900918327,3.7663875198542645,17.971690706996583,0.2657195830929668,17,9,0,63,516.1331589962072,4.301109658301726,1.0149382000520073,8.805968970819501,33.02373767633361,0.27519781396944676,0.0,3.736,483.10942131987355,4.025911844332279,0.0,8.805968970819501,330.2373767633361,4831.094213198736,5161.331589962072,406.53315899620713,0.06398298016844968,0.9360170198315503,50.0,4.0,4.0,200.0,3200.0,640000.0,6.604747535266722,96.62188426397472,103.22663179924145
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2015,2016,30.430434,-110.631776,1175.0,1,1.0,0.0,857.8682834199094,4.046548506697686,0.8953442484156896,8.790511597324448,15.66816037735849,3.045,23.435000000000002,22.96188679245283,8.84,32.22,8.37443396226415,-4.14,18.58,50.49617924528301,19.18,91.77,17.955707547169812,2.62,30.77,2.401226415094339,1.09,6.87,161.20999999999998,0.7604245283018867,0.0,29.26,128.96800000000002,0.6083396226415095,0.0,23.408,9.846660490309558,3.152506876720963,17.694831842165655,0.18791929147599795,19,9,0,42,783.467731502762,3.6956025070885,0.9401114608364741,7.009139272005146,41.33583509444567,0.19498035421908336,0.0,2.8314142694042435,742.1318964083164,3.500622152869417,0.0,7.009139272005146,413.3583509444567,7421.318964083164,7834.677315027621,654.499731502762,0.052760099021768,0.947239900978232,70.0,2.0,2.0,140.0,3100.0,434000.0,7.873492398942032,141.35845645872695,149.23194885766898
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2016,2017,30.430434,-110.631776,1175.0,2,1.6,0.0,948.3034221771691,4.452128742615817,0.8021938934908984,8.619714846215107,15.407699530516433,2.6500000000000004,26.495,23.23431924882629,7.79,34.71,7.581079812206573,-4.32,19.45,41.335352112676055,13.37,91.98,18.526103286384977,5.57,30.93,2.516197183098592,1.09,5.4,96.08000000000001,0.45107981220657284,0.0,12.83,76.864,0.36086384976525826,0.0,10.264000000000001,9.78458675559091,4.138540851867335,17.903138012378516,0.10131778263481753,20,7,0,60,870.1947636782511,4.085421425719488,0.8423035881654434,6.595910998794224,39.77348582851349,0.1867299804155563,0.0,2.488,830.4212778497374,3.8986914453039314,0.0,6.595910998794224,397.7348582851349,8304.212778497375,8701.94763678251,793.3307636782511,0.04570641825100603,0.9542935817489937,34.0,3.5,3.5,119.0,2981.52,354800.88,11.69808406720985,244.24155230874632,255.93963637595618
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2017,2018,30.430434,-110.631776,1175.0,1,1.0,0.0,979.6124031795053,4.620813222544837,0.9593172594655944,9.806443357027593,16.999622641509433,5.619999999999999,26.18,24.6127358490566,9.89,34.73,9.386509433962264,-2.0,19.53,40.98108490566037,11.32,90.48,18.47518867924528,3.82,31.48,2.4736792452830194,0.74,6.25,117.33,0.5534433962264151,0.0,16.82,93.864,0.4427547169811321,0.0,13.456000000000001,9.790207863224966,3.5612981722280317,17.627737013347527,0.11977186040028151,12,8,0,43,889.957147794457,4.197911074502156,1.0072831224388743,7.354832517770695,24.734665469059667,0.11667295032575314,0.0,2.775709644375494,865.2224823253972,4.0812381241764015,0.0,7.354832517770695,247.34665469059667,8652.224823253971,8899.571477944568,796.093147794457,0.027793097151203896,0.972206902848796,40.0,15.0,15.0,600.0,2560.0,1536000.0,6.680530849172091,233.68601818376695,240.36654903293905
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2018,2019,30.430434,-110.631776,1175.0,4,2.857142857142857,0.7857142857142857,1042.0968505238566,4.915551181716305,0.9504751100793121,9.39439477941712,17.87865566037736,6.03,27.795,25.628632075471696,10.22,36.16,10.128679245283017,-3.1,20.41,34.19754716981132,10.99,93.72,18.278160377358493,3.84,30.26,2.4499528301886793,0.87,6.05,102.4,0.4830188679245283,0.0,29.31,81.92,0.3864150943396226,0.0,23.448,9.482642079518111,3.7995314685313075,17.35241621277027,0.0982634195166448,11,5,4,37,955.0696283180145,4.505045416594408,0.9979988655832777,9.120845300759287,23.025391013315968,0.10861033496847154,0.0,2.7671600223480017,932.0442373046985,4.3964350816259365,0.0,9.120845300759287,230.25391013315968,9320.442373046986,9550.696283180147,873.1496283180145,0.024108599342506875,0.9758914006574931,40.5,14.0,14.0,567.0,2699.1,1530389.7,6.173027081317954,249.8778116098388,256.05083869115674
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2019,2020,30.430434,-110.631776,1175.0,1,1.0,0.0,819.9015937751377,3.8674603479959324,0.8182801149298232,8.825524871473318,14.433514150943395,1.9100000000000001,24.425,21.591509433962266,5.49,33.66,7.275518867924529,-3.71,18.48,49.99834905660378,22.41,90.53,17.35872641509434,2.64,30.56,2.3973584905660377,1.12,7.95,202.01999999999998,0.9529245283018867,0.0,34.19,161.61599999999999,0.7623396226415093,0.0,27.352,9.553671544332563,3.1641907326839833,18.61042723005103,0.24639542297975459,30,8,0,60,746.6214058899351,3.5217990843864864,0.8591941206763144,6.619143653604988,50.97660303626243,0.24045567469935109,0.0,2.387817585274405,695.6448028536727,3.2813434096871354,0.0,6.619143653604988,509.7660303626243,6956.448028536726,7466.214058899351,585.0054058899351,0.06827637492592499,0.931723625074075,39.44,9.0,9.0,355.0,4500.0,1597500.0,13.996870685409782,191.00626108008584,205.00313176549562
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2020,2021,30.430434,-110.631776,1175.0,0,0.0,0.0,797.1323919070011,3.742405595807517,0.7555518847494646,8.787791295759547,14.585093896713616,2.2200000000000006,26.005000000000003,21.754131455399058,8.38,35.45,7.416056338028168,-5.02,18.8,53.883004694835684,26.07,93.5,17.492159624413148,2.38,30.17,2.3839906103286386,0.73,7.13,311.65999999999997,1.4631924882629106,0.0,68.34,186.99599999999998,0.8779154929577464,0.0,41.004,9.726852663319471,2.9279853980983055,17.691943641186814,0.39097645907276135,25,18,2,68,723.7821178396468,3.3980381119232246,0.7933294789869378,6.984758228788389,40.956432544822356,0.1922837208677106,0.0,2.8992218402328715,682.8256852948246,3.2057543910555144,0.0,6.984758228788389,409.56432544822354,6828.256852948245,7237.821178396469,536.7861178396469,0.05658668753390811,0.943413312466092,39.5,10.0,10.0,395.0,4800.0,1896000.0,10.995015448274458,183.30890880397973,194.3039242522542
Sonora,Cucurpe,22,Magdalena,140,Cebolla,2021,2022,30.430434,-110.631776,1175.0,4,3.7142857142857144,0.9285714285714286,1058.5391313506689,4.9931091101446645,1.1675784912771192,9.34127546143347,16.09825471698113,2.6449999999999996,27.75,24.29745283018868,6.35,37.31,7.899056603773585,-2.96,19.51,30.400424528301887,11.57,85.93,18.936839622641507,7.63,30.2,2.6597641509433956,1.14,6.86,58.379999999999995,0.275377358490566,0.0,14.75,46.704,0.22030188679245283,0.0,11.8,9.516088919022605,4.506261432370744,17.89069411665863,0.055151480253270005,7,5,10,71,967.7500415354062,4.564858686487765,1.2259574158409752,7.479224337962941,15.050331966102158,0.07099213191557621,0.0,2.2229482195668204,952.6997095693041,4.493866554572189,0.0,7.479224337962941,150.50331966102158,9526.997095693041,9677.500415354063,921.0460415354063,0.01555187943182488,0.9844481205681751,40.0,12.0,12.0,480.0,3968.75,1905000.0,4.30009484745776,272.19991701980115,276.50001186725893
