Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Empalme,25,Guaymas,147,Berenjena,2016,2017,28.003091,-110.661588,26.0,0,0.0,0.0,719.4633599509077,7.123399603474334,3.291968645368569,10.475008211734,24.385940594059406,14.155,33.86,31.59138613861386,16.74,44.08,17.18049504950495,9.5,25.68,44.319108910891096,20.2,63.86,27.157128712871287,12.05,32.04,2.581584158415841,1.59,3.74,12.16,0.12039603960396039,0.0,10.94,9.728,0.09631683168316832,0.0,8.752,16.648647655848418,8.694393122781513,20.149288010455166,0.01690148613103763,1,1,13,0,674.0267902070277,6.673532576307205,1.9751811872211413,10.9987586223207,2.9511811872211413,0.029219615715060807,0.0,1.9751811872211413,671.0756090198066,6.644312960592145,0.0,10.9987586223207,29.511811872211414,6710.756090198066,6740.267902070277,664.2987902070278,0.004378433068386917,0.9956215669316132,13.1,11.0,11.0,144.1,12260.0,1766666.0,2.252810066581024,512.2714572670279,514.5242673336089
Sonora,Empalme,25,Guaymas,147,Berenjena,2017,2018,28.003091,-110.661588,26.0,1,1.0,0.0,758.1915531321107,7.506847060713968,3.4183931412506023,11.972786456551962,25.300445544554453,19.445,31.075000000000003,32.79287128712872,22.92,39.56,17.808019801980198,11.81,23.86,40.840891089108915,18.45,62.62,27.410693069306927,13.28,31.84,2.5832673267326736,1.31,5.09,0.8200000000000001,0.008118811881188119,0.0,0.46,0.6560000000000001,0.0064950495049504965,0.0,0.36800000000000005,16.635809003235302,8.63196745340343,20.052610058942655,0.0010815208856027965,0,0,35,0,708.2114378305974,7.011994433966311,2.051035884750361,12.57142577937956,0.6560000000000001,0.0064950495049504965,0.0,0.36800000000000005,707.5554378305975,7.005499384461362,2.051035884750361,12.57142577937956,6.560000000000001,7075.554378305975,7082.114378305975,707.5554378305975,0.0009262770480090917,0.9990737229519909,10.0,8.0,8.0,80.0,7947.5,635800.0,0.38095238095238104,410.89165959965015,411.27261198060256
Sonora,Empalme,25,Guaymas,147,Berenjena,2018,2019,28.003091,-110.661588,26.0,4,4.0,1.0,794.8301949162795,7.8696058902601935,3.8718544134139043,13.40947590512976,25.466534653465345,18.325,33.165,32.870198019801975,23.64,41.92,18.062871287128715,10.49,26.4,35.81257425742574,14.0,58.85,26.78336633663366,8.6,31.77,2.7595049504950495,1.52,5.06,0.02,0.00019801980198019803,0.0,0.02,0.016,0.00015841584158415842,0.0,0.016,16.081046285444284,6.696164031049393,19.655478820157576,2.5162607218396662e-05,0,0,28,0,747.33014691416,7.3993083852887125,2.3231126480483426,14.07994970038625,0.016,0.00015841584158415842,0.0,0.016,747.3141469141599,7.399149969447127,2.3071126480483426,14.07994970038625,0.16,7473.141469141599,7473.301469141599,747.31414691416,2.1409547127285627e-05,0.9999785904528726,12.75,26.0,26.0,331.5,8407.09,2786948.78,0.009770992366412214,456.375051550632,456.3848225429984
Sonora,Empalme,25,Guaymas,147,Berenjena,2019,2020,28.003091,-110.661588,26.0,1,1.0,0.0,700.823489776764,6.938846433433307,2.786415983379047,9.836846686761426,23.54123762376238,17.01,31.335,30.632277227722778,20.27,39.81,16.45019801980198,10.17,23.13,44.31851485148514,22.66,69.88,26.36435643564356,5.59,31.53,2.6177227722772276,1.46,4.67,18.289999999999996,0.18108910891089106,0.0,17.49,14.632,0.14487128712871286,0.0,13.991999999999999,16.205912671193243,5.032018813816755,19.981454949213393,0.026097869530352046,1,1,9,0,661.1437073174874,6.545977300173142,1.6718495900274282,10.328689021099498,2.679794796198511,0.02653262174453971,0.0,2.039794796198511,658.4639125212889,6.519444678428603,0.0,10.328689021099498,26.79794796198511,6584.639125212889,6611.437073174874,646.5117073174874,0.004053271273005777,0.9959467287269942,13.36,27.0,27.0,360.6,8053.8,2904199.75,1.70905280369803,419.93871972020975,421.6477725239078
Sonora,Empalme,25,Guaymas,147,Berenjena,2020,2021,28.003091,-110.661588,26.0,0,0.0,0.0,699.6657342219765,6.927383507148282,1.965438627984318,11.521781418644204,24.43420792079208,14.17,33.465,31.249306930693066,17.61,41.95,17.61910891089109,8.71,25.33,46.529207920792075,25.14,81.08,25.73445544554455,4.88,31.51,2.5539603960396042,1.35,4.99,59.78,0.5918811881188119,0.0,29.1,47.824,0.4735049504950495,0.0,23.28,16.008767252686187,4.483520978908895,20.0213595734099,0.08544079990779446,6,2,28,0,670.4599957604315,6.6382177798062525,1.1792631767905908,12.097870489576415,10.222239700956012,0.1012102940688714,0.0,2.584,660.2377560594755,6.537007485737381,0.0,12.097870489576415,102.22239700956011,6602.377560594755,6704.599957604315,622.6359957604316,0.015246606457648545,0.9847533935423514,12.78,29.0,29.0,370.5,8023.75,2972799.97,7.998622614206582,516.6179624878525,524.6165851020592
Sonora,Empalme,25,Guaymas,147,Berenjena,2021,2022,28.003091,-110.661588,26.0,4,3.3333333333333335,1.0,770.6240835738213,7.629941421522983,4.618488492828547,11.436189963532083,24.534108910891085,15.485000000000001,31.705,31.879999999999995,21.67,39.78,17.188217821782178,9.3,25.29,37.796039603960395,16.25,57.5,27.11900990099009,12.64,31.89,2.7609900990099008,1.65,4.45,0.12,0.001188118811881188,0.0,0.08,0.096,0.0009504950495049505,0.0,0.064,16.31841317126354,8.231936130581337,20.3910268239308,0.0001557179467367434,0,0,24,0,724.7565024372856,7.175806954824609,2.771093095697128,12.007999461708687,0.096,0.0009504950495049505,0.0,0.064,724.6605024372856,7.174856459775104,2.739093095697128,12.007999461708687,0.96,7246.605024372856,7247.565024372856,724.6605024372856,0.00013245828037025036,0.9998675417196298,13.13,18.0,18.0,236.36,8135.37,1922876.0,0.0731150038080731,551.9120353673158,551.9851503711238
Sonora,Empalme,25,Guaymas,147,Berenjena,2022,2023,28.003091,-110.661588,26.0,3,2.5,0.6666666666666666,759.96377901514,7.524393851635049,4.430170556255878,11.727615620357914,24.618019801980193,16.095,30.85,32.266039603960394,23.84,40.55,16.97,7.9,24.18,40.62811881188119,17.7,66.31,27.6790099009901,13.24,32.1,2.6848514851485143,1.39,4.37,0.06,0.000594059405940594,0.0,0.06,0.048,0.00047524752475247524,0.0,0.048,16.73700896324441,8.068246132286623,20.12064546020473,7.895113116806148e-05,0,0,22,0,710.8874521021294,7.038489624773558,2.658102333753527,12.31399640137581,0.048,0.00047524752475247524,0.0,0.048,710.8394521021294,7.038014377248806,2.658102333753527,12.31399640137581,0.48,7108.394521021293,7108.874521021293,710.8394521021294,6.75212368119055e-05,0.9999324787631881,14.0,10.0,10.0,140.0,7771.0,1087939.3,0.03428571428571429,507.74246578723523,507.77675150152095
Sonora,Empalme,25,Guaymas,147,Berenjena,2023,2024,28.003091,-110.661588,26.0,2,2.0,0.0,735.2390279337815,7.279594335978034,3.3816948696814872,9.98597253821024,23.960346534653468,15.015,29.71,31.190693069306928,20.15,37.98,16.729999999999997,7.64,22.56,39.383465346534656,19.33,68.28,26.57910891089109,10.64,31.51,2.6590099009900996,1.56,5.0,10.55,0.10445544554455446,0.0,3.6,8.440000000000001,0.08356435643564358,0.0,2.8800000000000003,16.05639720222151,7.5881317599486104,19.97523334682412,0.014349075061546073,3,0,11,0,690.9110220928218,6.840703189037839,2.0290169218088923,10.485271165120752,8.032485640887682,0.07952956080086813,0.0,2.8800000000000003,682.8785364519341,6.761173628236971,0.0,10.485271165120752,80.32485640887683,6828.785364519341,6909.110220928218,682.4710220928217,0.011625933563133318,0.9883740664368666,14.5,4.0,4.0,58.0,8694.83,504299.85,5.539645269577712,470.9507147944373,476.490360064015
Sonora,Empalme,25,Guaymas,147,Calabacita,2010,2011,28.003091,-110.661588,26.0,1,1.0,0.0,772.9934517525782,8.05201512242269,5.023333096752553,10.649724512246678,26.277760416666666,18.59,33.775,33.2675,22.75,41.27,19.288020833333334,11.88,27.85,42.0615625,22.08,67.5,28.913749999999997,15.81,31.9,2.8632291666666667,1.95,5.59,0.51,0.0053125,0.0,0.17,0.40800000000000003,0.00425,0.0,0.136,18.036471288282765,10.940660032072014,20.215894463924307,0.0006597727300841899,0,0,32,0,638.5491577640319,6.6515537267086655,2.5116665483762763,10.117238286634343,0.40800000000000003,0.00425,0.0,0.136,638.141157764032,6.6473037267086665,2.4956665483762763,10.117238286634343,4.08,6381.41157764032,6385.4915776403195,638.1411577640318,0.0006389484584533294,0.9993610515415469,22.0,1150.0,1140.0,25080.0,4500.0,112860000.0,0.18545454545454546,290.06416262001454,290.2496171654691
Sonora,Empalme,25,Guaymas,147,Calabacita,2011,2012,28.003091,-110.661588,26.0,3,3.0,1.0,810.3652902072768,8.4413051063258,5.263000564336997,14.165390457472167,26.954114583333336,17.775,35.765,34.2309375,23.14,43.73,19.677291666666665,11.4,28.8,39.75729166666667,11.81,72.17,28.997083333333336,18.19,32.54,2.8630208333333336,1.55,5.11,48.75000000000001,0.5078125000000001,0.0,21.64,39.00000000000001,0.40625000000000006,0.0,17.312,17.965346465508357,11.831669267591153,20.01959098187152,0.06015805537220213,5,3,43,0,670.5423415713151,6.984816058034532,2.6315002821684983,13.457120934598558,18.756136738506076,0.19537642435943828,0.0,4.642149570639694,651.7862048328091,6.789439633675094,0.0,13.457120934598558,187.56136738506075,6517.86204832809,6705.4234157131505,631.5423415713151,0.027971591912531416,0.9720284080874686,25.0,890.0,690.0,17250.0,5000.0,86250000.0,8.154842060220032,283.3853064490474,291.5401485092674
