Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2011,2012,30.830219,-109.61778,1223.0,957.9723679491335,4.5187375846657245,1.186290794585971,10.607004672385974,13.275990566037738,-8.945,25.095,21.82438679245283,-5.52,33.47,4.727594339622642,-12.37,17.21,37.12844339622641,9.79,78.79,19.32528301886793,5.03,31.13,2.7259433962264157,0.97,7.95,20.73,0.09778301886792454,0.0,6.25,16.584,0.07822641509433963,0.0,5.0,9.90917006838593,3.8716628391385877,17.208172778488137,0.02163945505482547,6,1,0,105,825.72119310122,3.894911288213302,1.186290794585971,7.424903270670182,12.770290794585973,0.06023722072917912,0.0,2.64,812.950902306634,3.834674067484123,0.0,7.424903270670182,0.0,0.0,0.0,809.1371931012201,0.015465620721957833,0.9845343792780421,5.0,10.0,10.0,50.0,14000.0,700000.0,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2012,2013,30.830219,-109.61778,1223.0,881.7969304800563,4.13989169239463,0.8418605580507743,9.477024793790363,12.752840375586857,-0.625,24.99,20.933286384976526,3.83,35.22,4.572394366197183,-5.6,17.71,41.78000000000001,10.74,88.08,18.680140845070422,2.5,30.98,2.5664788732394364,0.78,6.89,128.66,0.604037558685446,0.0,32.78,102.928,0.4832300469483568,0.0,26.224000000000004,9.786845751228922,3.0302957782722624,17.50940585593829,0.1459066090533527,19,6,1,122,755.7168478166133,3.5479664216742406,0.8418605580507743,6.633917355653254,29.913949326624717,0.14044107665082026,0.0,2.4446242065614934,725.8028984899886,3.4075253450234206,0.0,6.633917355653254,0.0,0.0,0.0,652.7888478166133,0.03958354165723696,0.9604164583427631,7.0,15.0,15.0,105.0,20000.0,2100000.0,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2013,2014,30.830219,-109.61778,1223.0,908.7962704652955,4.286774860685356,1.1144903115081428,9.385931013038997,13.254174528301888,-1.125,23.799999999999997,21.45438679245283,4.34,32.8,5.053962264150944,-6.59,15.83,37.61801886792453,7.7,84.38,18.556462264150944,3.81,30.95,2.5627830188679246,0.82,7.47,56.39,0.26599056603773585,0.0,12.82,45.112,0.2127924528301887,0.0,10.256,9.639009314657612,3.5404030590490243,17.026104765121037,0.062049110271027885,11,4,0,96,780.8016294779675,3.683026554141356,1.1144903115081428,6.570151709127297,23.27777179222117,0.1098008103406659,0.0,2.9342264013050245,757.5238576857464,3.5732257438006907,0.0,6.570151709127297,0.0,0.0,0.0,735.6896294779675,0.02981265780372967,0.9701873421962705,6.5,20.0,20.0,130.0,17443.85,2267700.5,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2014,2015,30.830219,-109.61778,1223.0,919.3818513467982,4.336706845975463,1.2059791322631137,9.317458384875936,13.816721698113207,4.165,22.7,21.921179245283025,9.17,31.96,5.712264150943396,-3.01,15.11,39.78051886792453,9.14,82.41,18.33603773584906,4.78,31.15,2.6583018867924526,0.82,6.75,55.71000000000001,0.26278301886792454,0.0,10.66,44.568,0.21022641509433962,0.0,8.528,9.60154012430947,3.768603884250418,17.471204742621477,0.060595061691059805,14,4,0,83,794.09941292046,3.745751947738019,1.2059791322631137,6.522220869413155,28.647925725483212,0.13513172512020383,0.0,3.672942795926165,765.4514871949767,3.610620222617815,0.0,6.522220869413155,0.0,0.0,0.0,749.5314129204601,0.03607599408759756,0.9639240059124022,6.0,20.0,20.0,120.0,19708.33,2364999.6,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2015,2016,30.830219,-109.61778,1223.0,794.4581029747458,3.747443881956348,1.0261592383502487,7.3663356658246135,13.58313679245283,1.9200000000000004,22.815,21.20806603773585,7.5,31.45,5.9582075471698115,-5.11,15.62,51.913066037735845,22.03,86.05,17.700943396226414,2.65,30.95,2.5166037735849054,0.79,6.36,162.32,0.7656603773584906,0.0,32.87,129.856,0.6125283018867924,0.0,26.296,9.691553794289351,3.2094685955277455,17.704596839878832,0.2043153684155448,21,9,0,80,687.6920953361512,3.2438306383780717,1.0261592383502487,5.452120296541782,44.65280751255051,0.21062645053089862,0.0,2.6975683964194794,643.0392878236005,3.033204187847172,0.0,5.452120296541782,0.0,0.0,0.0,557.8360953361512,0.06493139562804448,0.9350686043719553,6.1,1.0,1.0,6.1,18800.0,114680.0,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2016,2017,30.830219,-109.61778,1223.0,864.0816243290129,4.056721240981282,0.9756502656411151,8.709218117965364,13.206924882629107,-0.3849999999999998,26.725,21.190046948356805,4.54,34.2,5.223802816901409,-5.39,19.25,45.139718309859155,15.39,88.01,18.4062441314554,3.73,31.01,2.6487323943661973,1.0,6.48,112.28999999999999,0.5271830985915492,0.0,13.33,89.83200000000002,0.4217464788732395,0.0,10.664000000000001,9.792033782519082,3.558277701242284,17.91319584275251,0.12995300077952332,26,8,0,103,748.4382283679065,3.5137944993798427,0.9756502656411151,6.096452682575754,49.603308223568085,0.23287938133130556,0.0,3.091369827916487,698.8349201443383,3.2809151180485365,0.0,6.096452682575754,0.0,0.0,0.0,658.6062283679065,0.06627575442229389,0.933724245577706,7.0,10.0,10.0,70.0,19000.0,1330000.0,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2017,2018,30.830219,-109.61778,1223.0,926.2121030434237,4.368925014355772,1.0808051867677164,10.421753313961673,14.959599056603773,2.7800000000000002,24.1,22.907311320754715,8.56,34.33,7.01188679245283,-4.76,16.42,43.00801886792452,13.5,87.6,18.38896226415094,2.63,31.33,2.677877358490566,1.03,7.16,97.81,0.4613679245283019,0.0,16.34,78.248,0.36909433962264154,0.0,13.072000000000001,9.75578263944112,3.2109082967387303,17.555021869915517,0.10560216140407568,16,7,0,79,796.0009095381289,3.7547212714062685,1.0808051867677164,7.295227319773171,31.03052824710154,0.14637041625991293,0.0,2.474360072280406,764.9703812910274,3.6083508551463557,0.0,7.295227319773171,0.0,0.0,0.0,717.7529095381288,0.038983031143904945,0.9610169688560951,7.2,10.5,10.5,75.6,13134.11,992938.72,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2018,2019,30.830219,-109.61778,1223.0,969.0863081021413,4.571161830670478,0.8694935870326175,9.664236128175448,15.544198113207548,2.805,25.98,23.55330188679245,7.58,33.53,7.535094339622642,-4.75,19.01,37.039481132075466,10.31,91.04,18.13910377358491,3.39,30.45,2.608301886792453,0.77,6.66,86.57,0.4083490566037736,0.0,20.77,69.256,0.3266792452830189,0.0,16.616,9.466541177086773,3.3818772184353088,17.346783308167698,0.08933156858808447,15,5,0,67,838.2788726570345,3.954145625740729,0.8694935870326175,7.109992236109398,28.638131787315277,0.13508552729865697,0.0,2.9280000000000004,809.6407408697191,3.8190600984420713,0.0,7.109992236109398,0.0,0.0,0.0,769.0228726570346,0.03416301271740629,0.9658369872825936,7.33,12.0,12.0,88.0,11519.05,1013676.4,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2019,2020,30.830219,-109.61778,1223.0,773.1542335349732,3.646953931768741,0.8680255806199471,8.623837354785849,12.526981132075472,-0.2999999999999998,23.79,19.993915094339624,3.99,32.38,5.0600471698113205,-5.35,18.72,51.626367924528296,23.93,88.37,17.105141509433963,3.15,30.5,2.656792452830189,0.88,6.39,193.69,0.9136320754716981,0.0,30.24,154.952,0.7309056603773585,0.0,24.192,9.423268601783318,3.281969971386215,18.219311280783312,0.25051922578813446,34,10,0,103,665.7489662217022,3.1403253123665196,0.8680255806199471,6.0366861483500935,58.515657215325916,0.2760172510156883,0.0,3.9793661503140627,607.2333090063762,2.864308061350831,0.0,6.0366861483500935,0.0,0.0,0.0,510.7969662217022,0.08789447702400115,0.9121055229759988,7.15,20.0,20.0,143.0,12092.31,1729200.33,0.0,0.0,0.0
Sonora,Fronteras,27,Agua Prieta,141,Ajo,2020,2021,30.830219,-109.61778,1223.0,733.3382638560831,3.4429026472116577,0.7512834545364656,8.153668265008202,12.638169014084506,0.7349999999999999,24.39,19.905070422535214,6.3,34.59,5.371267605633802,-5.67,18.26,57.387840375586855,27.55,92.94,17.11422535211268,2.6,30.1,2.615492957746479,0.79,7.01,359.73,1.6888732394366197,0.0,71.37,215.83800000000002,1.0133239436619719,0.0,42.822,9.564533637679258,3.057208917571943,17.807497171760144,0.4905376109906583,30,20,0,102,628.8827469530261,2.9525011594038784,0.7512834545364656,5.7075677855057405,45.30510578346849,0.21270002715243422,0.0,2.4067644219273823,583.5776411695575,2.739801132251444,0.0,5.7075677855057405,0.0,0.0,0.0,413.04474695302605,0.07204062442955288,0.927959375570447,7.29,17.0,17.0,124.0,13626.29,1689659.96,0.0,0.0,0.0
