Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,General Plutarco Elías Calles,70,Caborca,139,Calabaza,2010,2011,31.694984,-112.711749,544.0,1,1.0,0.0,690.8970023795047,6.908970023795047,2.2071203146251577,11.031490322594694,19.44075,9.92,29.900000000000002,27.680099999999992,14.67,39.45,11.2014,2.44,20.93,35.8067,17.15,80.2,27.024100000000004,12.58,32.38,2.8539000000000003,1.2,5.18,39.86000000000001,0.39860000000000007,0.0,18.28,31.888,0.31888,0.0,14.624000000000002,15.799753263408574,8.235727642534165,19.09939159743107,0.05769311469396881,5,3,6,3,607.5429208780173,6.075429208780173,1.1035601573125788,9.60342649314793,14.495485238063305,0.14495485238063305,0.0,4.406566399259446,593.0474356399541,5.93047435639954,0.0,9.60342649314793,144.95485238063304,5930.474356399541,6075.429208780174,575.6549208780173,0.023859195358764972,0.9761408046412352,20.0,8.0,8.0,160.0,3000.0,480000.0,7.247742619031652,296.52371781997704,303.7714604390087
Sonora,General Plutarco Elías Calles,70,Caborca,139,Calabaza,2011,2012,31.694984,-112.711749,544.0,2,2.0,0.0,755.7527979405717,7.557527979405717,2.9314598252805824,10.948110283592705,21.437549999999998,10.325,28.815,29.748,14.52,38.35,13.127100000000002,3.97,20.34,27.4645,8.17,67.62,27.144299999999998,10.55,32.72,2.849100000000001,1.49,5.3,15.35,0.1535,0.0,11.95,12.280000000000001,0.1228,0.0,9.56,15.46327127704894,7.511094359830421,19.367328645859963,0.020310874193028183,3,1,14,1,656.9291189959306,6.569291189959306,2.1382204919935055,10.829348508154801,5.6514598252805825,0.056514598252805824,0.0,2.9314598252805824,651.27765917065,6.5127765917065,0.0,10.829348508154801,56.514598252805825,6512.776591706501,6569.291189959306,644.6491189959306,0.008602845667609372,0.9913971543323907,20.0,5.0,5.0,100.0,3900.0,390000.0,2.8257299126402913,325.638829585325,328.4645594979653
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2011,2012,31.694984,-112.711749,544.0,2,2.0,0.0,1791.276206574133,7.754442452701875,2.5825169354331794,12.656957827353665,24.821818181818184,0.7450000000000001,37.6,32.499350649350646,5.83,45.92,17.14428571428571,-4.34,29.5,31.956017316017316,8.17,67.62,25.703636363636363,7.32,32.72,2.861991341991342,1.43,6.05,117.39999999999999,0.5082251082251081,0.0,14.39,93.91999999999999,0.40658008658008654,0.0,11.512,15.106217222379708,5.4147445552941615,19.56662907442252,0.0655398645776303,30,5,105,14,1324.2493745367656,5.7326812750509335,1.2912584677165897,12.024109935985981,66.65697955218359,0.2885583530397558,0.0,4.28,1257.592394984582,5.444122922011177,0.0,11.359724269630965,666.5697955218359,12575.92394984582,13242.493745367656,1230.3293745367655,0.05033567002854036,0.9496643299714596,6.2,50.0,50.0,310.0,36030.0,11169300.0,107.51125734223159,2028.3748306202933,2135.886087962525
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2012,2013,31.694984,-112.711749,544.0,2,2.0,0.0,1703.483384030646,7.342600793235543,1.6882518205546466,12.668375072440433,24.656099137931037,7.955,35.83,32.0476724137931,11.47,43.36,17.264525862068965,2.72,28.98,36.94788793103448,10.38,82.36,25.100474137931034,9.91,32.75,2.719612068965517,1.27,6.45,242.42,1.0449137931034482,0.0,24.41,193.936,0.8359310344827586,0.0,19.528000000000002,14.933881267858196,6.872441944294966,19.488236915344142,0.14230840304788014,45,13,96,10,1292.466165244119,5.570974850190169,0.8441259102773233,12.034956318818411,88.90555106343902,0.3832135821699958,0.0,5.72753974780399,1203.5606141806802,5.187761268020173,0.0,12.034956318818411,889.0555106343902,12035.606141806802,12924.661652441193,1098.5301652441192,0.06878752686469489,0.9312124731353052,8.2,45.0,45.0,369.0,30100.0,11106900.0,108.42140373590125,1467.7568465618053,1576.1782502977067
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2013,2014,31.694984,-112.711749,544.0,3,2.2857142857142856,0.42857142857142855,1757.090502867746,7.606452393366865,1.8457600590231307,12.367914873333705,24.894350649350656,7.48,35.22,32.378181818181815,10.04,43.11,17.41051948051948,0.08,28.52,35.41632034632035,8.63,75.73,25.167532467532467,9.33,32.84,2.8373593073593075,0.92,6.27,202.01,0.8745021645021644,0.0,28.61,161.608,0.6996017316017317,0.0,22.888,14.963142126993553,5.6759150604445345,19.227985699818085,0.1149684661491822,35,12,102,15,1326.1925422703289,5.74109325658151,0.9228800295115653,11.74951912966702,85.05826402563511,0.3682175931845676,0.0,7.799514802138466,1241.1342782446936,5.372875663396942,0.0,11.74951912966702,850.5826402563512,12411.342782446936,13261.925422703287,1164.584542270329,0.06413719072799384,0.935862809272006,7.4,45.0,45.0,333.0,34800.0,11588400.0,114.94360003464205,1677.2084841144508,1792.1520841490928
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2014,2015,31.694984,-112.711749,544.0,2,1.6666666666666667,0.0,1757.8372276614796,7.609684968231513,2.0883107402159915,12.616135536388049,25.530238095238094,9.795,35.805,32.858311688311694,15.11,42.57,18.202164502164504,3.39,29.04,35.271125541125535,7.34,82.96,25.19220779220779,8.82,32.52,2.739047619047619,1.14,6.23,237.51,1.028181818181818,0.0,29.41,190.008,0.8225454545454546,0.0,23.528000000000002,14.949867367183794,6.465563009568413,19.59347824396287,0.1351148992992764,35,15,101,3,1333.101164272001,5.771000711134203,1.0441553701079958,11.985328759568645,79.47317058351472,0.3440396994957347,0.0,7.144,1253.6279936884862,5.426961011638468,0.0,11.985328759568645,794.7317058351472,12536.279936884861,13331.011642720008,1143.0931642720009,0.0596152585516003,0.9403847414483997,7.5,45.0,45.0,337.5,38000.0,12825000.0,105.96422744468629,1671.503991584648,1777.4682190293343
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2015,2016,31.694984,-112.711749,544.0,0,0.0,0.0,1649.6685908468248,7.141422471198376,1.8820548705441906,12.471573702080791,25.30952380952381,12.440000000000001,36.629999999999995,32.231904761904765,16.77,43.73,18.38714285714286,6.25,29.53,41.09229437229437,13.6,81.9,24.601904761904766,7.49,32.15,2.816017316017316,0.84,5.8,168.66,0.7301298701298701,0.0,12.38,134.92800000000003,0.5841038961038962,0.0,9.904000000000002,14.970565139384508,5.475446422344558,19.79197256037037,0.10223871687671626,40,10,89,0,1222.0274884134083,5.290162287503932,0.9410274352720953,11.847995016976752,104.7302617061967,0.45337775630388183,0.0,6.95719156137833,1117.2972267072114,4.836784531200049,0.0,11.847995016976752,1047.3026170619669,11172.972267072113,12220.27488413408,1087.0994884134082,0.0857020506487713,0.9142979493512285,7.8,78.0,45.0,351.0,31095.24,10914429.24,134.26956628999577,1432.4323419323223,1566.701908222318
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2016,2017,31.694984,-112.711749,544.0,3,1.9285714285714286,0.07142857142857142,1786.491400228485,7.70039396650209,3.1904451930610285,13.30689179618696,25.508556034482762,6.735,37.56,33.08094827586207,13.0,47.16,17.93616379310345,0.47,29.41,34.23961206896551,9.69,73.7,25.664396551724135,8.97,32.68,2.8179741379310346,1.41,5.33,155.40999999999997,0.6698706896551723,0.0,21.76,124.328,0.535896551724138,0.0,17.408,15.197980523190758,6.673951448226536,19.587011213016186,0.08699174257436877,28,12,94,4,1321.951772575183,5.6980679852378575,1.1540338120926732,12.641547206377611,73.93136116864575,0.31866966020967996,0.0,5.864000000000001,1248.0204114065373,5.379398325028178,0.0,12.641547206377611,739.3136116864575,12480.204114065373,13219.51772575183,1197.623772575183,0.05592591401774536,0.9440740859822546,8.87,515.0,515.0,4570.0,35686.02,163085111.24,83.34989985191179,1407.0128651708426,1490.3627650227543
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2017,2018,31.694984,-112.711749,544.0,2,1.2666666666666666,0.0,1727.0793135347076,7.476533824825574,1.6679181321366892,11.941399439192084,25.743852813852815,11.365,37.085,33.128961038961044,13.95,46.33,18.358744588744592,3.95,28.51,37.26601731601731,8.87,81.45,25.369696969696967,5.12,33.65,2.676883116883117,1.02,6.46,194.03,0.83995670995671,0.0,21.73,155.224,0.6719653679653679,0.0,17.384,15.174100301716448,4.432816988996361,19.80112035534625,0.11234573796318055,37,14,108,2,1280.6376130527392,5.5438857707910785,0.8339590660683446,11.344329467232479,104.26339373363248,0.45135668282957786,0.0,7.163412753675927,1176.374219319107,5.092529087961502,0.0,11.344329467232479,1042.6339373363248,11763.742193191069,12806.376130527393,1125.4136130527393,0.08141522056742738,0.9185847794325728,9.3,960.0,960.0,8931.6,37742.85,337104054.65,112.11117605766933,1264.918515396889,1377.0296914545584
Sonora,General Plutarco Elías Calles,70,Caborca,139,Espárrago,2018,2019,31.694984,-112.711749,544.0,4,3.3333333333333335,1.0,1742.8551003605487,7.54482727428809,1.3772788283991653,12.485176007381183,25.43080086580087,8.71,38.25,32.781385281385276,14.55,44.93,18.080216450216454,0.94,31.79,35.723636363636366,7.26,88.14,25.15839826839827,5.79,32.97,2.6938961038961042,1.01,6.07,197.42,0.8546320346320346,0.0,14.85,157.936,0.6837056277056277,0.0,11.88,14.98785349642096,4.678660151714713,19.969381352735,0.11327390324024024,38,13,100,8,1311.096724186093,5.675743394744992,0.6886394141995826,11.860917207012124,101.9969398004533,0.4415451939413563,0.0,6.805331413052508,1209.0997843856396,5.234198200803634,0.0,11.860917207012124,1019.9693980045331,12090.997843856396,13110.96724186093,1153.1607241860931,0.0777951297710482,0.9222048702289517,9.05,965.0,965.0,8734.0,37913.88,331139839.8,112.70380088447878,1336.0218611996017,1448.7256620840806
