Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2010,2011,29.751508,-109.342322,806.0,329.53728631600575,3.5057158118724017,1.093539658342341,6.9774316531830545,11.801010638297871,4.904999999999999,18.939999999999998,19.452765957446807,10.35,29.91,4.149255319148937,-2.8,10.07,51.19180851063829,26.61,89.94,18.241702127659575,4.06,27.58,2.1669148936170215,1.05,7.27,146.58,1.5593617021276598,0.0,39.5,117.26400000000001,1.2474893617021279,0.0,31.6,10.032005736370387,3.7485373750437403,15.884004531359917,0.44480550786425704,16,7,0,61,329.95793910230975,3.5101908415139333,0.32806189750270226,8.024046401160511,31.545787085459366,0.33559347963254643,0.0,2.9846488505741653,298.41215201685037,3.174597361881387,0.0,8.024046401160511,315.4578708545937,2984.1215201685036,3299.5793910230973,212.69393910230974,0.0956054798114071,0.9043945201885929,18.0,2.0,2.0,36.0,400.0,14400.0,17.52543726969965,165.7845288982502,183.30996616794982
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2011,2012,29.751508,-109.342322,806.0,662.9073596243338,4.222339870218687,1.139541616398736,8.199733290870736,14.695254777070062,-4.35,23.73,23.148471337579622,-0.27,33.64,6.24203821656051,-8.43,14.36,31.70528662420382,12.23,84.42,18.25872611464968,6.25,27.19,2.0363057324840765,1.07,6.79,15.93,0.10146496815286624,0.0,9.88,12.744,0.081171974522293,0.0,7.904000000000001,8.885063656408922,4.3606167794201145,14.919642586325724,0.024030507081754904,4,1,0,56,607.3877662614568,3.8687118870156487,0.9481747181089283,7.3797599617836624,6.150472858858547,0.03917498636215635,0.0,1.736,601.2372934025983,3.8295369006534923,0.0,7.3797599617836624,0.0,0.0,0.0,594.6437662614568,0.010126105925240199,0.9898738940747599,11.0,155.0,60.0,660.0,500.0,330000.0,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2012,2013,29.751508,-109.342322,806.0,574.4580297063131,3.6358103145969185,0.8417227690959989,7.581313152217659,13.292626582278478,2.86,22.18,21.11082278481013,7.08,31.86,5.474430379746836,-3.24,14.58,43.55626582278481,11.28,92.56,17.220759493670887,2.99,28.78,1.9953164556962024,0.89,5.04,160.07000000000002,1.013101265822785,0.0,33.25,128.056,0.8104810126582279,0.0,26.6,8.841360400145106,3.2250206181896233,15.510887052283367,0.2786452477334758,14,9,0,65,523.7251604241176,3.3147162052159342,0.27809827841167023,6.823181836995893,20.97920736359328,0.13277979344046378,0.0,2.874544226875852,502.7459530605243,3.18193641177547,0.0,6.823181836995893,0.0,0.0,0.0,395.66916042411754,0.04005766564013102,0.959942334359869,9.5,60.0,60.0,570.0,400.0,228000.0,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2013,2014,29.751508,-109.342322,806.0,615.5170646255784,3.920490857487761,1.3932761001700096,7.382005919874801,14.582929936305732,1.3850000000000002,22.71,22.625477707006368,8.21,33.08,6.540382165605095,-5.44,16.6,35.301464968152864,10.99,83.5,17.070509554140127,4.78,28.23,1.9316560509554142,0.98,4.6,49.82000000000001,0.31732484076433126,0.0,14.97,39.856,0.253859872611465,0.0,11.976,8.583522959552083,4.082127409559321,15.202320970957967,0.08094007926539895,10,3,0,60,561.0700041327668,3.5736942938392793,0.7473469751855494,6.64380532788732,22.32796759178366,0.142216354087794,0.0,3.5032870074321427,538.7420365409832,3.4314779397514856,0.0,6.64380532788732,0.0,0.0,0.0,521.2140041327668,0.039795332894859516,0.9602046671051406,10.8,70.0,70.0,756.0,487.04,368202.24,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2014,2015,29.751508,-109.342322,806.0,616.1086283734414,3.9242587794486714,0.9782021927653985,7.86222772170494,15.579299363057327,5.369999999999999,22.45,23.28917197452229,9.2,31.72,7.869426751592357,0.43,15.02,40.045668789808914,13.76,88.12,16.759999999999998,4.34,27.47,1.9766878980891722,0.87,3.79,66.86999999999999,0.4259235668789808,0.0,12.99,53.49600000000001,0.3407388535031848,0.0,10.392000000000001,8.603048413213125,3.7345060059248247,15.380815310768941,0.10853605504039156,12,5,0,39,567.6595105333612,3.615665672187014,0.5929391452797056,7.076004949534446,20.715119771710704,0.1319434380363739,0.0,3.572298184020385,546.9443907616505,3.4837222341506404,0.0,7.076004949534446,0.0,0.0,0.0,514.1635105333612,0.03649215663144127,0.9635078433685589,15.0,50.0,50.0,750.0,340.0,255000.0,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2015,2016,29.751508,-109.342322,806.0,554.0584296325512,3.529034583646823,1.076037340210139,6.495766703741488,15.465063694267512,5.755,23.515,22.80044585987261,10.25,32.55,8.129681528662422,-2.36,17.26,47.38675159235668,24.46,87.59,16.069426751592356,3.05,26.95,1.8615923566878982,0.89,4.51,151.86999999999998,0.967324840764331,0.0,26.88,121.49600000000001,0.773859872611465,0.0,21.504,8.538253253929728,3.362952717128524,15.942217020046563,0.27410466455806726,17,10,0,29,511.6948177920841,3.259202661096077,0.7718704099396098,5.846190033367339,34.05810757712279,0.21693062151033624,0.0,3.014963180897032,477.6367102149613,3.0422720395857406,0.0,5.846190033367339,0.0,0.0,0.0,390.1988177920841,0.06655941469972351,0.9334405853002764,13.21,45.0,45.0,594.45,327.0,194385.15,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2016,2017,29.751508,-109.342322,806.0,586.6347671466687,3.7128782730801815,1.2074678947164372,7.774903868616167,14.279430379746833,2.15,21.57,22.33025316455696,8.33,31.7,6.228607594936709,-4.29,14.41,43.51177215189874,15.3,86.34,17.285126582278483,2.85,28.32,1.9186708860759496,0.85,4.38,123.88999999999999,0.7841139240506328,0.0,19.06,99.112,0.6272911392405063,0.0,15.248,8.927628728233909,3.219693382002859,15.423322870892033,0.21118761951765702,20,10,0,55,542.1659276103192,3.4314299215842983,0.3622403684149312,6.99741348175455,31.167458051783328,0.19726239273280588,0.0,3.2053681799654616,510.9984695585358,3.2341675288514926,0.0,6.99741348175455,0.0,0.0,0.0,443.0539276103192,0.05748693612886881,0.9425130638711312,16.0,60.0,60.0,960.0,373.0,358080.0,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2017,2018,29.751508,-109.342322,806.0,616.1733878681573,3.9246712603067344,1.1134594249082819,7.946374480109861,16.156687898089174,6.6450000000000005,25.189999999999998,23.747579617834393,11.49,33.6,8.565796178343948,-1.71,19.07,41.75917197452229,19.06,86.47,16.827770700636943,2.87,27.95,1.990191082802548,0.96,5.47,84.01,0.5350955414012739,0.0,16.19,67.208,0.4280764331210191,0.0,12.952000000000002,8.707616813132606,3.0945449210157783,15.573671922456159,0.1363414935699489,15,6,0,36,558.169303034948,3.5552184906684587,1.023921241856255,7.1517370320988745,27.69643069721961,0.17641038660649433,0.0,2.7439338714161794,530.4728723377284,3.378808104061964,0.0,7.1517370320988745,0.0,0.0,0.0,490.96130303494806,0.04962012519611005,0.95037987480389,16.5,35.0,35.0,577.5,537.71,310527.53,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2018,2019,29.751508,-109.342322,806.0,628.8593086021077,4.005473303198138,1.0580806607065762,7.872700762580458,16.826496815286625,6.965,25.35,24.51980891719745,11.35,33.81,9.133184713375798,-0.82,16.89,37.35165605095541,13.55,89.15,16.52624203821656,3.69,28.02,1.9237579617834393,0.92,4.64,83.69999999999999,0.5331210191082801,0.0,34.64,66.96000000000001,0.42649681528662425,0.0,27.712000000000003,8.429072258873623,3.500870473723631,15.087021091389133,0.13309813316758695,12,5,0,29,578.5135785991998,3.684799863689171,1.015456347688004,7.085430686322413,23.390862519267607,0.14898638547304208,0.0,2.3760000000000003,555.1227160799323,3.535813478216129,0.0,7.085430686322413,0.0,0.0,0.0,511.5535785991998,0.04043269403616374,0.9595673059638363,16.8,30.0,30.0,504.0,641.9,323517.6,0.0,0.0,0.0
Sonora,Granados,28,Moctezuma,143,Avena forrajera en verde,2019,2020,29.751508,-109.342322,806.0,510.33952603124794,3.2505702294983947,0.8269127679920667,6.3740965044362285,13.693280254777068,3.0549999999999997,20.78,20.812675159235667,8.52,29.59,6.573885350318471,-3.58,14.37,50.09668789808917,28.75,89.18,15.836305732484078,3.06,27.38,1.8217197452229295,0.73,5.44,179.07999999999998,1.140636942675159,0.0,32.73,143.264,0.9125095541401275,0.0,26.183999999999997,8.510647470234739,3.2587050464950185,15.926532578247052,0.35090364525093626,21,10,0,46,465.3048702658102,2.9637252883172627,0.7252050568939862,5.736686853992606,38.22677315002733,0.24348263152883648,0.0,2.9107994338052983,427.07809711578284,2.7202426567884257,0.0,5.736686853992606,0.0,0.0,0.0,322.0408702658102,0.08215425110033747,0.9178457488996624,17.8,25.0,25.0,445.0,634.43,282321.35,0.0,0.0,0.0
