Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Guaymas,29,Guaymas,147,Berenjena,2013,2014,27.921644,-110.899406,8.0,1,1.0,0.0,764.0787097792157,7.565135740388275,3.989702060404808,11.515508793733527,24.70450495049505,15.559999999999999,31.520000000000003,32.2230693069307,21.08,40.15,17.185940594059407,9.55,23.31,39.88762376237624,16.19,65.85,27.409603960396037,12.54,31.24,2.707623762376238,1.59,5.16,0.22999999999999998,0.002277227722772277,0.0,0.18,0.184,0.0018217821782178217,0.0,0.144,16.577077249243086,8.253719698162397,20.10356802111985,0.0003010161087546329,0,0,20,0,712.912352078713,7.058538139393198,2.393821236242885,12.091284233420204,0.184,0.0018217821782178217,0.0,0.144,712.728352078713,7.05671635721498,2.393821236242885,12.091284233420204,1.8399999999999999,7127.28352078713,7129.1235207871305,712.728352078713,0.0002580962434771848,0.9997419037565228,0.0,10.0,0.0,0.0,0.0,0.0,,,
Sonora,Guaymas,29,Guaymas,147,Berenjena,2014,2015,27.921644,-110.899406,8.0,1,1.0,0.0,765.4037811703222,7.578255259112101,3.994079608286763,12.014585255917979,25.332376237623762,18.695,35.83,32.56,22.37,44.0,18.104752475247523,11.73,28.18,39.036237623762375,12.22,68.52,26.0370297029703,12.78,30.95,2.704851485148515,1.51,5.82,0.29000000000000004,0.0028712871287128717,0.0,0.28,0.23200000000000004,0.0022970297029702973,0.0,0.22400000000000003,15.823101328863725,8.61032971411675,20.10347038997983,0.0003788849848070812,0,0,28,0,723.3494286999521,7.1618755316826945,2.3964477649720575,12.615314518713879,0.23200000000000004,0.0022970297029702973,0.0,0.22400000000000003,723.1174286999521,7.159578501979724,2.3964477649720575,12.615314518713879,2.3200000000000003,7231.174286999521,7233.494286999521,723.1174286999521,0.0003207301904101378,0.9996792698095899,10.0,2.0,2.0,20.0,9900.0,198000.0,0.23200000000000004,723.1174286999521,723.3494286999521
Sonora,Guaymas,29,Guaymas,147,Berenjena,2016,2017,27.921644,-110.899406,8.0,1,1.0,0.0,713.9008348158252,7.0683250971863885,3.5463177133856654,10.483355298056354,24.385940594059406,14.155,33.86,31.59138613861386,16.74,44.08,17.18049504950495,9.5,25.68,44.319108910891096,20.2,63.86,26.72356435643565,9.09,31.14,2.581584158415841,1.59,3.74,12.16,0.12039603960396039,0.0,10.94,9.728,0.09631683168316832,0.0,8.752,16.42410109673214,7.064008729994711,19.933278544978883,0.01703317800873154,1,1,13,0,668.42188299641,6.6180384455090095,2.127790628031399,11.007523062959173,3.103790628031399,0.030730600277538603,0.0,2.127790628031399,665.3180923683786,6.5873078452314715,0.0,11.007523062959173,31.03790628031399,6653.180923683786,6684.2188299641,658.69388299641,0.004643460525435953,0.9953565394745642,13.4,1.0,1.0,13.4,12500.0,167500.0,2.3162616627099992,496.50603908087953,498.82230074358955
Sonora,Guaymas,29,Guaymas,147,Berenjena,2017,2018,27.921644,-110.899406,8.0,2,2.0,0.0,754.8875480087295,7.4741341387002915,3.1576537789223122,11.926746894993444,25.300445544554453,19.445,31.075000000000003,32.79287128712872,22.92,39.56,17.808019801980198,11.81,23.86,40.840891089108915,18.45,62.62,27.153168316831685,11.07,31.35,2.5832673267326736,1.31,5.09,0.8200000000000001,0.008118811881188119,0.0,0.46,0.6560000000000001,0.0064950495049504965,0.0,0.36800000000000005,16.505299365012682,7.5700919583466995,19.804524962502743,0.0010862545052743638,0,0,35,0,704.8365924478802,6.9785801232463385,1.8945922673533873,12.523084239743117,0.6560000000000001,0.0064950495049504965,0.0,0.36800000000000005,704.1805924478803,6.972085073741389,1.8945922673533873,12.523084239743117,6.560000000000001,7041.805924478803,7048.365924478803,704.1805924478803,0.0009307121778705164,0.9990692878221296,10.5,6.0,6.0,63.0,7987.3,503199.9,0.6247619047619049,670.6481832836955,671.2729451884575
Sonora,Guaymas,29,Guaymas,147,Berenjena,2018,2019,27.921644,-110.899406,8.0,4,4.0,1.0,788.8080421769489,7.809980615613355,3.0637494786630532,13.272717645412325,25.466534653465345,18.325,33.165,32.870198019801975,23.64,41.92,18.062871287128715,10.49,26.4,35.81257425742574,14.0,58.85,26.308514851485146,7.97,31.04,2.7595049504950495,1.52,5.06,0.02,0.00019801980198019803,0.0,0.02,0.016,0.00015841584158415842,0.0,0.016,15.830352525663884,6.261566439359703,19.279749943463024,2.5354711071155016e-05,0,0,28,0,740.8988325993475,7.3356320059341344,1.8382496871978318,13.936353527682941,0.016,0.00015841584158415842,0.0,0.016,740.8828325993477,7.335473590092551,1.8222496871978318,13.936353527682941,0.16,7408.828325993477,7408.988325993477,740.8828325993476,2.1595391025068935e-05,0.9999784046089751,12.25,14.0,14.0,171.5,8170.84,1401299.87,0.013061224489795919,604.8023123259982,604.815373550488
Sonora,Guaymas,29,Guaymas,147,Berenjena,2019,2020,27.921644,-110.899406,8.0,1,1.0,0.0,698.5855073528634,6.916688191612509,2.9332166013328465,9.721523488368225,23.54123762376238,17.01,31.335,30.632277227722778,20.27,39.81,16.45019801980198,10.17,23.13,44.31851485148514,22.66,69.88,26.216039603960393,6.48,30.73,2.6177227722772276,1.46,4.67,18.289999999999996,0.18108910891089106,0.0,17.49,14.632,0.14487128712871286,0.0,13.991999999999999,16.12664568177633,5.451858332201394,19.703130367241588,0.026181476437016193,1,1,9,0,658.5442123380681,6.5202397261194855,1.7599299607997079,10.207599662786636,2.8770387319275628,0.0284855319992828,0.0,2.2370387319275626,655.6671736061405,6.491754194120203,0.0,10.207599662786636,28.770387319275628,6556.671736061406,6585.442123380682,643.9122123380681,0.004368785994964626,0.9956312140050354,14.13,19.0,19.0,268.4,7961.57,2136884.46,1.9097502369250332,435.2254720253173,437.13522226224234
Sonora,Guaymas,29,Guaymas,147,Berenjena,2020,2021,27.921644,-110.899406,8.0,1,1.0,0.0,692.4057124389635,6.855502103356074,2.1373962944195775,11.494943034671833,24.43420792079208,14.17,33.465,31.249306930693066,17.61,41.95,17.61910891089109,8.71,25.33,46.529207920792075,25.14,81.08,25.192376237623762,6.16,30.76,2.5539603960396042,1.35,4.99,59.78,0.5918811881188119,0.0,29.1,47.824,0.4735049504950495,0.0,23.28,15.719464288442087,5.22014727109686,19.69362344795675,0.08633666494377701,6,2,28,0,663.0401578676044,6.564754038293113,1.2824377766517465,12.069690186405424,10.434736383302605,0.10331422161685748,0.0,2.584,652.6054214843017,6.461439816676254,0.0,12.069690186405424,104.34736383302605,6526.054214843017,6630.401578676043,615.2161578676045,0.01573771401246892,0.9842622859875308,13.83,20.0,20.0,276.5,8309.23,2297500.74,7.498912240964862,468.99419438325674,476.4931066242216
Sonora,Guaymas,29,Guaymas,147,Berenjena,2021,2022,27.921644,-110.899406,8.0,4,3.3333333333333335,1.0,766.9058066172678,7.59312679819077,4.281759979312467,11.434211089102885,24.534108910891085,15.485000000000001,31.705,31.879999999999995,21.67,39.78,17.188217821782178,9.3,25.29,37.796039603960395,16.25,57.5,26.80029702970297,12.35,31.16,2.7609900990099008,1.65,4.45,0.12,0.001188118811881188,0.0,0.08,0.096,0.0009504950495049505,0.0,0.064,16.152705024841122,8.153311855297218,19.968466373719025,0.00015647293183149313,0,0,24,0,721.0869329908626,7.139474584067946,2.56905598758748,12.005921643558029,0.096,0.0009504950495049505,0.0,0.064,720.9909329908625,7.13852408901844,2.50505598758748,12.005921643558029,0.96,7209.909329908624,7210.869329908624,720.9909329908626,0.00013313235285213038,0.9998668676471477,14.3,17.0,17.0,243.05,8865.66,2154799.82,0.07164179104477611,538.0529350678078,538.1245768588525
Sonora,Guaymas,29,Guaymas,147,Berenjena,2022,2023,27.921644,-110.899406,8.0,3,2.5,0.6666666666666666,754.5933379303717,7.4712211676274425,4.832360173448157,11.552098392144488,24.618019801980193,16.095,30.85,32.266039603960394,23.84,40.55,16.97,7.9,24.18,40.62811881188119,17.7,66.31,27.256633663366337,17.33,31.14,2.6848514851485143,1.39,4.37,0.06,0.000594059405940594,0.0,0.06,0.048,0.00047524752475247524,0.0,0.048,16.517496936020912,9.64283844322668,19.712673644678986,7.951302639983862e-05,0,0,22,0,705.1038529056844,6.981226266392915,2.899416104068894,12.129703311751713,0.048,0.00047524752475247524,0.0,0.048,705.0558529056844,6.980751018868163,2.899416104068894,12.129703311751713,0.48,7050.558529056844,7051.038529056844,705.0558529056844,6.807507830540892e-05,0.9999319249216946,13.2,12.0,12.0,158.4,8842.93,1400719.36,0.038866396761133605,570.8954274539955,570.9342938507566
Sonora,Guaymas,29,Guaymas,147,Berenjena,2023,2024,27.921644,-110.899406,8.0,2,2.0,0.0,730.7823896576474,7.235469204531162,2.6998623882903834,9.97912559346705,23.960346534653468,15.015,29.71,31.190693069306928,20.15,37.98,16.729999999999997,7.64,22.56,39.383465346534656,19.33,68.28,26.237227722772285,6.87,30.61,2.6590099009900996,1.56,5.0,10.55,0.10445544554455446,0.0,3.6,8.440000000000001,0.08356435643564358,0.0,2.8800000000000003,15.875225804492882,5.722925362809856,19.708072994291623,0.01443658214717298,3,0,11,0,685.7952982413639,6.790052457835285,1.61991743297423,10.478081873140402,7.61991743297423,0.07544472705915078,0.0,2.8800000000000003,678.1753808083898,6.714607730776137,0.0,10.478081873140402,76.1991743297423,6781.753808083899,6857.952982413641,677.3552982413638,0.011111066891993213,0.9888889331080071,14.28,6.0,6.0,85.68,9121.81,781556.8,6.045154647341714,538.0209288444188,544.0660834917605
