Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Hermosillo,30,Hermosillo,144,Brócoli,2010,2011,29.09,-110.96,215.0,671.6508044683544,4.938608856384959,2.0618457286792804,9.097734274311753,23.042279411764707,12.540000000000001,32.88,30.29242647058824,18.46,42.27,15.792132352941177,5.07,26.43,42.466911764705884,19.23,78.71,16.876985294117645,6.28,24.43,2.162205882352941,1.13,4.8,78.1,0.5742647058823529,0.0,10.5,62.480000000000004,0.4594117647058824,0.0,8.4,9.254566330892898,5.076274063640509,16.027133152171537,0.11628066173734444,15,6,35,0,620.727333586585,4.564171570489596,1.678849843994361,7.239449960400356,41.15691027074173,0.3026243402260422,0.0,4.727163999568378,579.5704233158432,4.261547230263552,0.0,7.239449960400356,0.0,0.0,0.0,558.247333586585,0.06630433049070937,0.9336956695092905,20.02,20.0,20.0,400.4,4700.0,1881880.0,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Brócoli,2011,2012,29.09,-110.96,215.0,671.3382971774834,4.936311008657966,1.9176970734749286,9.526626296223428,23.11900735294118,12.2,35.17,30.328676470588242,17.41,42.81,15.909338235294118,4.37,27.53,44.19654411764706,14.39,86.83,17.40220588235294,5.15,25.29,2.1149999999999998,1.21,4.91,48.62,0.3575,0.0,15.63,38.896,0.28600000000000003,0.0,12.504000000000001,9.55493278865249,4.477722607010031,16.77303736756736,0.07242250323631724,10,3,36,2,621.7335550879645,4.571570257999739,1.34238795143245,10.0029576110346,24.49998664682624,0.18014696063842825,0.0,4.4159999999999995,597.2335684411382,4.39142329736131,0.0,10.0029576110346,0.0,0.0,0.0,582.8375550879646,0.039405926294841714,0.9605940737051581,21.0,20.0,20.0,420.0,4700.0,1974000.0,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Brócoli,2012,2013,29.09,-110.96,215.0,681.6185954817747,5.0119014373659905,1.440434414974031,8.91358539115117,22.661139705882352,8.82,35.364999999999995,29.953308823529408,15.34,42.44,15.368970588235292,2.3,28.29,45.33036764705883,17.56,80.5,17.204632352941175,2.71,24.96,2.275808823529412,1.18,5.35,146.1,1.074264705882353,0.0,54.11,116.88000000000001,0.8594117647058824,0.0,43.288000000000004,9.47782973122778,3.115177365715004,16.882371748254112,0.21434274382836502,17,7,51,5,627.0741360116069,4.610839235379463,1.5124561357227324,9.359264660708728,42.50167855589601,0.31251234232276476,0.0,4.359392102159014,584.572457455711,4.298326893056698,0.0,9.359264660708728,0.0,0.0,0.0,510.19413601160693,0.06777775723014243,0.9322222427698577,19.0,35.0,35.0,665.0,4735.0,3148775.0,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Brócoli,2013,2014,29.09,-110.96,215.0,629.0377768996825,4.625277771321195,1.9464321954905348,8.174448640986537,22.800477941176467,8.125,31.695,29.69816176470588,15.04,39.63,15.902794117647057,1.21,26.31,47.628308823529416,20.91,89.35,16.775000000000002,4.56,24.43,2.039485294117647,0.94,4.2,90.03999999999999,0.6620588235294117,0.0,26.67,72.032,0.5296470588235294,0.0,21.336000000000002,9.428893728952618,3.849855887772512,16.715815190122264,0.1431392569835426,12,6,26,6,584.85755793104,4.300423220081177,1.8211754082641736,6.633260780274887,32.91027771116656,0.2419873361115188,0.0,4.566729214676066,551.9472802198734,4.058435883969658,0.0,6.633260780274887,0.0,0.0,0.0,512.82555793104,0.056270586341720795,0.9437294136582791,18.93,21.0,21.0,397.53,4639.68,1844411.99,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Acelga,2010,2011,29.09,-110.96,215.0,711.3605729003535,4.839187570750704,1.8248707832588793,9.097734274311753,22.533843537414963,12.540000000000001,32.88,29.708775510204084,17.75,42.27,15.35891156462585,5.07,26.43,43.241088435374145,19.23,82.57,16.54795918367347,5.65,24.43,2.2591156462585036,1.13,6.61,113.25999999999999,0.7704761904761904,0.0,22.97,90.608,0.6163809523809524,0.0,18.376,9.05996004561388,4.396960093499734,16.027133152171537,0.1592160211216335,19,8,35,0,661.3590890652231,4.499041422212402,1.7336272440959353,8.400909350662337,51.548229671474886,0.35066822905765227,0.0,4.727163999568378,609.8108593937483,4.14837319315475,0.0,8.400909350662337,0.0,0.0,0.0,570.7510890652231,0.07794287630390638,0.9220571236960937,15.0,15.0,15.0,225.0,1850.0,416250.0,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Acelga,2011,2012,29.09,-110.96,215.0,723.9888043982244,4.925093907470914,1.9176970734749286,9.526626296223428,22.84979591836735,12.2,35.17,30.145102040816326,17.41,42.81,15.55448979591837,4.37,27.53,43.053877551020406,14.39,86.83,17.332448979591835,5.15,25.29,2.119047619047619,1.21,4.91,48.62,0.3307482993197279,0.0,15.63,38.896,0.2645986394557823,0.0,12.504000000000001,9.398563567245745,4.477722607010031,16.77303736756736,0.06715573459787501,10,3,36,2,674.8722452587408,4.590967654821366,1.34238795143245,10.0029576110346,24.49998664682624,0.16666657582874994,0.0,4.4159999999999995,650.3722586119145,4.424301078992616,0.0,10.0029576110346,0.0,0.0,0.0,635.9762452587408,0.03630314747561316,0.9636968525243867,14.5,8.0,8.0,116.0,1850.0,214600.0,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Acelga,2012,2013,29.09,-110.96,215.0,723.8815972867897,4.924364607393127,1.440434414974031,8.91358539115117,22.278061224489797,8.82,35.364999999999995,29.610884353741497,15.34,42.44,14.945238095238095,2.3,28.29,45.2121768707483,17.56,80.5,17.122517006802724,2.71,24.96,2.252244897959184,1.18,5.35,146.1,0.9938775510204081,0.0,54.11,116.88000000000001,0.7951020408163266,0.0,43.288000000000004,9.360654574001261,3.115177365715004,16.882371748254112,0.2018285870888325,17,7,51,5,675.2031256645977,4.5932185419360385,1.3684126942253294,9.359264660708728,42.17315728663543,0.2868922264396968,0.0,4.359392102159014,633.0299683779623,4.306326315496342,0.0,9.359264660708728,0.0,0.0,0.0,558.3231256645977,0.06245995565427025,0.9375400443457298,15.0,5.0,5.0,75.0,2050.0,153750.0,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Acelga,2013,2014,29.09,-110.96,215.0,679.0999564713802,4.619727595043403,1.9464321954905348,8.174448640986537,22.518945578231293,7.550000000000001,31.695,29.542789115646258,15.04,39.63,15.495102040816326,-1.41,26.31,46.369863945578224,16.7,89.35,16.600884353741495,4.56,24.43,2.0562585034013603,0.94,4.2,102.82,0.6994557823129252,0.0,26.67,82.256,0.5595646258503402,0.0,21.336000000000002,9.244846086445884,3.849855887772512,16.715815190122264,0.15140628271315934,13,7,26,9,635.4719296248899,4.322938296767958,1.849110585716008,8.583171073035864,35.48644483950551,0.24140438666330277,0.0,4.566729214676066,599.9854847853844,4.081533910104656,0.0,8.583171073035864,0.0,0.0,0.0,553.2159296248899,0.055842663043279755,0.9441573369567203,14.5,14.0,4.25,61.63,1955.0,120486.65,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Ajo,2011,2012,29.09,-110.96,215.0,1162.3479473206298,5.482773336418065,2.2209024831118733,11.709244627266783,20.70865566037736,4.125,31.91,28.846650943396224,9.02,38.97,12.570660377358491,-1.08,25.26,35.20740566037736,10.78,71.63,19.59235849056604,6.94,30.54,2.3199999999999994,1.21,7.47,15.930000000000001,0.07514150943396228,0.0,3.99,12.744000000000002,0.06011320754716982,0.0,3.192,10.296389871225484,4.6417686682688535,18.168042485434512,0.01370501839549923,4,0,24,6,1020.6771565297553,4.814514889291298,2.2209024831118733,9.526626296223428,12.744000000000002,0.06011320754716982,0.0,3.192,1007.9331565297553,4.754401681744128,0.3008258795578014,9.526626296223428,0.0,0.0,0.0,1007.9331565297553,0.012485828568289784,0.9875141714317102,9.0,12.0,12.0,108.0,12000.0,1296000.0,0.0,0.0,0.0
Sonora,Hermosillo,30,Hermosillo,144,Ajo,2012,2013,29.09,-110.96,215.0,1115.0616175819619,5.235031068459914,1.440434414974031,9.373007176915976,20.029953051643194,8.82,31.795,28.009295774647885,15.34,41.06,12.050610328638497,2.3,25.16,39.07760563380282,10.9,80.5,19.065915492957746,2.71,30.42,2.341032863849765,0.87,5.35,96.23,0.45178403755868546,0.0,54.11,76.98400000000001,0.3614272300469484,0.0,43.288000000000004,10.18995486391221,3.115177365715004,18.633293745769713,0.0863001635808047,10,4,30,5,967.4619087624728,4.542074689025694,1.440434414974031,8.903455298985952,21.41876593252725,0.10055758653768662,0.0,3.6609546758506544,946.0431428299455,4.441517102488007,0.0,8.903455298985952,0.0,0.0,0.0,890.4779087624728,0.02213913099682139,0.9778608690031786,8.95,53.0,53.0,474.35,15000.0,7115250.0,0.0,0.0,0.0
