Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2010,2011,30.147356,-108.920714,1426.0,0,0.0,0.0,957.2020805183944,5.288409284632013,2.158777763705493,7.6631916556735185,18.902596685082877,4.6499999999999995,27.74,26.892320441988947,10.73,36.95,10.912872928176794,-3.18,21.04,45.97027624309392,13.46,88.86,26.09265193370166,9.22,32.94,0.9664640883977901,0.35,2.32,311.45,1.720718232044199,0.0,24.71,186.86999999999998,1.0324309392265192,0.0,14.826,15.968292859058836,7.325612442556526,19.972903635680915,0.32537538973100355,54,22,8,47,954.1788733070764,5.271706482359538,1.4279076677746827,8.046351238457195,143.22966409833836,0.7913241110405435,0.0,5.7933853145656045,810.9492092087378,4.480382371318993,0.0,8.046351238457195,1432.2966409833837,8109.492092087377,9541.788733070762,767.3088733070764,0.15010777130489222,0.8498922286951075,8.0,1.0,1.0,8.0,9000.0,72000.0,179.03708012292296,1013.6865115109222,1192.7235916338452
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2011,2012,30.147356,-108.920714,1426.0,5,4.4,1.0,1021.2307132305529,5.642158636632889,3.4670734153246685,7.845106459228063,20.275745856353588,8.74,30.009999999999998,28.61359116022099,15.61,39.59,11.937900552486187,1.2,20.7,37.40513812154696,6.18,88.4,26.753867403314917,16.37,33.34,0.990828729281768,0.36,2.29,304.59000000000003,1.6828176795580112,0.0,34.79,182.754,1.0096906077348067,0.0,20.874,15.931503331195042,10.929501797379029,19.464406636090484,0.29825777471621717,46,24,20,21,1010.1849349578166,5.5811322373360035,2.170538608996681,8.237361782189467,139.2914829014288,0.7695662038752972,0.0,5.380867061304921,870.8934520563879,4.811566033460706,0.0,8.237361782189467,1392.914829014288,8708.934520563878,10101.849349578166,827.4309349578166,0.13788711163787584,0.8621128883621243,3.9,1.0,1.0,3.9,8050.0,31395.0,357.15764846520204,2233.0601334779176,2590.2177819431195
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2012,2013,30.147356,-108.920714,1426.0,2,1.8,0.0,987.123287241439,5.453719819013475,1.896515558560847,7.78852914418838,20.055524861878453,4.569999999999999,28.71,28.32480662983426,8.62,38.63,11.786243093922652,-2.92,20.4,39.52160220994476,7.73,82.83,26.007127071823206,13.42,33.38,0.9302209944751382,0.32,1.89,288.11,1.591767955801105,0.0,21.71,172.86599999999999,0.9550607734806629,0.0,13.026,15.646871034081194,8.947940293999826,19.4166739535288,0.29186830431803157,54,19,15,25,979.831113887122,5.413431568437138,1.1379093351365082,8.1779556013978,145.96314368362917,0.8064262081968463,0.0,6.742482641293282,833.8679702034926,4.607005360240291,0.0,8.1779556013978,1459.6314368362916,8338.679702034926,9798.311138871217,806.965113887122,0.1489676553590687,0.8510323446409311,4.5,1.0,1.0,4.5,7000.0,31500.0,324.3625415191759,1853.039933785539,2177.402475304715
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2013,2014,30.147356,-108.920714,1426.0,2,2.0,0.0,981.4472799785422,5.4223606628648735,2.2793868417226357,7.5227557285423625,19.845580110497234,5.805000000000001,27.985,27.97165745856353,11.3,37.71,11.71950276243094,-3.27,19.64,41.20104972375691,7.89,88.49,26.016519337016568,10.74,32.9,0.9467955801104972,0.3,2.25,360.5,1.9917127071823204,0.0,24.32,216.29999999999998,1.1950276243093922,0.0,14.591999999999999,15.716325548020892,8.017731082391261,19.39673505010503,0.36731468653913,56,28,15,22,972.9230119009902,5.375265259121493,1.3676321050335813,7.898893514969481,168.06156073743452,0.9285169101515719,0.0,6.030806026720033,804.8614511635558,4.446748348969922,0.0,7.898893514969481,1680.6156073743452,8048.614511635558,9729.230119009904,756.6230119009903,0.17273880736879657,0.8272611926312036,9.8,1.0,1.0,9.8,8500.0,83300.0,171.49138850758624,821.2871950648529,992.7785835724392
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2014,2015,30.147356,-108.920714,1426.0,4,1.8181818181818181,0.2727272727272727,962.639138929984,5.318448281381127,2.3269651037565535,7.865802889870836,19.868867403314916,8.31,29.785000000000004,27.58348066298343,15.51,40.59,12.154254143646408,0.46,20.55,42.51629834254144,11.03,86.78,25.263204419889504,11.55,32.41,0.947734806629834,0.32,2.1,285.71999999999997,1.5785635359116021,0.0,13.44,171.432,0.9471381215469613,0.0,8.064,15.364057172008987,7.766115831549065,19.481246166076936,0.29680904135852026,55,24,13,22,954.8722823528311,5.275537471562603,1.396179062253932,8.259093034364378,155.79044331454153,0.8607206812958096,0.0,5.687905357133693,799.0818390382894,4.4148167902667925,0.0,8.259093034364378,1557.9044331454154,7990.818390382894,9548.72282352831,783.4402823528311,0.16315317366912113,0.8368468263308787,7.6,2.0,2.0,15.2,8700.0,132240.0,204.98742541387045,1051.4234724188018,1256.4108978326722
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2015,2016,30.147356,-108.920714,1426.0,0,0.0,0.0,896.7910593975573,4.954646737003079,1.6292127066584001,7.531241027096231,19.20400552486188,6.130000000000001,28.18,26.367679558011044,10.67,37.9,12.040331491712708,-0.93,19.52,53.436629834254134,19.58,89.83,24.42325966850829,10.0,33.07,0.8767955801104972,0.31,2.01,455.11,2.5144198895027623,0.0,24.55,273.06600000000003,1.5086519337016577,0.0,14.73,15.344825467462082,6.959432274209355,19.919465012005695,0.507487218155065,70,33,6,13,894.1377852873829,4.93998776401869,0.97752762399504,7.9078030784510425,199.3393692906021,1.10132248226852,0.0,6.042,694.7984159967809,3.838665281750171,0.0,7.9078030784510425,1993.393692906021,6947.984159967809,8941.37785287383,621.0717852873829,0.2229403259437614,0.7770596740562387,7.1,1.0,1.0,7.1,8633.8,61299.98,280.7596750571861,978.5893183053253,1259.3489933625115
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2019,2020,30.147356,-108.920714,1426.0,1,1.0,0.0,953.0844270186776,5.265659817782749,1.3237934400724378,7.633849515957947,19.409613259668504,6.085,28.835,27.12082872928177,10.26,38.07,11.698397790055248,-0.6,20.24,47.094088397790046,18.3,89.61,25.70171270718232,6.24,33.03,0.9265193370165745,0.41,1.99,329.3,1.8193370165745857,0.0,23.9,197.58,1.0916022099447515,0.0,14.339999999999998,15.858527299437126,5.296271219780821,19.558112505590675,0.3455097897571111,51,27,7,26,952.2299377128716,5.260938882391556,0.7942760640434626,8.015541991755844,147.09190867299236,0.8126624788563114,0.0,5.8260000000000005,805.138029039879,4.448276403535243,0.0,8.015541991755844,1470.9190867299235,8051.380290398791,9522.299377128715,754.6499377128715,0.15447099786243582,0.845529002137564,9.0,1.0,1.0,9.0,7430.0,66870.0,163.43545408110262,894.5978100443101,1058.0332641254126
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2020,2021,30.147356,-108.920714,1426.0,1,1.0,0.0,960.1066394085885,5.304456571318169,1.3054808710448291,7.553969773745216,20.242679558011048,4.14,29.229999999999997,28.08165745856354,7.54,39.16,12.403701657458562,-3.73,19.98,48.503480662983414,18.0,89.86,25.705856353591162,6.31,33.66,0.8729281767955801,0.34,1.62,293.23,1.6200552486187847,0.0,27.09,175.938,0.9720331491712707,0.0,16.253999999999998,15.975403832011088,5.374467021261786,20.08078872191874,0.30541399045071216,55,16,25,22,964.2706331075788,5.3274620613678385,0.7832885226268974,7.931668262432477,119.04094215111189,0.6576847632658116,0.0,5.991070699235457,845.2296909564668,4.6697772981020265,0.0,7.931668262432477,1190.409421511119,8452.296909564668,9642.706331075788,788.3326331075788,0.12345179668852478,0.8765482033114752,9.75,2.0,2.0,19.5,7800.0,152100.0,122.09327400114041,866.9022471348377,988.9955211359782
Sonora,Huachinera,31,Moctezuma,143,Chile verde,2021,2022,30.147356,-108.920714,1426.0,4,3.727272727272727,0.9090909090909091,976.1840959983952,5.393282298333675,1.8718559999170823,7.669696123935625,20.059668508287288,3.495,30.27,27.844143646408835,7.93,39.97,12.275193370165745,-5.05,20.72,41.90187845303867,10.88,85.49,25.73419889502762,13.65,32.82,0.9344751381215469,0.25,1.99,328.41,1.8144198895027626,0.0,27.36,197.046,1.0886519337016574,0.0,16.416,15.621648166549068,9.139019410052471,19.599427596126343,0.33642219879040103,57,27,12,21,969.2077558005337,5.354738982323391,1.1231135999502493,8.053180930132408,160.49736292254272,0.8867257620029985,0.0,6.062898169998155,808.7103928779911,4.468013220320393,0.0,8.053180930132408,1604.9736292254272,8087.103928779911,9692.077558005338,772.1617558005337,0.16559644922566388,0.8344035507743363,9.8,2.0,2.0,19.6,8200.0,160720.0,163.77281930871706,825.2146866101949,988.987505918912
Sonora,Huachinera,31,Moctezuma,143,Avena forrajera en verde,2010,2011,30.147356,-108.920714,1426.0,1,1.0,0.0,259.37915358283925,2.759352697689779,0.7178511859368258,5.254580862609781,8.51712765957447,1.4700000000000002,14.68,15.993936170212766,6.12,27.43,1.0403191489361703,-5.69,5.33,54.17691489361703,27.74,92.06,18.474361702127663,2.53,28.08,0.9729787234042553,0.54,2.74,141.14,1.5014893617021274,0.0,40.0,112.912,1.2011914893617022,0.0,32.0,10.11087129762275,3.144636693878405,16.10873440544347,0.5441455030229458,16,9,0,91,262.94701299790984,2.7973086489139343,0.42132120885116836,6.042767992001248,27.620337328118634,0.2938333758310493,0.0,2.736823029901475,235.32667566979117,2.5034752730828846,0.0,6.042767992001248,276.2033732811863,2353.2667566979117,2629.470129979098,150.03501299790983,0.10504145688218253,0.8949585431178173,17.87,42.0,42.0,750.71,398.4,299082.07,15.456260396261126,131.68812292657591,147.14438332283703
