Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Huatabampo,33,Navojoa,149,Apio,2010,2011,26.604878,-109.232063,39.0,4,2.6666666666666665,0.6666666666666666,392.4932096065705,4.361035662295228,2.3670218755167145,7.433891113252669,19.638388888888887,16.990000000000002,23.380000000000003,24.355555555555554,19.07,30.76,14.921222222222221,10.05,18.4,60.619666666666674,38.24,77.7,19.125444444444447,6.53,26.67,2.8393333333333337,1.29,6.62,65.94,0.7326666666666667,0.0,22.39,52.752,0.5861333333333334,0.0,17.912000000000003,11.13927873049214,5.399577430563955,16.21105081926171,0.1680029065116752,8,4,0,0,381.89812222192194,4.243312469132466,1.7854815772482215,7.8055856689153025,18.751496082536306,0.20834995647262564,0.0,3.0013177636397246,363.1466261393857,4.034962512659841,0.0,7.8055856689153025,187.51496082536306,3631.466261393857,3818.9812222192204,329.1461222219219,0.04910078104976846,0.9508992189502318,48.0,51.0,51.0,2448.0,5200.0,12729600.0,3.9065616838617303,75.65554711237202,79.56210879623374
Sonora,Huatabampo,33,Navojoa,149,Apio,2011,2012,26.604878,-109.232063,39.0,3,2.0,0.16666666666666666,825.9650940255051,4.538269747392885,2.3491647066196273,6.993599553634314,21.086758241758243,7.545,30.42,26.01895604395605,9.93,34.45,16.15456043956044,4.48,26.94,56.63697802197802,37.34,80.61,18.623131868131868,7.15,26.56,2.6564835164835165,1.18,5.05,10.0,0.054945054945054944,0.0,7.04,8.0,0.04395604395604396,0.0,5.632000000000001,10.610579352908339,4.925632864955008,16.34334357439994,0.01210704916265046,1,1,0,1,814.3644884227738,4.474530156169087,2.4666229419506087,7.19127947356116,5.6822436533093255,0.031221118974227063,0.0,3.3142436533093256,808.6822447694644,4.44330903719486,0.0,7.19127947356116,56.82243653309325,8086.822447694644,8143.644884227738,806.3644884227738,0.006977518953846393,0.9930224810461535,47.95,55.0,55.0,2637.25,5200.0,13713700.0,1.1850351727443849,168.65114593732312,169.8361811100675
Sonora,Huatabampo,33,Navojoa,149,Apio,2012,2013,26.604878,-109.232063,39.0,3,2.6666666666666665,0.6666666666666666,820.7295661886499,4.484861017424317,1.5929119942138759,7.850403009167663,21.11120218579235,14.125,31.775,25.980546448087434,18.58,36.42,16.241857923497268,6.87,27.13,57.291693989071035,33.92,85.4,17.99846994535519,3.97,26.66,2.6918032786885244,1.36,5.56,61.02,0.33344262295081967,0.0,18.59,48.816,0.2667540983606558,0.0,14.872,10.362587468661019,3.9920029830719126,16.295640325296077,0.07434848519393314,6,3,9,0,802.8996473616594,4.387429767003603,1.6725575939245698,8.242923159626047,19.432016159400195,0.10618588065246008,0.0,3.4329477508596495,783.4676312022592,4.2812438863511435,0.0,8.242923159626047,194.32016159400195,7834.676312022592,8028.996473616594,754.0836473616594,0.024202297538993944,0.9757977024610061,48.35,59.0,59.0,2852.65,5000.0,14263250.0,4.019031263578117,162.04087511939179,166.0599063829699
Sonora,Huatabampo,33,Navojoa,149,Apio,2013,2014,26.604878,-109.232063,39.0,1,1.0,0.0,829.0586738124897,4.555267438530163,1.6814485993303936,7.699294998964197,21.922967032967033,12.51,30.81,26.575879120879122,17.84,35.54,17.270054945054945,7.02,26.65,57.16417582417583,31.25,83.7,17.437362637362636,3.94,26.43,2.8409340659340656,1.46,5.43,64.57000000000001,0.35478021978021984,0.0,20.67,51.656000000000006,0.28382417582417585,0.0,16.536,10.14580754272869,3.699510566032945,15.944924344226491,0.0778835105880624,8,4,2,0,817.208658173939,4.490157462494171,1.7200787341991486,7.9132862193735845,19.880354122749207,0.10923271496016047,0.0,3.1114726032131914,797.3283040511899,4.38092474753401,0.0,7.9132862193735845,198.80354122749208,7973.283040511898,8172.086581739391,765.5526581739391,0.02432714573432452,0.9756728542656755,48.95,57.0,57.0,2790.15,6506.63,18154473.69,4.061359371348153,162.8862725334402,166.94763190478835
Sonora,Huatabampo,33,Navojoa,149,Apio,2014,2015,26.604878,-109.232063,39.0,1,1.0,0.0,804.5008316566434,4.420334239871667,1.6074455852362457,8.542447689067817,22.610384615384618,15.895,29.115000000000002,27.143406593406596,19.55,33.66,18.07736263736264,11.15,25.16,59.316978021978024,31.2,82.84,17.099175824175827,3.06,26.94,2.5974725274725277,0.88,4.68,102.54,0.5634065934065935,0.0,45.18,82.032,0.4507252747252747,0.0,36.144,10.046213598593837,3.255089399310885,16.45273806786094,0.12745791671693824,10,4,0,0,792.406202609988,4.353880234120813,1.6878178644980582,8.542447689067817,25.97623339746415,0.1427265571289239,0.0,3.790797695617675,766.4299692125237,4.211153676991889,0.0,8.542447689067817,259.7623339746415,7664.299692125237,7924.0620260998785,710.374202609988,0.032781461467496,0.9672185385325038,85.0,60.0,60.0,5100.0,5125.0,26137500.0,3.056027458525194,90.16823167206161,93.2242591305868
Sonora,Huatabampo,33,Navojoa,149,Apio,2015,2016,26.604878,-109.232063,39.0,0,0.0,0.0,777.6550995272082,4.272830217182463,1.623981356664172,6.4895935301898495,22.999450549450547,14.445,30.47,27.297747252747257,17.62,34.56,18.701153846153844,10.31,27.15,62.510219780219785,39.57,82.63,17.06620879120879,3.2,26.12,2.470879120879121,0.96,4.85,89.79,0.4933516483516484,0.0,15.17,71.83200000000001,0.3946813186813187,0.0,12.136000000000001,10.194746347909833,3.4318853389809103,16.311145609945278,0.1154624975192598,14,5,0,0,765.3963019605012,4.2054741865961605,1.7051804244973807,6.568283238359845,40.746847232350866,0.22388377600192783,0.0,3.4500963211828903,724.6494547281503,3.9815904105942326,0.0,6.568283238359845,407.46847232350865,7246.494547281503,7653.963019605012,693.5643019605012,0.053236273977259996,0.94676372602274,85.9,85.0,85.0,7301.5,5320.0,38843980.0,4.743521214476235,84.35965712784055,89.10317834231678
Sonora,Huatabampo,33,Navojoa,149,Apio,2016,2017,26.604878,-109.232063,39.0,1,1.0,0.0,833.9136293639776,4.556905078491681,1.480142355036308,6.774327233224875,22.63568306010929,13.485,30.755000000000003,27.246994535519125,18.0,34.32,18.024371584699455,8.97,27.33,58.1212568306011,35.61,84.89,17.552295081967213,4.18,26.36,2.6670491803278686,1.35,5.61,67.30999999999999,0.3678142076502732,0.0,11.67,53.848000000000006,0.2942513661202186,0.0,9.336,10.261730543479963,3.7041952231321655,16.25414952751692,0.0807157931347603,15,4,0,0,827.7332431814948,4.523132476401611,1.5541494727881235,6.990883332858987,37.49470678602958,0.20488910812038022,0.0,3.518726845914678,790.2385363954652,4.31824336828123,0.0,6.990883332858987,374.9470678602958,7902.385363954652,8277.332431814948,773.8852431814948,0.04529805597986382,0.9547019440201362,83.67,87.0,87.0,7279.2,5761.93,41942234.88,4.481260521815416,94.44705825211727,98.92831877393269
Sonora,Huatabampo,33,Navojoa,149,Apio,2017,2018,26.604878,-109.232063,39.0,1,1.0,0.0,808.4581734171218,4.442077875918251,1.7556945314113401,8.020571227697722,22.81142857142857,16.075,30.54,27.450494505494504,19.4,36.12,18.17236263736264,11.52,26.76,61.238516483516484,35.63,79.2,17.791098901098902,4.13,27.27,2.572857142857143,1.17,5.71,49.71,0.2731318681318681,0.0,24.29,39.768,0.2185054945054945,0.0,19.432000000000002,10.511001529430981,3.6974973300749827,16.641845720772224,0.06148741101829675,9,1,5,0,795.6284735156008,4.3715850193164885,1.8434792579819073,8.020571227697722,22.00605386641999,0.12091238388142851,0.0,2.9920000000000004,773.6224196491809,4.25067263543506,0.0,8.020571227697722,220.0605386641999,7736.2241964918085,7956.2847351560085,755.8604735156008,0.027658705789126704,0.9723412942108733,78.28,91.5,91.5,7162.62,6530.0,46771908.6,2.811197479103218,98.8275957650972,101.63879324420041
Sonora,Huatabampo,33,Navojoa,149,Apio,2018,2019,26.604878,-109.232063,39.0,3,1.5833333333333333,0.25,813.305454316551,4.468711287453577,1.9973422866347426,6.930809879374077,23.0989010989011,16.575,32.16,27.770054945054945,19.32,36.26,18.427747252747253,11.79,28.06,59.704780219780226,34.26,79.56,17.40467032967033,4.67,27.18,2.5387362637362636,1.03,4.91,87.86000000000001,0.48274725274725283,0.0,34.19,70.28800000000001,0.38619780219780225,0.0,27.352,10.294585295123772,4.164857715465415,16.489431491776756,0.10802829310155289,11,5,6,0,799.9381781156915,4.395264714921382,2.09720940096648,7.127959378901485,29.671677947180555,0.16303119751198109,0.0,3.7165408505752136,770.2665001685109,4.232233517409401,0.0,7.127959378901485,296.7167794718056,7702.665001685109,7999.381781156914,729.6501781156915,0.0370924638414861,0.9629075361585139,79.5,82.5,82.5,6558.75,3926.64,25753850.1,3.732286534236548,96.88886794572464,100.62115447996119
Sonora,Huatabampo,33,Navojoa,149,Apio,2019,2020,26.604878,-109.232063,39.0,0,0.0,0.0,747.4982725908299,4.107133365883681,1.6305846876662526,6.8849871300144,21.57090659340659,14.11,29.310000000000002,25.881758241758238,17.79,33.1,17.260054945054943,9.58,27.08,62.49950549450549,40.1,83.95,16.994890109890108,2.74,27.03,2.5571978021978023,1.17,6.74,95.58,0.5251648351648351,0.0,25.66,76.464,0.42013186813186815,0.0,20.528000000000002,10.065483750612621,3.171840712104043,16.436398966532217,0.12786651622447182,13,5,0,0,737.5999207906523,4.052746817531056,1.7121139220495654,6.8849871300144,30.88558385549188,0.16970101019501033,0.0,3.215769866324903,706.7143369351603,3.8830458073360457,0.0,6.8849871300144,308.8558385549188,7067.143369351603,7375.999207906521,661.1359207906523,0.041873084561051516,0.9581269154389483,60.35,89.0,89.0,5371.15,4280.55,22991476.13,5.117743803726906,117.10262418146814,122.22036798519505
