Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Huépac,34,Ures,142,Ajo,2010,2011,29.931454,-110.254851,652.0,519.6498558212193,4.330415465176827,1.0040729564274185,8.689574808322014,13.372666666666666,5.619999999999999,23.445,21.429250000000003,10.41,31.8,5.316083333333334,-2.08,15.09,46.071999999999996,22.13,91.62,20.30858333333333,5.65,29.9,2.479,1.19,7.65,127.07000000000002,1.058916666666667,0.0,31.12,101.656,0.8471333333333334,0.0,24.896,11.29907396050083,4.352832737631974,17.63563356153658,0.24453003994235165,16,8,0,62,500.08435870558964,4.167369655879914,0.7290815367280846,8.689574808322014,29.92291488659998,0.24935762405499984,0.0,2.773026529634632,470.1614438189896,3.9180120318249134,0.0,8.689574808322014,299.2291488659998,4701.614438189896,5000.843587055895,398.42835870558963,0.05983573444298873,0.9401642655570112,6.5,12.0,12.0,78.0,12000.0,936000.0,46.035253671692274,723.3252981830609,769.3605518547532
Sonora,Huépac,34,Ures,142,Ajo,2011,2012,29.931454,-110.254851,652.0,1031.2573527870748,4.86442147541073,1.3831649219266748,10.180082912077335,16.34495283018868,-4.755,27.18,24.935471698113208,-0.64,35.43,7.754433962264152,-8.87,19.54,33.25169811320755,10.11,79.35,19.59235849056604,6.94,30.54,2.2891981132075467,1.02,8.6,27.6,0.13018867924528302,0.0,6.41,22.080000000000002,0.10415094339622642,0.0,5.128,10.013267966883392,4.568653931526888,17.055965458964153,0.026763445540929506,8,2,2,58,898.393634110541,4.237705821276137,1.3831649219266748,7.41990302394168,17.34868694407554,0.08183342898148839,0.0,3.1325476505506735,881.0449471664655,4.155872392294649,0.0,7.41990302394168,0.0,0.0,0.0,876.313634110541,0.01931078570169488,0.9806892142983051,5.0,10.0,10.0,50.0,13700.0,685000.0,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2012,2013,29.931454,-110.254851,652.0,967.3912778228439,4.5417430883701595,0.9623830673703511,9.32974000530348,15.573591549295774,2.335,26.82,23.912394366197184,7.39,37.68,7.234788732394365,-2.86,21.11,38.06619718309859,9.54,90.88,19.065915492957746,2.71,30.42,2.2328169014084507,0.96,6.42,124.64,0.5851643192488263,0.0,42.76,99.712,0.46813145539906104,0.0,34.208,9.921530483319772,3.1267199454483254,17.539871460864298,0.12884135184731843,13,8,7,76,832.1230334412005,3.9066809081746503,0.9623830673703511,7.029042458910529,22.113496006493747,0.10381923007743543,0.0,2.3178956263086636,810.0095374347068,3.802861678097215,0.0,7.029042458910529,0.0,0.0,0.0,732.4110334412005,0.02657479136834437,0.9734252086316556,6.6,4.0,4.0,26.4,22100.0,583440.0,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2013,2014,29.931454,-110.254851,652.0,986.0901254003393,4.651368516039336,1.4303285864203132,9.221724636587862,16.279575471698116,1.5400000000000005,26.155,24.604575471698112,8.55,34.82,7.954575471698113,-5.47,17.9,34.53933962264151,5.49,85.59,18.819622641509433,4.56,30.91,2.1841037735849054,1.03,5.58,51.5,0.2429245283018868,0.0,14.72,41.2,0.19433962264150945,0.0,11.776000000000002,9.763654706889321,3.776921778337538,17.073142802335376,0.05222646355888788,9,3,0,68,852.222224302314,4.019916152369405,1.4303285864203132,6.651000069284287,18.895181383569273,0.08912821407343997,0.0,2.4699632174384543,833.3270429187446,3.930787938295965,0.0,6.651000069284287,0.0,0.0,0.0,811.0222243023139,0.022171659978755108,0.9778283400212447,7.4,5.0,5.0,37.0,13800.0,510600.0,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2014,2015,29.931454,-110.254851,652.0,994.848211921354,4.692680244912047,1.2232591621491036,9.89937878537255,17.03483490566038,5.2,24.450000000000003,25.17207547169811,9.1,35.17,8.897594339622643,0.12,17.33,35.96910377358491,7.0,87.4,18.557216981132076,5.6,31.35,2.1947169811320757,1.04,4.72,46.45,0.21910377358490568,0.0,8.26,37.160000000000004,0.17528301886792455,0.0,6.6080000000000005,9.681856014556127,4.156598108148954,17.263761289918115,0.04669053976615281,10,3,1,41,865.3844343146011,4.082002048653779,1.2232591621491036,6.929565149760784,23.03572004675305,0.10865905682430683,0.0,2.984,842.3487142678482,3.9733429918294725,0.0,6.929565149760784,0.0,0.0,0.0,828.2244343146011,0.026619059845925844,0.9733809401540744,7.6,4.0,4.0,30.4,14000.0,425600.0,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2017,2018,29.931454,-110.254851,652.0,1000.2029321964134,4.717938359417044,1.0751568039375163,9.842967411496604,18.048349056603772,6.875,27.055,26.10311320754717,11.05,36.32,9.993584905660379,-1.12,19.09,38.79641509433962,9.13,87.27,18.777547169811317,3.27,31.08,2.1554716981132076,0.87,5.64,101.87,0.4805188679245283,0.0,18.33,81.49600000000001,0.3844150943396227,0.0,14.664,9.904779117790543,3.3600983970325995,17.837514461788963,0.10184933149145721,13,7,6,32,862.7958527809187,4.06979175840056,1.0751568039375163,6.890077188047623,23.37864664320046,0.11027663510943614,0.0,2.457048833982513,839.4172061377183,3.959515123291124,0.0,6.890077188047623,0.0,0.0,0.0,781.2998527809187,0.027096382728136238,0.9729036172718638,9.2,10.0,10.0,92.0,17734.96,1631616.32,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2018,2019,29.931454,-110.254851,652.0,1048.2366262509981,4.944512387976406,1.0358830884448318,9.33662385573344,18.74540094339623,6.38,29.005,26.858490566037737,11.35,37.38,10.632311320754718,-1.94,21.32,33.47056603773585,6.94,89.17,18.517075471698114,4.44,30.25,2.183490566037736,1.0,5.6,73.32000000000001,0.34584905660377363,0.0,34.7,58.656000000000006,0.2766792452830189,0.0,27.760000000000005,9.613985009179586,3.7526042230770393,17.361839415746974,0.06994603905630338,10,3,12,27,909.4725601377788,4.289964906310278,1.0358830884448318,7.3763736770039,19.494732166772717,0.09195628380553168,0.0,2.4666254102384975,889.9778279710061,4.198008622504746,0.0,7.3763736770039,0.0,0.0,0.0,850.8165601377789,0.02143520653753358,0.9785647934624665,7.0,12.0,12.0,84.0,19000.0,1596000.0,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2019,2020,29.931454,-110.254851,652.0,829.5031328984244,3.9127506268793604,0.883250744794917,8.903179133886587,15.401132075471699,4.015,25.25,22.77117924528302,7.92,34.73,8.031084905660377,-3.81,19.52,48.8263679245283,21.93,90.38,17.67070754716981,2.93,30.25,2.061037735849057,0.79,6.27,221.2,1.0433962264150942,0.0,41.51,176.96,0.8347169811320755,0.0,33.208,9.740651705350025,3.254744356236189,18.013425904780597,0.26666565951003673,26,12,0,50,717.9477074725676,3.3865457899649414,0.8425234612464441,6.2322253937206105,44.592845703238396,0.2103436118077283,0.0,4.039325364606049,673.3548617693291,3.1762021781572125,0.0,6.2322253937206105,0.0,0.0,0.0,540.9877074725675,0.062111551076917765,0.9378884489230821,7.1,13.0,13.0,92.3,18100.0,1670630.0,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2020,2021,29.931454,-110.254851,652.0,778.043412095139,3.652785972277648,0.6831427771792279,8.841569501341592,15.302159624413147,2.8,26.965,22.438544600938968,9.25,37.1,8.165774647887323,-4.93,19.46,55.320845070422536,26.76,95.56,17.44075117370892,2.18,29.92,2.042676056338028,0.82,5.81,379.57,1.782018779342723,0.0,88.3,227.742,1.0692112676056338,0.0,52.98,9.802551710326084,2.863685214857269,17.631008830249314,0.48785195542994486,29,17,3,56,669.7236756677228,3.1442426087686517,0.6831427771792279,6.453126219130644,44.29703057717052,0.2079672797050259,0.0,2.362035633053435,625.4266450905523,2.9362753290636254,0.0,6.453126219130644,0.0,0.0,0.0,441.9816756677228,0.06614224968679185,0.9338577503132082,6.14,22.0,22.0,135.0,18900.0,2551500.0,0.0,0.0,0.0
Sonora,Huépac,34,Ures,142,Ajo,2021,2022,29.931454,-110.254851,652.0,1040.8992664895472,4.909902200422392,1.3962600672232655,9.408430828069756,16.81507075471698,3.18,27.795,25.382924528301885,7.41,37.79,8.247216981132075,-2.8,19.79,31.058301886792453,10.52,87.81,19.162264150943393,5.16,30.05,2.2977830188679245,1.05,5.24,80.12,0.37792452830188683,0.0,23.0,64.096,0.30233962264150943,0.0,18.400000000000002,9.711203478025203,4.1499765509048085,17.831321708603177,0.07697190552377488,8,3,16,66,904.4385973119327,4.266219798641192,1.3962600672232655,6.585901579648829,16.169048601260766,0.07626909717575833,0.0,2.7840000000000003,888.2695487106719,4.189950701465433,0.0,6.585901579648829,0.0,0.0,0.0,840.3425973119326,0.01787744203898035,0.9821225579610197,7.1,20.0,20.0,142.0,23500.0,3337000.0,0.0,0.0,0.0
