Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2010,2011,28.72625,-110.34397,360.0,443.0629577321856,4.713435720555166,1.6121538514291673,8.989053466182776,17.560372340425534,11.82,24.165,25.571382978723406,16.12,35.14,9.54936170212766,3.85,15.16,45.47617021276597,18.3,85.62,19.165744680851063,7.12,27.66,2.4515957446808514,1.31,6.6,77.73,0.8269148936170213,0.0,28.06,62.184,0.661531914893617,0.0,22.448,10.455584051535673,5.041458499516409,15.82640315657873,0.17543782129262264,10,3,1,3,437.48557575844836,4.654101869770727,0.5378982887332306,10.337411486110192,22.880905775442812,0.24341389122811502,0.0,3.562509351685604,414.6046699830056,4.4106879785426125,0.0,10.337411486110192,228.80905775442812,4146.046699830056,4374.855757584484,375.3015757584484,0.05230093754696998,0.94769906245303,19.3,55.0,55.0,1061.5,400.0,424600.0,11.855391593493685,214.82107253005472,226.6764641235484
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2011,2012,28.72625,-110.34397,360.0,801.1300129167478,5.102738935775464,2.078766021011131,9.146070286595672,19.238216560509553,3.49,26.435000000000002,27.792484076433123,10.31,37.37,10.683949044585988,-3.33,18.28,32.530700636942676,11.28,76.85,18.571910828025477,8.04,26.88,2.2485987261146496,1.32,5.62,1.58,0.010063694267515924,0.0,0.7,1.264,0.00805095541401274,0.0,0.5599999999999999,9.237028463904595,4.798375609758135,15.384400105716102,0.001972214215577255,0,0,8,7,736.164221245204,4.688944084364357,1.1043957583404582,8.433593614126682,1.264,0.00805095541401274,0.0,0.5599999999999999,734.9002212452039,4.680893128950343,1.1043957583404582,8.433593614126682,0.0,0.0,0.0,734.900221245204,0.0017170081939896164,0.9982829918060102,19.7,53.0,53.0,1044.1,380.0,396758.0,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2012,2013,28.72625,-110.34397,360.0,721.1140466446188,4.564012953446954,1.244088954540058,9.646153710262745,18.025664556962024,8.395,26.805,26.107215189873422,14.22,36.43,9.944113924050633,2.4,19.37,41.94955696202532,11.71,87.18,17.719113924050635,3.29,28.38,2.2662658227848103,1.07,4.97,96.91999999999999,0.6134177215189872,0.0,37.18,77.536,0.49073417721518986,0.0,29.744,9.203796142882965,3.3327393218088193,15.950856643346267,0.13440315086216084,10,3,2,6,663.9476049477615,4.202200031314947,0.42592589027498967,8.68153833923647,16.555082661539842,0.10477900418696103,0.0,2.8039598400987895,647.3925222862217,4.097421027127986,0.0,8.68153833923647,0.0,0.0,0.0,586.4116049477616,0.024934320928595523,0.9750656790714045,19.4,41.0,41.0,795.4,420.0,334068.0,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2013,2014,28.72625,-110.34397,360.0,760.7668075159487,4.8456484555155965,2.07899999264871,9.994004429536822,19.266974522292994,6.9799999999999995,27.005,27.369745222929932,14.74,38.39,11.164203821656049,-2.1,20.24,36.10375796178344,11.58,74.32,17.326942675159234,5.9,27.87,2.257834394904459,0.9,5.11,23.89,0.15216560509554142,0.0,6.62,19.112000000000002,0.12173248407643314,0.0,5.296,8.9582338246473,4.566287682563342,16.24774647181807,0.03140252671906847,5,2,5,13,703.658616710401,4.4819020172637005,0.6989896296092895,8.99460398658314,14.378901971928542,0.09158536287852574,0.0,3.9200000000000004,689.2797147384724,4.390316654385175,0.0,8.99460398658314,0.0,0.0,0.0,684.546616710401,0.020434485744166404,0.9795655142558335,19.42,38.0,38.0,737.96,441.5,325809.34,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2014,2015,28.72625,-110.34397,360.0,767.072912749062,4.885814730885745,1.730490066058549,10.310296106208112,20.504808917197455,12.290000000000001,27.155,28.36815286624204,15.87,36.34,12.641464968152867,5.53,20.48,37.7608280254777,11.23,79.8,17.093503184713374,5.54,27.52,2.202356687898089,1.18,5.58,17.659999999999997,0.112484076433121,0.0,7.3,14.128,0.08998726114649681,0.0,5.84,8.905191330835768,4.228415925279462,15.899027447760663,0.023022583259666267,3,1,3,0,714.1339778840814,4.548624062955933,0.7827493403884208,9.2792664955873,8.912840960236721,0.056769687644819884,0.0,2.1719358558945068,705.2211369238448,4.491854375311114,0.0,9.2792664955873,0.0,0.0,0.0,700.0059778840814,0.0124806286162783,0.9875193713837218,19.38,42.0,42.0,813.96,456.84,371849.49,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2015,2016,28.72625,-110.34397,360.0,707.6296983338821,4.507195530789057,1.4870176647850668,8.716848751497606,20.365573248407646,7.8549999999999995,27.265,27.954713375796175,14.76,37.88,12.776433121019108,0.95,20.44,44.77980891719746,13.96,86.97,16.738662420382166,4.14,26.53,2.163630573248408,0.95,5.59,101.07999999999998,0.6438216560509553,0.0,23.52,80.86400000000002,0.5150573248407645,0.0,18.816,9.0307013959483,3.8149506711928023,15.784637896906343,0.14284307207285588,11,6,2,3,661.6953677812575,4.214620176950684,0.983787892104544,10.024376064222245,26.961909187155236,0.17173190565067029,0.0,3.632,634.7334585941021,4.042888271300013,0.0,10.024376064222245,0.0,0.0,0.0,580.8313677812574,0.04074670989093016,0.9592532901090697,19.8,34.0,34.0,673.2,505.25,340134.3,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2016,2017,28.72625,-110.34397,360.0,759.9141540412646,4.809583253425726,1.8884158029710614,8.77642413864484,19.542120253164555,8.35,26.68,27.907088607594936,15.42,37.1,11.177151898734177,0.87,17.53,39.64911392405063,12.95,77.86,17.738354430379747,4.06,27.99,2.2170253164556963,1.1,4.34,46.56,0.2946835443037975,0.0,8.28,37.248000000000005,0.235746835443038,0.0,6.624,9.211168310497364,3.7269286575418836,16.12499774755309,0.061270078669269944,10,4,12,10,706.0095667865212,4.468414979661526,0.716944928360623,7.898781724780356,25.015255803379848,0.1583244038188598,0.0,3.2966483483869653,680.9943109831414,4.3100905758426675,0.0,7.898781724780356,0.0,0.0,0.0,668.7615667865211,0.03543189353260394,0.9645681064673962,19.3,21.0,21.0,405.3,490.0,198597.0,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2017,2018,28.72625,-110.34397,360.0,738.0769788148336,4.701127253597667,1.72400775887652,8.571339611745726,20.626910828025476,12.120000000000001,30.21,28.53031847133758,17.2,39.09,12.723503184713376,4.26,21.67,42.36878980891719,17.89,81.46,17.266496815286622,3.04,27.84,2.152993630573248,1.05,5.59,67.59,0.4305095541401274,0.0,30.49,54.072,0.34440764331210194,0.0,24.392,9.16195606471235,3.268645516493425,16.434831848957817,0.09157581382436908,7,4,17,1,668.5743695282873,4.258435474702467,1.1952499601524145,8.063531791090098,19.22081255996779,0.1224255577068012,0.0,3.7439999999999998,649.3535569683195,4.136009916995666,0.0,8.063531791090098,0.0,0.0,0.0,614.5023695282873,0.028748952152516757,0.9712510478474832,19.4,16.0,16.0,310.4,530.0,164512.0,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2018,2019,28.72625,-110.34397,360.0,784.0765574204411,4.994118200130198,2.118928194799088,8.590472883168303,21.601337579617834,12.235000000000001,29.265,29.590063694267524,18.49,38.04,13.612611464968152,2.55,21.29,34.622165605095546,13.61,78.71,16.963312101910827,3.7,28.08,2.156815286624204,0.92,5.75,20.580000000000002,0.13108280254777072,0.0,16.77,16.464,0.10486624203821655,0.0,13.416,8.747110571640714,3.565859472711807,16.112883529789936,0.026247436943793872,1,1,15,1,725.4969210839602,4.6209994973500645,1.1751965151169115,7.905692056627618,5.484767424018951,0.03493482435680861,0.0,2.4367674240189507,720.0121536599412,4.586064672993256,0.0,7.905692056627618,0.0,0.0,0.0,709.0329210839602,0.007560014749372328,0.9924399852506276,19.0,14.0,14.0,266.0,570.0,151620.0,0.0,0.0,0.0
Sonora,La Colorada,21,Mazatán,145,Avena forrajera en verde,2019,2020,28.72625,-110.34397,360.0,648.5446256581846,4.130857488268692,1.1100308237717609,8.878877887376197,18.466464968152863,8.79,25.025,26.000764331210195,13.87,35.7,10.932165605095541,1.59,18.92,47.623630573248406,21.31,83.27,16.383694267515924,3.87,27.3,2.064331210191083,0.82,4.95,70.05,0.44617834394904454,0.0,22.13,56.040000000000006,0.3569426751592357,0.0,17.704,8.929783083738272,3.5713800594301484,15.730535373594503,0.10801107160345176,7,4,1,7,595.4270196327017,3.7925287874694376,0.8980856809133103,7.990990098638577,16.43805990244072,0.10470101848688357,0.0,2.782829215075289,578.9889597302608,3.687827768982553,0.0,7.990990098638577,0.0,0.0,0.0,539.3870196327017,0.027607178311425624,0.9723928216885742,20.14,22.0,22.0,443.0,636.27,281866.16,0.0,0.0,0.0
