Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Magdalena,36,Magdalena,140,Ajo,2010,2011,30.771988,-111.139421,770.0,525.9489742511443,4.382908118759535,0.9739834085605559,8.686421098773257,13.267083333333334,5.8100000000000005,22.645,20.674916666666665,10.64,31.03,5.859249999999999,-1.46,14.26,46.665749999999996,21.43,87.77,19.897166666666667,4.48,29.91,2.87925,1.33,9.42,177.2,1.4766666666666666,0.0,36.7,141.76,1.1813333333333333,0.0,29.360000000000003,11.041898802548948,3.945583694620265,18.11774572624532,0.3369148124155971,20,11,0,42,502.90123002183805,4.190843583515317,0.9739834085605559,8.686421098773257,41.53557378381306,0.3461297815317755,0.0,3.9890782425361153,461.36565623802494,3.844713801983541,0.0,8.686421098773257,415.35573783813055,4613.656562380249,5029.012300218379,361.14123002183806,0.0825919113023633,0.9174080886976366,8.0,2.5,2.5,20.0,12000.0,240000.0,51.91946722976632,576.7070702975311,628.6265375272974
Sonora,Magdalena,36,Magdalena,140,Ajo,2011,2012,30.771988,-111.139421,770.0,1029.84536557737,4.857761158383822,1.6035393967168634,9.808273913308174,15.94004716981132,-3.0949999999999998,28.105,23.737547169811318,1.49,35.53,8.14254716981132,-7.68,20.68,34.89858490566038,9.8,75.21,18.96443396226415,7.15,30.75,2.6412735849056608,1.16,7.61,40.4,0.19056603773584904,0.0,9.29,32.32,0.15245283018867925,0.0,7.4319999999999995,9.689343749012572,4.460286018444057,17.221960450396807,0.03922919046914411,10,3,1,50,898.2310422100637,4.236938878349357,1.6035393967168634,8.103868053895395,21.973295610818948,0.10364762080574975,0.0,3.6122312669041303,876.2577465992448,4.133291257543608,0.0,8.103868053895395,0.0,0.0,0.0,865.9110422100637,0.024462854853863077,0.975537145146137,9.0,3.0,3.0,27.0,15000.0,405000.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2012,2013,30.771988,-111.139421,770.0,1007.085619906301,4.728101501907516,0.8583453670282474,9.717953480962645,15.565516431924882,2.675,27.580000000000002,23.312441314553986,8.38,37.17,7.818591549295776,-3.69,21.78,37.008685446009395,11.93,90.9,18.75140845070423,3.16,30.29,2.636760563380282,1.18,6.2,98.78,0.46375586854460094,0.0,22.57,79.024,0.37100469483568077,0.0,18.056,9.663988394664324,3.2639510718438265,17.39026194417186,0.09808500692244068,18,6,4,64,872.7195714699039,4.097274983426779,0.8583453670282474,7.489866099386512,31.088317347638583,0.1459545415382093,0.0,2.554530291289919,841.6312541222653,3.9513204418885697,0.0,7.489866099386512,0.0,0.0,0.0,793.6955714699039,0.035622344638469784,0.9643776553615302,8.3,7.0,7.0,58.1,20000.0,1162000.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2013,2014,30.771988,-111.139421,770.0,982.3508638189846,4.633730489712192,1.503850884171756,9.757636394964761,15.75372641509434,0.3250000000000002,26.555,23.316273584905662,6.23,35.18,8.191179245283019,-5.6,19.58,37.098443396226415,8.26,86.97,18.594198113207547,5.93,31.08,2.5579716981132075,1.0,6.39,89.68,0.4230188679245283,0.0,16.67,71.744,0.33841509433962264,0.0,13.336000000000002,9.653925741863041,4.390973844730882,17.195178775388737,0.09129121101533955,16,6,2,64,851.1083466392295,4.014662012449196,1.503850884171756,7.1484606910031605,32.712686552424685,0.15430512524728626,0.0,3.2943092274708525,818.3956600868048,3.8603568872019096,0.0,7.1484606910031605,0.0,0.0,0.0,779.3643466392294,0.03843539624725481,0.9615646037527452,10.2,4.0,4.0,40.8,23500.0,958800.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2017,2018,30.771988,-111.139421,770.0,1007.5827356961092,4.752748753283534,0.973297523282181,10.330482273021468,17.567995283018867,5.835000000000001,26.585,24.8236320754717,9.88,35.36,10.312358490566039,-0.94,20.8,40.324764150943395,11.36,88.27,18.39306603773585,4.7,31.52,2.5682075471698114,1.09,6.6,113.69,0.5362735849056603,0.0,18.59,90.952,0.4290188679245283,0.0,14.872,9.703311658044175,3.7374078252306973,17.343053900137527,0.11283440651794706,15,8,1,31,872.3355902373219,4.114790519987367,0.973297523282181,7.410397635559805,30.240515400622954,0.1426439405689762,0.0,2.8693155971764375,842.0950748366989,3.972146579418391,0.0,7.410397635559805,0.0,0.0,0.0,781.3835902373219,0.03466614882971348,0.9653338511702866,11.5,5.0,5.0,57.5,16800.0,966000.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2018,2019,30.771988,-111.139421,770.0,1086.671939357565,5.125811034705495,1.0298859850352995,9.946041161465509,18.607712264150944,6.615,28.794999999999998,26.095896226415093,11.38,37.27,11.119528301886794,-2.1,21.9,32.08292452830189,11.25,92.8,18.298537735849056,4.05,30.49,2.497122641509434,0.95,6.18,92.66,0.43707547169811317,0.0,25.7,74.128,0.3496603773584906,0.0,20.560000000000002,9.373521180929917,3.9934093754493905,17.265379733426684,0.08526952490811544,11,6,6,24,950.197509206905,4.48206372267408,1.0298859850352995,9.098271028458612,26.04924582409943,0.12287380105707278,0.0,3.8344347747042185,924.1482633828057,4.359189921617008,0.0,9.098271028458612,0.0,0.0,0.0,876.069509206905,0.02741455915396135,0.9725854408460387,11.8,6.0,6.0,70.8,17100.0,1210680.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2019,2020,30.771988,-111.139421,770.0,864.9483935614593,4.079945252648393,1.1733979527645015,9.244172641241867,15.119481132075471,2.2649999999999997,25.345,22.165801886792455,6.89,34.68,8.07316037735849,-2.87,19.27,47.46396226415094,21.15,86.02,17.595707547169813,4.3,30.04,2.5184433962264157,1.25,7.05,195.27999999999997,0.921132075471698,0.0,29.13,156.224,0.7369056603773585,0.0,23.304000000000002,9.562021565447763,3.719585194156481,18.448602116845116,0.22577069505375555,34,10,0,52,750.6876969482973,3.5409797025863083,1.1733979527645015,6.470920848869307,63.38809975996031,0.29900047056585055,0.0,3.0834350212768897,687.299597188337,3.2419792320204572,0.0,6.470920848869307,0.0,0.0,0.0,594.4636969482974,0.08444004080211547,0.9155599591978845,11.2,7.0,7.0,78.4,15000.0,1176000.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2020,2021,30.771988,-111.139421,770.0,866.7230586152402,4.06912234091662,1.051501867368186,9.199393149253396,15.449483568075117,2.8649999999999998,27.115000000000002,22.53201877934272,8.52,36.54,8.366948356807514,-4.31,19.81,48.89356807511738,21.65,89.11,17.643051643192486,3.43,30.05,2.5237558685446007,0.81,7.03,236.62,1.1108920187793427,0.0,25.17,189.296,0.8887136150234741,0.0,20.136000000000003,9.62570663586715,3.4782690760371233,17.596407536504387,0.2730053131135645,25,15,3,51,751.0377161631445,3.5259986674326034,1.051501867368186,7.4776042141118015,46.66306527191281,0.2190754238117972,0.0,2.8586089423223475,704.3746508912317,3.306923243620806,0.0,7.4776042141118015,0.0,0.0,0.0,561.7417161631445,0.06213145394388742,0.9378685460561126,8.0,6.0,6.0,48.0,17000.0,816000.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2021,2022,30.771988,-111.139421,770.0,1112.4989542872236,5.247636576826526,1.1591837396439577,10.291556885780707,16.91198113207547,2.96,29.475,24.887924528301888,6.31,39.08,8.936037735849055,-1.89,21.23,29.082405660377354,9.69,86.22,18.904622641509434,8.56,30.05,2.7577358490566044,1.43,7.26,47.790000000000006,0.22542452830188683,0.0,9.14,38.232,0.18033962264150943,0.0,7.312000000000001,9.383062382843207,4.376313941151083,17.488054989249967,0.04295734374925232,9,6,15,64,968.84885760824,4.570041781170944,1.1591837396439577,7.877521992062762,16.30802994522557,0.0769246695529508,0.0,2.2692218568921296,952.5408276630144,4.493117111617993,0.0,7.877521992062762,0.0,0.0,0.0,930.61685760824,0.01683237774102823,0.9831676222589717,9.0,55.0,20.0,180.0,20000.0,3600000.0,0.0,0.0,0.0
Sonora,Magdalena,36,Magdalena,140,Ajo,2022,2023,30.771988,-111.139421,770.0,1049.8630122066172,4.952184019842534,1.139467984813722,10.78377680949557,16.75700471698113,4.555,26.765,24.550943396226412,11.35,36.38,8.96306603773585,-3.43,20.73,34.18174528301887,6.21,88.41,18.803915094339622,2.53,31.0,2.628066037735849,1.13,6.15,48.370000000000005,0.2281603773584906,0.0,22.93,38.696000000000005,0.18252830188679248,0.0,18.344,9.624708836454568,3.094463221252784,17.1729411569207,0.04607267751850334,11,1,1,37,910.0441408003248,4.292661041510966,1.139467984813722,7.548643766646899,20.763676401615633,0.09794186981894167,0.0,2.2239999999999998,889.280464398709,4.194719171692023,0.0,7.548643766646899,0.0,0.0,0.0,871.3481408003248,0.022816120087708412,0.9771838799122914,8.25,2.0,2.0,16.5,29500.0,486750.0,0.0,0.0,0.0
