Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2010,2011,28.931204,-110.356087,465.0,448.9328961745329,4.775881874197158,1.6118343092044218,8.8300166741703,17.03781914893617,11.115,23.555,24.882765957446804,15.45,34.55,9.19287234042553,3.31,14.03,42.86627659574469,16.96,84.74,19.165744680851063,7.12,27.66,2.5540425531914894,1.39,7.14,71.83,0.7641489361702127,0.0,23.04,57.464,0.6113191489361702,0.0,18.432,10.330397597378406,5.022596347765571,15.730064738061772,0.16000164080663504,12,3,0,4,442.8661260523002,4.711341766513832,0.5019363056712974,10.154519175295844,22.934271006309693,0.2439816064501031,0.0,2.7398189042671817,419.9318550459905,4.467360160063729,0.0,10.154519175295844,229.34271006309694,4199.318550459905,4428.661260523002,385.4021260523002,0.05178601310230097,0.948213986897699,19.3,39.0,39.0,752.7,400.0,301080.0,11.88304197218119,217.58127204455465,229.46431401673584
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2011,2012,28.931204,-110.356087,465.0,810.4526606004747,5.162118857327864,2.2601594772648634,9.613830676505978,18.815605095541404,2.67,26.174999999999997,27.229936305732487,8.76,36.83,10.401273885350319,-3.42,17.98,30.309426751592355,9.53,71.52,18.571910828025477,8.04,26.88,2.330573248407643,1.3,6.55,1.8,0.011464968152866243,0.0,0.73,1.44,0.009171974522292993,0.0,0.584,9.091794419824309,4.768891596035175,15.162568745090717,0.0022209810486233175,0,0,5,7,745.0777120331122,4.745717911038931,1.0326638380052935,8.337903139755829,1.44,0.009171974522292993,0.0,0.584,743.6377120331123,4.736545936516639,1.0326638380052935,8.337903139755829,0.0,0.0,0.0,743.6377120331122,0.0019326843049306036,0.9980673156950695,20.0,37.0,37.0,740.0,450.0,333000.0,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2012,2013,28.931204,-110.356087,465.0,733.0941077424808,4.63983612495241,1.3962592654435835,9.132447461071102,17.529525316455697,7.785,26.104999999999997,25.56158227848101,13.7,35.72,9.49746835443038,1.87,17.04,39.48316455696202,10.08,86.92,17.719113924050635,3.29,28.38,2.3658227848101268,0.99,5.26,96.19000000000001,0.6087974683544305,0.0,55.27,76.95200000000001,0.4870379746835444,0.0,44.21600000000001,9.073700301652373,3.3500250633331285,15.737275515882452,0.13121098503466538,11,3,2,11,675.7993950877684,4.27721136131499,0.41887777963307504,8.219202714963993,18.40073727856901,0.11646036252258868,0.0,3.576,657.3986578091994,4.160750998792402,0.0,8.219202714963993,0.0,0.0,0.0,598.8473950877684,0.02722810557736478,0.9727718944226353,19.4,31.0,31.0,601.4,420.0,252588.0,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2013,2014,28.931204,-110.356087,465.0,757.3883432585689,4.824129574895343,1.896735018452179,9.17933295338017,18.734490445859876,6.404999999999999,26.03,26.714649681528666,13.91,37.63,10.754331210191085,-2.45,20.61,34.59917197452229,12.98,73.99,17.326942675159234,5.9,27.87,2.272420382165605,0.96,4.67,41.69,0.2655414012738853,0.0,12.24,33.352,0.21243312101910827,0.0,9.792000000000002,8.83487212132213,4.5453191649122315,15.427052962854647,0.055044417267677996,6,5,5,17,697.3615245139537,4.4417931497704055,0.7540478579519097,8.261399658042153,17.33324908829085,0.11040286043497356,0.0,3.4597147294655057,680.0282754256627,4.331390289335432,0.0,8.261399658042153,0.0,0.0,0.0,664.0095245139537,0.024855470912840738,0.9751445290871591,19.42,32.0,32.0,621.44,441.34,274266.33,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2014,2015,28.931204,-110.356087,465.0,773.9600719034116,4.929681986645934,1.6356827850143811,9.907625744391376,20.053821656050953,10.955,26.68,27.813184713375797,14.33,35.81,12.294458598726115,5.17,20.73,35.919936305732485,11.52,79.29,17.093503184713374,5.54,27.52,2.2895541401273887,1.08,5.39,21.720000000000002,0.138343949044586,0.0,8.11,17.376,0.1106751592356688,0.0,6.4879999999999995,8.782910600910771,4.215652100165225,15.583620313232775,0.028063463204999296,5,2,2,0,720.2647933509994,4.587673842999997,0.8112987583890381,8.916863169952238,9.660852579948678,0.061534092865915144,0.0,1.947817377182139,710.6039407710507,4.526139750134081,0.0,8.916863169952238,0.0,0.0,0.0,702.8887933509994,0.013412917956189414,0.9865870820438105,19.38,28.0,28.0,542.64,456.91,247937.64,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2015,2016,28.931204,-110.356087,465.0,711.6357830038927,4.532711993655368,1.4665370062258276,8.377175187339914,19.877229299363055,7.975,27.005,27.279745222929936,13.99,37.36,12.474713375796176,1.57,20.65,43.65082802547771,18.21,85.65,16.738662420382166,4.14,26.53,2.239108280254777,1.17,5.26,104.70000000000002,0.6668789808917198,0.0,23.75,83.76,0.5335031847133759,0.0,19.0,8.94374958298718,3.8123452818378283,15.695930829426338,0.14712582264771712,10,7,2,4,662.3647544238158,4.218883786138955,1.0147189290589946,8.722652819431746,28.79986731986373,0.1834386453494505,0.0,3.946884929858663,633.5648871039521,4.035445140789504,0.0,8.722652819431746,0.0,0.0,0.0,578.6047544238158,0.043480374110359224,0.9565196258896407,19.4,22.0,22.0,426.8,470.0,200596.0,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2016,2017,28.931204,-110.356087,465.0,765.1864851967341,4.842952437954013,1.8616131781834313,8.965782445044404,18.956962025316454,7.56,26.44,27.197468354430377,14.46,36.85,10.716455696202532,0.18,16.93,37.87949367088608,13.64,78.63,17.738354430379747,4.06,27.99,2.2974683544303796,1.0,4.13,52.650000000000006,0.3332278481012659,0.0,8.23,42.120000000000005,0.2665822784810127,0.0,6.5840000000000005,9.092564723878244,3.730903778118033,15.711800255863263,0.06880675628564371,12,5,7,12,711.2048470007253,4.501296500004591,0.7470185290356283,8.069204200539964,25.060789946650747,0.15861259459905536,0.0,3.263190071113829,686.1440570540744,4.342683905405535,0.0,8.069204200539964,0.0,0.0,0.0,669.0848470007253,0.03523709104674478,0.9647629089532551,19.45,16.0,16.0,311.2,525.21,163445.35,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2017,2018,28.931204,-110.356087,465.0,743.1678560088237,4.733553222986139,1.6425765525352813,8.35602982658016,20.168757961783438,11.665000000000001,29.23,27.85605095541401,16.87,37.95,12.481464968152865,3.69,21.65,40.433694267515925,18.07,81.1,17.266496815286622,3.04,27.84,2.2248407643312107,0.7,5.79,80.75,0.5143312101910829,0.0,25.66,64.60000000000001,0.4114649681528663,0.0,20.528000000000002,9.040755759841819,3.32870206455705,16.053403097496233,0.10865647558233633,9,5,11,1,672.4894710774183,4.283372427244703,1.2055621024043586,7.520426843922144,22.688413704893843,0.1445121892031455,0.0,3.7040675528435525,649.8010573725245,4.138860238041557,0.0,7.520426843922144,0.0,0.0,0.0,607.8894710774183,0.03373794636300247,0.9662620536369976,19.8,15.0,15.0,297.0,520.0,154440.0,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2018,2019,28.931204,-110.356087,465.0,793.9416292760351,5.056953052713599,1.755534399148938,8.825389472641593,21.2712101910828,11.530000000000001,28.9,29.097197452229302,16.49,37.54,13.445222929936307,2.33,21.25,32.766050955414016,13.07,83.58,16.963312101910827,3.7,28.08,2.2225477707006367,0.89,5.45,30.89,0.1967515923566879,0.0,25.17,24.712000000000003,0.15740127388535033,0.0,20.136000000000003,8.618658571020287,3.5550122438490357,15.54886460821768,0.03890714236532402,2,1,14,1,736.2645894190536,4.689583372095883,1.2316283861552544,8.297497635708975,6.594864559021279,0.04200550674535847,0.0,2.018864559021279,729.6697248600323,4.647577865350524,0.0,8.297497635708975,0.0,0.0,0.0,711.5525894190536,0.008957193723284898,0.991042806276715,19.69,13.0,13.0,256.0,570.0,145920.0,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2019,2020,28.931204,-110.356087,465.0,645.4624863755846,4.111226027869965,1.0087150904871205,8.031680159444408,17.893439490445857,8.3,24.28,25.278789808917196,12.61,34.75,10.508089171974522,1.35,18.73,46.61184713375796,24.98,86.96,16.383694267515924,3.87,27.3,2.132356687898089,0.89,5.6,79.28999999999999,0.5050318471337579,0.0,23.46,63.432,0.40402547770700636,0.0,18.768,8.850912931257014,3.5674559411992846,15.833278021003407,0.1228421506650696,9,3,0,10,593.1938191666131,3.7783045806790647,0.9013258237154321,7.228512143499967,18.50086807791645,0.11783992406316211,0.0,2.706853207212324,574.6929510886966,3.6604646566159023,0.0,7.228512143499967,0.0,0.0,0.0,529.7618191666131,0.031188571896970534,0.9688114281030294,19.7,15.0,15.0,295.5,632.4,186874.2,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2020,2021,28.931204,-110.356087,465.0,571.0179051090319,3.6140373741077965,0.8031595198118328,7.3349719954196555,17.784462025316454,7.165,25.75,24.687025316455696,15.4,32.96,10.881898734177216,-1.25,20.35,55.59417721518988,26.29,94.33,15.54145569620253,2.07,27.7,2.101962025316456,0.91,5.47,272.96000000000004,1.727594936708861,0.0,95.63,163.776,1.0365569620253166,0.0,57.37799999999999,8.707477635554506,2.751963064598622,15.908770474261342,0.478023539293186,20,10,0,8,521.0187936499367,3.2975873015818777,0.8329452986549907,6.903140503506209,37.77116531735013,0.23905800833765906,0.0,2.950270996230352,483.2476283325865,3.0585292932442183,0.0,6.903140503506209,0.0,0.0,0.0,357.2427936499367,0.07249482317662405,0.9275051768233759,19.8,13.0,13.0,257.4,718.5,184941.9,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2021,2022,28.931204,-110.356087,465.0,793.7668114337821,5.055839563272498,1.8874627050847306,10.23663663753849,19.013757961783437,10.475,30.285,27.255859872611467,15.88,39.85,10.771656050955412,3.65,21.89,31.915286624203816,11.89,80.73,17.811273885350317,6.27,27.63,2.361783439490446,1.3,4.78,69.08,0.44,0.0,19.77,55.263999999999996,0.352,0.0,15.816,8.816077792945313,4.643627969246275,15.252125676315488,0.08702807802611537,7,4,17,4,729.9827852458973,4.649571880547116,1.0951823028610919,9.212972973784641,19.22437807516509,0.12244826799468211,0.0,4.024,710.7584071707321,4.527123612552433,0.0,9.212972973784641,0.0,0.0,0.0,674.7187852458973,0.026335385523768608,0.9736646144762312,20.7,15.0,15.0,310.5,757.96,235346.58,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2022,2023,28.931204,-110.356087,465.0,732.9301410086975,4.668344847189156,1.9014762246428407,9.781983343377762,19.185127388535037,9.25,26.580000000000002,27.080955414012735,17.56,37.44,11.289299363057326,0.94,18.21,38.93554140127389,7.97,82.6,17.796369426751593,7.49,27.5,2.1554777070063693,1.28,4.98,70.7,0.45031847133757963,0.0,37.63,56.56,0.3602547770700637,0.0,30.104000000000003,9.167851238958546,4.888028383842856,15.878214996305555,0.09646212653050247,6,4,3,3,667.6682540587573,4.252664038590811,1.0803455675629938,8.803785009039986,15.030629486152588,0.09573649354237317,0.0,3.6646771087199443,652.6376245726046,4.156927545048437,0.0,8.803785009039986,0.0,0.0,0.0,611.1082540587572,0.022512122442217893,0.977487877557782,20.3,16.0,16.0,324.8,810.59,263279.63,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Avena forrajera en verde,2023,2024,28.931204,-110.356087,465.0,662.942100370361,4.222561148855802,1.5749363334124626,8.478911665632141,17.342707006369427,9.415000000000001,24.035,24.824267515923566,16.31,33.24,9.861146496815286,1.19,18.37,43.922611464968156,16.07,79.64,16.938343949044583,3.4,28.22,2.222611464968153,1.22,4.69,45.89,0.29229299363057326,0.0,12.12,36.712,0.23383439490445862,0.0,9.696,8.935148784224737,3.7248938516045484,15.943919963033398,0.06922173139156945,7,4,0,8,615.4306816005709,3.9199406471373943,0.8521035296256395,7.631020499068928,13.650721386398919,0.08694726997706317,0.0,2.458827312318777,601.779960214172,3.832993377160331,0.0,7.631020499068928,0.0,0.0,0.0,578.7186816005709,0.02218076185427908,0.9778192381457209,21.0,20.0,20.0,420.0,799.43,335760.6,0.0,0.0,0.0
Sonora,Mazatán,37,Mazatán,145,Cebada forrajera en verde,2010,2011,28.931204,-110.356087,465.0,448.9328961745329,4.775881874197158,1.6118343092044218,8.8300166741703,17.03781914893617,11.115,23.555,24.882765957446804,15.45,34.55,9.19287234042553,3.31,14.03,42.86627659574469,16.96,84.74,19.165744680851063,7.12,27.66,2.5540425531914894,1.39,7.14,71.83,0.7641489361702127,0.0,23.04,57.464,0.6113191489361702,0.0,18.432,10.330397597378406,5.022596347765571,15.730064738061772,0.16000164080663504,12,3,0,4,442.8661260523002,4.711341766513832,0.5019363056712974,10.154519175295844,22.934271006309693,0.2439816064501031,0.0,2.7398189042671817,419.9318550459905,4.467360160063729,0.0,10.154519175295844,229.34271006309694,4199.318550459905,4428.661260523002,385.4021260523002,0.05178601310230097,0.948213986897699,18.3,25.0,25.0,457.5,400.0,183000.0,12.532388528038084,229.47095904152485,242.00334756956295
