Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Naco,39,Agua Prieta,141,Ajo,2010,2011,31.18612,-109.885243,1521.0,892.9269343511935,3.720528893129973,0.8690846666022114,8.063862919014309,10.497104166666666,1.8250000000000002,21.1,18.218875000000004,6.76,29.76,2.7753333333333337,-4.93,12.71,51.979125,26.24,91.62,19.492,3.57,30.37,2.6665833333333335,0.95,8.95,334.37,1.3932083333333334,0.0,38.5,200.62199999999999,0.8359249999999999,0.0,23.099999999999998,10.952816765250653,3.516882286638863,17.988313619525087,0.37446512938144866,42,19,0,177,748.1341289520536,3.1172255373002233,0.8690846666022114,5.644704043310016,66.38170161432835,0.2765904233930348,0.0,3.1799999999999997,681.7524273377253,2.840635113907189,0.0,5.644704043310016,663.8170161432835,6817.524273377253,7481.3412895205365,547.5121289520537,0.08872967967296493,0.9112703203270351,8.0,110.0,110.0,880.0,12000.0,10560000.0,82.97712701791043,852.1905341721566,935.1676611900671
Sonora,Naco,39,Agua Prieta,141,Ajo,2011,2012,31.18612,-109.885243,1521.0,1847.3319467161707,4.356914968670214,0.9683384192358553,10.137394342116485,13.51316037735849,-8.885,25.735,21.85700471698113,-5.1,33.91,5.169316037735849,-12.67,18.09,37.85889150943396,10.97,85.03,19.124811320754716,5.03,31.29,2.528797169811321,0.96,8.43,60.42999999999999,0.14252358490566036,0.0,9.29,48.344,0.11401886792452831,0.0,7.4319999999999995,9.807578496579417,3.8462745312302,17.372287541878546,0.03271204187608012,17,3,0,195,1442.8774799843427,3.4030129244913745,0.6778368934650987,7.096176039481539,30.025182529488248,0.07081410973935907,0.0,2.8503433930009594,1412.8522974548546,3.3321988147520156,0.0,7.096176039481539,0.0,0.0,0.0,1394.5334799843426,0.02080923913914996,0.9791907608608501,5.0,110.0,110.0,550.0,15000.0,8250000.0,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2012,2013,31.18612,-109.885243,1521.0,1715.8633661099223,4.027848277253339,0.776524947311343,8.87991148235083,12.950657276995305,-1.335,25.455000000000002,20.979014084507046,2.91,35.84,4.922300469483568,-5.58,18.38,42.34253521126761,11.76,91.52,18.508239436619718,2.5,30.98,2.4055399061032863,0.8,6.89,281.52,0.6608450704225352,0.0,40.51,168.91199999999998,0.39650704225352107,0.0,24.305999999999997,9.684574529788119,3.0138295380342246,17.71245823411387,0.16406900780115213,36,12,1,238,1339.9287966285779,3.145372762038915,0.776524947311343,6.257114026881218,49.13755996809399,0.11534638490162909,0.0,2.26508343631931,1290.7912366604837,3.0300263771372857,0.0,6.257114026881218,0.0,0.0,0.0,1171.0167966285778,0.036671769493819374,0.9633282305061805,6.0,120.0,120.0,720.0,19000.0,13680000.0,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2013,2014,31.18612,-109.885243,1521.0,1761.0749202879742,4.153478585584845,1.0860973216761793,9.182198434982144,13.459068396226415,-1.3749999999999998,24.509999999999998,21.47912735849057,3.64,33.05,5.439009433962264,-6.4,16.9,38.39865566037736,7.06,87.74,18.445613207547165,3.81,30.95,2.3934433962264148,0.72,7.31,133.02,0.31372641509433963,0.0,14.64,106.41600000000001,0.25098113207547174,0.0,11.712000000000002,9.57031330474794,3.513595403554558,17.18815411414542,0.07553341340994643,24,9,0,186,1385.2957432301341,3.267206941580505,0.7602681251733255,6.4275389044875,43.184365373790925,0.10184991833441256,0.0,2.8412678499882507,1342.1113778563433,3.165357023246093,0.0,6.4275389044875,0.0,0.0,0.0,1278.8797432301342,0.031173390653101044,0.968826609346899,7.5,120.0,120.0,900.0,15050.0,13545000.0,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2014,2015,31.18612,-109.885243,1521.0,1788.976854064579,4.219285033171177,0.9742427944507929,9.022503353587954,14.156650943396226,3.38,22.89,22.078608490566033,7.49,32.71,6.234693396226415,-3.92,15.89,40.08207547169811,8.48,87.94,18.237759433962264,4.78,31.58,2.454740566037736,0.78,6.37,133.51000000000002,0.31488207547169816,0.0,19.05,106.80799999999999,0.25190566037735845,0.0,15.240000000000002,9.520943510164136,3.743352397870365,17.50828022647559,0.07462924950463364,25,9,0,155,1392.6350353330797,3.2845165927666975,0.9742427944507929,6.315752347511568,47.09409136233457,0.1110709701941853,0.0,2.8387639135858844,1345.540943970745,3.173445622572512,0.0,6.315752347511568,0.0,0.0,0.0,1285.8270353330797,0.03381653496249357,0.9661834650375064,5.0,130.0,130.0,650.0,18341.54,11922001.0,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2015,2016,31.18612,-109.885243,1521.0,1548.430536903957,3.6519588134527288,0.9206757208602865,7.375230757873232,13.827205188679244,0.8449999999999998,23.775,21.27445754716981,6.27,32.5,6.37995283018868,-5.28,16.38,52.621745283018875,22.53,90.7,17.58620283018868,2.65,30.95,2.3255424528301885,0.84,6.55,357.19,0.8424292452830189,0.0,45.62,214.314,0.5054575471698113,0.0,27.371999999999996,9.621432596165457,3.173171433263497,17.96017746151618,0.23067873662204522,45,21,0,151,1216.769832704546,2.8697401714729858,0.6444730046022005,5.162661530511262,73.13393723630696,0.17248570102902586,0.0,2.481744406644291,1143.6358954682391,2.6972544704439603,0.0,5.162661530511262,0.0,0.0,0.0,1002.455832704546,0.060104988857054634,0.9398950111429455,6.0,50.0,50.0,300.0,18500.0,5550000.0,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2016,2017,31.18612,-109.885243,1521.0,1671.4295036185376,3.923543435724267,0.7534405262374791,8.156071683011469,13.379272300469482,-0.7150000000000003,26.675,21.246830985915498,4.26,34.38,5.511713615023473,-5.69,18.97,46.149319248826295,16.22,91.18,18.25800469483568,3.73,31.01,2.430492957746479,0.91,6.54,271.18000000000006,0.6365727699530518,0.0,16.92,162.708,0.381943661971831,0.0,10.152000000000001,9.714917710630035,3.544256839589065,17.902507834964023,0.16224435395744347,49,21,0,192,1301.347355825533,3.054805999590453,0.5274083683662354,5.709250178108028,79.33839772742614,0.18624037025217405,0.0,3.4259999999999997,1222.0089580981069,2.868565629338279,0.0,5.709250178108028,0.0,0.0,0.0,1138.639355825533,0.06096634950865706,0.9390336504913429,6.5,55.0,55.0,357.5,20500.0,7328750.0,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2017,2018,31.18612,-109.885243,1521.0,1788.8875124635365,4.219074321847963,0.9761332207630311,9.756001432720282,15.180919811320752,2.33,25.14,22.96179245283019,7.48,34.52,7.40004716981132,-4.52,17.76,43.413773584905655,9.98,90.27,18.18070754716981,2.63,31.56,2.461320754716981,1.02,7.04,216.96999999999997,0.5117216981132074,0.0,18.22,173.576,0.409377358490566,0.0,14.576,9.632622229838393,3.159107309635586,17.722058287359854,0.12128767096216317,33,16,0,142,1410.8754112477784,3.3275363472824964,0.6832932545341217,6.829201002904197,48.694992135032535,0.11484667956375598,0.0,2.096,1362.1804191127458,3.21268966771874,0.0,6.829201002904197,0.0,0.0,0.0,1237.2994112477784,0.034514027069170256,0.9654859729308297,7.0,20.0,20.0,140.0,13062.02,1828682.8,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2018,2019,31.18612,-109.885243,1521.0,1877.3292279353186,4.427663273432355,0.8128151146885826,9.212081636068715,15.832169811320755,2.675,26.759999999999998,23.71132075471698,7.16,34.94,7.953018867924528,-5.49,19.85,37.43433962264151,8.96,92.09,18.022900943396227,3.39,30.56,2.4052830188679244,0.83,6.51,206.02,0.4858962264150944,0.0,35.37,164.81599999999997,0.3887169811320754,0.0,28.296,9.392808036433342,3.345806253655112,17.42826725588843,0.10974100702974737,26,11,0,127,1480.8349838862846,3.4925353393544447,0.729917389659757,7.0316129848869,50.55265017466971,0.11922794852516441,0.0,3.582918165786135,1430.2823337116147,3.37330739082928,0.0,7.0316129848869,0.0,0.0,0.0,1316.0189838862846,0.03413793618111315,0.9658620638188867,6.9,18.0,18.0,124.2,10943.48,1359180.22,0.0,0.0,0.0
Sonora,Naco,39,Agua Prieta,141,Ajo,2019,2020,31.18612,-109.885243,1521.0,1484.7709241493599,3.501818217333396,0.7305747372007396,8.356288618459514,12.672936320754719,-0.7650000000000001,24.03,19.930495283018864,3.03,32.61,5.4153773584905665,-5.74,18.98,53.03259433962264,26.08,91.18,16.98245283018868,3.15,30.61,2.392452830188679,0.78,6.69,455.14,1.0734433962264152,0.0,33.19,273.084,0.644066037735849,0.0,19.913999999999998,9.365176519280105,3.2731383116679327,18.54243032076083,0.30653886912606015,63,24,0,183,1162.8470171438767,2.7425637196789543,0.5114023160405177,5.84940203292166,90.61819010001382,0.21372214646229676,0.0,3.5212364824416778,1072.2288270438626,2.528841573216657,0.0,5.84940203292166,0.0,0.0,0.0,889.7630171438766,0.07792786906964376,0.922072130930356,7.0,25.0,25.0,175.0,11639.66,2036940.5,0.0,0.0,0.0
