Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Navojoa,42,Cajeme,148,Brócoli,2010,2011,27.072187,-109.443823,49.0,1,1.0,0.0,544.672525900392,4.004945043385235,1.668283434392451,6.478154194230143,23.467095588235292,14.635,31.68,29.16625,18.95,39.0,17.76794117647059,7.7,26.87,62.68742647058825,39.67,90.01,16.87882352941177,4.78,24.63,1.7576470588235296,0.92,4.18,283.59,2.085220588235294,0.0,54.98,170.15399999999997,1.2511323529411762,0.0,32.988,10.11108361001041,4.234676998897783,16.665160740648343,0.5206614736647504,34,12,14,0,504.42568919596187,3.709012420558543,1.246790979901654,5.460835011856353,69.62023179462155,0.5119134690780996,0.0,4.038,434.80545740134033,3.1970989514804438,0.0,5.460835011856353,696.2023179462154,4348.054574013403,5044.256891959619,334.2716891959619,0.13801880690413276,0.8619811930958673,28.0,5.0,5.0,140.0,9850.0,1379000.0,24.864368498079124,155.28766335762154,180.15203185570067
Sonora,Navojoa,42,Navojoa,149,Ajo,2010,2011,27.072187,-109.443823,49.0,3,2.5,0.75,949.3901388182964,4.4782553717844165,1.668283434392451,8.294960389299801,21.2198820754717,14.635,29.445,27.674339622641508,17.86,34.84,14.765424528301889,5.89,25.6,54.76122641509434,22.89,90.01,18.700990566037735,4.78,29.58,2.027169811320755,1.09,5.64,277.44,1.308679245283019,0.0,54.98,166.464,0.7852075471698113,0.0,32.988,10.818953428950364,4.201974420156158,18.46233066929659,0.2922297047927303,26,11,0,0,828.4289067148588,3.9076835222399002,1.1677984040747156,7.0459355277994895,51.55944237660777,0.24320491687079138,0.0,2.976,776.869464338251,3.6644786053691085,0.0,7.0459355277994895,515.5944237660777,7768.69464338251,8284.289067148587,661.9649067148589,0.06223761865223551,0.9377623813477644,7.22,7.0,7.0,50.54,10150.0,512981.0,71.41197005070329,1075.9964880031177,1147.408458053821
Sonora,Navojoa,42,Navojoa,149,Ajo,2012,2013,27.072187,-109.443823,49.0,3,2.2857142857142856,0.2857142857142857,1101.0009247243247,5.169018425935796,1.36765654993808,9.994612851278559,22.261079812206575,12.91,32.16,29.521314553990607,19.37,40.2,15.000845070422534,3.53,25.46,42.917840375586856,17.33,86.3,19.578779342723003,3.88,29.97,2.004225352112676,1.0,3.7,88.96000000000002,0.41765258215962453,0.0,28.17,71.168,0.33412206572769954,0.0,22.536,10.921409174884344,3.6588834119257148,18.475667183478087,0.0807992055249857,9,6,28,1,959.5932843515593,4.505132790382907,1.36765654993808,7.632948215752973,25.373948756600836,0.11912651998404149,0.0,5.106339759426354,934.2193355949585,4.386006270398866,0.0,7.632948215752973,253.73948756600836,9342.193355949585,9595.932843515593,888.4252843515593,0.0264423992647543,0.9735576007352457,6.89,4.0,4.0,27.56,15000.0,413400.0,36.82721154804185,1355.90614745277,1392.7333590008118
Sonora,Navojoa,42,Navojoa,149,Ajo,2013,2014,27.072187,-109.443823,49.0,1,1.0,0.0,1104.7738396605603,5.211197356889436,1.9094928672914582,9.126222961958618,22.816603773584905,11.71,30.78,29.95867924528302,18.49,38.07,15.674528301886792,3.89,23.79,42.59858490566038,15.65,78.45,19.103207547169813,5.37,30.44,2.0691037735849056,1.17,3.62,47.910000000000004,0.22599056603773587,0.0,11.55,38.328,0.1807924528301887,0.0,9.24,10.783324739611091,4.320670833958779,18.370340330985663,0.04336634185212085,8,3,20,1,967.3188145990939,4.5628245971655375,1.7205437315094478,8.591045203696822,20.361428471818645,0.09604447392367285,0.0,3.0572121006843425,946.9573861272752,4.466780123241864,0.0,8.591045203696822,203.61428471818644,9469.573861272751,9673.188145990938,928.9908145990939,0.021049346052735937,0.978950653947264,7.55,15.0,15.0,113.25,34000.0,3850500.0,26.968779432872378,1254.2481935460598,1281.2169729789323
Sonora,Navojoa,42,Navojoa,149,Ajo,2014,2015,27.072187,-109.443823,49.0,2,1.25,0.0,1069.5210939404108,5.0449108204736355,1.4840832372281914,11.522161251866427,23.366249999999997,14.645,29.119999999999997,30.24433962264151,18.38,40.69,16.48816037735849,8.81,22.93,45.85353773584905,14.09,84.24,18.500801886792452,3.59,29.76,1.9774056603773587,0.8,3.67,107.72,0.5081132075471698,0.0,48.42,86.176,0.40649056603773587,0.0,38.736000000000004,10.564327714666781,3.4822101329251183,17.906579966124518,0.10071797612062966,10,3,14,0,936.7779329187179,4.418763834522254,1.4840832372281914,8.065512876306498,27.14151006506425,0.12802599087294458,0.0,3.462618613457679,909.6364228536537,4.2907378436493095,0.0,8.065512876306498,271.4151006506425,9096.364228536537,9367.779329187179,850.6019329187178,0.02897325941538725,0.9710267405846128,6.58,14.0,14.0,92.12,16820.0,1549458.4,41.24849553961132,1382.4261745496256,1423.6746700892368
Sonora,Navojoa,42,Cajeme,148,Berenjena,2018,2019,27.072187,-109.443823,49.0,4,4.0,1.0,789.6854461317381,7.818667783482556,3.3124622642783703,12.505651422494433,26.69029702970297,18.1,34.425,34.50920792079208,25.55,44.42,18.871386138613865,9.83,26.9,35.3059405940594,15.62,58.67,26.489306930693065,8.24,31.78,2.4121782178217823,1.32,4.07,2.64,0.02613861386138614,0.0,1.15,2.112,0.020910891089108912,0.0,0.9199999999999999,15.996489482682792,6.420217457769459,19.31230031508037,0.0033431032735021255,1,0,45,0,748.5031754407584,7.410922529116419,1.987477358567022,13.130933993619156,2.112,0.020910891089108912,0.0,0.9199999999999999,746.3911754407585,7.390011638027312,1.787477358567022,13.130933993619156,21.12,7463.911754407585,7485.031754407585,746.3911754407584,0.0028216313160680214,0.9971783686839322,45.0,4.0,4.0,180.0,4433.33,797999.4,0.4693333333333334,165.8647056535019,166.33403898683522
Sonora,Navojoa,42,Navojoa,149,Calabacita,2011,2012,27.072187,-109.443823,49.0,4,3.3333333333333335,1.0,805.1258671130312,8.386727782427409,4.5479675626306655,10.956522968908141,28.28322916666667,19.31,34.975,35.97572916666667,25.54,44.08,20.590729166666666,12.62,27.82,37.508854166666666,15.76,82.14,28.6925,17.03,32.16,2.4540624999999996,1.02,3.5,76.57,0.7976041666666666,0.0,22.28,61.25600000000001,0.6380833333333334,0.0,17.824,17.7782772816611,12.240790379126098,20.036586315362662,0.0951031424124526,6,4,56,0,664.0970726509622,6.91767784011419,2.943335793218615,10.408696820462733,22.096064544547744,0.23016733900570566,0.0,5.883081283693373,642.0010081064145,6.687510501108484,0.0,10.392696820462733,220.96064544547744,6420.010081064145,6640.970726509622,602.8410726509622,0.03327234143096584,0.9667276585690342,16.15,186.0,25.0,403.74,4378.05,1767592.0,13.68177371179427,397.5238440287397,411.20561774053397
Sonora,Navojoa,42,Navojoa,149,Calabacita,2012,2013,27.072187,-109.443823,49.0,2,2.0,0.0,808.9607232040935,8.42667420004264,6.150513531596023,10.198865841531298,28.629687500000003,20.064999999999998,33.5,36.08145833333334,27.68,41.9,21.177916666666665,12.45,27.49,37.08322916666666,15.7,66.34,28.377916666666664,17.68,32.25,2.5132291666666666,1.36,3.7,41.86,0.43604166666666666,0.0,8.91,33.488,0.34883333333333333,0.0,7.128,17.57017602864074,11.643078853544818,19.773813590943,0.05174540468936846,10,3,63,0,667.0583651033314,6.948524636493036,3.1487178633197166,9.688922549454732,31.87579100065408,0.3320394895901467,0.0,5.515791000654078,635.1825741026773,6.616485146902889,0.0,9.688922549454732,318.7579100065408,6351.825741026773,6670.583651033314,633.5703651033314,0.047785610177778555,0.9522143898222214,15.81,88.0,88.0,1391.29,7891.2,10978946.54,20.16179063924989,401.7600089200995,421.9217995593494
Sonora,Navojoa,42,Navojoa,149,Calabacita,2013,2014,27.072187,-109.443823,49.0,1,1.0,0.0,805.1163622290728,8.386628773219508,6.187543618261116,10.507642082646724,28.411875,20.825000000000003,33.985,35.79666666666667,27.07,42.85,21.027083333333334,13.66,27.3,40.2603125,24.94,71.11,28.837395833333332,22.61,31.48,2.5814583333333334,1.36,4.16,27.089999999999996,0.2821875,0.0,6.98,21.672,0.22575,0.0,5.5840000000000005,18.044686992331528,14.776282566587025,19.965332251840298,0.033647310216125395,7,2,60,0,663.4923942283583,6.911379106545399,3.093771809130558,9.982259978514387,20.949238946057903,0.2182212390214365,0.0,4.993663467522648,642.5431552823004,6.693157867523962,0.0,9.982259978514387,209.49238946057903,6425.431552823004,6634.923942283583,641.8203942283583,0.03157419606960509,0.9684258039303949,15.25,82.0,72.0,1098.0,7639.9,8388615.52,13.737205866267477,421.3397739556068,435.07697982187426
Sonora,Navojoa,42,Navojoa,149,Calabacita,2014,2015,27.072187,-109.443823,49.0,2,1.3333333333333333,0.0,790.868559349927,8.238214159895072,4.181809204508567,11.522161251866427,29.10265625,21.63,34.085,36.16979166666667,27.93,41.56,22.035520833333333,12.7,27.86,40.64833333333333,14.09,81.04,27.57364583333333,9.6,31.39,2.4721875,1.25,3.59,85.28,0.8883333333333333,0.0,17.33,68.224,0.7106666666666667,0.0,13.863999999999999,17.386274541458025,7.581356967752564,20.13019702125701,0.10783081334033294,14,4,65,0,651.5149378589749,6.786613936030989,2.0909046022542834,10.148325015500145,46.33746679297272,0.4826819457601325,0.0,6.61995367286497,605.1774710660022,6.303931990270857,0.0,10.148325015500145,463.3746679297272,6051.774710660022,6515.149378589749,583.2909378589749,0.07112264677345402,0.9288773532265461,15.63,113.0,113.0,1765.85,4305.42,7602733.0,29.646491870104107,387.18968078439036,416.8361726544945
