Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Nogales,43,Magdalena,140,Calabacita,2010,2011,31.328506,-110.945047,1188.0,769.6344990146372,8.017026031402471,2.879666924559888,11.219365992495527,21.286614583333336,7.8549999999999995,32.730000000000004,30.0925,12.29,40.27,12.480729166666668,1.74,25.19,27.709791666666664,9.59,69.34,29.283020833333335,13.63,33.52,3.0315625,1.54,6.86,16.11,0.1678125,0.0,11.54,12.888,0.13425,0.0,9.232,17.19301801729138,9.461977529248038,19.528739174741503,0.02093201385933924,2,1,25,10,645.3677494549465,6.722580723489027,1.439833462279944,10.65839769287075,5.2090082976427805,0.05426050310044563,0.0,1.56,640.1587411573039,6.6683202203885825,0.0,10.65839769287075,52.09008297642781,6401.5874115730385,6453.677494549466,632.4797494549465,0.008071379925696804,0.9919286200743034,15.0,3.0,3.0,45.0,4000.0,180000.0,3.4726721984285205,426.7724941048692,430.24516630329776
Sonora,Nogales,43,Magdalena,140,Calabacita,2016,2017,31.328506,-110.945047,1188.0,752.9084885778063,7.842796756018816,3.449537206440336,12.191773688102444,22.55807291666667,11.62,33.725,30.786458333333332,16.29,43.81,14.3296875,5.19,23.91,29.183229166666667,9.25,70.91,27.880625,11.07,32.99,2.8792708333333334,1.17,5.3,45.730000000000004,0.4763541666666667,0.0,10.74,36.584,0.3810833333333334,0.0,8.592,16.52719798386803,7.954894824728768,19.604198363677455,0.06073779309671606,11,3,22,0,627.0570168109182,6.531843925113731,1.724768603220168,11.58218500369732,23.3049200738462,0.2427595841025646,0.0,3.561234125466868,603.752096737072,6.289084341011166,0.0,11.58218500369732,233.04920073846202,6037.5209673707195,6270.570168109181,590.4730168109181,0.03716555185423199,0.9628344481457679,22.75,3.5,3.5,79.64,6111.4,486711.9,10.243920911580748,265.3855370272844,275.62945793886513
Sonora,Nogales,43,Magdalena,140,Calabacita,2017,2018,31.328506,-110.945047,1188.0,812.6166296012241,8.464756558346084,3.4025178626259653,11.504238985333052,23.862239583333334,11.055,35.425000000000004,32.5596875,15.7,44.09,15.164791666666666,3.6,26.76,22.723645833333336,4.86,63.62,28.6784375,17.5,33.28,2.905416666666666,1.62,6.1,13.07,0.13614583333333333,0.0,2.74,10.456000000000001,0.10891666666666668,0.0,2.192,16.605351132359345,11.815236140666842,19.296793137959455,0.016083845104688358,6,0,37,1,669.586395527942,6.974858286749396,2.160223578769741,10.9290270360664,10.456000000000001,0.10891666666666668,0.0,2.192,659.1303955279421,6.86594162008273,0.6642235787697406,10.9290270360664,104.56000000000002,6591.303955279422,6695.863955279422,659.130395527942,0.015615609979285593,0.9843843900207145,20.52,2.0,2.0,41.04,6225.35,255488.36,5.095516569200781,321.21364304480613,326.3091596140069
Sonora,Nogales,43,Magdalena,140,Calabacita,2018,2019,31.328506,-110.945047,1188.0,838.4415112915617,8.733765742620434,3.6623934893707957,11.425315751612294,23.98453125,12.365,32.17,32.65260416666667,18.32,41.76,15.316458333333332,4.67,23.26,21.508645833333333,8.5,61.68,29.160208333333333,10.02,33.18,3.046666666666667,1.4,5.95,22.21,0.23135416666666667,0.0,10.56,17.768,0.18508333333333335,0.0,8.448,16.81763574631161,7.851323967299843,19.728777048456767,0.026489623546652668,2,2,35,2,691.1393291023217,7.199368011482517,2.9901571272315977,10.85404996403168,9.429292606239242,0.09822179798165877,0.0,5.022018791336987,681.7100364960825,7.101146213500859,0.0,10.85404996403168,94.29292606239243,6817.100364960825,6911.393291023217,673.3713291023216,0.013643113926806004,0.986356886073194,18.74,3.0,3.0,56.21,6465.25,363411.7,5.031639597779746,363.77269823697037,368.80433783475013
Sonora,Nogales,43,Magdalena,140,Calabacita,2019,2020,31.328506,-110.945047,1188.0,749.6721203108555,7.809084586571411,3.648171134256709,12.169832018669764,21.612447916666667,11.465,32.525,29.861874999999998,14.42,41.17,13.363020833333332,4.53,24.71,30.287499999999998,12.63,54.29,28.382500000000004,16.42,33.13,2.9796874999999994,1.16,5.14,7.090000000000001,0.07385416666666668,0.0,3.24,5.672000000000001,0.05908333333333334,0.0,2.5920000000000005,16.880672548153665,10.77433649531963,19.660358166206954,0.009457467882172402,2,0,23,1,620.3899989127208,6.462395822007508,1.847027045496304,11.561340417736275,5.672000000000001,0.05908333333333334,0.0,2.5920000000000005,614.7179989127209,6.4033124886741755,0.8737625775438729,11.561340417736275,56.720000000000006,6147.1799891272085,6203.899989127209,614.7179989127208,0.009142636099776913,0.9908573639002233,22.67,3.5,3.5,79.34,6271.43,497575.26,2.501985002205558,271.1592408084344,273.66122581063996
Sonora,Nogales,43,Magdalena,140,Calabacita,2020,2021,31.328506,-110.945047,1188.0,792.8130452288785,8.25846922113415,2.928800914195544,11.651361966957886,23.40338541666667,9.975,31.07,32.018854166666664,15.42,40.51,14.787916666666668,3.82,23.01,28.172395833333336,7.0,72.14,28.903645833333332,17.46,33.81,2.9209374999999995,1.02,5.85,17.32,0.18041666666666667,0.0,5.22,13.856000000000002,0.14433333333333334,0.0,4.176,17.065545274766777,11.492949602302822,20.244152072686617,0.021846260104107975,4,1,36,3,663.9490989302158,6.916136447189747,1.464400457097772,11.06879386860999,11.144400457097774,0.11608750476143515,0.0,3.848,652.8046984731182,6.800048942428314,0.0,11.06879386860999,111.44400457097774,6528.0469847311815,6639.4909893021595,650.0930989302158,0.016785022338390288,0.9832149776616099,20.33,3.0,3.0,61.0,6302.46,384450.06,5.481751331577853,321.10413107384073,326.5858824054186
Sonora,Nogales,43,Magdalena,140,Calabacita,2021,2022,31.328506,-110.945047,1188.0,805.9650170677063,8.395468927788608,3.687784224756319,11.069897424834897,23.976406249999997,13.1,34.150000000000006,32.34322916666667,18.33,43.52,15.609583333333333,5.93,24.95,23.166770833333334,5.5,74.44,27.964895833333333,12.51,33.08,2.9447916666666667,1.2,5.85,44.379999999999995,0.4622916666666666,0.0,13.8,35.504000000000005,0.3698333333333334,0.0,11.040000000000001,16.231008404114924,9.318484412120863,18.965053319888657,0.05506442470848805,8,3,24,0,664.0849433798204,6.917551493539796,2.7015838371338137,10.516402553593151,22.393536285589114,0.23326600297488662,0.0,4.5863656457013295,641.6914070942312,6.684285490564908,0.0,10.516402553593151,223.93536285589113,6416.914070942312,6640.849433798203,628.5809433798204,0.03372089144442661,0.9662791085555732,20.0,3.0,3.0,60.0,6500.0,390000.0,11.196768142794557,320.8457035471156,332.04247168991014
Sonora,Nogales,43,Magdalena,140,Calabacita,2022,2023,31.328506,-110.945047,1188.0,812.6412321693118,8.465012835096998,4.60844699852314,11.67332927976129,24.020416666666666,12.705,31.895,32.650000000000006,22.21,40.25,15.390833333333333,3.2,24.0,22.44552083333333,3.77,53.14,28.140833333333337,15.19,33.41,2.9351041666666666,0.76,6.23,35.199999999999996,0.36666666666666664,0.0,7.93,28.160000000000004,0.2933333333333334,0.0,6.344,16.28151781650419,10.816430253571813,19.51590660213398,0.04331554763229902,12,1,28,1,671.2181670661312,6.991855906938866,2.9433832844528585,11.089662815773226,25.272335248892357,0.26325349217596206,0.0,3.4563352488923553,645.9458318172387,6.7286024147629035,0.0,11.089662815773226,252.72335248892358,6459.458318172387,6712.181670661311,643.0581670661312,0.037651447009184456,0.9623485529908155,18.0,2.0,2.0,36.0,7500.0,270000.0,14.040186249384643,358.8587954540215,372.89898170340615
Sonora,Nogales,43,Magdalena,140,Calabacita,2023,2024,31.328506,-110.945047,1188.0,799.8968369979793,8.332258718728951,4.487973916512763,11.605095325317217,22.567447916666666,7.275,33.07,31.315625,13.82,41.3,13.819270833333334,-0.23,24.84,23.62385416666667,6.44,47.89,29.020520833333332,15.09,32.84,2.9454166666666666,1.44,4.92,4.6,0.04791666666666666,0.0,2.2,3.6800000000000006,0.03833333333333334,0.0,1.7600000000000002,16.878854942143946,10.57544797397901,19.915370364222944,0.005750741579706509,2,0,20,3,660.145330157359,6.876513855805823,2.394749192188262,10.453953777379855,3.6800000000000006,0.03833333333333334,0.0,1.7600000000000002,656.465330157359,6.838180522472489,2.394749192188262,10.453953777379855,36.800000000000004,6564.6533015735895,6601.45330157359,656.4653301573591,0.005574530079797426,0.9944254699202025,17.1,2.0,2.0,34.2,8250.0,282150.0,2.152046783625731,383.89785389319235,386.0499006768181
Sonora,Nogales,43,Magdalena,140,Cebolla,2010,2011,31.328506,-110.945047,1188.0,490.1919053815745,4.084932544846454,1.073755904314195,8.520498064434264,11.767,3.45,21.95,19.069916666666668,9.25,29.74,4.464083333333334,-3.29,14.16,48.40316666666666,23.47,87.64,19.471083333333336,6.21,30.01,2.9893333333333336,1.35,10.4,167.16000000000003,1.3930000000000002,0.0,38.68,133.728,1.1144,0.0,30.944000000000003,10.839346102601699,4.65963646693255,17.87860863602379,0.3410093030195584,21,9,0,73,490.58910057094903,4.0882425047579085,1.1274436995299049,8.946522967655978,38.99932246453888,0.3249943538711573,0.0,3.261317425049838,451.5897781064101,3.763248150886751,0.0,8.946522967655978,389.99322464538875,4515.897781064101,4905.89100570949,356.861100570949,0.07949488160081696,0.9205051183991829,18.0,4.0,4.0,72.0,12500.0,900000.0,21.666290258077154,250.88321005911672,272.54950031719386
