Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2010,2011,29.619399,-108.912398,1334.0,285.1826538862081,3.0338580200660434,0.8175692389647474,5.676957899598542,10.35537234042553,4.84,17.165,17.940212765957444,8.48,28.57,2.770531914893618,-3.34,8.83,50.75574468085107,23.54,92.46,18.67436170212766,3.21,28.35,1.0453191489361702,0.53,2.8,137.34,1.461063829787234,0.0,43.97,109.87200000000001,1.1688510638297873,0.0,35.176,10.163065045328215,3.4074102271576203,16.097045386663346,0.4815860927319956,16,7,0,76,287.39811794909895,3.057426786692542,0.3177130475538273,6.528501584538323,24.303901986289517,0.258552148790314,0.0,2.3912056531843553,263.09421596280936,2.798874637902227,0.0,6.528501584538323,243.03901986289517,2630.9421596280936,2873.981179490989,177.52611794909893,0.08456527885333605,0.9154347211466637,17.89,50.0,50.0,894.6,396.4,354619.44,13.585188365729188,147.06216655271623,160.64735491844542
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2011,2012,29.619399,-108.912398,1334.0,528.0065431430357,3.3630990009110557,0.877000246337828,6.17215760116227,12.967452229299361,-4.655,21.365000000000002,21.42968152866242,0.9,31.39,4.5052229299363065,-10.36,13.3,32.726942675159236,11.91,90.01,18.679171974522294,5.71,27.78,1.0697452229299362,0.71,1.68,14.49,0.09229299363057325,0.0,8.61,11.592,0.0738343949044586,0.0,6.888,9.084094800265085,4.188555714113676,15.323535010757116,0.02744284173780531,4,1,0,84,483.2603479538493,3.0780913882410785,0.7207114375015684,5.554941841046043,5.6626074588695,0.03606756343228981,0.0,2.2640000000000002,477.5977404949798,3.0420238248087887,0.0,5.554941841046043,0.0,0.0,0.0,471.6683479538493,0.011717508963533402,0.9882824910364666,12.0,30.0,27.0,324.0,400.0,129600.0,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2012,2013,29.619399,-108.912398,1334.0,480.8556974459534,3.043390490164262,0.7051192356328959,5.870704489945181,11.919810126582279,1.705,20.615000000000002,19.88803797468354,6.61,29.94,3.951582278481012,-4.06,12.5,42.369303797468355,10.96,95.77,17.551898734177215,3.26,28.92,1.0172151898734179,0.63,1.68,124.3,0.7867088607594936,0.0,23.05,99.44,0.6293670886075949,0.0,18.44,8.911935947541771,3.30279641124684,15.947987770788824,0.2584975090452597,17,7,0,103,440.8616284813155,2.790263471400731,0.3253110920725013,5.2836340409506635,24.28814823145293,0.15372245716109448,0.0,2.8669342252584245,416.57348024986266,2.6365410142396373,0.0,5.2836340409506635,0.0,0.0,0.0,341.4216284813155,0.05509245228513305,0.9449075477148672,9.85,50.0,50.0,492.5,420.0,206850.0,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2013,2014,29.619399,-108.912398,1334.0,488.66169566859975,3.112494876870062,1.068844273134613,5.907134194221853,12.969235668789809,0.96,21.035,20.903821656050955,6.47,31.46,5.034649681528661,-5.66,13.87,36.89789808917197,10.96,81.76,17.302292993630573,5.15,28.76,0.9839490445859874,0.55,1.75,43.47,0.27687898089171975,0.0,10.8,34.775999999999996,0.22150318471337577,0.0,8.64,8.719695572017468,4.348836158663323,15.684260148123904,0.08895724871687191,10,3,0,75,446.3345995349315,2.842895538439054,0.5716570149151358,5.316420774799668,18.59656231592884,0.11844944150273146,0.0,2.4535774076644734,427.73803721900276,2.7244460969363233,0.0,5.316420774799668,0.0,0.0,0.0,411.5585995349315,0.04166506996165198,0.9583349300383482,14.9,46.0,46.0,685.4,411.41,281980.41,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2014,2015,29.619399,-108.912398,1334.0,480.70191981999955,3.061795667643309,0.8220085578626046,5.981833277286084,13.699777070063693,4.46,19.935,21.1440127388535,8.32,29.71,6.255541401273886,-1.48,12.0,43.48057324840765,16.28,93.03,16.818152866242038,3.89,28.35,0.9894904458598728,0.55,1.66,70.63,0.4498726114649681,0.0,18.04,56.504000000000005,0.3598980891719746,0.0,14.432,8.69560378073299,3.547734696306294,15.945245266050993,0.1469309713313557,11,5,0,58,444.1324295993561,2.8288689783398477,0.4466955385960368,5.3836499495574754,15.624552150305274,0.0995194404478043,0.0,2.9127419757424926,428.50787744905085,2.729349537892044,0.0,5.3836499495574754,0.0,0.0,0.0,387.6284295993561,0.03517993983100919,0.9648200601689909,14.0,30.0,30.0,420.0,340.0,142800.0,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2015,2016,29.619399,-108.912398,1334.0,445.7880028145431,2.8394140306658797,0.9116634669072599,5.695627126276842,13.653089171974521,3.07,21.005,20.93955414012739,8.35,31.0,6.366624203821655,-2.9,15.04,48.64528662420383,19.76,91.58,15.811082802547771,3.59,27.47,0.9218471337579619,0.51,1.56,156.2,0.994904458598726,0.0,27.9,124.96,0.7959235668789808,0.0,22.32,8.387652618775471,3.610805393017995,16.324749788457158,0.3503907664939614,22,8,0,51,412.47973481758754,2.6272594574368635,0.3903226252811593,5.126064413649158,37.03483153796438,0.2358906467386266,0.0,2.552,375.4449032796231,2.391368810698236,0.0,5.126064413649158,0.0,0.0,0.0,287.51973481758756,0.0897858207612125,0.9102141792387873,13.8,15.0,15.0,207.0,382.0,79074.0,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2016,2017,29.619399,-108.912398,1334.0,489.6213426065338,3.0988692570033787,1.0482878876260728,6.051614744683032,13.010822784810127,1.2999999999999998,20.445,20.939873417721518,5.48,30.19,5.0817721518987335,-4.86,13.08,42.094113924050625,15.42,88.49,17.38474683544304,3.38,28.64,0.9770253164556962,0.58,1.63,94.53999999999999,0.5983544303797468,0.0,14.54,75.632,0.4786835443037975,0.0,11.632,8.876031020883616,3.4537234763021636,15.668813694530925,0.19308798815163902,20,6,0,70,451.7091055173823,2.858918389350521,0.32772004289940654,5.44645327021473,25.897773516770748,0.16390995896690347,0.0,2.304,425.81133200061157,2.6950084303836177,0.0,5.44645327021473,0.0,0.0,0.0,376.0771055173823,0.05733285692150868,0.9426671430784914,11.9,20.0,20.0,238.0,370.0,88060.0,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2017,2018,29.619399,-108.912398,1334.0,496.39245282656157,3.161735368322048,1.0362103762408623,6.023596258330273,14.573121019108283,5.89,23.265,22.17821656050955,9.48,31.9,6.968025477707006,-0.97,16.93,42.437707006369436,14.43,86.68,16.972101910828023,3.37,28.43,1.0012101910828026,0.56,2.05,53.57,0.34121019108280254,0.0,11.14,42.855999999999995,0.272968152866242,0.0,8.912,8.75278143475433,3.394026540823919,15.897148752633175,0.10791864319242025,13,4,0,45,451.6004266984838,2.876435838843846,0.7423411179246421,5.421236632497246,21.05927501717086,0.13413550966350868,0.0,2.126698095531996,430.54115168131295,2.7423003291803374,0.0,5.421236632497246,0.0,0.0,0.0,408.7444266984838,0.04663254012209189,0.9533674598779082,16.0,30.0,30.0,480.0,578.75,277800.0,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2018,2019,29.619399,-108.912398,1334.0,493.39349111839374,3.142633701391043,0.782570074549745,6.0066514911631295,15.04484076433121,4.715,22.51,22.634012738853503,9.78,31.99,7.455668789808917,-1.84,15.02,39.24859872611465,12.01,94.52,16.659617834394904,2.58,28.24,0.9656687898089171,0.63,1.64,80.69999999999999,0.5140127388535031,0.0,20.4,64.56,0.41121019108280255,0.0,16.32,8.520463771938605,3.089756655731345,15.594100504849203,0.1635611361979548,13,5,0,41,452.4396933008024,2.881781485992372,0.857463209719186,5.405986342046817,22.846384408562585,0.14551837202906104,0.0,1.802129952005201,429.5933088922398,2.736263113963311,0.0,5.405986342046817,0.0,0.0,0.0,387.8796933008024,0.05049597713650043,0.9495040228634996,17.0,25.0,25.0,425.0,652.58,277346.5,0.0,0.0,0.0
Sonora,Nácori Chico,40,Moctezuma,143,Avena forrajera en verde,2019,2020,29.619399,-108.912398,1334.0,432.85627809925353,2.7570463573200863,0.8480378227636768,5.536990607868972,12.228025477707005,1.4450000000000003,19.36,19.300509554140127,6.48,28.34,5.155541401273885,-3.64,11.8,49.38464968152866,23.26,89.13,16.000382165605096,3.05,27.86,0.924203821656051,0.45,2.17,158.99,1.0126751592356689,0.0,24.42,127.19200000000001,0.810140127388535,0.0,19.536,8.50618227462914,3.387353667827801,16.039682771634176,0.3673043641602069,22,9,0,70,394.7372411575839,2.5142499436788786,0.5993841792530021,4.983291547082075,37.27417080760808,0.23741510068540178,0.0,2.161645504525748,357.4630703499758,2.2768348429934764,0.0,4.983291547082075,0.0,0.0,0.0,267.5452411575839,0.09442780391913358,0.9055721960808663,18.8,15.0,15.0,282.0,658.48,185691.36,0.0,0.0,0.0
