Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2010,2011,28.456852,-109.494923,515.0,0,0.0,0.0,373.0506314421469,3.9686237387462433,1.0913288301709085,7.2537134141926085,15.01840425531915,9.375,21.335,22.815212765957444,12.96,32.27,7.22159574468085,1.92,13.32,46.3655319148936,21.57,90.4,18.99212765957447,3.79,27.76,1.8344680851063833,1.0,5.69,123.85,1.3175531914893617,0.0,52.65,99.08000000000001,1.0540425531914894,0.0,42.120000000000005,10.376255702323473,3.648230641921648,16.082113656440317,0.3319924684786569,13,5,0,13,372.69976619327,3.9648911297156384,0.478776170182188,8.3417704263215,22.65148255418412,0.2409732186615332,0.0,2.483230984384511,350.0482836390859,3.7239179110541056,0.0,8.3417704263215,226.51482554184122,3500.482836390859,3726.9976619327003,273.61976619327004,0.06077675547142092,0.9392232445285792,19.3,20.0,20.0,386.0,400.0,154400.0,11.736519458126487,181.37216768864553,193.108687146772
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2011,2012,28.456852,-109.494923,515.0,0,0.0,0.0,702.3577350226643,4.473616146641174,1.3747281595472627,7.797405119517071,17.535732484076433,0.26000000000000023,24.56,26.13866242038217,6.95,34.73,8.9328025477707,-6.43,17.17,29.572484076433128,9.85,83.86,18.771719745222928,6.67,27.25,1.6824203821656054,1.05,3.24,8.079999999999998,0.05146496815286623,0.0,3.88,6.464,0.041171974522292994,0.0,3.104,9.200631806167635,4.6293322485575095,15.253576498995876,0.011504109084438666,2,0,0,18,646.2451411622258,4.11621109020526,0.9654813209414754,7.017664607565364,4.940937383479352,0.031470938748276125,0.0,2.256,641.3042037787463,4.084740151456983,0.0,7.017664607565364,49.40937383479352,6413.042037787463,6462.451411622257,639.7811411622257,0.007645608560543185,0.9923543914394567,20.0,18.0,18.0,360.0,450.0,162000.0,2.470468691739676,320.65210188937317,323.1225705811128
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2012,2013,28.456852,-109.494923,515.0,0,0.0,0.0,635.7833840795271,4.023945468857766,0.9152564759926443,7.375248080474743,16.41962025316456,6.880000000000001,24.14,24.45379746835443,12.22,34.32,8.385443037974683,-0.22,15.96,39.30341772151899,10.94,93.74,17.632531645569617,3.91,28.59,1.6979113924050633,0.94,3.13,127.9,0.8094936708860759,0.0,27.91,102.32000000000001,0.6475949367088608,0.0,22.328000000000003,9.071920050393357,3.6059608064757747,15.602210546448699,0.20116914534526686,13,7,0,24,585.8329130888458,3.707803247397758,0.2976481935814492,6.6377232724272694,20.938993105883554,0.13252527282204782,0.0,3.465165936982284,564.8939199829622,3.57527797457571,0.0,6.6377232724272694,209.38993105883554,5648.939199829621,5858.329130888457,483.5129130888458,0.0357422613821426,0.9642577386178574,19.3,17.0,17.0,328.1,415.0,136161.5,10.8492192258464,292.69115025023945,303.54036947608586
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2013,2014,28.456852,-109.494923,515.0,0,0.0,0.0,661.1884281513585,4.211391262110563,1.7509382972436929,7.51618890291672,17.6262101910828,5.295,25.08,25.783375796178344,12.65,36.01,9.469044585987263,-3.07,18.06,33.22458598726115,10.78,74.11,17.3428025477707,4.39,28.24,1.6447770700636943,0.88,3.09,30.57,0.19471337579617834,0.0,9.57,24.456000000000003,0.1557707006369427,0.0,7.656000000000001,8.841215900473953,3.931818536014376,15.631369848754797,0.046234928952812754,6,2,1,30,608.4886192119727,3.875723689248234,0.7264386510902205,6.764570012625048,16.39174809515555,0.1044060388226468,0.0,3.435782055616234,592.0968711168172,3.771317650425587,0.0,6.764570012625048,163.9174809515555,5920.9687111681715,6084.886192119727,584.0326192119727,0.02693846290236914,0.9730615370976309,19.31,11.0,11.0,212.41,440.0,93460.4,8.48873541955233,306.627069454592,315.1158048741443
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2014,2015,28.456852,-109.494923,515.0,0,0.0,0.0,645.4580137670516,4.1111975399175265,1.280003026424663,7.640926184767115,18.369171974522292,9.29,24.61,26.027834394904456,12.86,33.84,10.71050955414013,2.95,16.75,38.79006369426751,12.83,83.01,16.922420382165605,4.28,27.76,1.6588535031847134,0.89,3.55,32.84,0.20917197452229302,0.0,7.54,26.272000000000002,0.1673375796178344,0.0,6.032,8.8323706865737,3.751883409484534,15.548474944420946,0.05087859984623584,7,2,0,5,599.5878756445097,3.8190310550605715,0.640238035907826,6.876833566290403,11.998042185980921,0.07642065086612052,0.0,2.4497120555447203,587.5898334585288,3.742610404194451,0.0,6.876833566290403,119.98042185980921,5875.8983345852885,5995.878756445098,573.3158756445097,0.020010481654726544,0.9799895183452735,19.2,14.0,14.0,268.8,448.82,120642.82,6.248980305198397,306.0363715929838,312.2853518981822
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2015,2016,28.456852,-109.494923,515.0,0,0.0,0.0,595.7237064518612,3.794418512432237,1.0555604816125161,6.725342590546171,18.13324840764331,8.39,25.475,25.52662420382165,13.21,35.16,10.73987261146497,1.34,18.81,43.941464968152864,16.09,88.66,16.347515923566878,3.0,26.81,1.5589808917197456,0.73,3.03,156.11000000000004,0.9943312101910831,0.0,33.61,124.88800000000003,0.7954649681528665,0.0,26.888,8.764397487995867,3.3509984611626886,15.889174280753522,0.26205101175139295,17,8,1,7,554.6309521294861,3.5326812237546887,0.6697166536854897,6.480817791829225,30.70696804087615,0.19558578369984808,0.0,3.102293180113753,523.92398408861,3.337095440054841,0.0,6.480817791829225,307.0696804087615,5239.239840886101,5546.309521294862,429.74295212948607,0.055364685153213716,0.9446353148467864,19.4,11.0,11.0,213.4,479.36,102295.42,15.828334041688738,270.0639093240258,285.89224336571453
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2016,2017,28.456852,-109.494923,515.0,0,0.0,0.0,652.6183542430641,4.130495912930786,1.6524209544709252,7.745262455143411,17.659588607594937,5.37,25.064999999999998,25.90373417721519,10.84,34.79,9.415443037974686,-2.23,18.81,38.11310126582278,11.5,81.18,17.586645569620252,3.37,28.01,1.6430379746835444,1.02,2.94,67.72999999999999,0.4286708860759493,0.0,13.79,54.184,0.3429367088607595,0.0,11.032,9.064480816333585,3.4581947322883617,15.637027356020727,0.10378194171163982,15,3,0,23,605.6670772498554,3.8333359319611104,0.4957262863412775,6.97073620962907,24.8768515326153,0.15744842742161583,0.0,2.4921504705628936,580.79022571724,3.6758875045394936,0.0,6.97073620962907,248.76851532615302,5807.9022571724,6056.670772498553,551.4830772498555,0.04107347496181119,0.9589265250381885,19.3,8.0,8.0,154.4,490.0,75656.0,12.889560379593421,300.92757809183416,313.8171384714276
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2017,2018,28.456852,-109.494923,515.0,0,0.0,0.0,662.449946333225,4.219426409765764,1.5449334100920302,7.454312355259451,19.11289808917197,10.5,28.455,26.913566878980895,14.64,36.51,11.312229299363057,3.68,22.4,38.671528662420386,14.1,80.94,17.259426751592358,3.16,28.17,1.6745222929936308,1.0,4.12,57.78000000000001,0.36802547770700644,0.0,16.26,46.224000000000004,0.2944203821656051,0.0,13.008000000000003,9.001022985589612,3.392514940455575,15.926330578630736,0.08722168417375879,9,3,9,6,605.0156205202386,3.8536026784728574,1.0742029539418902,6.708881119733506,19.204603926875393,0.12232231800557575,0.0,2.67627449536361,585.8110165933631,3.731280360467281,0.0,6.708881119733506,192.04603926875393,5858.110165933631,6050.156205202385,558.7916205202386,0.031742327430094794,0.968257672569905,19.7,7.0,7.0,137.9,530.0,73087.0,9.748529912119489,297.3659982707427,307.11452818286216
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2018,2019,28.456852,-109.494923,515.0,0,0.0,0.0,668.0482966022566,4.255084691734119,1.409440518503605,7.78712194601001,19.721783439490448,11.395,26.85,27.59261146496815,14.44,35.33,11.85095541401274,4.04,19.45,33.97114649681528,10.1,85.86,16.899617834394903,2.37,28.12,1.6063057324840762,0.8,3.93,49.67,0.31636942675159235,0.0,16.51,39.736000000000004,0.25309554140127394,0.0,13.208000000000002,8.66291254613523,3.0751825700224824,15.286748252216775,0.07435091183171234,10,4,5,5,616.8134318933089,3.9287479738427318,1.1417900183270564,7.008409751409009,17.63678060721424,0.11233618221155568,0.0,2.595974063627458,599.1766512860947,3.8164117916311766,0.0,7.008409751409009,176.3678060721424,5991.766512860948,6168.13431893309,577.0774318933089,0.028593379610878676,0.9714066203891214,17.75,6.0,6.0,106.5,560.0,59640.0,9.936214426599571,337.5643105837154,347.50052501031496
Sonora,Onavas,44,Mazatán,145,Avena forrajera en verde,2019,2020,28.456852,-109.494923,515.0,0,0.0,0.0,567.4944726569183,3.6146144755217726,0.9981379806644928,6.901356148540396,16.79920382165605,6.635,23.25,24.12783439490446,12.68,32.88,9.470573248407645,-0.63,16.65,45.7348407643312,24.09,82.55,16.22515923566879,2.98,27.54,1.526687898089172,0.78,3.81,142.73999999999998,0.9091719745222929,0.0,26.04,114.19200000000001,0.7273375796178344,0.0,20.832,8.770708708187872,3.269100570835608,15.711056090236152,0.2515266788973541,19,9,0,18,520.497141894538,3.315268419710433,0.832931654726519,6.211220533686356,34.27355369029267,0.2183028897470871,0.0,2.952,486.22358820424535,3.096965529963346,0.0,6.211220533686356,342.7355369029267,4862.235882042453,5204.97141894538,406.305141894538,0.06584772697414178,0.9341522730258582,20.0,10.0,10.0,200.0,608.14,121628.0,17.136776845146336,243.11179410212267,260.248570947269
