Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Opodepe,45,Ures,142,Calabacita,2010,2011,30.034873,-110.874475,803.0,0,0.0,0.0,821.8884799262939,8.561338332565562,3.8289508101955643,11.00554544445029,23.627135416666665,11.76,34.17,32.60354166666667,17.32,41.99,14.65072916666667,4.34,26.35,24.511562499999997,9.85,58.49,29.350937500000004,13.92,33.19,2.8829166666666666,1.64,5.21,5.04,0.0525,0.0,3.85,4.032,0.042,0.0,3.08,17.090942565346058,9.609402366639067,19.561874521973582,0.006132218814469795,1,0,37,1,686.1865165812894,7.147776214388432,1.9144754050977821,10.455268172227775,2.988973301334259,0.031135138555565198,0.0,2.036973301334259,683.1975432799552,7.116641075832867,0.0,10.455268172227775,29.88973301334259,6831.975432799552,6861.865165812895,682.1545165812894,0.004355919606561037,0.995644080393439,0.0,6.0,0.0,0.0,0.0,0.0,,,
Sonora,Opodepe,45,Ures,142,Calabaza,2010,2011,30.034873,-110.874475,803.0,0,0.0,0.0,728.2653883481244,7.2826538834812435,2.4615070791889426,10.635219584981852,19.5259,9.145000000000001,31.305,28.510900000000003,15.56,40.64,10.540899999999999,1.21,21.97,28.9074,11.33,77.23,27.2773,10.87,33.18,2.8498999999999994,1.64,5.89,11.36,0.11359999999999999,0.0,5.39,9.088000000000001,0.09088000000000002,0.0,4.312,15.60898074527559,7.670440486541912,19.16678879439847,0.015598709181782107,3,1,14,7,642.3902164116136,6.423902164116136,1.2307535395944713,10.240661890924997,6.006753539594472,0.06006753539594472,0.0,3.08,636.3834628720191,6.363834628720191,0.0,10.240661890924997,60.06753539594472,6363.834628720191,6423.902164116136,633.3022164116136,0.009350630483054595,0.9906493695169454,0.0,6.0,0.0,0.0,0.0,0.0,6.864861188107968,727.2953861394504,734.1602473275584
Sonora,Opodepe,45,Ures,142,Calabaza,2011,2012,30.034873,-110.874475,803.0,4,4.0,1.0,815.2336724119223,8.152336724119223,3.8451736507891705,11.705460820890332,21.54845,11.89,30.73,30.984499999999997,18.09,40.48,12.112400000000001,3.5,21.78,20.7142,6.37,60.21,28.0291,16.64,33.27,2.9162,1.79,6.95,4.79,0.0479,0.0,4.79,3.8320000000000003,0.03832,0.0,3.8320000000000003,15.569102214166662,10.194096061827643,19.183878854159,0.0058756159885158706,1,0,17,2,708.6227678724644,7.086227678724644,2.3795184085549974,11.522786322285318,3.8320000000000003,0.03832,0.0,3.8320000000000003,704.7907678724644,7.047907678724644,0.01317365078917021,11.522786322285318,38.32,7047.907678724643,7086.227678724643,704.7907678724644,0.00540767270504872,0.9945923272949513,15.0,5.0,5.0,75.0,3150.0,236250.0,2.554666666666667,469.8605119149762,472.41517858164286
Sonora,Opodepe,45,Ures,142,Calabaza,2012,2013,30.034873,-110.874475,803.0,2,2.0,0.0,803.2328880313797,8.032328880313797,2.095752925040207,11.842925196972375,21.3433,9.129999999999999,30.245,30.6932,11.83,40.5,11.993400000000003,1.61,21.11,20.3749,6.97,70.07,27.905299999999997,6.84,33.15,2.8564999999999996,1.74,5.05,1.7200000000000002,0.017200000000000003,0.0,1.02,1.3760000000000001,0.013760000000000001,0.0,0.8160000000000001,15.50308268895384,5.686400439538593,19.48865232656843,0.00214134658282668,1,0,25,9,705.6363601142866,7.056363601142866,1.0478764625201036,11.842925196972375,1.3760000000000001,0.013760000000000001,0.0,0.8160000000000001,704.2603601142866,7.042603601142867,0.23187646252010352,11.842925196972375,13.760000000000002,7042.603601142866,7056.363601142866,704.2603601142866,0.0019500128930107,0.9980499871069893,8.0,6.0,6.0,48.0,4500.0,216000.0,1.7200000000000002,880.3254501428582,882.0454501428583
Sonora,Opodepe,45,Ures,142,Calabaza,2013,2014,30.034873,-110.874475,803.0,1,1.0,0.0,794.6172396547682,7.9461723965476825,3.3449309214635132,11.731337407864489,21.6905,9.97,30.18,30.766200000000005,16.5,40.5,12.614799999999997,3.44,20.71,23.142799999999998,5.7,56.09,27.6921,10.5,32.78,2.8667000000000002,1.66,5.43,2.0,0.02,0.0,0.95,1.6,0.016,0.0,0.76,15.587655414166328,7.2387500934320865,19.44445654582396,0.0025169350728772586,0,0,13,3,695.1928709459879,6.951928709459879,1.6724654607317566,11.731337407864489,1.6,0.016,0.0,0.76,693.5928709459879,6.935928709459879,0.9124654607317566,11.731337407864489,16.0,6935.9287094598785,6951.9287094598785,693.5928709459879,0.0023015195737303667,0.9976984804262696,16.4,5.0,5.0,82.0,2100.0,172200.0,0.9756097560975611,422.922482284139,423.8980920402366
Sonora,Opodepe,45,Ures,142,Calabaza,2014,2015,30.034873,-110.874475,803.0,2,2.0,0.0,793.3907369240354,7.933907369240354,2.5965398255264978,13.622159828274055,22.08125,14.32,35.144999999999996,30.814000000000007,19.91,44.36,13.348500000000003,6.16,25.93,22.5562,6.33,69.99,27.0669,7.15,32.5,2.7856999999999994,1.59,5.12,10.27,0.1027,0.0,7.08,8.216,0.08216,0.0,5.664000000000001,15.192883176734334,5.581606013444838,19.35629383501368,0.012944441524256564,2,1,20,0,698.1297960464755,6.9812979604647545,1.2982699127632489,12.226946188369583,3.8502699127632494,0.038502699127632496,0.0,1.552,694.2795261337122,6.942795261337122,0.0,12.226946188369583,38.502699127632496,6942.795261337123,6981.297960464755,689.9137960464755,0.005515120446895998,0.994484879553104,16.0,6.0,6.0,96.0,2400.0,230400.0,2.406418695477031,433.92470383357016,436.3311225290472
Sonora,Opodepe,45,Ures,142,Calabaza,2015,2016,30.034873,-110.874475,803.0,0,0.0,0.0,689.1496663059656,6.891496663059656,1.4628296202021747,11.191716382284039,20.729800000000004,11.17,30.36,28.719500000000004,15.59,39.5,12.7401,5.32,22.72,34.7812,12.78,88.21,25.557299999999994,6.35,32.57,2.7445999999999997,1.28,5.34,48.13999999999999,0.48139999999999994,0.0,14.28,38.512,0.38512,0.0,11.424,15.080996126458345,5.191315053483106,19.24448449143722,0.06985420200236593,7,4,9,0,608.7837908114195,6.087837908114195,0.7314148101010873,9.440447938116597,17.233403934369015,0.17233403934369015,0.0,5.189685038435779,591.5503868770505,5.9155038687705055,0.0,9.440447938116597,172.33403934369016,5915.5038687705055,6087.837908114196,570.2717908114196,0.028307921785170092,0.97169207821483,18.5,6.0,6.0,111.0,2450.0,271950.0,9.315353478037306,319.75696587948676,329.07231935752407
Sonora,Opodepe,45,Ures,142,Calabaza,2016,2017,30.034873,-110.874475,803.0,2,1.8333333333333333,0.0,759.7036770891119,7.597036770891119,2.330603461429669,11.857658114113722,21.291549999999997,8.595,33.82,30.273200000000003,12.64,44.5,12.3099,4.21,24.87,25.621399999999998,8.75,64.41,27.382699999999996,9.99,32.67,2.7148000000000008,1.7,4.11,6.64,0.0664,0.0,5.57,5.312,0.05312,0.0,4.456,15.607302598748202,7.465150577170018,19.200352486210274,0.008740249916180332,1,1,11,2,661.7771491226638,6.617771491226637,1.1653017307148346,10.061819192096367,2.0213017307148347,0.020213017307148348,0.0,1.1653017307148346,659.7558473919489,6.597558473919489,0.0,10.061819192096367,20.21301730714835,6597.558473919489,6617.771491226637,656.4651491226638,0.0030543540728091476,0.9969456459271908,19.0,7.0,7.0,133.0,2500.0,332500.0,1.0638430161657026,347.2399196799731,348.30376269613885
Sonora,Opodepe,45,Ures,142,Calabaza,2017,2018,30.034873,-110.874475,803.0,0,0.0,0.0,781.3306595915462,7.813306595915463,3.9858534872682028,11.571679178107395,22.631500000000003,14.415,30.975,31.615200000000005,19.36,39.66,13.6478,5.84,22.57,24.968599999999995,9.42,56.93,27.4351,10.51,32.72,2.6879000000000004,1.62,4.87,1.0100000000000002,0.010100000000000003,0.0,0.56,0.8080000000000003,0.008080000000000002,0.0,0.44800000000000006,15.516639141625571,7.049570892764949,18.95717874932562,0.001292666539577488,0,0,23,0,684.0985816278677,6.840985816278677,2.1059090255186783,10.057374032783075,0.8080000000000003,0.008080000000000002,0.0,0.44800000000000006,683.2905816278676,6.832905816278676,2.1059090255186783,10.057374032783075,8.080000000000002,6832.905816278676,6840.985816278676,683.2905816278677,0.0011811163210970256,0.9988188836789028,12.0,6.5,6.5,78.0,2610.0,203580.0,0.6733333333333335,569.408818023223,570.0821513565563
Sonora,Opodepe,45,Ures,142,Calabaza,2018,2019,30.034873,-110.874475,803.0,4,3.6666666666666665,1.0,799.8920580604375,7.998920580604375,4.481366725892815,11.380934562226887,22.74555,12.829999999999998,32.335,31.6054,20.48,40.79,13.8857,1.67,24.13,22.490899999999996,6.78,50.51,27.0898,13.16,32.88,2.7288,1.67,4.63,0.16,0.0016,0.0,0.1,0.128,0.00128,0.0,0.08000000000000002,15.260008980785859,8.395655857400687,18.95405425497378,0.00020002698912646393,0,0,29,1,708.0183447300698,7.080183447300698,2.2406833629464074,10.726590325584738,0.128,0.00128,0.0,0.08000000000000002,707.8903447300697,7.078903447300697,2.2406833629464074,10.726590325584738,1.28,7078.903447300698,7080.1834473006975,707.8903447300697,0.00018078627616463763,0.9998192137238353,13.0,4.0,4.0,52.0,3200.0,166400.0,0.09846153846153846,544.531034407746,544.6294959462075
