Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Pitiquito,47,Caborca,139,Calabacita,2013,2014,30.09618,-112.219388,544.0,770.916247498973,8.030377578114303,5.489620467679985,11.102443678154133,24.988541666666666,16.97,33.535,31.35729166666667,20.78,38.87,18.619791666666668,11.47,28.43,39.87302083333333,20.29,61.23,29.403541666666666,21.12,32.36,3.0190625,1.82,5.75,7.629999999999999,0.07947916666666666,0.0,4.44,6.104000000000001,0.06358333333333334,0.0,3.5520000000000005,18.05253300580468,12.820411824850558,20.349823209056066,0.009897313780522136,2,0,26,0,637.6259147772882,6.641936612263419,2.7448102338399925,10.547321494246425,6.104000000000001,0.06358333333333334,0.0,3.5520000000000005,631.5219147772883,6.578353278930087,2.3230125676007862,10.547321494246425,61.040000000000006,6315.219147772883,6376.259147772883,631.5219147772882,0.009573011163029695,0.9904269888369704,23.0,30.0,30.0,690.0,7000.0,4830000.0,2.653913043478261,274.57474555534276,277.228658598821
Sonora,Pitiquito,47,Caborca,139,Espárrago,2010,2011,30.09618,-112.219388,544.0,1547.2824945794641,6.698192617227117,1.4326383596423176,10.428600344659415,23.935324675324676,11.77,34.86,29.63112554112554,13.61,40.82,18.239523809523813,5.86,29.68,48.0482683982684,20.99,84.16,25.487316017316015,7.65,32.31,2.8487445887445886,1.13,5.92,154.44,0.6685714285714286,0.0,11.38,123.55199999999999,0.5348571428571428,0.0,9.104000000000001,15.726397526310445,5.361823592689203,20.277293628965733,0.099813705991662,31,9,58,0,1142.8340277391758,4.947333453416346,0.7163191798211588,9.907170327426444,72.3077591615499,0.3130206024309519,0.0,4.997026843541916,1070.5262685776258,4.634312850985394,0.0,9.907170327426444,723.0775916154989,10705.262685776259,11428.340277391759,1019.2820277391758,0.06327056895968834,0.9367294310403116,2.81,300.0,300.0,842.0,36030.0,30337260.0,257.3229863400352,3809.7020234079214,4067.0250097479566
Sonora,Pitiquito,47,Caborca,139,Espárrago,2012,2013,30.09618,-112.219388,544.0,1549.7490474190397,6.679952790599309,1.9348792654871814,10.699463782178803,24.554116379310347,10.045,34.995000000000005,30.14831896551724,12.45,41.28,18.959913793103446,5.46,28.77,46.69017241379311,18.89,81.38,24.99823275862069,10.35,32.35,2.734051724137931,1.32,6.16,235.50000000000003,1.0150862068965518,0.0,24.09,188.40000000000003,0.8120689655172415,0.0,19.272000000000002,15.380943669362315,6.685613317416977,20.152502828700072,0.15196008695227334,43,13,59,0,1158.5486703897386,4.993744268921287,0.9674396327435907,10.164490593069862,90.43028888710771,0.38978572796167116,0.0,5.856000000000001,1068.1183815026307,4.603958540959615,0.0,10.164490593069862,904.3028888710771,10681.183815026307,11585.486703897384,970.1486703897385,0.07805480356443441,0.9219451964355654,8.3,95.0,95.0,788.5,30500.0,24049250.0,108.95215528567194,1286.8896162682297,1395.8417715539017
Sonora,Pitiquito,47,Caborca,139,Espárrago,2013,2014,30.09618,-112.219388,544.0,1575.7215188335897,6.821305276335886,2.31878021964055,11.102443678154133,24.717770562770564,10.485,34.185,30.427748917748925,14.04,39.59,19.007792207792214,3.76,28.78,46.59662337662338,20.29,78.8,25.282727272727275,9.89,32.36,2.7843722943722944,1.31,5.75,170.08999999999997,0.7363203463203463,0.0,30.58,136.072,0.5890562770562771,0.0,24.464,15.589971601520915,6.561825505268001,20.349823209056066,0.10794420077851523,31,10,64,3,1169.657926198066,5.063454225965653,1.159390109820275,10.547321494246425,74.18751991314888,0.32115809486211633,0.0,5.696000000000001,1095.4704062849169,4.7422961311035365,0.0,10.547321494246425,741.8751991314888,10954.704062849169,11696.579261980658,1033.5859261980659,0.06342668078546086,0.9365733192145389,7.6,395.0,395.0,3002.0,37000.0,111074000.0,97.61515778045906,1441.408429322259,1539.023587102718
Sonora,Pitiquito,47,Caborca,139,Espárrago,2014,2015,30.09618,-112.219388,544.0,1601.1455216101194,6.931365894416102,1.786637245310429,11.76812871659477,25.60095238095238,12.235,34.379999999999995,31.08757575757576,16.36,40.22,20.114329004329004,7.02,28.54,46.60593073593074,16.28,87.21,25.129653679653682,4.32,32.67,2.807012987012987,1.34,9.6,341.39,1.4778787878787878,0.0,51.68,204.83399999999997,0.8867272727272726,0.0,31.008,15.506314894729144,4.067119157843349,19.95479668240244,0.21321609772027256,40,21,66,0,1203.3793774736514,5.209434534517971,0.8933186226552144,11.17972228076503,73.06758792516055,0.31630990443792445,0.0,5.866353512582908,1130.3117895484909,4.893124630080047,0.0,11.17972228076503,730.6758792516055,11303.11789548491,12033.793774736514,998.5453774736515,0.06071866386688217,0.9392813361331178,7.5,488.0,488.0,3660.0,34100.0,124806000.0,97.42345056688073,1507.0823860646547,1604.5058366315354
Sonora,Pitiquito,47,Caborca,139,Espárrago,2015,2016,30.09618,-112.219388,544.0,1510.2325137352939,6.537803089763177,2.23799009584097,10.698153164800724,25.419935064935068,14.899999999999999,36.475,30.621904761904762,18.66,41.95,20.21796536796537,9.42,31.0,51.227575757575764,24.05,79.98,24.484805194805197,8.18,31.81,2.792380952380953,1.06,6.0,178.39000000000001,0.7722510822510823,0.0,15.64,142.71200000000005,0.617800865800866,0.0,12.512,15.374732959654233,5.900961337013084,20.203073216647272,0.11812088428607843,36,13,46,0,1113.3316156489668,4.819617383761761,1.118995047920485,10.163245506560687,95.94941491437893,0.4153654325297789,0.0,6.634058500548772,1017.3822007345877,4.4042519512319815,0.0,10.163245506560687,959.4941491437894,10173.822007345878,11133.316156489667,970.6196156489668,0.08618224216910388,0.913817757830896,10.2,488.0,488.0,4978.4,32403.41,161317136.3,94.06805383762642,997.4335301319488,1091.5015839695752
Sonora,Pitiquito,47,Caborca,139,Espárrago,2016,2017,30.09618,-112.219388,544.0,1636.7364938548576,7.054898680408869,3.10513828410696,11.825995093370297,25.420387931034476,10.485,35.08,31.1425,14.99,41.87,19.698275862068964,4.72,29.03,45.196939655172415,19.63,77.82,25.616982758620686,7.4,32.19,2.8942672413793105,1.42,5.92,155.89000000000001,0.6719396551724138,0.0,30.15,124.712,0.5375517241379311,0.0,24.12,15.769547478888093,5.883862946604828,20.088196546032815,0.09524440897193316,28,13,69,2,1199.0933072542734,5.168505634716696,0.9315414852320879,11.234695338701782,68.37304519132111,0.29471140168672894,0.0,5.04,1130.7202620629523,4.873794233029967,0.0,11.234695338701782,683.7304519132111,11307.202620629523,11990.933072542733,1074.3813072542735,0.05702062114572563,0.9429793788542743,9.64,488.0,488.0,4704.26,37645.84,177095802.0,70.92639542668165,1172.946329940822,1243.8727253675036
Sonora,Pitiquito,47,Caborca,139,Espárrago,2017,2018,30.09618,-112.219388,544.0,1574.5671563769392,6.816308036263806,1.8395753272470425,10.899965037887375,25.6304329004329,13.51,35.025,31.214372294372296,15.49,41.06,20.046493506493505,7.91,28.99,47.16770562770562,17.53,80.72,25.2787012987013,4.57,32.59,2.717619047619048,1.05,8.54,174.17999999999998,0.7540259740259739,0.0,13.79,139.34399999999997,0.6032207792207791,0.0,11.032,15.634118819405098,4.2211659942136945,20.141028998204806,0.11062087716905396,38,12,65,0,1157.3318843867683,5.0100947376050575,0.9197876636235213,10.354966785993005,107.8344889471384,0.4668159694681316,0.0,7.526818926079636,1049.49739543963,4.543278768136926,0.0,10.354966785993005,1078.344889471384,10494.9739543963,11573.318843867684,1017.9878843867683,0.09317507830027193,0.9068249216997283,9.95,240.0,240.0,2387.2,37031.79,88402296.5,108.37637080114413,1054.7712516981208,1163.1476224992648
Sonora,Pitiquito,47,Caborca,139,Espárrago,2018,2019,30.09618,-112.219388,544.0,1581.3070864288502,6.845485222635715,1.4040621769616208,11.096198092144547,25.350238095238094,11.565,35.555,30.819826839826835,15.59,42.19,19.880649350649353,5.67,30.13,46.92718614718615,17.15,89.54,25.064242424242426,5.8,32.56,2.7567965367965366,1.27,6.08,212.48000000000002,0.9198268398268399,0.0,15.45,169.98400000000004,0.735861471861472,0.0,12.36,15.534740530444134,4.74329390304034,20.5668959095961,0.1343698525248849,37,14,63,0,1178.0126906915282,5.099622037625663,0.7020310884808104,10.54138818753732,95.97753161148006,0.415487149833247,0.0,7.015754277928412,1082.0351590800483,4.684134887792417,0.0,10.54138818753732,959.7753161148006,10820.351590800483,11780.126906915284,1008.0286906915281,0.08147410666275456,0.9185258933372455,10.0,605.0,605.0,6049.0,37949.36,229555706.7,95.97753161148006,1082.0351590800483,1178.0126906915284
Sonora,Pitiquito,47,Caborca,139,Espárrago,2019,2020,30.09618,-112.219388,544.0,1534.903661534327,6.6446045953866975,2.1637741704866085,12.275322079667564,24.400497835497834,9.77,35.855,29.766883116883115,12.34,42.61,19.034112554112554,4.42,29.98,50.01467532467532,24.82,80.55,24.93965367965368,6.57,32.14,2.9355844155844153,1.01,6.44,181.67999999999998,0.7864935064935064,0.0,16.23,145.34400000000002,0.6291948051948053,0.0,12.984000000000002,15.58249998770241,4.988515560477198,20.182952347155762,0.11836573496631589,34,12,63,3,1130.5763134432414,4.894269755165547,1.0818870852433042,11.661555975684186,75.90858802912464,0.32860860618668675,0.0,5.44173112541304,1054.6677254141166,4.56566114897886,0.0,11.661555975684186,759.0858802912464,10546.677254141166,11305.763134432413,985.2323134432413,0.0671414986556195,0.9328585013443804,9.69,850.0,700.0,6780.3,33240.61,225381297.4,78.33703614976744,1088.4083853602856,1166.7454215100531
