Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2010,2011,31.530172,-113.389719,71.0,0,0.0,0.0,1666.855079351696,7.215822854336347,2.0564386206531102,11.299884585728993,24.28134199134199,10.815,36.625,30.79653679653679,13.37,43.89,17.766147186147183,4.64,30.81,43.00350649350649,17.35,80.58,25.7117316017316,12.87,32.23,2.933896103896104,1.2,5.69,94.66,0.40978354978354975,0.0,13.2,75.72800000000001,0.32782683982683986,0.0,10.56,15.643215705596814,7.24170643054342,20.12329830402728,0.05678958007364198,20,6,84,2,1221.5634538631361,5.288153479926996,1.0282193103265551,10.734890356442543,47.255014186249596,0.20456716097943548,0.0,5.348221335147037,1174.3084396768868,5.083586318947562,0.0,10.734890356442543,472.55014186249593,11743.084396768867,12215.634538631362,1145.835453863136,0.038684043826628794,0.9613159561733714,6.15,45.0,45.0,276.75,35669.7,9871589.47,76.83742144105625,1909.4446173607912,1986.2820388018474
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2015,2016,31.530172,-113.389719,71.0,0,0.0,0.0,1650.9426404293076,7.14693783735631,2.2253696762594357,11.655000045665734,25.902662337662335,14.08,36.78,31.854848484848482,17.05,42.49,19.95047619047619,8.91,31.07,45.898441558441554,16.36,81.24,24.94493506493506,8.36,32.14,3.0084848484848488,0.94,5.54,115.96,0.501991341991342,0.0,14.29,92.768,0.4015930735930736,0.0,11.432,15.450121854899345,5.879714543992211,19.888724081251816,0.07023866072648412,29,5,82,0,1205.2334282288975,5.217460728263625,1.1126848381297179,11.072250043382446,72.88304647694852,0.3155110237097339,0.0,5.5920000000000005,1132.350381751949,4.901949704553892,0.0,11.072250043382446,728.8304647694852,11323.50381751949,12052.334282288975,1112.4654282288975,0.06047214155356683,0.9395278584464332,0.0,158.0,0.0,0.0,0.0,0.0,,,
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2016,2017,31.530172,-113.389719,71.0,3,2.142857142857143,0.2857142857142857,1748.3794497990987,7.536118318099563,3.330466156052077,12.426638897101848,25.8732974137931,9.0,36.714999999999996,32.41461206896552,14.65,45.58,19.33198275862069,2.81,30.24,40.58547413793104,13.94,69.7,25.596422413793107,7.07,31.88,3.0106465517241374,1.36,6.03,91.72,0.39534482758620687,0.0,15.31,73.376,0.3162758620689655,0.0,12.248000000000001,15.571137813280352,5.681309844213705,20.01443071238704,0.05246000804375691,19,5,90,3,1277.2276342714201,5.505291527031983,0.9991398468156231,11.805306952246754,48.10056281429996,0.2073300121306033,0.0,4.072,1229.12707145712,5.29796151490138,0.0,11.805306952246754,481.0056281429996,12291.270714571201,12772.2763427142,1203.8516342714202,0.037660133185059355,0.9623398668149405,8.88,268.0,268.0,2379.5,35687.85,84919233.26,54.16730046655401,1384.1521074967568,1438.3194079633108
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2017,2018,31.530172,-113.389719,71.0,2,1.2666666666666666,0.0,1694.3930169081118,7.335034705229921,1.6179072927820142,11.773083347890518,26.02987012987013,12.479999999999999,35.88,32.470562770562765,14.91,43.66,19.58917748917749,5.63,29.48,43.39519480519481,16.28,82.3,25.465367965367964,4.54,32.43,2.8308658008658005,1.25,7.0,148.71,0.6437662337662338,0.0,41.89,118.96799999999999,0.5150129870129869,0.0,33.512,15.638272517530051,4.1658669855743895,20.29892703904865,0.08776594244431112,26,6,97,0,1248.1227873431112,5.403128949537278,0.8089536463910071,11.184429180495991,62.56239998236461,0.27083290035655677,0.0,7.047312768391202,1185.5603873607467,5.132296049180722,0.0,11.184429180495991,625.623999823646,11855.603873607468,12481.227873431115,1129.1547873431111,0.050125196508543586,0.9498748034914565,7.96,120.0,120.0,955.0,37619.52,35926641.55,78.59597987734247,1489.3974715587271,1567.9934514360696
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2018,2019,31.530172,-113.389719,71.0,4,3.2666666666666666,0.9333333333333333,1698.6512238895812,7.353468501686499,1.6477389929304616,12.490062845501983,25.707337662337665,10.395,38.445,32.04484848484849,15.75,44.98,19.369826839826843,3.83,31.91,41.69285714285714,11.8,81.82,25.26103896103896,6.05,32.55,2.8481385281385285,0.98,6.1,132.47000000000003,0.5734632034632036,0.0,15.91,105.97599999999998,0.4587705627705627,0.0,12.728000000000002,15.457906102135608,4.787821979380591,19.959194092272966,0.07798540285195772,28,10,87,3,1257.5376558920225,5.4438859562425215,0.8238694964652308,11.865559703226884,75.71097189226514,0.32775312507474086,0.0,8.197061298227407,1181.8266839997573,5.11613283116778,0.0,11.865559703226884,757.1097189226514,11818.266839997574,12575.376558920225,1151.5616558920226,0.06020572945671378,0.9397942705432861,8.38,420.0,420.0,3517.5,37962.41,133532779.3,90.34722182847868,1410.2943723147462,1500.641594143225
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2019,2020,31.530172,-113.389719,71.0,2,2.0,0.0,1625.498662050144,7.036790744805819,1.8710932434693284,12.240239428429682,24.656731601731604,9.015,36.39,30.820865800865803,11.23,44.43,18.4925974025974,3.1,29.46,46.086450216450224,18.79,85.35,25.24792207792208,5.56,31.97,2.9182683982683977,1.28,5.88,129.53,0.5607359307359308,0.0,22.04,103.624,0.4485887445887446,0.0,17.632,15.600089048800589,4.55812692173567,20.136026276278443,0.07968631597434327,22,6,85,7,1188.574477898665,5.145344060167381,0.9355466217346642,11.628227457008197,46.91127068935737,0.20307909389332196,0.0,5.85876566364924,1141.6632072093075,4.942264966274059,0.0,11.628227457008197,469.1127068935737,11416.632072093074,11885.744778986647,1084.950477898665,0.03946851590848051,0.9605314840915194,8.65,420.0,420.0,3634.4,33362.72,121253457.08,54.23268287786979,1319.841858045442,1374.0745409233118
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2020,2021,31.530172,-113.389719,71.0,3,2.0,0.25,1716.3526712023054,7.398071858630627,1.5554839455374077,11.72451142350439,25.58510775862069,7.26,37.59,32.00176724137931,12.48,45.22,19.16844827586207,0.54,30.64,44.393146551724136,11.42,85.9,25.493060344827583,5.88,32.54,2.9640086206896554,1.18,6.07,126.17,0.5438362068965518,0.0,41.34,100.936,0.4350689655172414,0.0,33.072,15.691775248963335,4.650495346155371,19.97205522336326,0.07351053318874022,20,5,108,3,1255.1045385551572,5.409933355841195,0.7777419727687038,11.13828585232917,44.73710195053119,0.19283233599366892,0.0,10.095199363880573,1210.3674366046262,5.217101019847527,0.0,11.13828585232917,447.3710195053119,12103.674366046262,12551.045385551573,1154.1685385551573,0.03564412411577393,0.9643558758842262,10.8,440.0,440.0,4750.0,25962.04,123319702.5,41.42324254678814,1120.710589448728,1162.133831995516
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2021,2022,31.530172,-113.389719,71.0,5,3.7333333333333334,0.8,1696.8812613648975,7.3458063262549675,2.8702201175352493,11.583239268795168,25.492012987012988,11.799999999999999,36.365,31.872034632034634,17.48,43.67,19.111991341991338,4.98,30.57,42.31056277056277,13.23,67.76,25.08359307359307,8.51,32.25,3.023593073593074,1.5,6.14,99.95000000000002,0.4326839826839828,0.0,17.4,79.96000000000001,0.3461471861471862,0.0,13.92,15.366643612634466,5.468825392075355,19.55641211714544,0.058902176761386704,27,3,94,1,1256.4205611925793,5.439050048452724,1.2915101801860698,11.004077305355409,60.39142930425594,0.26143475889288287,0.0,5.189373494355706,1196.0291318883233,5.177615289559841,0.0,11.004077305355409,603.9142930425594,11960.291318883232,12564.20561192579,1176.4605611925792,0.04806625358545002,0.95193374641455,10.77,440.0,440.0,4737.0,30346.64,143752035.8,56.073750514629474,1110.5191568136706,1166.5929073283
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2022,2023,31.530172,-113.389719,71.0,4,2.933333333333333,0.6,1735.6223565628602,7.513516695077317,2.7605631468822436,12.102867850285993,25.714999999999996,8.745,34.69,32.20484848484848,15.49,41.48,19.225151515151513,1.95,28.77,40.158484848484854,11.12,68.61,25.017012987012983,6.85,31.71,3.053203463203463,1.41,6.05,109.12000000000002,0.47238095238095246,0.0,24.2,87.29599999999999,0.37790476190476185,0.0,19.36,15.20707431174873,5.67178815598856,19.64150111376125,0.06287081955783043,26,4,97,5,1300.2451913181367,5.628767061983275,1.228716491347268,11.497724457771692,50.788632298098335,0.2198642090826768,0.0,3.6479999999999997,1249.4565590200382,5.4089028529005985,0.0,11.409724457771693,507.8863229809833,12494.565590200382,13002.451913181365,1212.9491913181366,0.03906081148172588,0.960939188518274,8.52,440.0,440.0,3747.75,38784.31,145353884.5,59.611070772415886,1466.4983087089652,1526.109379481381
Sonora,Puerto Peñasco,48,Caborca,139,Espárrago,2023,2024,31.530172,-113.389719,71.0,2,1.4,0.0,1639.6389405054201,7.098004071452035,1.7929999317167216,11.152511860546394,24.731969696969692,8.405000000000001,37.33,31.203593073593073,10.98,44.86,18.26034632034632,2.05,30.57,43.66701298701298,14.59,84.83,25.178441558441556,7.88,32.46,2.851038961038961,1.33,8.55,109.33999999999999,0.4733333333333333,0.0,22.31,87.47200000000001,0.3786666666666667,0.0,17.848,15.43513486802723,6.213313763849035,19.775663859116214,0.06668541304971437,20,8,87,5,1216.4336304419774,5.265946452129772,0.8964999658583608,10.594886267519074,36.40586107794252,0.15760113020754338,0.0,3.7200000000000006,1180.0277693640348,5.108345321922228,0.0,10.594886267519074,364.0586107794252,11800.277693640348,12164.336304419772,1128.9616304419774,0.02992835792012332,0.9700716420798767,11.0,440.0,440.0,4840.0,40997.4,198427416.55,33.09623734358411,1072.752517603668,1105.848754947252
