Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Rayón,50,Ures,142,Calabacita,2010,2011,29.749958,-110.517271,703.0,870.2244452802926,9.064837971669714,5.082239444476902,11.576811079018263,25.81505208333333,15.059999999999999,35.160000000000004,34.73229166666667,20.91,44.13,16.8978125,7.18,26.36,23.88072916666667,9.73,54.55,29.14916666666667,18.63,32.38,2.9358333333333335,1.66,4.99,2.18,0.022708333333333334,0.0,0.98,1.7440000000000002,0.018166666666666668,0.0,0.784,17.009062561535284,12.019925739114305,19.43678506347104,0.002505100852801071,0,0,49,0,722.574966469344,7.526822567389,2.541119722238451,10.621419649829267,1.7440000000000002,0.018166666666666668,0.0,0.784,720.8309664693439,7.508655900722332,1.8018224547966588,10.621419649829267,17.44,7208.309664693439,7225.749664693439,720.8309664693439,0.0024135903967467316,0.9975864096032532,18.0,25.0,25.0,450.0,3200.0,1440000.0,0.9688888888888889,400.4616480385244,401.4305369274133
Sonora,Rayón,50,Ures,142,Calabacita,2011,2012,29.749958,-110.517271,703.0,906.8024661286274,9.445859022173202,4.573080123767971,13.098186247273372,26.6284375,14.860000000000001,37.37,35.7778125,20.97,45.86,17.4790625,6.71,28.88,22.619791666666668,5.64,73.24,29.316770833333333,17.42,32.72,2.991354166666667,1.74,6.85,60.620000000000005,0.6314583333333333,0.0,19.42,48.49600000000001,0.5051666666666668,0.0,15.536000000000001,16.975662813891915,10.800328704936389,19.51308733901292,0.0668502813614991,6,4,54,0,749.324005803783,7.805458393789407,2.2865400618839855,12.443276934909703,25.65891126957418,0.26728032572473104,0.0,7.97302104607435,723.665094534209,7.538178068064677,0.0,12.443276934909703,256.5891126957418,7236.6509453420895,7493.240058037832,700.8280058037831,0.034242745555776555,0.9657572544442236,22.5,3.0,3.0,67.5,3250.0,219375.0,11.40396056425519,321.62893090409284,333.03289146834805
Sonora,Rayón,50,Ures,142,Calabacita,2012,2013,29.749958,-110.517271,703.0,892.718861232449,9.299154804504676,4.541690198512703,13.175173835659484,27.073281250000004,15.74,36.31,36.125625,22.53,46.23,18.0209375,6.28,26.39,22.56052083333333,6.41,72.25,29.4140625,16.85,32.48,2.7986458333333335,1.49,4.24,49.28,0.5133333333333333,0.0,18.16,39.42400000000001,0.41066666666666674,0.0,14.528,17.032231486726843,12.000145660870391,19.27641429921763,0.055202149456062985,7,4,59,0,738.2296463230822,7.689892149198773,2.8797197329743853,12.51641514387651,30.461237438054773,0.3173045566464039,0.0,5.56523743805477,707.7684088850274,7.372587592552368,0.0,12.51641514387651,304.61237438054775,7077.684088850274,7382.296463230821,698.8056463230822,0.04126254965480427,0.9587374503451956,21.5,20.0,20.0,430.0,3100.0,1333000.0,14.168017413048732,329.19460878373366,343.3626261967824
Sonora,Rayón,50,Ures,142,Calabacita,2013,2014,29.749958,-110.517271,703.0,906.3048097055633,9.440675101099618,5.611680053630111,12.711158639458002,27.11994791666667,16.34,35.115,35.99583333333333,23.47,46.22,18.244062500000002,9.21,27.82,24.035520833333333,4.97,65.08,29.31385416666667,21.97,32.47,2.998958333333333,1.75,5.0,13.43,0.13989583333333333,0.0,6.89,10.744,0.11191666666666666,0.0,5.5120000000000005,17.125741414107065,13.979134391882683,19.27652005776708,0.014818414131955324,4,1,56,0,749.3194609071451,7.805411051116095,2.8058400268150554,12.075600707485101,10.744,0.11191666666666666,0.0,5.5120000000000005,738.575460907145,7.693494384449427,0.33467943803341615,12.075600707485101,107.44,7385.75460907145,7493.19460907145,738.575460907145,0.014338343737920594,0.9856616562620794,24.0,40.0,40.0,960.0,2600.0,2496000.0,4.476666666666667,307.7397753779771,312.21644204464377
Sonora,Rayón,50,Ures,142,Calabacita,2014,2015,29.749958,-110.517271,703.0,904.9653534577644,9.426722431851713,4.672500172789776,14.498016294191668,27.552916666666665,16.255,37.41,36.28416666666667,23.83,47.5,18.82166666666667,8.68,27.32,22.836666666666662,5.34,69.12,28.479062499999998,7.64,32.05,2.916458333333333,1.4,4.32,21.770000000000003,0.22677083333333337,0.0,17.41,17.416,0.18141666666666667,0.0,13.928,16.63913794744877,6.617335938177343,19.433809601807752,0.024056169572480798,2,1,60,0,750.5968943948809,7.818717649946676,2.336250086394888,13.773115479482085,7.635464836401288,0.07953609204584675,0.0,4.147464836401287,742.9614295584796,7.739181557900829,0.0,13.773115479482085,76.35464836401287,7429.614295584796,7505.968943948809,733.1808943948809,0.010172523885216547,0.9898274761147834,20.0,5.0,5.0,100.0,2650.0,265000.0,3.817732418200644,371.4807147792398,375.29844719744045
Sonora,Rayón,50,Ures,142,Calabacita,2015,2016,29.749958,-110.517271,703.0,792.5262441994294,8.255481710410722,4.146658340738103,12.03723054619268,25.961822916666666,16.87,34.425,33.97322916666667,21.36,43.43,17.950416666666666,10.2,26.13,33.9346875,11.66,78.34,27.733645833333338,8.35,32.35,2.7565625,1.04,4.02,80.87,0.8423958333333333,0.0,25.73,64.696,0.6739166666666666,0.0,20.584000000000003,16.900822569155057,6.932416785826688,19.97572223609247,0.10204078488491049,13,5,37,0,656.0761861089052,6.834126938634429,2.0733291703690515,11.435369018883046,40.14933642573294,0.4182222544347181,0.0,5.468840140706654,615.9268496831722,6.4159046841997105,0.0,11.435369018883046,401.4933642573294,6159.268496831723,6560.761861089052,591.3801861089051,0.061196149587219376,0.9388038504127806,31.08,50.0,50.0,1553.81,2900.0,4506049.0,12.918061913041488,198.17466206022274,211.09272397326424
Sonora,Rayón,50,Ures,142,Calabacita,2016,2017,29.749958,-110.517271,703.0,840.0067347263133,8.750070153399097,4.9526283658162935,13.151321860185995,26.546041666666667,17.634999999999998,36.065,35.21979166666667,24.63,47.28,17.872291666666666,8.29,27.39,27.699270833333333,7.66,71.31,28.450729166666665,10.7,32.57,2.7384375,1.37,3.9,34.16,0.3558333333333333,0.0,14.22,27.328000000000003,0.2846666666666667,0.0,11.376000000000001,16.913004395993127,7.783972673819736,19.181283189314392,0.04066634062300683,6,3,47,0,693.120456341662,7.220004753558979,2.4763141829081468,12.493755767176694,19.193771772460856,0.1999351226298006,0.0,5.772374567517067,673.9266845692011,7.020069630929179,0.0,12.493755767176694,191.93771772460855,6739.266845692011,6931.20456341662,665.792456341662,0.0276918270076271,0.9723081729923728,31.96,12.0,12.0,383.48,2950.0,1131266.0,6.005560629681118,210.86567101664613,216.87123164632726
Sonora,Rayón,50,Ures,142,Calabacita,2017,2018,29.749958,-110.517271,703.0,882.7956488609668,9.195788008968405,5.119818746787207,11.6270813469279,27.574635416666666,17.17,35.644999999999996,36.451770833333335,22.36,46.54,18.6975,9.14,27.67,23.395729166666666,5.9,61.67,28.8928125,17.72,32.59,2.7563541666666667,1.22,4.63,27.03,0.2815625,0.0,9.11,21.624000000000006,0.22525000000000006,0.0,7.288,16.78054215491522,11.75420969914446,19.286555194613722,0.030618637546385333,7,2,66,0,721.1692291078389,7.512179469873321,3.047722719961756,11.045727279581504,18.349228838003278,0.19113780039586747,0.0,4.920000000000001,702.8200002698355,7.321041669477453,0.0,11.045727279581504,183.4922883800328,7028.200002698355,7211.692291078388,699.5452291078388,0.02544372124792842,0.9745562787520715,26.59,10.0,10.0,265.92,3025.0,804408.0,6.900800616022294,264.31741266259326,271.21821327861556
Sonora,Rayón,50,Ures,142,Calabaza,2010,2011,29.749958,-110.517271,703.0,783.4663253817506,7.8346632538175065,3.0962295105833415,10.751603805791364,21.97835,11.96,30.89,30.9412,18.66,39.73,13.0155,3.6,23.68,27.442700000000006,10.63,74.08,27.1971,13.87,32.38,2.877,1.66,5.54,5.4399999999999995,0.0544,0.0,3.68,4.352,0.04352,0.0,2.9440000000000004,15.540374234862334,8.797113433124519,18.903489065162205,0.006943502003547266,1,0,25,2,691.5284753216501,6.915284753216501,1.5481147552916708,10.733810561301736,2.9561147552916713,0.029561147552916712,0.0,1.5481147552916708,688.5723605663585,6.885723605663585,0.0,10.733810561301736,29.561147552916715,6885.723605663585,6915.2847532165015,687.1764753216502,0.004274754924468867,0.9957252450755312,0.0,25.0,0.0,0.0,0.0,0.0,3.477782065049025,810.0851300780688,813.5629121431178
Sonora,Rayón,50,Ures,142,Calabaza,2011,2012,29.749958,-110.517271,703.0,858.7391370504766,8.587391370504767,4.573080123767971,13.098186247273372,23.654449999999997,14.860000000000001,33.34,33.073499999999996,20.97,42.93,14.235400000000002,6.71,24.3,20.3956,5.64,57.53,27.808399999999995,17.42,32.58,2.9099999999999993,1.74,6.85,4.4,0.044000000000000004,0.0,4.4,3.5200000000000005,0.0352,0.0,3.5200000000000005,15.447557116737023,10.532923737054983,18.799841364113583,0.0051237911609720525,1,0,31,0,744.9223966003889,7.449223966003888,2.410380267720818,13.098186247273372,3.5200000000000005,0.0352,0.0,3.5200000000000005,741.4023966003889,7.414023966003889,1.0530801237679706,13.098186247273372,35.2,7414.023966003889,7449.223966003889,741.4023966003889,0.004725324431194801,0.9952746755688052,16.0,16.0,16.0,256.0,3000.0,768000.0,2.2,463.37649787524305,465.57649787524304
