Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Rosario,51,Cajeme,148,Elote,2015,2016,28.041031,-109.351411,699.0,0,0.0,0.0,715.4837339078973,6.504397580980885,1.4856961973511593,9.890913685418933,23.61868181818182,13.915,32.615,31.29654545454546,17.05,41.09,15.940818181818182,7.27,24.14,40.54372727272728,19.23,88.66,25.21836363636364,5.84,32.11,1.8990909090909092,1.03,3.06,98.89000000000001,0.8990000000000001,0.0,31.16,79.11200000000001,0.7192000000000001,0.0,24.928,15.434597922979728,4.988143116539105,19.757710987184442,0.13821418337475427,11,6,23,0,729.0862101125036,6.628056455568215,0.5942784789404637,10.385459369689881,40.01344085600619,0.3637585532364199,0.0,7.552,689.0727692564974,6.264297902331794,0.0,10.385459369689881,400.1344085600619,6890.727692564974,7290.862101125036,649.9742101125037,0.05488163169322844,0.9451183683067715,8.4,18.0,18.0,151.2,3100.0,468720.0,47.6350486381026,820.324725305354,867.9597739434566
Sonora,Rosario,51,Cajeme,148,Pepino,2010,2011,28.041031,-109.351411,699.0,2,1.5,0.0,693.5326911684941,6.542761237438624,2.670046481938772,9.595353703538999,28.8561320754717,25.03,34.3,34.88150943396226,27.07,42.94,22.830754716981126,16.82,26.06,56.953867924528296,21.09,87.83,25.121509433962267,9.77,31.85,1.5377358490566038,0.71,3.29,385.3499999999999,3.6353773584905653,0.0,32.86,231.21,2.18122641509434,0.0,19.715999999999998,16.526000085757218,7.602499055399996,19.767912172803587,0.5556335049624631,55,22,50,0,606.533085123728,5.722010237016302,2.670046481938772,9.458128827470354,152.66847744034536,1.4402686550975976,0.0,5.626289221540628,453.8646076833827,4.281741581918705,0.0,9.446128827470353,1526.6847744034535,4538.6460768338275,6065.3308512372805,375.323085123728,0.25170675958954847,0.7482932404104515,17.0,8.0,8.0,136.0,2100.0,285600.0,89.80498672961491,266.97918099022513,356.78416771984007
Sonora,Rosario,51,Cajeme,148,Avena forrajera en verde,2010,2011,28.041031,-109.351411,699.0,1,1.0,0.0,396.6844279167409,4.220047105497244,1.1416877450593785,7.510432791054552,16.826702127659576,11.059999999999999,23.08,24.476382978723407,13.51,33.47,9.177021276595745,4.02,15.17,44.45468085106383,18.5,90.18,18.99212765957447,3.79,27.76,1.7908510638297872,1.08,4.71,95.36,1.014468085106383,0.0,42.65,76.28800000000001,0.8115744680851065,0.0,34.12,10.39498315597673,3.6434935094378615,16.00938473350368,0.24039259746292554,10,5,0,4,396.82368158297083,4.221528527478413,0.5011119337184046,8.636997709712734,20.669858969974168,0.21989211670185285,0.0,2.6396372085901705,376.15382261299663,4.00163641077656,0.0,8.636997709712734,206.6985896997417,3761.5382261299665,3968.236815829708,320.5356815829708,0.05208826975124054,0.9479117302487594,6.0,2.0,2.0,12.0,600.0,7200.0,34.44976494995695,626.9230376883278,661.3728026382847
Sonora,Rosario,51,Cajeme,148,Maíz grano,2010,2011,28.041031,-109.351411,699.0,2,1.75,0.0,1180.4655104485382,6.903307078646423,2.670046481938772,9.595353703538999,27.09520467836257,15.559999999999999,34.3,34.0159649122807,21.24,42.94,20.17444444444444,8.33,26.06,46.44438596491229,12.84,87.83,26.15748538011696,9.77,32.14,1.7382456140350877,0.71,3.29,403.53,2.3598245614035087,0.0,32.86,242.11800000000002,1.4158947368421053,0.0,19.715999999999998,16.469641604940282,7.602499055399996,19.767912172803587,0.3418397203715607,59,23,73,0,1074.5417665505247,6.28386997982763,1.2817385129671353,11.514424444246798,150.22782322997813,0.8785252820466557,0.0,6.287491055100061,924.3139433205465,5.405344697780974,0.0,11.502424444246797,1502.2782322997814,9243.139433205466,10745.417665505247,832.4237665505246,0.13980640669951516,0.8601935933004848,3.0,3.0,3.0,9.0,2100.0,18900.0,790.6727538419902,4864.810228002877,5655.482981844867
Sonora,Rosario,51,Cajeme,148,Maíz grano,2012,2013,28.041031,-109.351411,699.0,2,2.0,0.0,1175.284567714314,6.873009167919966,2.519000319926881,10.304331237554187,27.07777777777778,17.365,33.445,33.84684210526316,24.99,42.72,20.308713450292398,7.96,25.03,46.9785380116959,9.85,89.06,25.875847953216375,10.41,32.86,1.6539766081871343,0.62,3.18,482.09999999999997,2.8192982456140347,0.0,20.23,289.25999999999993,1.6915789473684206,0.0,12.138,16.153226409360546,7.999736040092318,19.340687973974322,0.41019852829139497,71,35,66,0,1051.5826212036766,6.149605971951325,1.884289915507817,12.365197485065025,192.96749345289834,1.1284648739935574,0.0,7.417426071872011,858.6151277507781,5.021141097957766,0.0,12.365197485065025,1929.6749345289834,8586.15127750778,10515.826212036764,762.3226212036766,0.18350198031232326,0.8164980196876767,5.2,32.0,32.0,166.4,3900.0,648960.0,371.091333563266,1651.1829379822655,2022.2742715455315
Sonora,Rosario,51,Cajeme,148,Maíz grano,2013,2014,28.041031,-109.351411,699.0,2,1.6,0.0,1211.998562712018,7.087710893052736,2.6421809879170803,10.520452503279769,27.561432748538007,17.47,33.754999999999995,34.80450292397661,25.0,42.3,20.318362573099417,9.05,25.46,44.25526315789474,7.2,85.93,26.113274853801162,10.81,32.37,1.8162573099415205,0.7,3.35,336.69999999999993,1.969005847953216,0.0,20.87,202.01999999999998,1.1814035087719297,0.0,12.522,16.36075304953188,8.116259215563456,19.25460552926958,0.2778056099724955,57,28,78,0,1076.6590316306692,6.296251646962978,1.5853085927502482,12.624543003935722,156.73010987876495,0.9165503501682161,0.0,5.4719999999999995,919.9289217519042,5.379701296794762,0.0,12.624543003935722,1567.3010987876496,9199.289217519043,10766.590316306692,874.6390316306693,0.14557079379289387,0.854429206207106,5.5,6.0,6.0,33.0,3200.0,105600.0,313.4602197575299,1839.8578435038085,2153.3180632613385
Sonora,Rosario,51,Cajeme,148,Maíz grano,2014,2015,28.041031,-109.351411,699.0,2,1.1428571428571428,0.0,1153.1627124696647,6.743641593389852,2.4001315245130583,10.227610457902287,27.041198830409364,18.61,33.935,33.5280701754386,23.73,44.06,20.554327485380117,8.37,25.86,49.660116959064325,7.03,88.37,25.282690058479535,7.51,31.87,1.7158479532163744,0.51,2.9,476.2899999999999,2.7853216374269,0.0,52.9,285.774,1.6711929824561405,0.0,31.74,16.0298484784521,6.014044664042753,19.73486342776447,0.4130293104777521,65,33,59,0,1037.012273022568,6.064399257441918,1.2805117373682222,12.273132549482744,176.99826514559646,1.0350775739508564,0.0,7.078146937829654,860.0140078769714,5.029321683491061,0.0,12.273132549482744,1769.9826514559645,8600.140078769713,10370.122730225678,751.238273022568,0.170680974324153,0.8293190256758468,5.3,96.0,96.0,508.8,3200.0,1628160.0,333.958990840748,1622.667939390512,1956.6269302312598
Sonora,Rosario,51,Cajeme,148,Maíz grano,2015,2016,28.041031,-109.351411,699.0,0,0.0,0.0,1067.1489987371392,6.240637419515434,1.4009045341625275,9.890913685418933,26.422514619883042,18.61,32.615,32.58964912280702,23.06,41.09,20.255380116959063,11.62,24.82,55.015789473684215,19.23,89.4,24.830292397660816,3.32,32.11,1.5818713450292399,0.63,3.06,496.99,2.906374269005848,0.0,23.23,298.194,1.7438245614035088,0.0,13.938,16.08916743055322,3.5406865409692974,19.757710987184442,0.46571753390401566,79,35,37,0,962.4257239416803,5.6282206078460835,0.8405427204975164,11.86909642250272,212.44134947948257,1.2423470729794301,0.0,6.51,749.9843744621977,4.385873534866653,0.0,11.86909642250272,2124.4134947948255,7499.843744621977,9624.257239416802,664.2317239416802,0.22073531930278684,0.7792646806972131,2.07,20.0,20.0,41.4,2780.0,115092.0,1026.2867124612685,3623.1129201072354,4649.399632568504
Sonora,Rosario,51,Cajeme,148,Maíz grano,2016,2017,28.041031,-109.351411,699.0,2,1.125,0.0,1160.3488660758164,6.785665883484307,2.1275265065661255,10.226349949156214,26.938771929824565,17.21,33.36,33.963801169590646,26.56,42.85,19.91374269005848,7.86,25.09,48.435321637426895,13.67,85.18,26.032046783625727,6.49,32.35,1.711169590643275,0.59,3.33,455.82,2.665614035087719,0.0,32.08,273.49199999999996,1.5993684210526313,0.0,19.247999999999998,16.52821215316228,5.445962168598583,19.522503723251376,0.392830133528322,71,29,65,0,1037.509493750999,6.0673069809999935,1.2765159039396752,12.271619938987456,189.7603759142356,1.1097098006680444,0.0,7.34740351946318,847.7491178367634,4.95759718033195,0.0,12.199619938987457,1897.603759142356,8477.491178367634,10375.09493750999,764.0174937509989,0.1828998935018689,0.8171001064981313,3.11,12.0,12.0,37.32,3000.0,111960.0,610.1619804316258,2725.8814078352525,3336.0433882668785
Sonora,Rosario,51,Cajeme,148,Maíz grano,2017,2018,28.041031,-109.351411,699.0,2,1.1111111111111112,0.0,1186.3255881754858,6.937576539037929,2.682641882118644,9.671516964146415,27.469181286549706,17.61,33.165,34.51005847953216,24.41,41.83,20.42830409356725,9.64,26.1,46.36438596491229,10.34,89.72,26.003157894736848,10.39,32.53,1.7191228070175437,0.66,3.8,371.9,2.1748538011695904,0.0,24.48,223.14000000000004,1.3049122807017546,0.0,14.687999999999999,16.323937176203742,7.806573447974983,19.279292522043995,0.31348898119273066,63,25,78,0,1051.760538647287,6.1506464248379356,1.5943126913322587,11.605820356975697,165.09745102008475,0.965482169708098,0.0,7.061815093955823,886.6630876272025,5.185164255129839,0.0,11.605820356975697,1650.9745102008474,8866.630876272025,10517.605386472873,828.6205386472868,0.15697247135020245,0.8430275286497978,5.4,900.0,900.0,4860.0,3150.0,15309000.0,305.7360204075643,1641.9686807911157,1947.7047011986801
