Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2010,2011,29.012778,-109.008946,1327.0,440.1477692897479,3.6678980774145655,0.9834035202662009,6.361520242585958,12.552833333333334,6.275,20.415,20.838,10.18,30.32,4.267666666666667,-2.73,12.62,47.456,22.21,91.38,19.788166666666665,4.06,30.05,1.2813333333333332,0.63,3.42,152.29000000000002,1.2690833333333336,0.0,48.5,121.832,1.0152666666666665,0.0,38.800000000000004,11.185567482815388,3.766277095311426,17.66851485350233,0.3459974368284211,15,8,0,79,424.8647084653178,3.5405392372109814,0.8044868528624806,6.361520242585958,27.159101986571702,0.2263258498880975,0.0,3.4411791310363866,397.70560647874606,3.314213387322884,0.0,6.2789048986611125,271.59101986571704,3977.056064787461,4248.647084653177,303.0327084653178,0.06392411853805158,0.9360758814619483,4.95,3.0,3.0,14.85,17856.0,265161.6,54.86687270014485,803.4456696540325,858.3125423541774
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2011,2012,29.012778,-109.008946,1327.0,845.2657758012856,3.9871027160438,1.039186563957946,7.7571445155388625,15.38004716981132,-0.7349999999999999,23.73,24.35207547169811,5.69,34.1,6.408018867924528,-7.63,16.0,34.09150943396227,9.59,87.4,19.60311320754717,6.25,30.82,1.239622641509434,0.76,2.21,18.66,0.0880188679245283,0.0,5.79,14.928,0.07041509433962265,0.0,4.632000000000001,10.169686336922483,4.424669363417731,17.62996408313787,0.022075896758402293,5,1,0,78,735.1562089908439,3.467717966937943,1.039186563957946,5.517128237859099,10.816712387585227,0.05102222824332654,0.0,2.3375258236272805,724.3394966032586,3.416695738694616,0.0,5.517128237859099,0.0,0.0,0.0,720.2282089908439,0.014713488446807017,0.9852865115531929,7.0,3.0,3.0,21.0,17580.0,369180.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2012,2013,29.012778,-109.008946,1327.0,808.281577302615,3.794749189214155,0.8600856374920681,7.368407511605476,14.982183098591552,3.0349999999999997,25.714999999999996,23.68877934272301,8.86,36.3,6.2755868544600935,-3.73,17.56,38.69117370892018,11.56,95.09,18.96323943661972,2.99,30.7,1.19,0.58,2.02,131.48000000000002,0.6172769953051644,0.0,22.51,105.18400000000001,0.4938215962441315,0.0,18.008000000000003,10.048372270844888,3.265996572743828,17.685371470207045,0.16266608530009194,19,6,2,99,696.7415488596835,3.271087083848279,0.8600856374920681,5.213140605969146,33.25340003138181,0.1561192489736235,0.0,2.7950836399478587,663.4881488283017,3.114967834874656,0.0,5.213140605969146,0.0,0.0,0.0,591.5575488596835,0.04772702314912283,0.9522729768508773,8.0,3.0,3.0,24.0,21500.0,516000.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2013,2014,29.012778,-109.008946,1327.0,810.4929123577668,3.823079775272485,1.237639244964816,7.144826987610263,15.560117924528301,2.6850000000000005,23.505000000000003,24.143396226415092,8.54,32.65,6.97683962264151,-4.57,16.12,35.68834905660377,6.61,83.09,18.80122641509434,4.78,30.94,1.1710377358490565,0.56,2.45,41.64,0.19641509433962265,0.0,10.85,33.312000000000005,0.15713207547169813,0.0,8.68,9.92280258713234,4.139006461363723,17.158090391079153,0.05137614328898575,10,2,0,71,700.8407914367821,3.305852789796142,1.237639244964816,5.389024364974779,20.393259015009615,0.09619461799532837,0.0,2.131536968866236,680.4475324217725,3.2096581718008137,0.0,5.389024364974779,0.0,0.0,0.0,667.5287914367821,0.029098276333490426,0.9709017236665096,5.0,1.0,1.0,5.0,27000.0,135000.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2014,2015,29.012778,-109.008946,1327.0,789.583959998778,3.72445264150367,0.9640533302976573,7.3926874289408,15.91507075471698,5.609999999999999,22.854999999999997,23.89858490566038,9.79,33.54,7.9315566037735845,-0.92,16.24,41.80330188679245,7.34,90.21,18.308160377358487,4.34,30.88,1.1763679245283019,0.66,2.41,137.66,0.6493396226415095,0.0,35.55,110.12799999999999,0.5194716981132075,0.0,28.439999999999998,9.883380201127508,3.771997736615983,17.43962305911824,0.1743449803618263,13,8,0,53,684.4225229291934,3.228408127024497,0.9640533302976573,5.174881200258559,23.539201971581434,0.11103397156406337,0.0,2.6002930413470606,660.8833209576121,3.1173741554604346,0.0,5.174881200258559,0.0,0.0,0.0,574.2945229291934,0.03439279273107246,0.9656072072689278,6.0,1.5,1.5,9.0,16000.0,144000.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2015,2016,29.012778,-109.008946,1327.0,740.1873639410389,3.491449829910561,0.9053700795005049,6.454194747911271,15.875306603773582,4.869999999999999,23.18,23.624103773584903,10.45,32.3,8.126509433962266,-2.22,17.57,47.78759433962265,19.62,91.87,17.839528301886794,3.05,30.11,1.0875943396226415,0.59,1.91,180.51,0.8514622641509434,0.0,29.04,144.408,0.6811698113207546,0.0,23.232,9.894372332787443,3.392525906444699,17.985908504914235,0.24387068571246087,24,11,0,41,645.2390880549103,3.043580604032596,0.9053700795005049,4.5179363235378895,49.10620386918312,0.2316330371187883,0.0,3.241991400209048,596.1328841857273,2.8119475669138083,0.0,4.5179363235378895,0.0,0.0,0.0,500.8310880549103,0.07610543870988198,0.9238945612901183,3.5,5.25,5.25,18.38,22000.0,404360.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2016,2017,29.012778,-109.008946,1327.0,779.0620748353822,3.6575684264571935,1.1758008484833853,7.0133649478020725,15.336549295774647,2.4000000000000004,24.65,23.607840375586857,7.14,32.92,7.065258215962442,-4.51,18.15,43.62558685446009,13.37,88.78,18.55967136150235,2.85,30.88,1.145399061032864,0.65,1.99,128.73,0.6043661971830986,0.0,15.18,102.98400000000001,0.48349295774647894,0.0,12.144,10.040522717596573,3.233725771017312,18.151857284898732,0.1652371539549027,23,9,0,61,676.6483287786959,3.176752717270873,1.1758008484833853,5.366761424426077,46.57571056100881,0.21866530779816343,0.0,2.378822527786727,630.072618217687,2.958087409472709,0.0,5.366761424426077,0.0,0.0,0.0,573.6643287786959,0.06883296474710104,0.9311670352528988,5.6,2.0,2.0,11.2,32000.0,358400.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2017,2018,29.012778,-109.008946,1327.0,827.4061279184959,3.9028590939551697,1.2664277733086249,7.495845215494871,17.297853773584905,7.11,25.07,25.558301886792457,10.95,35.16,9.037405660377358,-0.13,17.79,39.643254716981126,9.73,85.46,18.645141509433962,2.87,31.34,1.1702830188679247,0.65,2.53,62.809999999999995,0.29627358490566036,0.0,12.94,50.248000000000005,0.23701886792452834,0.0,10.352,9.990397440188218,3.133899476961052,17.785131748426377,0.07591193475689018,13,3,1,39,714.9853536552902,3.372572422902312,1.2664277733086249,5.647575327840086,24.89573851271161,0.11743272883354533,0.0,1.9095864825214284,690.0896151425785,3.2551396940687667,0.0,5.647575327840086,0.0,0.0,0.0,664.7373536552901,0.03481992796836281,0.9651800720316371,4.7,1.0,1.0,4.7,35000.0,164500.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2018,2019,29.012778,-109.008946,1327.0,826.1605470690799,3.8969837125899995,0.9570899229489358,7.4338811855259195,17.67073113207547,6.2250000000000005,25.865000000000002,25.93617924528302,11.36,35.29,9.405283018867925,-0.9,19.28,37.493632075471695,8.41,92.86,18.34816037735849,3.69,30.17,1.1416509433962265,0.6,2.21,83.83000000000001,0.39542452830188685,0.0,15.47,67.064,0.3163396226415094,0.0,12.376000000000001,9.818469666237732,3.520375022803158,18.006585511111123,0.10146938182584324,17,6,2,38,717.3003841055495,3.3834923778563657,0.9570899229489358,5.203716829868143,31.970596706924223,0.15080470144775576,0.0,2.868486088024481,685.3297873986252,3.2326876764086094,0.0,5.203716829868143,0.0,0.0,0.0,650.2363841055495,0.044570722970949654,0.9554292770290502,2.53,1.25,1.25,3.16,25250.0,79790.0,0.0,0.0,0.0
Sonora,Sahuaripa,52,Sahuaripa,146,Ajo,2019,2020,29.012778,-109.008946,1327.0,710.5298268892852,3.3515557872136097,0.8927661475456912,7.009496906776222,14.69125,2.6849999999999996,24.245,22.27448113207547,9.02,33.66,7.108018867924529,-3.79,17.82,50.15608490566038,22.58,89.22,17.388301886792455,3.06,30.0,1.110188679245283,0.56,2.68,245.21,1.1566509433962264,0.0,30.73,196.168,0.9253207547169812,0.0,24.584000000000003,9.73392722173302,3.2920305173574835,17.751599731568394,0.3451086649993775,31,14,0,61,613.7492108698428,2.895043447499259,0.8927661475456912,4.906647834743355,53.437308418746866,0.25206277556012674,0.0,2.682463823258638,560.3119024510959,2.6429806719391316,0.0,4.906647834743355,0.0,0.0,0.0,417.58121086984283,0.08706700957384898,0.9129329904261508,6.4,1.5,1.5,9.6,25000.0,240000.0,0.0,0.0,0.0
