Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2010,2011,27.32498,-110.39104,7.0,3,3.0,1.0,668.7674584892044,6.966327692595879,4.443522125067388,9.012569428378614,24.823437499999997,18.78,31.35,27.581874999999997,20.31,34.15,22.064999999999998,15.94,28.55,59.87510416666667,45.7,75.8,28.689062500000002,18.28,31.24,3.784895833333333,1.72,7.62,1.4600000000000002,0.015208333333333336,0.0,0.32,1.1680000000000001,0.012166666666666668,0.0,0.256,18.50299264694164,12.496858652284164,20.42320979464966,0.0021831205772156574,0,0,0,0,551.9331186800657,5.749303319584018,2.221761062533694,8.437639502208377,1.1680000000000001,0.012166666666666668,0.0,0.256,550.7651186800656,5.73713665291735,2.221761062533694,8.437639502208377,11.680000000000001,5507.651186800656,5519.331186800657,550.7651186800657,0.002116198431420899,0.9978838015685789,26.0,150.0,150.0,3900.0,4500.0,17550000.0,0.4767346938775511,224.80208925716965,225.2788239510472
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2011,2012,27.32498,-110.39104,7.0,3,3.0,1.0,682.5018785663846,7.109394568399839,4.657797564955539,10.872537066488645,25.132864583333333,18.314999999999998,32.305,28.066145833333337,20.56,35.24,22.199583333333333,16.04,29.78,58.98520833333333,33.65,76.35,28.48385416666667,18.96,31.47,3.736145833333333,1.82,6.96,25.45,0.26510416666666664,0.0,11.39,20.36,0.21208333333333332,0.0,9.112,18.368800680534456,12.606206022533526,20.389516014277035,0.037289274651461,5,3,1,0,565.9105766042737,5.894901839627852,2.3288987824777694,10.328910213164212,15.095575647065093,0.15724557965692806,0.0,4.847520817342088,550.8150009572087,5.737656259970923,0.0,10.328910213164212,150.95575647065093,5508.150009572087,5659.105766042738,545.5505766042737,0.026674842759867746,0.9733251572401324,0.0,245.0,0.0,0.0,0.0,0.0,13.723250588240994,500.7409099610988,514.4641605493398
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2012,2013,27.32498,-110.39104,7.0,1,1.0,0.0,686.8892716845269,7.155096580047155,5.447637462648039,8.86138847074004,25.65125,18.155,31.284999999999997,28.581666666666667,20.65,33.77,22.72083333333333,14.62,29.27,58.73208333333334,40.28,73.68,28.597291666666667,17.59,31.3,3.666041666666666,1.93,6.54,8.3,0.08645833333333335,0.0,2.53,6.640000000000001,0.06916666666666667,0.0,2.024,18.48689573998362,11.944651367462548,20.44863280350556,0.012083461399309797,3,0,0,0,566.5089454300969,5.901134848230176,2.7238187313240196,8.418319047203038,6.640000000000001,0.06916666666666667,0.0,2.024,559.8689454300968,5.831968181563508,2.7238187313240196,8.418319047203038,66.4,5598.689454300968,5665.089454300967,559.8689454300969,0.011720909358207705,0.9882790906417921,14.2,299.0,299.0,4245.8,7211.98,30620624.68,4.709219858156029,397.07017406389843,401.77939392205445
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2013,2014,27.32498,-110.39104,7.0,1,1.0,0.0,670.6855727958584,6.986308049956858,5.234361424582596,9.645858891160481,25.67395833333333,18.965,31.115000000000002,28.4303125,20.57,35.02,22.917604166666667,16.81,28.77,62.084062499999995,43.26,73.79,28.812083333333334,19.9,31.24,3.5283333333333338,1.89,6.86,11.56,0.12041666666666667,0.0,5.09,9.248000000000001,0.09633333333333334,0.0,4.072,18.736390153057673,14.030970391084663,20.487560228836976,0.017236094630469417,3,1,1,0,551.5274517440469,5.745077622333821,2.617180712291298,9.163565946602457,9.248000000000001,0.09633333333333334,0.0,4.072,542.2794517440469,5.648744289000489,1.298286114505001,9.163565946602457,92.48000000000002,5422.7945174404695,5515.27451744047,542.2794517440468,0.016767977678637504,0.9832320223213626,14.2,320.0,256.0,3635.2,3000.0,10905600.0,6.558865248226952,384.5953558468418,391.15422109506875
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2014,2015,27.32498,-110.39104,7.0,1,1.0,0.0,692.2830461173617,7.211281730389184,3.4269510725674985,9.18999704084016,26.742864583333333,19.21,31.919999999999998,29.6184375,21.01,36.64,23.86729166666667,16.39,30.08,58.67083333333334,35.55,79.09,27.665000000000003,13.02,30.95,3.5128125000000003,1.79,5.59,27.849999999999998,0.29010416666666666,0.0,10.99,22.28,0.23208333333333334,0.0,8.792,18.055923752534806,9.411244956214263,20.351550159836787,0.0402292099397717,5,2,2,0,572.5149838241091,5.963697748167803,1.7134755362837493,8.606457248182162,18.777963249396322,0.19560378384787835,0.0,5.289963249396319,553.7370205747129,5.7680939643199265,0.0,8.606457248182162,187.77963249396322,5537.370205747129,5725.149838241093,550.2349838241091,0.03279907736906565,0.9672009226309346,17.0,546.0,546.0,9282.0,6905.33,64095273.06,10.89630362634216,321.31742006269604,332.2137236890382
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2015,2016,27.32498,-110.39104,7.0,0,0.0,0.0,638.6993232906084,6.653117950943837,3.707893795269351,9.944112498472837,26.013229166666672,19.73,31.59,28.355833333333333,21.91,35.32,23.670625,17.55,29.14,61.205937500000005,44.14,80.03,26.403229166666666,6.12,31.08,3.3441666666666663,1.73,8.2,104.2,1.0854166666666667,0.0,43.3,83.36000000000001,0.8683333333333335,0.0,34.64,17.324082737296187,5.542057260768694,20.369148106381715,0.16314405887132744,15,4,1,0,528.0391377612337,5.500407685012852,2.0451865616438956,9.446906873549194,40.66858883056982,0.4236311336517689,0.0,4.589558878495004,487.370548930664,5.076776551361083,0.0,9.446906873549194,406.6858883056982,4873.70548930664,5280.391377612338,444.67913776123373,0.07701813354781885,0.9229818664521813,19.12,412.0,412.0,7879.01,6270.0,49401392.7,16.46501572087847,197.31601171281943,213.7810274336979
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2016,2017,27.32498,-110.39104,7.0,0,0.0,0.0,670.1449197323448,6.980676247211925,3.8862945877659585,9.387071161696156,25.693541666666665,20.91,31.18,28.238229166666667,22.75,34.06,23.148854166666666,16.89,28.96,59.510833333333345,44.5,73.6,28.1071875,9.09,31.14,3.4253125,1.85,5.68,20.37,0.2121875,0.0,8.93,16.296,0.16974999999999998,0.0,7.144,18.23581276302087,7.0640089331339855,20.36287356459741,0.030396410388570518,4,1,0,0,551.758049583829,5.747479683164886,1.9431472938829792,8.917717603611347,13.737157421747694,0.14309538980987183,0.0,4.585157421747693,538.0208921620813,5.604384293355014,0.0,8.917717603611347,137.37157421747693,5380.208921620813,5517.5804958382905,535.462049583829,0.024897067531881287,0.9751029324681186,28.12,409.0,381.0,10714.3,7401.0,79296534.3,4.998965582877617,195.7863508595638,200.78531644244143
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2017,2018,27.32498,-110.39104,7.0,1,1.0,0.0,662.5146172043185,6.901193929211651,5.1954188619125965,9.248510109425228,25.522031249999998,18.945,31.020000000000003,28.277083333333334,21.11,34.24,22.76697916666667,16.78,28.77,60.82510416666667,45.2,76.6,28.299270833333328,19.39,31.35,3.424583333333333,1.83,6.54,5.0600000000000005,0.052708333333333336,0.0,1.48,4.048,0.042166666666666665,0.0,1.184,18.36376080093819,13.170979864348464,20.68428616456446,0.007637567336026798,3,0,0,0,542.1536591519689,5.647433949499676,2.5977094309562982,8.786084603953967,4.048,0.042166666666666665,0.0,1.184,538.1056591519689,5.605267282833009,2.5977094309562982,8.786084603953967,40.480000000000004,5381.056591519689,5421.536591519689,538.1056591519689,0.007466517898877302,0.9925334821011227,27.05,416.0,416.0,11254.57,8830.96,99388657.49,0.6174967584471055,82.0846097402134,82.7021064986605
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2018,2019,27.32498,-110.39104,7.0,4,4.0,1.0,676.4910974857687,7.046782265476757,2.8279103086274477,10.407435613539807,25.80348958333333,20.595,31.724999999999998,28.48302083333333,21.75,34.62,23.12395833333333,17.44,28.83,59.48947916666666,39.91,82.35,27.857916666666668,7.68,31.04,3.5890624999999994,1.64,7.08,90.01,0.9376041666666667,0.0,86.29,72.00800000000002,0.7500833333333335,0.0,69.03200000000001,18.072556230015945,6.295348236592325,20.28717462887304,0.13305422692852736,2,1,0,0,556.710718257887,5.79906998185299,2.2233672622893867,9.887063832862816,5.662514793196076,0.05898452909579246,0.0,2.6865147931960753,551.048203464691,5.7400854527571985,0.0,9.887063832862816,56.625147931960754,5510.4820346469105,5567.107182578871,484.702718257887,0.010171377355398805,0.9898286226446014,25.88,136.0,136.0,3519.02,5530.14,19460673.26,2.1879887145270773,212.92434446085434,215.11233317538142
Sonora,San Ignacio Río Muerto,72,Cajeme,148,Calabacita,2019,2020,27.32498,-110.39104,7.0,1,1.0,0.0,656.5409472698642,6.838968200727752,4.812434582835071,9.11440372742199,24.86546875,20.14,31.130000000000003,27.530624999999997,21.38,33.6,22.2003125,16.71,29.17,60.68479166666666,46.87,71.47,28.471770833333334,17.67,31.34,3.5229166666666667,1.67,6.21,2.42,0.025208333333333333,0.0,1.51,1.9360000000000004,0.02016666666666667,0.0,1.2080000000000002,18.40367456539738,12.108653187274435,20.41464567430313,0.003685984872784004,1,0,0,0,537.5715751305572,5.599703907609971,2.4062172914175357,8.459826091172001,1.9360000000000004,0.02016666666666667,0.0,1.2080000000000002,535.6355751305573,5.5795372409433055,2.4062172914175357,8.459826091172001,19.360000000000003,5356.355751305573,5375.715751305573,535.6355751305572,0.003601380894311263,0.9963986191056888,30.1,51.0,51.0,1535.13,5197.39,7978669.31,0.7411944869831547,205.0672186564155,205.80841314339864
