Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,San Luis Río Colorado,55,Caborca,139,Brócoli,2010,2011,32.437801,-114.772929,39.0,648.0004582795132,4.764709252055244,1.5886182060410192,10.537853590513578,21.07606617647059,8.219999999999999,35.805,28.677573529411767,12.54,44.32,13.47455882352941,0.39,29.51,32.35220588235294,8.42,69.69,16.398308823529412,5.15,24.62,1.9168382352941176,0.74,4.45,15.57,0.11448529411764706,0.0,6.65,12.456000000000001,0.09158823529411765,0.0,5.32,8.19104531965794,3.8077347991646233,15.734589561461238,0.024027760784829454,4,1,37,12,583.129523978165,4.287717088074743,1.6545290809715298,7.986093551741793,11.383023815946359,0.08369870452901734,0.0,5.121400109477384,571.7465001622187,4.204018383545725,0.0,7.986093551741793,0.0,0.0,0.0,570.673523978165,0.019520575357409944,0.9804794246425901,7.89,483.0,483.0,3811.0,5600.0,21341600.0,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2011,2012,32.437801,-114.772929,39.0,597.0959702403065,4.390411545884607,1.2541593504161765,9.330250605622183,20.725330882352942,4.655,36.545,28.21955882352941,11.04,46.8,13.231102941176472,-2.07,28.19,40.18992647058823,13.41,83.43,16.29426470588235,2.58,26.67,1.7958823529411765,0.75,4.26,45.86,0.3372058823529412,0.0,11.54,36.688,0.26976470588235296,0.0,9.232,8.403111624117603,2.8994933404432657,14.933004453675366,0.07680507369953148,8,3,40,21,535.7774013407911,3.939539715741111,1.3168673179369854,6.863446263198345,21.36316210969349,0.15708207433598154,0.0,4.9295746048035305,514.4142392310976,3.782457641405129,0.0,6.863446263198345,0.0,0.0,0.0,499.08940134079114,0.03987320490978502,0.9601267950902148,9.96,260.0,260.0,2590.0,8700.0,22533000.0,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2012,2013,32.437801,-114.772929,39.0,604.6747342244535,4.446137751650393,0.865069301590316,9.451630438220867,20.941139705882353,7.875,38.15,28.51301470588235,12.99,46.54,13.369264705882351,-0.56,30.47,36.01544117647059,11.4,91.63,16.31375,5.06,25.54,1.6982352941176468,0.74,3.96,38.62,0.2839705882352941,0.0,13.64,30.896,0.2271764705882353,0.0,10.912,8.249498234741846,3.7565214956253614,14.62512898071131,0.06386904862088114,8,2,46,21,545.4790917634397,4.0108756747311745,0.9083227666698319,8.446958522193386,19.564984669002143,0.14386018138972165,0.0,3.222919046453844,525.9141070944376,3.8670154933414524,0.0,8.446958522193386,0.0,0.0,0.0,514.5830917634397,0.03586752446505682,0.9641324755349432,17.0,526.19,526.19,8945.23,10000.0,89452300.0,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2013,2014,32.437801,-114.772929,39.0,598.7741820597257,4.402751338674454,1.7949367024009042,9.890106306675262,21.906397058823533,3.4800000000000004,36.045,29.22463235294117,10.14,44.02,14.588161764705882,-3.18,30.11,37.78941176470588,12.66,74.06,16.254485294117643,4.65,24.97,1.6900735294117648,0.71,4.11,26.939999999999998,0.19808823529411762,0.0,12.51,21.552,0.1584705882352941,0.0,10.008000000000001,8.278646121405803,4.003510848207701,14.981362212805749,0.04499191983750699,4,1,42,19,540.3619379649075,3.973249543859614,1.705189867280859,8.344610811159873,13.952077883760815,0.10258880796882952,0.0,2.4320000000000004,526.4098600811467,3.8706607358907843,0.0,8.344610811159873,0.0,0.0,0.0,518.8099379649075,0.025819875353002564,0.9741801246469974,16.8,444.4,444.4,7465.92,9500.0,70926240.0,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2014,2015,32.437801,-114.772929,39.0,601.7587699354397,4.424696837760585,1.17162816727503,9.711816342619043,20.61455882352941,5.665,36.53,28.21095588235294,12.5,44.16,13.01816176470588,-1.17,30.16,37.082205882352945,12.43,80.63,16.668529411764705,4.66,24.63,1.726029411764706,0.83,4.94,46.82,0.3442647058823529,0.0,14.92,37.456,0.27541176470588236,0.0,11.936,8.430389446969047,3.785118155815531,15.732062903228195,0.0778052640678974,8,4,28,19,542.172383412538,3.9865616427392503,1.2302095756387814,7.215910544953122,19.740689281402986,0.1451521270691396,0.0,4.116605099258084,522.431694131135,3.8414095156701107,0.0,7.215910544953122,0.0,0.0,0.0,504.716383412538,0.03641035560895091,0.9635896443910491,16.6,371.5,371.5,6166.9,11162.72,68839377.97,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2015,2016,32.437801,-114.772929,39.0,616.9224514243634,4.536194495767378,1.5671524546338746,9.879892120038173,22.59625,6.43,36.67,29.745294117647056,11.86,44.43,15.44720588235294,0.2,30.84,39.45551470588235,11.73,79.08,15.997058823529414,4.17,26.59,1.775294117647059,0.77,5.01,25.880000000000003,0.19029411764705884,0.0,6.32,20.704,0.15223529411764705,0.0,5.056000000000001,8.37005379619502,3.608841957794082,15.326756287980409,0.041950167221581444,8,1,45,11,555.5160894416275,4.084677128247261,1.6455100773655684,7.243539907518296,20.08730231036672,0.14770075228210824,0.0,4.75417923807801,535.4287871312607,3.9369763759651524,0.0,7.243539907518296,0.0,0.0,0.0,534.8120894416276,0.03615971290868877,0.9638402870913111,15.0,510.0,510.0,7650.0,9300.0,71145000.0,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2016,2017,32.437801,-114.772929,39.0,624.6832286657315,4.593259034306849,1.1204980505284172,9.39520690148664,21.66154411764706,8.215,37.63,28.662499999999998,14.83,44.45,14.660588235294117,0.12,30.81,37.81036764705882,17.23,85.43,15.886102941176473,5.08,25.27,1.9488970588235295,0.88,6.17,31.090000000000003,0.22860294117647062,0.0,5.81,24.872,0.18288235294117647,0.0,4.648,8.20144176692041,3.810882565124583,15.530451143517052,0.04976922474196324,8,1,39,21,567.5232027904497,4.172964726400365,1.0644731480019962,8.614687419246941,18.7997716988838,0.1382336154329691,0.0,3.088,548.7234310915658,4.034731110967395,0.0,8.614687419246941,0.0,0.0,0.0,542.6512027904497,0.0331259966226004,0.9668740033773995,16.5,609.0,609.0,10048.5,9334.56,93798326.16,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2017,2018,32.437801,-114.772929,39.0,613.578718998855,4.511608227932758,1.3305697191904913,8.945843917193557,22.17227941176471,8.58,34.775000000000006,29.509926470588233,15.21,43.46,14.834632352941178,0.49,27.58,38.48676470588236,8.68,84.2,15.623602941176467,4.57,26.67,1.8419117647058822,0.76,5.25,53.28,0.39176470588235296,0.0,15.25,42.623999999999995,0.31341176470588233,0.0,12.200000000000001,8.086145685927315,3.762548338194505,15.70057163085185,0.08683482387872618,11,3,48,8,558.9047979072902,4.109594102259487,1.2640412332309667,8.194994967410153,22.791939348135998,0.1675877893245294,0.0,3.047702092577475,536.1128585591541,3.9420063129349567,0.0,8.194994967410153,0.0,0.0,0.0,516.2807979072902,0.04077964518013794,0.9592203548198619,21.43,1240.0,1240.0,26573.0,10718.74,284829000.0,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2018,2019,32.437801,-114.772929,39.0,670.4427702782846,4.92972625204621,2.239203343377144,9.370497472394021,22.96202205882353,9.575,36.575,30.61044117647059,16.04,44.37,15.313602941176471,1.58,29.5,28.547867647058823,8.22,67.03,16.00330882352941,5.63,24.18,1.8291911764705884,0.7,5.02,18.819999999999997,0.13838235294117646,0.0,7.94,15.056000000000001,0.11070588235294118,0.0,6.352,7.964518615817146,3.9097265789810933,15.576714727776087,0.028071001484866888,5,1,45,4,615.9394629096312,4.528966639041406,2.1272431762082866,9.839022346013722,11.884239247544077,0.08738411211429468,0.0,3.1802392475440775,604.055223662087,4.44158252692711,0.0,9.839022346013722,0.0,0.0,0.0,600.8834629096311,0.019294492337614187,0.9807055076623856,17.63,1312.0,1312.0,23128.0,10513.61,243158696.6,0.0,0.0,0.0
Sonora,San Luis Río Colorado,55,San Luis Río Colorado,193,Brócoli,2019,2020,32.437801,-114.772929,39.0,596.8382697236091,4.3885166891441845,1.1857017386949222,9.243617950995636,21.355735294117647,7.025,37.155,28.51808823529412,13.23,46.15,14.193382352941178,0.28,28.16,40.594779411764705,13.31,84.62,16.029779411764707,3.56,26.08,1.7763235294117645,0.66,4.69,50.89,0.37419117647058825,0.0,21.39,40.712,0.2993529411764706,0.0,17.112000000000002,8.346767835117726,3.408069527770056,15.460887681004046,0.08526598005112297,11,2,32,9,537.9393927863125,3.9554367116640625,1.2449868256296683,7.8110950699770445,19.169709604310583,0.140953747090519,0.0,2.3760000000000003,518.7696831820019,3.8144829645735436,0.0,7.8110950699770445,0.0,0.0,0.0,497.2273927863125,0.035635444924416296,0.9643645550755837,22.76,1164.8,1164.8,26516.0,9097.98,241241929.56,0.0,0.0,0.0
