Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2010,2011,29.278097,-109.68566,675.0,362.0758826168485,3.851871091668601,1.209875429122354,7.457410126995415,13.97531914893617,7.76,21.21,21.795744680851065,12.51,31.47,6.154893617021277,-2.04,12.44,47.14882978723404,22.61,88.49,18.241702127659575,4.06,27.58,2.0385106382978724,0.9,7.18,134.64,1.4323404255319148,0.0,43.55,107.71199999999999,1.1458723404255318,0.0,34.839999999999996,10.011807103664497,3.753363421671332,15.817941755860854,0.371855753072836,15,8,0,27,361.90928557265505,3.85009878268782,0.4327766723635,8.576021646044728,29.47715973359479,0.3135868056765403,0.0,3.0,332.4321258390603,3.53651197701128,0.0,8.576021646044728,294.7715973359479,3324.321258390603,3619.0928557265506,254.19728557265506,0.0814490285513194,0.9185509714486807,19.3,24.0,24.0,463.2,400.0,185280.0,15.273139758339267,172.24462478707787,187.51776454541712
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2011,2012,29.278097,-109.68566,675.0,712.2228230227362,4.536451102055644,1.3668164646433696,8.490195062059838,16.914235668789807,0.09499999999999975,25.5,25.571210191082802,5.88,35.22,8.257261146496814,-6.08,16.78,28.104140127388536,8.3,81.69,18.25872611464968,6.25,27.19,1.8999999999999997,1.08,4.38,12.41,0.07904458598726115,0.0,7.44,9.928,0.06323566878980892,0.0,5.952000000000001,8.825828616186346,4.400948873265128,14.861846841761286,0.017424322275058347,2,1,1,31,653.1656800568401,4.160290955776051,1.0106172944793426,7.641175555853854,5.547838934339875,0.03533655372191003,0.0,1.6800000000000002,647.6178411225002,4.124954402054141,0.0,7.641175555853854,0.0,0.0,0.0,643.2376800568401,0.008493769810221947,0.991506230189778,20.1,23.0,23.0,462.3,380.0,175674.0,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2012,2013,29.278097,-109.68566,675.0,626.9413698504718,3.9679833534839988,0.9530106849034685,8.111130303510285,15.443892405063293,5.359999999999999,24.145,23.50246835443038,10.01,34.21,7.385316455696203,-2.02,16.3,39.62993670886076,9.04,91.48,17.220759493670887,2.99,28.78,1.8757594936708861,0.94,3.86,137.47,0.8700632911392405,0.0,24.15,109.976,0.6960506329113924,0.0,19.32,8.80515183739542,3.2431468123314104,15.435258949891981,0.21927090252919054,13,7,0,39,572.7979519697419,3.6253034934793793,0.30268822686907776,7.3000172731592565,22.22913010702123,0.1406906968798812,0.0,3.3776168818011527,550.5688218627206,3.4846127965994973,0.0,7.3000172731592565,0.0,0.0,0.0,462.8219519697419,0.03880797763081996,0.9611920223691799,19.3,20.0,20.0,386.0,410.0,158260.0,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2013,2014,29.278097,-109.68566,675.0,664.024351638601,4.229454469035676,1.546588517809938,7.671469307948987,16.792388535031847,4.07,24.855,25.01611464968153,11.4,35.23,8.568662420382164,-4.29,18.62,32.10847133757962,9.35,76.0,17.070509554140127,4.78,28.23,1.8323566878980895,0.82,4.21,39.96,0.2545222929936306,0.0,12.85,31.968000000000004,0.20361783439490447,0.0,10.280000000000001,8.565104541418819,4.1171322288838175,15.3576839736346,0.06017851589537555,9,3,1,44,606.4120768278088,3.862497304635725,0.7639502630107323,6.904322377154089,19.50654844826093,0.12424553151758554,0.0,3.866351788944993,586.905528379548,3.7382517731181397,0.0,6.904322377154089,0.0,0.0,0.0,574.4440768278089,0.0321671503481614,0.9678328496518387,19.4,21.0,21.0,407.4,441.39,179822.29,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2014,2015,29.278097,-109.68566,675.0,666.2431370319711,4.243586860076249,1.0909223939372048,8.226720063532586,17.81872611464968,7.625,24.61,25.62369426751592,11.42,34.1,10.01375796178344,2.01,17.36,36.70662420382166,12.64,86.64,16.759999999999998,4.34,27.47,1.8820382165605096,0.81,4.01,52.25999999999999,0.3328662420382165,0.0,11.79,41.80799999999999,0.2662929936305732,0.0,9.432,8.590961256888242,3.7601709697946273,15.351653273679315,0.07843983239033678,11,3,0,17,614.7003456540638,3.915288825822062,0.6914489969236024,7.4040480571793275,16.270927916816134,0.10363648354659959,0.0,2.5131325673332245,598.4294177372477,3.811652342275463,0.0,7.4040480571793275,0.0,0.0,0.0,572.8923456540638,0.026469690527834776,0.9735303094721653,19.36,22.0,22.0,425.92,445.24,189636.62,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2015,2016,29.278097,-109.68566,675.0,603.332376612382,3.8428813796967005,1.1252988585670958,6.838508417607715,17.58343949044586,7.725,25.644999999999996,25.074012738853504,12.66,34.56,10.092866242038216,-0.77,19.2,43.05872611464968,16.92,86.47,16.069426751592356,3.05,26.95,1.7524840764331209,0.89,4.0,150.87,0.9609554140127389,0.0,31.52,120.696,0.768764331210191,0.0,25.216,8.53022679488335,3.3590411808287635,16.046301803244997,0.25006117000899525,17,8,0,12,559.6578361415894,3.5646995932585313,0.8127378387630334,6.756482549373641,33.0414458145231,0.21045506888231275,0.0,3.1529528331727503,526.6163903270663,3.354244524376218,0.0,6.756482549373641,0.0,0.0,0.0,438.9618361415894,0.05903865483653096,0.940961345163469,19.3,18.0,18.0,347.4,489.38,170010.61,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2016,2017,29.278097,-109.68566,675.0,643.9727209388855,4.075776714803072,1.4005599918612672,8.453883087763844,16.57778481012658,4.765,24.07,24.848164556962022,10.41,34.17,8.30740506329114,-2.51,17.12,38.7379746835443,13.07,82.44,17.285126582278483,2.85,28.32,1.8237974683544302,0.99,3.76,98.24,0.6217721518987341,0.0,16.26,78.592,0.49741772151898733,0.0,13.008000000000003,8.860628319051811,3.2064371801555356,15.33391872732512,0.1525530458134471,14,6,0,35,596.556043162124,3.775671159253949,0.42016799755838014,7.60849477898746,29.725430395664894,0.1881356354156006,0.0,2.964821079095919,566.8306127664591,3.587535523838349,0.0,7.60849477898746,0.0,0.0,0.0,517.964043162124,0.049828395397859576,0.9501716046021406,19.2,11.0,11.0,211.2,515.1,108789.12,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2017,2018,29.278097,-109.68566,675.0,666.3581009972606,4.244319114632233,1.3918358475101196,8.261654934925197,18.384617834394906,9.59,27.41,26.135414012738856,14.39,36.07,10.633821656050957,0.93,20.9,37.92713375796178,13.37,82.36,16.827770700636943,2.87,27.95,1.8800636942675157,0.97,5.21,70.02,0.4459872611464968,0.0,13.44,56.016000000000005,0.35678980891719747,0.0,10.752,8.68227822134264,3.1058028465096097,15.494136356518801,0.10507863548925002,15,4,7,10,603.8368097390967,3.8460943295483867,1.0702506424728286,7.4354894414326775,27.532665362945515,0.17536729530538545,0.0,3.133480052009301,576.3041443761513,3.6707270342430016,0.0,7.4354894414326775,0.0,0.0,0.0,547.8208097390967,0.045596202349508494,0.9544037976504917,19.0,11.0,11.0,209.0,510.0,106590.0,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2018,2019,29.278097,-109.68566,675.0,679.4182432246253,4.327504733914811,1.2963944049717293,8.249861407964879,19.11888535031847,10.075,27.525,27.022866242038216,14.37,36.03,11.214904458598728,0.66,19.02,33.29898089171975,9.81,85.3,16.52624203821656,3.69,28.02,1.8185350318471336,0.79,4.21,59.089999999999996,0.37636942675159235,0.0,24.93,47.272000000000006,0.3010955414012739,0.0,19.944000000000003,8.384754375687988,3.5081699476660506,14.992387331266109,0.08697146505744328,10,2,3,15,625.9056414402907,3.9866601365623606,1.1359771379830947,7.4248752671683915,20.7027616158325,0.13186472366772292,0.0,2.5700565876577284,605.2028798244583,3.8547954128946387,0.0,7.4248752671683915,0.0,0.0,0.0,578.6336414402906,0.03307648988143443,0.9669235101185657,18.89,9.0,9.0,170.0,560.0,95200.56,0.0,0.0,0.0
Sonora,San Pedro de La Cueva,57,Mazatán,145,Avena forrajera en verde,2019,2020,29.278097,-109.68566,675.0,556.2617218125006,3.5430682917993668,0.9385040134349254,6.907877564729503,15.901815286624204,5.585,22.74,23.172738853503184,11.41,32.13,8.630891719745224,-2.8,16.4,45.879108280254776,25.82,84.05,15.836305732484078,3.06,27.38,1.692993630573248,0.84,4.59,155.11,0.9879617834394905,0.0,31.16,124.088,0.7903694267515923,0.0,24.928,8.513008930226487,3.2727536832244235,15.79455723147234,0.2788435621537932,19,7,0,28,507.7373017490959,3.233995552542012,0.7930700552587926,6.217089808256553,38.89264952172417,0.24772388230397557,0.0,3.1294297462680483,468.84465222737174,2.9862716702380365,0.0,6.217089808256553,0.0,0.0,0.0,383.6493017490959,0.07659994526252753,0.9234000547374726,20.0,12.0,12.0,240.0,618.5,148440.0,0.0,0.0,0.0
