Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2010,2011,31.14935,-110.592657,1448.0,1,1.0,0.0,736.5793909734443,7.672701989306712,2.7490948440766747,10.543427907967606,20.39723958333333,6.88,30.235,29.222604166666667,11.67,38.59,11.571875,1.6,23.69,28.79625,10.53,70.26,29.283020833333335,13.63,33.52,2.8781249999999994,1.43,5.88,15.969999999999999,0.16635416666666666,0.0,12.77,12.776000000000002,0.13308333333333336,0.0,10.216000000000001,17.241455155137967,9.469686154466794,19.655263276125254,0.021681301697695422,2,1,22,14,618.471833074954,6.442414927864104,1.3745474220383374,10.016256512569225,4.081721317375982,0.04251793038933315,0.0,1.6485328892217432,614.3901117575779,6.3998969974747695,0.0,10.016256512569225,40.817213173759825,6143.901117575779,6184.718330749539,605.6958330749541,0.006599688294747789,0.9934003117052519,15.0,5.0,5.0,75.0,4000.0,300000.0,2.7211475449173217,409.59340783838525,412.31455538330255
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2011,2012,31.14935,-110.592657,1448.0,4,4.0,1.0,808.4971516037037,8.421845329205247,2.853055205760263,11.850137587947595,21.826822916666668,7.4399999999999995,32.239999999999995,30.894791666666666,14.12,42.05,12.758854166666666,-1.12,23.72,22.317604166666666,8.05,67.84,29.777083333333337,14.93,33.62,3.1077083333333335,1.79,5.64,19.75,0.20572916666666666,0.0,5.84,15.799999999999999,0.16458333333333333,0.0,4.672,17.121553197567184,10.071080632571611,19.43511602747455,0.02442803906089794,7,1,21,5,670.8655395677869,6.9881827038311135,1.4265276028801315,11.257630708550215,12.554527602880132,0.13077632919666804,0.0,2.712,658.3110119649068,6.857406374634446,0.0,11.257630708550215,125.54527602880131,6583.110119649068,6708.65539567787,655.0655395677869,0.018713925313511463,0.9812860746864887,15.5,12.0,12.0,186.0,3580.0,665880.0,8.0996952276646,424.7167819128431,432.8164771405077
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2012,2013,31.14935,-110.592657,1448.0,3,3.0,1.0,779.8259860281587,8.123187354459986,3.689149597951154,11.37580356334939,22.457291666666663,8.725,30.22,31.3703125,14.73,39.38,13.544270833333334,0.18,22.78,23.27875,6.34,74.18,28.9715625,13.72,33.47,2.7451041666666662,1.41,5.87,43.86,0.456875,0.0,10.38,35.088,0.3655,0.0,8.304,16.760595921867132,9.726950577639304,19.240840781140673,0.05624331682429503,10,3,26,5,649.8526515421864,6.769298453564442,1.844574798975577,10.80701338518192,27.88862049602194,0.2905064635002285,0.0,5.191744022402017,621.9640310461646,6.478791990064214,0.0,10.80701338518192,278.8862049602194,6219.640310461646,6498.526515421865,614.7646515421865,0.04291529846010253,0.9570847015398976,18.95,8.0,8.0,151.6,4352.0,659763.2,14.716950129826882,328.21320899533754,342.93015912516444
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2013,2014,31.14935,-110.592657,1448.0,3,3.0,1.0,791.1529068537388,8.24117611305978,3.54400843518448,10.90256984201132,22.254062500000003,8.165,31.419999999999998,30.973020833333337,13.33,42.19,13.535104166666668,0.59,22.93,23.919999999999998,9.36,62.46,29.444375000000004,14.2,32.99,2.9257291666666667,1.46,6.59,21.42,0.22312500000000002,0.0,9.84,17.136,0.1785,0.0,7.872,17.056467606023894,10.293300245005517,19.330773241183326,0.02707441230947779,3,2,28,6,659.2663690197304,6.867358010622191,1.77200421759224,10.357441349910754,14.009313421992728,0.1459303481457576,0.0,5.037309204400486,645.2570555977377,6.721427662476434,0.0,10.357441349910754,140.09313421992726,6452.570555977377,6592.663690197304,642.1303690197304,0.02124985298859293,0.9787501470114071,17.58,6.0,6.0,105.48,4125.0,435105.0,7.968892731508946,367.0404184287473,375.00931116025623
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2017,2018,31.14935,-110.592657,1448.0,2,1.6666666666666667,0.0,770.8590702866525,8.02978198215263,3.391935578753895,10.622401879471571,22.659062500000005,10.785,33.955,31.479166666666668,15.8,43.11,13.838958333333332,2.94,25.59,24.1746875,5.45,63.29,28.6784375,17.5,33.28,2.735416666666667,1.39,5.63,20.299999999999997,0.2114583333333333,0.0,3.82,16.240000000000002,0.1691666666666667,0.0,3.056,16.686071331100546,11.813159704287317,19.36682832939242,0.02633425587436004,9,0,30,2,634.7686033857815,6.612172951935224,2.1219217063771687,10.091281785497992,16.240000000000002,0.1691666666666667,0.0,3.056,618.5286033857815,6.443006285268557,0.47033879981619986,10.091281785497992,162.40000000000003,6185.286033857815,6347.686033857814,618.5286033857815,0.02558412611048773,0.9744158738895122,18.5,6.0,6.0,110.99,6249.27,693606.48,8.778378378378381,334.33978561393593,343.1181639923143
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2018,2019,31.14935,-110.592657,1448.0,4,4.0,1.0,792.2693676607281,8.252805913132585,3.1795461777956677,10.85018211988374,23.03765625,11.29,31.54,31.568020833333332,18.2,39.95,14.507291666666667,2.47,23.13,23.415833333333335,7.56,62.36,29.160208333333333,10.02,33.18,2.8140625,1.49,5.3,22.32,0.2325,0.0,8.9,17.856,0.18600000000000003,0.0,7.120000000000001,16.92878899790953,7.847825337278674,19.92565413793153,0.028172236503226828,5,2,21,4,653.3417401781678,6.805643126855915,2.6716672923084497,9.855492695511906,13.48155378599257,0.1404328519374226,0.0,4.724984917086685,639.8601863921751,6.665210274918491,0.0,9.855492695511906,134.8155378599257,6398.601863921751,6533.417401781677,635.4857401781678,0.020634765784773097,0.9793652342152267,16.64,5.0,5.0,83.21,6504.19,541213.65,8.101895304082074,384.53136201452827,392.63325731861033
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2019,2020,31.14935,-110.592657,1448.0,0,0.0,0.0,714.7226860398912,7.4450279795822,3.590598792176301,11.278249005677658,20.640104166666664,10.58,31.075,28.878541666666667,14.25,39.73,12.401666666666666,3.48,24.04,31.371458333333333,13.58,56.83,28.382500000000004,16.42,33.13,2.8246874999999996,0.94,5.04,14.73,0.1534375,0.0,4.45,11.784,0.12275000000000001,0.0,3.5600000000000005,16.930709397352377,10.803277713215232,19.62686849273232,0.02060939198896209,5,0,11,1,592.5008260638816,6.1718836048321,1.7952993960881505,10.714336555393775,11.784,0.12275000000000001,0.0,3.5600000000000005,580.7168260638816,6.0491336048321,0.071764178091966,10.714336555393775,117.84,5807.168260638817,5925.008260638817,580.7168260638816,0.01988857986626585,0.9801114201337342,20.4,3.5,3.5,71.41,6000.0,428460.0,5.776470588235295,284.6651108156283,290.44158140386355
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2020,2021,31.14935,-110.592657,1448.0,0,0.0,0.0,743.6039494712388,7.745874473658738,2.915285034925205,10.711461933258565,22.16625,9.26,29.925,30.713333333333328,15.0,39.32,13.619166666666667,3.39,21.81,31.287291666666665,10.62,71.32,28.903645833333332,17.46,33.81,2.702291666666667,1.17,4.67,28.71,0.2990625,0.0,5.22,22.968,0.23925,0.0,4.176,17.21494856314286,11.483061636990781,19.878748248548817,0.03860926239084002,8,2,28,7,623.5152806936867,6.494950840559237,1.4576425174626024,10.175888836595636,21.521642517462602,0.22418377622356878,0.0,4.176,601.993638176224,6.270767064335666,0.0,10.175888836595636,215.216425174626,6019.93638176224,6235.152806936866,600.5472806936867,0.03451662402486572,0.965483375975134,21.83,6.0,6.0,131.0,6372.14,834750.34,9.858745999753827,275.764378459104,285.62312445885783
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2021,2022,31.14935,-110.592657,1448.0,5,5.0,1.0,767.8088338283028,7.998008685711487,3.3281249414806706,11.006610533456225,22.726979166666666,11.200000000000001,32.215,31.144270833333334,17.59,41.51,14.3096875,4.64,22.92,24.73760416666667,6.82,74.7,27.964895833333333,12.51,33.08,2.814479166666667,0.92,5.26,55.72,0.5804166666666667,0.0,13.34,44.57600000000001,0.46433333333333343,0.0,10.672,16.3092495262826,9.325260437195208,19.210095168714552,0.07257014707968323,8,5,19,1,632.7530831564968,6.591177949546842,2.496093706110503,10.456280006783414,22.443477735082112,0.23378622640710534,0.0,4.063008492870041,610.3096054214147,6.357391723139737,0.0,10.456280006783414,224.43477735082112,6103.096054214147,6327.530831564968,588.1770831564968,0.03546956677496147,0.9645304332250386,19.0,6.0,6.0,114.0,6500.0,741000.0,11.812356702674796,321.2155818007446,333.02793850341936
Sonora,Santa Cruz,59,Magdalena,140,Calabacita,2022,2023,31.14935,-110.592657,1448.0,4,3.6666666666666665,1.0,760.6935943618785,7.923891607936234,4.463785856280605,10.662361248065475,22.82822916666667,12.584999999999999,30.76,31.438645833333336,22.65,39.67,14.217812499999999,2.36,22.43,25.006041666666665,3.84,58.72,28.140833333333337,15.19,33.41,2.671041666666667,1.08,5.01,64.55000000000001,0.6723958333333334,0.0,12.18,51.64,0.5379166666666667,0.0,9.744,16.363441091586598,10.841812144900292,19.402619736281885,0.08485676818949546,16,2,18,2,626.3253249574032,6.524222134972949,2.7121012638440134,10.129243185662201,43.19862391954025,0.4499856658285443,0.0,6.2587845273298015,583.126701037863,6.074236469144406,0.0,10.129243185662201,431.9862391954025,5831.2670103786295,6263.253249574032,574.6853249574032,0.06897154274015381,0.9310284572598463,19.67,6.0,6.0,118.02,7703.39,909154.09,21.961679674397686,296.454855636941,318.41653531133863
