Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2010,2011,28.812174,-109.630167,207.0,0,0.0,0.0,374.6908464264166,3.986072834323581,1.263072582854099,7.532955844059348,14.531436170212766,8.700000000000001,21.445,22.474893617021277,12.93,32.11,6.587978723404255,-1.27,12.92,46.677127659574474,22.59,89.1,18.99212765957447,3.79,27.76,2.003085106382979,0.87,6.98,133.17,1.4167021276595744,0.0,51.37,106.536,1.1333617021276596,0.0,41.096000000000004,10.353039632172166,3.6494253573334383,16.129357479408224,0.3554130058689664,14,5,0,27,373.43618750052036,3.972725398941706,0.47585336732061995,8.66289922066825,25.489499293035955,0.27116488609612716,0.0,2.5435788352674327,347.94668820748444,3.701560512845579,0.0,8.66289922066825,254.89499293035954,3479.4668820748443,3734.3618750052037,266.90018750052036,0.06825663967823267,0.9317433603217674,19.3,24.0,24.0,463.2,400.0,185280.0,13.206994452350235,180.28325813859297,193.49025259094321
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2011,2012,28.812174,-109.630167,207.0,3,1.75,0.25,732.8511502745318,4.667841721493834,1.4827633775150282,8.420099723951038,17.345987261146494,1.0100000000000002,25.18,26.145414012738854,8.16,35.26,8.54656050955414,-6.14,16.98,28.555477707006368,9.97,80.95,18.771719745222928,6.67,27.25,1.8785350318471339,1.06,3.96,9.34,0.059490445859872614,0.0,5.35,7.472,0.047592356687898095,0.0,4.28,9.103364385542765,4.591140977650712,15.09029881676598,0.012744743590156284,2,1,1,25,674.1039862226739,4.293655963201745,1.0142445215050853,7.578089751555934,4.897177884142282,0.031192215822562305,0.0,1.7051778841422822,669.2068083385316,4.262463747379182,0.0,7.578089751555934,48.97177884142282,6692.068083385316,6741.0398622267385,666.631986222674,0.007264721740607862,0.992735278259392,19.7,22.0,22.0,433.4,400.0,173360.0,2.485877098549382,339.6988874814881,342.1847645800375
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2012,2013,28.812174,-109.630167,207.0,3,1.6666666666666667,0.16666666666666666,651.1303919120662,4.1210784298232035,0.8904492912709588,8.04366253758856,16.031740506329115,6.135,23.975,24.249240506329116,11.28,34.49,7.8142405063291145,-1.9,15.67,39.13069620253165,9.95,91.82,17.632531645569617,3.91,28.59,1.8654430379746836,1.02,3.64,128.65,0.8142405063291139,0.0,21.78,102.92,0.6513924050632911,0.0,17.424000000000003,9.015796710494255,3.590473372813194,15.460203965218337,0.1975794734787528,13,8,0,29,596.6270509401675,3.77612057557068,0.3154413245169957,7.239296283829704,22.26370441697379,0.1409095216264164,0.0,3.781022708437157,574.3633465231937,3.635211053944264,0.0,7.239296283829704,222.63704416973792,5743.633465231937,5966.270509401676,493.70705094016745,0.03731594868501277,0.9626840513149874,19.3,18.0,18.0,347.4,415.0,144171.0,11.535598143509736,297.5975888721211,309.1331870156308
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2013,2014,28.812174,-109.630167,207.0,1,1.0,0.0,683.0270320907656,4.350490650259654,1.7317158691266,7.72326565748041,17.347165605095544,4.8100000000000005,25.0,25.635859872611466,12.13,35.62,9.058471337579618,-3.55,18.58,32.425222929936304,10.82,72.76,17.3428025477707,4.39,28.24,1.8198726114649684,0.9,3.93,33.61,0.2140764331210191,0.0,11.0,26.888000000000005,0.17126114649681531,0.0,8.8,8.75806821887161,3.906303527942751,15.491826986932846,0.0492074228703933,6,2,1,37,626.6787001369514,3.991584077305423,0.7499113232910184,6.950939091732369,17.52945306922971,0.11165256731993446,0.0,3.8493731052074183,609.1492470677217,3.8799315099854885,0.0,6.950939091732369,175.2945306922971,6091.492470677217,6266.787001369515,599.7907001369514,0.02797199436553198,0.972028005634468,19.32,14.0,14.0,270.48,440.0,119011.2,9.0732158743425,315.29464133940047,324.367857213743
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2014,2015,28.812174,-109.630167,207.0,1,1.0,0.0,675.0494995672191,4.299678341192478,1.2379880356146435,8.270138266241831,18.27464968152866,8.86,24.744999999999997,26.118853503184713,12.79,34.34,10.430445859872615,2.34,16.55,37.36388535031847,13.13,83.61,16.922420382165605,4.28,27.76,1.8496815286624202,0.85,3.9,38.24,0.24356687898089174,0.0,8.81,30.592000000000002,0.1948535031847134,0.0,7.048000000000001,8.736650258126012,3.737147370812885,15.52065661974888,0.05664769772367218,7,3,0,11,625.0611556225488,3.9812812460034954,0.7035564892855758,7.443124439617648,13.14197599599581,0.08370685347768032,0.0,2.711390507128809,611.9191796265529,3.897574392525815,0.0,7.443124439617648,131.4197599599581,6119.19179626553,6250.611556225488,594.4691556225488,0.0210251043082443,0.9789748956917557,19.18,18.0,18.0,345.24,450.67,155589.31,6.851916577682904,319.04023963845304,325.89215621613596
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2015,2016,28.812174,-109.630167,207.0,1,1.0,0.0,618.054590853159,3.9366534449245796,1.0747345865438822,6.86404537245476,18.00264331210191,8.465,26.205,25.56777070063694,13.27,35.05,10.43751592356688,-0.17,19.23,42.85522292993631,13.9,87.22,16.347515923566878,3.0,26.81,1.7293630573248406,0.82,3.42,148.64999999999998,0.9468152866242037,0.0,34.16,118.92000000000002,0.7574522292993632,0.0,27.328,8.69185667423036,3.3424177683174277,15.813478541495726,0.2405127349589045,16,7,1,12,575.0383286933107,3.662664513970132,0.7535278923912476,6.6489114342403814,28.676113573362098,0.18265040492587323,0.0,2.8539412839052956,546.3622151199486,3.4800141090442587,0.0,6.6489114342403814,286.76113573362096,5463.622151199486,5750.383286933107,456.11832869331073,0.049868177723951565,0.9501318222760483,19.3,16.0,16.0,308.8,469.79,145071.15,14.858089934384505,283.0892306320977,297.94732056648223
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2016,2017,28.812174,-109.630167,207.0,2,1.1666666666666667,0.0,667.3051772333946,4.223450488818953,1.5239086602985945,8.50616572656668,17.263101265822783,5.345,24.4,25.632405063291134,11.0,34.98,8.893797468354432,-1.91,18.13,37.92943037974684,11.54,80.03,17.586645569620252,3.37,28.01,1.8065189873417722,1.03,3.53,76.3,0.48291139240506326,0.0,14.58,61.04,0.3863291139240506,0.0,11.664000000000001,9.006716402584358,3.4386922661383448,15.488723360151393,0.1143404885847507,14,4,0,30,619.1874881971308,3.918908153146398,0.45717259808957833,7.6555491539100124,25.361969965911925,0.16051879725260712,0.0,2.388343035293095,593.8255182312189,3.7583893558937906,0.0,7.6555491539100124,253.61969965911925,5938.2551823121885,6191.874881971307,558.1474881971309,0.04096008147670682,0.9590399185232932,19.2,12.0,12.0,230.4,482.7,111214.08,13.209359357245795,309.2841240787598,322.4934834360056
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2017,2018,28.812174,-109.630167,207.0,1,1.0,0.0,687.3819738299246,4.378229132674679,1.607047744360357,8.148754390800022,18.899585987261148,10.435,27.97,26.776751592356685,14.45,36.42,11.022420382165604,2.4,21.57,37.88694267515923,13.06,79.41,17.259426751592358,3.16,28.17,1.8713375796178342,1.02,4.79,64.03,0.4078343949044586,0.0,15.21,51.224000000000004,0.3262675159235669,0.0,12.168000000000001,8.916675382353214,3.3700959315471195,15.717097213652865,0.09315053701981806,10,4,9,10,625.997556656436,3.9872455837989556,1.0973204190272625,7.33387895172002,22.76484521443684,0.14499901410469324,0.0,3.0562258770592474,603.2327114419991,3.842246569694262,0.0,7.33387895172002,227.64845214436838,6032.327114419991,6259.975566564359,574.773556656436,0.03636570937437506,0.9636342906256248,19.8,10.0,10.0,198.0,540.0,106920.0,11.497396572947897,304.6629855767672,316.1603821497151
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2018,2019,28.812174,-109.630167,207.0,4,2.4545454545454546,0.5454545454545454,698.127217037523,4.446670172213523,1.4117550921214994,8.272844085527366,19.60079617834395,10.905,27.369999999999997,27.620955414012737,14.51,35.97,11.580636942675158,1.68,18.89,32.89738853503185,9.28,85.15,16.899617834394903,2.37,28.12,1.788089171974522,0.94,3.96,44.13,0.28108280254777074,0.0,17.0,35.304,0.22486624203821656,0.0,13.600000000000001,8.565496617992366,3.048295328434304,15.12292433203329,0.0632119747275633,9,2,5,10,644.1862781339495,4.103097312955092,1.2060756111073694,7.4455596769746295,16.070815097018055,0.10236187959884112,0.0,2.704,628.1154630369315,4.000735433356252,0.0,7.4455596769746295,160.70815097018055,6281.154630369315,6441.862781339495,608.8822781339495,0.024947465729278317,0.9750525342707218,17.25,8.0,8.0,138.0,560.0,77280.0,9.316414548995974,364.1249061083661,373.44132065736204
Sonora,Soyopa,61,Mazatán,145,Avena forrajera en verde,2019,2020,28.812174,-109.630167,207.0,0,0.0,0.0,577.082420684799,3.675684208183433,1.0096718923495251,7.083488500878822,16.483917197452225,6.375,23.13,23.87624203821656,12.16,32.51,9.091592356687897,-2.81,16.77,45.49165605095542,24.66,82.21,16.22515923566879,2.98,27.54,1.6919745222929936,0.93,4.45,144.95999999999998,0.9233121019108279,0.0,30.43,115.968,0.7386496815286624,0.0,24.344,8.713596248169608,3.2561674488047005,15.776566455198568,0.2511946210871961,17,8,0,22,527.5779206076005,3.360368921067519,0.8609359403255111,6.37513965079094,35.383467535342646,0.22537240468371111,0.0,2.457258606849583,492.19445307225794,3.1349965163838087,0.0,6.37513965079094,353.83467535342646,4921.94453072258,5275.779206076006,411.6099206076005,0.06706775654028933,0.9329322434597108,19.0,15.0,15.0,285.0,611.22,174197.7,18.62287765018034,259.0497121432937,277.672589793474
