Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2010,2011,28.394105,-109.888323,241.0,1,1.0,0.0,431.07384647008917,4.585891983724353,1.4405212227855209,8.5804124849059,17.362712765957443,10.98,23.335,25.31553191489362,15.14,34.22,9.409893617021277,3.32,15.37,43.37563829787234,20.67,87.0,18.99212765957447,3.79,27.76,2.2288297872340426,1.2,6.81,101.72,1.082127659574468,0.0,42.27,81.376,0.8657021276595745,0.0,33.816,10.349186202597435,3.6545172050604755,16.09507013417036,0.23596885042539462,11,7,0,4,428.1260570501018,4.554532521809594,0.5796784317087866,9.867474357641784,23.19058023005159,0.2467083003196978,0.0,3.7411143102201256,404.93547682005016,4.307824221489895,0.0,9.867474357641784,231.90580230051592,4049.3547682005014,4281.260570501017,346.75005705010176,0.054167644898422275,0.9458323551015776,19.3,31.0,31.0,598.3,400.0,239320.0,12.015844678783207,209.81112788603633,221.82697256481953
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2011,2012,28.394105,-109.888323,241.0,3,1.4,0.2,797.7526492373331,5.081227065205943,1.8597352816484833,8.751782926007845,19.490732484076435,2.3499999999999996,26.59,28.14363057324841,9.6,37.26,10.837834394904457,-4.9,18.78,28.731464968152867,8.68,76.37,18.771719745222928,6.67,27.25,2.012993630573248,1.21,4.76,3.8200000000000003,0.024331210191082805,0.0,2.04,3.0560000000000005,0.019464968152866247,0.0,1.6320000000000001,9.196373566329365,4.631671188782224,15.307113609773367,0.004788451663121387,1,0,9,7,735.6559776809171,4.685706864209663,1.0939700985875194,8.098491470398224,3.0560000000000005,0.019464968152866247,0.0,1.6320000000000001,732.599977680917,4.666241896056796,0.5066955738957555,8.098491470398224,30.560000000000006,7325.999776809171,7356.559776809171,732.599977680917,0.00415411563654215,0.9958458843634578,20.0,29.0,29.0,580.0,400.0,232000.0,1.5280000000000002,366.2999888404585,367.82798884045854
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2012,2013,28.394105,-109.888323,241.0,2,1.5,0.0,719.2397084891569,4.552150053728841,1.081594415955081,9.091669912173584,18.241550632911395,9.145,26.69,26.344303797468353,13.87,36.6,10.13879746835443,1.88,18.89,38.203670886075955,10.53,92.2,17.632531645569617,3.91,28.59,2.0395569620253164,1.02,4.4,112.12,0.709620253164557,0.0,25.45,89.69599999999998,0.5676962025316454,0.0,20.36,9.067928879173468,3.5923926080916644,15.546739514795483,0.1558868325492214,11,6,3,8,662.3777980957426,4.192264544909763,0.3244783247865243,8.182502920956226,18.971362295310808,0.12007191326146081,0.0,3.4908836291247396,643.4064358004318,4.072192631648303,0.0,8.182502920956226,189.71362295310809,6434.064358004318,6623.777980957426,572.6817980957426,0.02864130161042719,0.9713586983895729,19.3,24.0,24.0,463.2,415.0,192228.0,9.829721396534097,333.37121025929105,343.2009316558251
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2013,2014,28.394105,-109.888323,241.0,2,1.5,0.0,762.9531900586883,4.859574458972537,1.9416865090680382,9.603187501129456,19.55993630573248,6.93,26.995,27.751656050955415,15.24,38.33,11.368216560509554,-1.72,20.77,32.07974522292994,10.63,69.54,17.3428025477707,4.39,28.24,2.047133757961783,1.04,4.49,24.209999999999997,0.15420382165605093,0.0,8.21,19.368000000000002,0.12336305732484078,0.0,6.568000000000001,8.84240367841639,3.922036844208144,15.825042964756005,0.031731959857376965,5,1,9,16,702.8190470315582,4.476554439691453,0.7835992922503381,8.642868751016511,15.829010238399942,0.1008217212636939,0.0,3.7554032678483376,686.9900367931582,4.375732718427759,0.0,8.642868751016511,158.29010238399943,6869.900367931582,7028.1904703155815,683.4510470315581,0.022522170258839305,0.9774778297411606,19.4,21.0,21.0,407.4,440.0,179256.0,8.159283628041209,354.1185756665764,362.27785929461766
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2014,2015,28.394105,-109.888323,241.0,1,1.0,0.0,750.2132829564689,4.7784285538628595,1.6063086565795572,9.633952324196015,20.557707006369423,11.575,26.455,28.38738853503185,15.2,36.36,12.728025477707005,5.01,19.13,35.50783439490446,11.76,80.96,16.922420382165605,4.28,27.76,2.003694267515923,0.94,5.07,19.540000000000003,0.12445859872611467,0.0,5.47,15.632,0.09956687898089171,0.0,4.376,8.777170968494016,3.7605218615844587,15.646300876353642,0.02604592646373313,6,1,1,0,698.6480811196707,4.449987777832297,0.7904736969079099,8.670557091776413,11.712818097931594,0.0746039369295006,0.0,2.644694312265874,686.9352630217392,4.375383840902797,0.0,8.670557091776413,117.12818097931594,6869.352630217391,6986.480811196708,683.0160811196707,0.01676497569299889,0.9832350243070013,19.37,24.0,24.0,464.88,452.45,210334.96,6.046885956598654,354.6387522053377,360.68563816193637
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2015,2016,28.394105,-109.888323,241.0,0,0.0,0.0,691.07608957658,4.401758532334904,1.2376695814669645,8.184084844772455,20.380541401273884,9.21,27.4,27.885095541401274,15.34,37.83,12.875987261146497,2.7,21.49,41.35503184713376,13.44,86.74,16.347515923566878,3.0,26.81,1.920700636942675,1.03,4.83,125.51,0.7994267515923568,0.0,30.58,100.408,0.6395414012738854,0.0,24.464,8.762066740224174,3.318334400073541,15.800728313065278,0.18161531254380334,13,6,2,3,646.0048652084896,4.114680670117768,0.930765360384882,9.411697571488322,25.31902787241554,0.16126769345487604,0.0,3.176611726245923,620.685837336074,3.9534129766628916,0.0,9.411697571488322,253.1902787241554,6206.858373360739,6460.0486520848945,545.5968652084896,0.039193246422755894,0.960806753577244,18.7,18.0,18.0,336.6,479.89,161530.97,13.539587097548418,331.91756007276683,345.45714717031524
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2016,2017,28.394105,-109.888323,241.0,1,1.0,0.0,752.4767681539315,4.762511190847667,2.0206111566404377,8.775549195323919,19.6951582278481,7.595,26.674999999999997,28.059683544303798,13.93,37.14,11.330632911392405,0.11,19.52,35.859556962025316,10.75,77.96,17.586645569620252,3.37,28.01,1.9996202531645573,1.0,3.33,53.870000000000005,0.3409493670886076,0.0,12.23,43.09600000000001,0.27275949367088614,0.0,9.784,9.039123398129204,3.4569260053481417,15.808651684188526,0.07159025006467709,13,2,12,11,698.9292131615259,4.4236026149463665,0.6279674086310219,7.897994275791527,24.33454466130407,0.15401610545129157,0.0,2.952,674.5946685002218,4.269586509495075,0.0,7.897994275791527,243.34544661304068,6745.946685002218,6989.292131615259,655.8332131615259,0.034816894476666034,0.9651831055233339,18.9,11.0,11.0,207.9,487.04,101255.62,12.875420455716439,356.92839603186343,369.80381648757987
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2017,2018,28.394105,-109.888323,241.0,2,1.5555555555555556,0.0,746.235377308896,4.7530915752158975,1.856600062101322,8.261382638318263,20.9878025477707,12.05,30.395,28.886242038216558,17.49,38.78,13.089363057324839,5.75,23.54,37.75942675159235,14.86,78.99,17.259426751592358,3.16,28.17,1.9822292993630573,0.72,5.38,62.099999999999994,0.3955414012738853,0.0,25.79,49.68,0.31643312101910825,0.0,20.632,9.02635769072945,3.397491739642673,16.112333765835146,0.0832177110443993,8,4,19,0,679.4394774115121,4.3276399835128165,1.233983403911959,7.623502459208069,18.264300921116167,0.11633312688609024,0.0,3.0391913939086077,661.1751764903959,4.2113068566267255,0.0,7.623502459208069,182.64300921116165,6611.751764903958,6794.39477411512,629.7594774115122,0.02688142436276798,0.9731185756372318,19.1,7.0,7.0,133.7,520.0,69524.0,9.562461215244065,346.16501386931714,355.7274750845612
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2018,2019,28.394105,-109.888323,241.0,4,2.6363636363636362,0.6363636363636364,772.3539800984255,4.919452102537742,2.047046825486942,8.873837050859729,21.818821656050954,13.285,29.11,29.801974522292994,18.54,37.94,13.835668789808915,4.46,20.77,31.40394904458599,10.46,75.91,16.899617834394903,2.37,28.12,1.9529936305732485,0.93,5.32,25.979999999999997,0.1654777070063694,0.0,14.41,20.784,0.13238216560509553,0.0,11.528,8.607312473804301,3.086974337861304,15.636007506944605,0.033637426192442504,5,1,17,1,713.5185386415229,4.544704067780401,1.2691187133768689,7.986453345773756,11.786567216213005,0.07507367653638856,0.0,2.5627909218118554,701.7319714253099,4.469630391244012,0.0,7.986453345773756,117.86567216213004,7017.319714253099,7135.185386415229,692.7345386415229,0.016518936198425344,0.9834810638015746,18.17,6.0,6.0,109.0,560.01,61041.12,6.4868284073819495,386.203616634733,392.69044504211496
Sonora,Suaqui Grande,62,Mazatán,145,Avena forrajera en verde,2019,2020,28.394105,-109.888323,241.0,1,1.0,0.0,645.4614527771602,4.11121944444051,0.9991052130703488,8.16978529174419,18.719681528662424,8.985,25.28,26.16,13.62,35.56,11.27936305732484,1.4,18.86,43.50057324840765,23.45,81.9,16.22515923566879,2.98,27.54,1.834904458598726,0.61,4.49,93.36,0.5946496815286624,0.0,24.45,74.68800000000002,0.47571974522293003,0.0,19.560000000000002,8.775486675501417,3.2540920894969974,15.557482691258972,0.14464070565067766,12,5,1,7,593.4620177431636,3.7800128518672844,0.9022648920281736,7.352806762569772,23.320338724199036,0.14853718932610852,0.0,2.555006454731785,570.1416790189646,3.631475662541176,0.0,7.352806762569772,233.20338724199036,5701.416790189646,5934.620177431637,518.7740177431637,0.03929541912872936,0.9607045808712706,19.0,10.0,10.0,190.0,622.21,118219.9,12.273862486420546,300.0745679047182,312.3484303911388
