Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Sáric,60,Caborca,139,Calabacita,2011,2012,31.243827,-111.445433,1129.0,860.2759834196097,8.961208160620934,2.351942504820456,12.217437844363959,23.872031250000003,8.379999999999999,34.885,32.857395833333335,13.02,44.09,14.886666666666665,1.4,26.62,21.70302083333333,8.37,67.82,29.577916666666667,9.2,33.46,3.1428125000000002,1.97,5.5,20.79,0.2165625,0.0,5.23,16.632,0.17325000000000002,0.0,4.184,16.981985711497156,7.096503207300341,19.364822068874354,0.024166663257713463,6,1,35,2,713.1042118462876,7.428168873398829,1.175971252410228,11.60656595214576,13.623971252410229,0.14191636721260656,0.0,2.8480000000000003,699.4802405938775,7.286252506186224,0.0,11.60656595214576,136.2397125241023,6994.802405938775,7131.042118462878,696.4722118462877,0.019105161666534833,0.9808948383334654,20.0,8.0,8.0,160.0,3900.0,624000.0,6.811985626205114,349.74012029693876,356.55210592314387
Sonora,Sáric,60,Caborca,139,Calabacita,2013,2014,31.243827,-111.445433,1129.0,861.9485084063034,8.978630295898993,4.462190814662302,11.618623946424396,24.432604166666668,10.995000000000001,33.765,33.30479166666667,16.6,44.23,15.560416666666669,3.66,26.18,22.334270833333335,8.26,56.38,29.602395833333333,19.17,32.85,3.0634375000000005,1.57,6.39,24.5,0.2552083333333333,0.0,11.31,19.599999999999998,0.20416666666666664,0.0,9.048,17.079723671595417,11.857472314712624,19.249549351452902,0.028423971688632754,4,2,36,1,717.3564500686432,7.472463021548367,2.231095407331151,11.037692749103176,16.46222001715445,0.17148145851202554,0.0,5.910220017154448,700.8942300514889,7.300981563036342,0.0,11.037692749103176,164.6222001715445,7008.942300514889,7173.564500686433,697.7564500686432,0.022948451938473818,0.9770515480615264,24.0,8.0,8.0,192.0,7150.0,1372800.0,6.859258340481021,292.03926252145374,298.89852086193474
Sonora,Sáric,60,Caborca,139,Col (repollo),2017,2018,31.243827,-111.445433,1129.0,698.7218034521959,4.2091674906758785,0.9866909254289764,8.23860109661101,18.52406626506024,5.835000000000001,29.104999999999997,25.22397590361446,9.88,37.04,11.824156626506024,-0.94,22.59,45.24234939759036,18.17,88.27,15.919397590361445,4.85,26.75,2.4327710843373493,1.09,5.92,166.75,1.0045180722891567,0.0,44.11,133.4,0.8036144578313253,0.0,35.288000000000004,8.393384154622142,3.8723384998124053,15.630007594342066,0.23865005954606433,19,10,6,26,648.508640432724,3.906678556823638,1.0360254717004254,8.65053115144156,41.4406124019746,0.24964224338538915,0.0,3.5381562122609207,607.0680280307492,3.6570363134382484,0.0,8.65053115144156,0.0,0.0,0.0,515.108640432724,0.06390140364872075,0.9360985963512791,34.0,3.0,3.0,102.0,5650.0,576300.0,0.0,0.0,0.0
Sonora,Sáric,60,Caborca,139,Col (repollo),2018,2019,31.243827,-111.445433,1129.0,816.3621317817749,4.91784416736009,1.2319351416741628,8.919971586684552,20.38460843373494,6.615,31.064999999999998,27.68692771084337,11.38,38.9,13.082289156626505,-2.1,23.85,33.19674698795181,12.96,82.51,16.526265060240963,4.87,25.91,2.4004819277108433,0.95,6.18,41.31,0.248855421686747,0.0,11.64,33.048,0.1990843373493976,0.0,9.312000000000001,8.296411974240389,3.768666502554224,16.413896251599624,0.050602543150596244,8,3,15,11,762.0018670337186,4.590372692974208,1.293531898757871,9.36597016601878,20.787628161519294,0.12522667567180298,0.0,4.050573734259695,741.2142388721992,4.465146017302405,0.0,9.36597016601878,0.0,0.0,0.0,728.9538670337186,0.02728028507651864,0.9727197149234813,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonora,Sáric,60,Caborca,139,Elote,2021,2022,31.243827,-111.445433,1129.0,875.011678899286,7.954651626357146,2.9619148959796617,11.205718602399353,21.40240909090909,8.025,34.275,30.182727272727277,13.24,43.71,12.622090909090907,-1.89,24.84,22.844636363636365,5.53,59.6,27.360909090909093,12.68,33.1,3.0286363636363633,1.79,5.1,3.67,0.033363636363636366,0.0,1.77,2.9360000000000004,0.026690909090909095,0.0,1.4160000000000001,15.426403078962029,7.900520156816293,18.999610898193055,0.004194229732586709,2,0,19,14,887.3660244537914,8.066963858670832,1.1847659583918648,11.766004532519322,2.704765958391865,0.024588781439926048,0.0,1.1847659583918648,884.6612584953995,8.042375077230904,0.0,11.766004532519322,27.04765958391865,8846.612584953995,8873.660244537914,884.4300244537914,0.0030480837488191578,0.9969519162511807,8.89,13.5,13.5,120.02,5200.0,624104.0,3.042481393016721,995.1195258665911,998.1620072596078
Sonora,Sáric,60,Caborca,139,Elote,2022,2023,31.243827,-111.445433,1129.0,901.9595779127317,8.199632526479379,3.8714244656480203,11.551559401392002,22.052318181818187,9.530000000000001,32.504999999999995,31.13445454545455,17.96,41.24,12.970181818181821,-0.22,24.47,19.90827272727273,3.52,58.4,27.772090909090913,11.29,33.12,2.968272727272727,1.42,5.01,9.98,0.09072727272727273,0.0,3.11,7.984,0.07258181818181818,0.0,2.488,15.440122298544553,7.837084197442659,19.25938429645349,0.011064797408211133,4,0,29,9,913.1359383687712,8.301235803352466,1.5808759794673564,12.26285391442303,7.984,0.07258181818181818,0.0,2.488,905.1519383687713,8.228653985170649,1.5808759794673564,12.26285391442303,79.84,9051.519383687713,9131.359383687713,905.1519383687712,0.008743495535026955,0.9912565044649732,10.0,8.0,8.0,80.0,5500.0,440000.0,7.984,905.1519383687713,913.1359383687713
Sonora,Sáric,60,Caborca,139,Elote,2023,2024,31.243827,-111.445433,1129.0,798.4613230619208,7.258739300562916,2.4251741784850402,11.046447194184179,20.052090909090904,5.16,30.695,28.60272727272727,12.22,38.0,11.501454545454548,-1.9,23.39,29.397454545454544,12.41,70.79,26.897999999999996,9.04,32.37,2.839909090909091,1.4,5.36,18.14,0.16490909090909092,0.0,6.43,14.512,0.13192727272727273,0.0,5.144,15.536163422291274,6.787093184147895,19.670590165860414,0.022718695916838092,7,1,10,13,815.5545390458152,7.414132173143774,1.0466457111074206,11.598769553893389,9.959313492926196,0.09053921357205633,0.0,1.8507668956560845,805.595225552889,7.323592959571719,0.0,11.598769553893389,99.59313492926196,8055.95225552889,8155.545390458153,801.0425390458151,0.012211707514470364,0.9877882924855297,9.5,6.0,6.0,57.0,5700.0,324900.0,10.483487887290734,847.9949742661989,858.4784621534897
Sonora,Sáric,60,Caborca,139,Tomate verde,2015,2016,31.243827,-111.445433,1129.0,683.129209350598,5.0230088922838085,0.9313262866828149,9.381256366570472,16.772610294117644,2.61,25.509999999999998,24.134338235294116,8.52,33.76,9.410882352941178,-3.56,17.89,43.379411764705885,16.01,91.49,20.37801470588235,3.07,31.18,2.7411764705882353,1.23,7.08,91.00999999999999,0.6691911764705881,0.0,30.43,72.80799999999999,0.5353529411764706,0.0,24.344,11.473122055351773,3.3166583586977216,18.58741654619062,0.13322516261091613,10,6,0,11,650.7912869597371,4.785230051174538,0.5587957720096889,8.78662306838134,19.437772873764118,0.1429248005423832,0.0,2.9440333637261515,631.3535140859731,4.642305250632155,0.0,8.78662306838134,194.37772873764118,6313.535140859731,6507.912869597372,577.9832869597371,0.029867905829794376,0.9701320941702057,7.0,24.0,24.0,168.0,8000.0,1344000.0,27.76824696252017,901.9335915513901,929.7018385139103
Sonora,Sáric,60,Caborca,139,Avena forrajera en verde,2010,2011,31.243827,-111.445433,1129.0,356.45967302396105,3.7921241811059687,1.1272341137803201,7.663302557949211,12.194148936170214,5.8100000000000005,18.885,19.308085106382983,10.64,29.08,5.080212765957446,-1.46,10.06,49.26010638297872,21.43,87.77,17.560212765957445,4.91,27.44,2.8543617021276595,1.33,9.42,163.67000000000002,1.7411702127659576,0.0,36.7,130.936,1.392936170212766,0.0,29.360000000000003,9.487884827441807,3.991227985605563,15.84243187066626,0.4591543234373056,18,10,0,40,345.7849644590197,3.678563451691699,0.660823273682569,8.812797941641593,38.4906776358105,0.40947529399798405,0.0,4.503666990794326,307.29428682320923,3.2690881576937154,0.0,8.812797941641593,384.906776358105,3072.942868232092,3457.8496445901974,214.8489644590197,0.11131391353591424,0.8886860864640859,17.0,41.0,41.0,697.0,850.0,592450.0,22.64157507988853,180.76134519012308,203.4029202700116
Sonora,Sáric,60,Caborca,139,Avena forrajera en verde,2011,2012,31.243827,-111.445433,1129.0,684.7324714205631,4.361353321150084,1.6396320703787972,8.586639599202009,14.313343949044587,-3.0949999999999998,24.515,22.114140127388534,1.49,34.78,6.512547770700637,-7.68,14.25,33.761464968152865,9.8,75.21,17.20974522292994,7.01,27.8,2.6319745222929933,1.16,7.61,20.810000000000002,0.13254777070063695,0.0,9.29,16.648000000000003,0.10603821656050957,0.0,7.4319999999999995,8.345976779025706,4.411128170472447,15.23687459325412,0.0303914314985341,4,1,0,48,623.7204890249967,3.972741968312081,0.9440270980453379,7.727975639281808,9.404454778109747,0.05990098584783278,0.0,2.2788778971741297,614.3160342468869,3.912840982464248,0.0,7.727975639281808,0.0,0.0,0.0,607.0724890249967,0.015077995582301364,0.9849220044176986,17.0,37.0,37.0,629.0,800.0,503200.0,0.0,0.0,0.0
