Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2010,2011,29.485841,-109.527966,575.0,1,1.0,0.0,361.48871287027805,3.845624605002958,1.2036051006169886,7.46301467382372,13.97531914893617,7.76,21.21,21.795744680851065,12.51,31.47,6.154893617021277,-2.04,12.44,47.14882978723404,22.61,88.49,18.241702127659575,4.06,27.58,2.0385106382978724,0.9,7.18,134.64,1.4323404255319148,0.0,43.55,107.71199999999999,1.1458723404255318,0.0,34.839999999999996,9.987034873002584,3.7453812942760862,15.806695457178362,0.37245976210691867,15,8,0,27,361.32273387716,3.843858871033617,0.4314317674153077,8.582466874897277,29.429864457002196,0.31308366443619357,0.0,3.0,331.8928694201578,3.5307752065974234,0.0,8.582466874897277,294.29864457002196,3318.928694201578,3613.2273387716,253.61073387716,0.08145035365255363,0.9185496463474465,18.14,14.0,14.0,254.02,401.99,102114.43,16.2237400534742,182.96189052930418,199.18563058277837
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2011,2012,29.485841,-109.527966,575.0,4,2.0,0.25,711.94838024886,4.534703058909936,1.363038533286768,8.504553765030744,16.914235668789807,0.09499999999999975,25.5,25.571210191082802,5.88,35.22,8.257261146496814,-6.08,16.78,28.104140127388536,8.3,81.69,18.25872611464968,6.25,27.19,1.8999999999999997,1.08,4.38,12.41,0.07904458598726115,0.0,7.44,9.928,0.06323566878980892,0.0,5.952000000000001,8.789334479895885,4.384613527674005,14.84733053497205,0.01743103902513566,2,1,1,31,652.8603688161284,4.1583462981919,1.0081960641034415,7.65409838852767,5.543494313279783,0.03530888097630435,0.0,1.6800000000000002,647.3168745028486,4.123037417215596,0.0,7.65409838852767,55.434943132797834,6473.168745028486,6528.6036881612845,642.9323688161284,0.008491087188110593,0.9915089128118895,10.5,12.0,8.0,84.0,450.0,37800.0,5.279518393599794,616.4922614312844,621.7717798248842
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2012,2013,29.485841,-109.527966,575.0,4,2.0,0.16666666666666666,626.2928300866279,3.9638786714343537,0.9476983054625677,8.11985294514471,15.443892405063293,5.359999999999999,24.145,23.50246835443038,10.01,34.21,7.385316455696203,-2.02,16.3,39.62993670886076,9.04,91.48,17.220759493670887,2.99,28.78,1.8757594936708861,0.94,3.86,137.47,0.8700632911392405,0.0,24.15,109.976,0.6960506329113924,0.0,19.32,8.773684259074887,3.235393368817466,15.421653246471173,0.21949796228863958,13,7,0,39,572.1122438156249,3.620963568453322,0.3015966229176483,7.30786765063024,22.196404098101063,0.14048357024114597,0.0,3.378838982634145,549.9158397175239,3.480479998212177,0.0,7.30786765063024,221.9640409810106,5499.158397175239,5721.12243815625,462.1362438156249,0.03879728906003682,0.9612027109399633,17.0,14.0,14.0,238.0,430.0,102340.0,13.056708293000625,323.4799057161905,336.5366140091911
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2013,2014,29.485841,-109.527966,575.0,2,1.3333333333333333,0.0,663.6916177506473,4.227335144908581,1.5396347470456517,7.679788748258754,16.792388535031847,4.07,24.855,25.01611464968153,11.4,35.23,8.568662420382164,-4.29,18.62,32.10847133757962,9.35,76.0,17.070509554140127,4.78,28.23,1.8323566878980895,0.82,4.21,39.96,0.2545222929936306,0.0,12.85,31.968000000000004,0.20361783439490447,0.0,10.280000000000001,8.532297254415443,4.101142431028513,15.344393061420448,0.0602086856775901,9,3,1,44,606.0259775503889,3.8600380735693562,0.7635432984937279,6.911809873432879,19.499428524995135,0.1242001816878671,0.0,3.867894260065714,586.5265490253937,3.7358378918814887,0.0,6.911809873432879,194.99428524995136,5865.265490253937,6060.259775503889,574.057977550389,0.032175895501730084,0.9678241044982698,17.4,4.0,4.0,69.6,489.66,34080.34,11.206568117813298,337.0842235778125,348.2907916956258
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2014,2015,29.485841,-109.527966,575.0,1,1.0,0.0,665.9135768998019,4.241487750954152,1.086588128476868,8.240272232121027,17.81872611464968,7.625,24.61,25.62369426751592,11.42,34.1,10.01375796178344,2.01,17.36,36.70662420382166,12.64,86.64,16.759999999999998,4.34,27.47,1.8820382165605096,0.81,4.01,52.25999999999999,0.3328662420382165,0.0,11.79,41.80799999999999,0.2662929936305732,0.0,9.432,8.55971216760374,3.7493390859846016,15.339275261579122,0.0784786522048392,11,3,0,17,614.3512910134787,3.913065547856552,0.6890226702095449,7.416245008908925,16.259880268076838,0.10356611635717732,0.0,2.514912872692676,598.0914107454018,3.8094994314993746,0.0,7.416245008908925,162.5988026807684,5980.914107454018,6143.512910134787,572.5432910134787,0.02646674712972989,0.9735332528702701,16.8,3.0,3.0,50.4,340.0,17136.0,9.678500159569547,356.0067921103582,365.68529226992774
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2015,2016,29.485841,-109.527966,575.0,1,1.0,0.0,602.6580229456222,3.838586133411606,1.1228599158951418,6.840429790395054,17.58343949044586,7.725,25.644999999999996,25.074012738853504,12.66,34.56,10.092866242038216,-0.77,19.2,43.05872611464968,16.92,86.47,16.069426751592356,3.05,26.95,1.7524840764331209,0.89,4.0,150.87,0.9609554140127389,0.0,31.52,120.696,0.768764331210191,0.0,25.216,8.500492950370367,3.3539586050276093,16.035847992537953,0.25034097988539183,17,8,0,12,559.0293500601873,3.5606964971986454,0.8109707229788672,6.763781958740595,32.98494553975297,0.21009519452071956,0.0,3.143617293425033,526.0444045204342,3.350601302677925,0.0,6.763781958740595,329.8494553975297,5260.444045204342,5590.2935006018715,438.3333500601873,0.05900396023250243,0.9409960397674973,12.5,5.0,5.0,62.5,330.0,20625.0,26.387956431802376,420.83552361634736,447.2234800481497
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2016,2017,29.485841,-109.527966,575.0,1,1.0,0.0,643.4028048573477,4.072169650995872,1.4000065277803455,8.468390261227105,16.57778481012658,4.765,24.07,24.848164556962022,10.41,34.17,8.30740506329114,-2.51,17.12,38.7379746835443,13.07,82.44,17.285126582278483,2.85,28.32,1.8237974683544302,0.99,3.76,98.24,0.6217721518987341,0.0,16.26,78.592,0.49741772151898733,0.0,13.008000000000003,8.829185254257858,3.2013796180262766,15.321086478904562,0.15268817490122896,14,6,0,35,595.9976432123028,3.772136982356347,0.42000195833410364,7.621551235104395,29.667280636910085,0.18776759896778536,0.0,2.957061746227494,566.3303625753928,3.584369383388562,0.0,7.621551235104395,296.67280636910084,5663.303625753928,5959.976432123029,517.4056432123028,0.0497775133421831,0.950222486657817,16.5,3.0,3.0,49.5,360.0,17820.0,17.980170082975807,343.23052277296534,361.21069285594115
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2017,2018,29.485841,-109.527966,575.0,0,0.0,0.0,666.0293791470446,4.242225344885634,1.3880478603460493,8.275861012564357,18.384617834394906,9.59,27.41,26.135414012738856,14.39,36.07,10.633821656050957,0.93,20.9,37.92713375796178,13.37,82.36,16.827770700636943,2.87,27.95,1.8800636942675157,0.97,5.21,70.02,0.4459872611464968,0.0,13.44,56.016000000000005,0.35678980891719747,0.0,10.752,8.651344535820996,3.0989208160971833,15.48226226929064,0.10513049753101227,15,4,7,10,603.4538621733149,3.8436551730784387,1.0681590602956077,7.448274911307922,27.510369426117137,0.17522528296889897,0.0,3.1351455330279028,575.9434927471978,3.66842989010954,0.0,7.448274911307922,275.10369426117137,5759.434927471977,6034.538621733149,547.4378621733149,0.04558819016757908,0.9544118098324209,14.5,17.0,17.0,246.5,515.02,126952.43,18.972668569735955,397.20240879117085,416.1750773609068
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2018,2019,29.485841,-109.527966,575.0,4,2.1818181818181817,0.45454545454545453,679.2345305773168,4.326334589664438,1.2916064814445676,8.261605316383253,19.11888535031847,10.075,27.525,27.022866242038216,14.37,36.03,11.214904458598728,0.66,19.02,33.29898089171975,9.81,85.3,16.52624203821656,3.69,28.02,1.8185350318471336,0.79,4.21,59.089999999999996,0.37636942675159235,0.0,24.93,47.272000000000006,0.3010955414012739,0.0,19.944000000000003,8.352551189487695,3.4989629432660303,14.97890742078612,0.08699498824033038,10,2,3,15,625.6814162303917,3.9852319505120493,1.1340087211633918,7.435444784744928,20.68552127400246,0.13175491257326408,0.0,2.5690414813217117,604.9958949563893,3.8534770379387853,0.0,7.435444784744928,206.85521274002463,6049.958949563893,6256.814162303917,578.4094162303917,0.03306078898527734,0.9669392110147227,16.0,17.0,17.0,272.0,713.53,194080.16,12.92845079625154,378.1224343477433,391.05088514399483
Sonora,Tepache,63,Moctezuma,143,Avena forrajera en verde,2019,2020,29.485841,-109.527966,575.0,0,0.0,0.0,555.383442112195,3.5374741535808596,0.9344239588463142,6.908355428632293,15.901815286624204,5.585,22.74,23.172738853503184,11.41,32.13,8.630891719745224,-2.8,16.4,45.879108280254776,25.82,84.05,15.836305732484078,3.06,27.38,1.692993630573248,0.84,4.59,155.11,0.9879617834394905,0.0,31.16,124.088,0.7903694267515923,0.0,24.928,8.484841311109609,3.2654099253911735,15.783253853398437,0.27928452351783595,19,7,0,28,506.8904920972416,3.2286018604919846,0.7915899826178688,6.217519885769064,38.845911889395424,0.24742619037831481,0.0,3.1305545870121656,468.0445802078462,2.9811756701136702,0.0,6.217519885769064,388.45911889395427,4680.445802078462,5068.904920972416,382.8024920972416,0.07663570829405743,0.9233642917059427,14.6,20.0,20.0,292.0,684.59,199900.28,26.606788965339334,320.5784795944152,347.18526855975455
