Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Tubutama,65,Caborca,139,Melón,2011,2012,30.938952,-111.354073,744.0,4,4.0,1.0,1092.0073750119032,8.335934160396206,2.541277020270015,12.386597819273364,22.596832061068703,8.379999999999999,34.885,31.47511450381679,13.02,44.09,13.71854961832061,1.4,26.62,23.113969465648857,8.37,67.82,28.062061068702292,12.04,33.0,3.0186259541984732,1.86,5.77,30.65,0.23396946564885496,0.0,5.23,24.52,0.18717557251908395,0.0,4.184,15.957602273781612,8.462385161773472,19.135607379063494,0.02806757600850993,8,1,38,4,812.2431254015914,6.200329201538866,2.160085467229513,9.776799336479572,22.496085467229513,0.171725843261294,0.0,3.7439999999999998,789.747039934362,6.028603358277572,0.0,9.776799336479572,224.9608546722951,7897.47039934362,8122.431254015914,787.7231254015915,0.027696246066849672,0.9723037539331504,22.0,25.0,25.0,550.0,5500.0,3025000.0,10.225493394195233,358.9759272428918,369.20142063708704
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2010,2011,30.938952,-111.354073,744.0,2,1.6666666666666667,0.0,360.55601066327506,3.8357022410986708,0.9718943661313691,7.6795505484723465,12.194148936170214,5.8100000000000005,18.885,19.308085106382983,10.64,29.08,5.080212765957446,-1.46,10.06,49.26010638297872,21.43,87.77,18.11021276595745,4.48,27.62,2.8543617021276595,1.33,9.42,163.67000000000002,1.7411702127659576,0.0,36.7,130.936,1.392936170212766,0.0,29.360000000000003,9.746951896783338,3.937286741276959,15.913154636042972,0.4539377937394925,18,10,0,40,349.41829608825157,3.7172159158324636,0.6157028874320358,8.831483130743198,38.876355360984384,0.41357824852111047,0.0,4.576,310.5419407272672,3.3036376673113534,0.0,8.831483130743198,388.7635536098438,3105.4194072726723,3494.182960882516,218.48229608825156,0.11126021675512233,0.8887397832448778,17.0,349.0,349.0,5933.0,850.0,5043050.0,22.868444329990812,182.67172983956897,205.54017416955978
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2011,2012,30.938952,-111.354073,744.0,4,2.0,0.4,693.7611570848359,4.418860873151821,1.6015899523166728,8.613579307122304,14.313343949044587,-3.0949999999999998,24.515,22.114140127388534,1.49,34.78,6.512547770700637,-7.68,14.25,33.761464968152865,9.8,75.21,17.643184713375796,7.15,27.11,2.6319745222929933,1.16,7.61,20.810000000000002,0.13254777070063695,0.0,9.29,16.648000000000003,0.10603821656050957,0.0,7.4319999999999995,8.537158297764865,4.4401371497350395,15.267672626027487,0.029995913993575273,4,1,0,48,632.2923642422998,4.027339899632483,0.938684341587792,7.752221376410074,9.359725110808643,0.059616083508335305,0.0,2.2778966656444695,622.932639131491,3.9677238161241464,0.0,7.752221376410074,93.59725110808643,6229.326391314909,6322.923642422996,615.6443642422997,0.01480284381106636,0.9851971561889334,18.5,381.0,381.0,7048.5,930.0,6555105.0,5.059310870707375,336.7203454764816,341.77965634718896
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2012,2013,30.938952,-111.354073,744.0,3,2.5,0.5,647.3945184191339,4.097433660880594,0.8559991759659603,7.955766806243903,13.435791139240507,2.675,22.295,20.98867088607595,8.38,30.68,5.882911392405063,-3.69,15.09,39.95860759493671,13.08,90.9,17.079177215189873,3.16,28.44,2.69746835443038,1.42,6.2,96.54000000000002,0.6110126582278482,0.0,22.57,77.232,0.48881012658227846,0.0,18.056,8.505095298668117,3.256493217661229,15.502432981654886,0.14912081775999597,18,6,0,63,595.5735474347139,3.769452831865278,0.5584513994537831,7.688179854555916,28.93438371270921,0.18312901083993172,0.0,2.933297793531029,566.6391637220045,3.5863238210253447,0.0,7.688179854555916,289.3438371270921,5666.391637220045,5955.735474347137,518.3415474347139,0.04858238556318851,0.9514176144368112,19.05,497.0,497.0,9467.85,950.0,8994457.5,15.18865286756389,297.448379906564,312.63703277412793
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2013,2014,30.938952,-111.354073,744.0,2,1.6666666666666667,0.0,635.2409857197674,4.046120928151385,1.501768187746621,7.543958918044393,13.982388535031845,0.3250000000000002,23.595,21.34700636942675,6.23,32.31,6.617770700636944,-5.6,16.31,38.58165605095541,18.63,86.97,16.742611464968153,5.93,27.75,2.5612738853503183,1.18,6.0,86.11000000000001,0.548471337579618,0.0,16.67,68.888,0.4387770700636943,0.0,13.336000000000002,8.386436283001649,4.379145682441092,15.176790342856025,0.13555485545762141,15,6,0,63,581.6996232200978,3.7050931415292854,0.7100082022553132,7.372087948485426,30.177367400831102,0.19221253121548473,0.0,2.971680623350426,551.5222558192668,3.5128806103138013,0.0,7.372087948485426,301.773674008311,5515.222558192668,5816.996232200979,512.8116232200978,0.05187792151863383,0.9481220784813663,20.0,547.0,547.0,10940.0,940.0,10283600.0,15.08868370041555,275.7611279096334,290.84981161004896
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2014,2015,30.938952,-111.354073,744.0,2,1.625,0.0,677.081111317801,4.312618543425484,1.23898466357782,7.663642467379389,15.460891719745224,6.43,23.655,22.823248407643316,8.94,31.79,8.098535031847135,-1.38,16.49,37.6647770700637,11.12,87.0,16.934458598726113,3.77,27.95,2.582229299363058,1.28,6.05,79.88,0.5087898089171974,0.0,30.81,63.904,0.407031847133758,0.0,24.648,8.422183211808964,3.903703761384767,15.785473168035356,0.11797700255517361,6,4,0,26,622.974177010338,3.967988388600879,0.7983347117608405,6.710747763008481,15.283860754608494,0.09734943155801588,0.0,3.1287518818443227,607.6903162557296,3.8706389570428636,0.0,6.710747763008481,152.83860754608494,6076.903162557296,6229.741770103381,559.070177010338,0.024533698696719595,0.9754663013032805,19.0,345.0,345.0,6555.0,890.0,5833950.0,8.044137239267629,319.8370085556472,327.8811457949148
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2015,2016,30.938952,-111.354073,744.0,1,1.0,0.0,592.9194474845934,3.776556990347729,1.0154168402141117,7.302013590096959,15.054808917197455,2.61,24.525,22.006751592356686,8.52,32.69,8.102866242038218,-3.56,17.89,49.610955414012736,22.86,91.49,16.20815286624204,4.27,26.73,2.5434394904458593,1.19,7.08,106.63,0.6791719745222929,0.0,30.43,85.304,0.5433375796178344,0.0,24.344,8.476410974423876,3.683610608441917,15.451854688755361,0.17983893166663367,15,8,0,31,546.1510713780716,3.478669244446316,0.6688327929045635,6.973988959288124,28.366297844240698,0.1806770563327433,0.0,2.5585303675371547,517.7847735338308,3.297992188113572,0.0,6.973988959288124,283.662978442407,5177.847735338309,5461.510713780715,460.84707137807163,0.051938555705229414,0.9480614442947705,22.0,242.0,242.0,5324.0,910.0,4844840.0,12.893771747382136,235.35671524265038,248.25048699003253
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2016,2017,30.938952,-111.354073,744.0,1,1.0,0.0,678.037644628289,4.291377497647399,0.7995014144670592,7.91220821150708,14.55379746835443,3.21,22.09,22.250759493670888,8.58,31.63,6.856835443037975,-3.4,13.35,37.97063291139241,13.27,92.31,17.328860759493672,5.51,27.76,2.603670886075949,1.08,5.46,75.17,0.4757594936708861,0.0,13.18,60.136,0.38060759493670887,0.0,10.544,8.567076307365395,3.977757797880754,15.331784863320223,0.11086405097936619,17,5,0,49,626.5185490870858,3.965307272703075,0.6732191001659029,7.1209873903563725,27.592643711249654,0.1746369855142383,0.0,2.5674464300549875,598.9259053758362,3.790670287188837,0.0,7.1209873903563725,275.92643711249656,5989.259053758362,6265.185490870858,566.3825490870859,0.04404122392139149,0.9559587760786086,23.0,217.0,217.0,4991.0,906.06,4522145.46,11.996801613586808,260.40256755471137,272.39936916829816
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2017,2018,30.938952,-111.354073,744.0,1,1.0,0.0,640.6019358744279,4.080267107480433,0.9710581607853748,7.67626425341505,15.54735668789809,5.835000000000001,25.165,22.530382165605097,9.88,33.43,8.564331210191082,-0.94,18.14,44.12292993630573,18.17,88.27,16.500127388535027,4.7,27.59,2.6424203821656054,1.25,6.6,112.22999999999999,0.7148407643312101,0.0,18.59,89.78399999999999,0.5718726114649682,0.0,14.872,8.4872736314611,3.7270483169226116,15.725752565517181,0.1751946001330841,14,8,0,31,578.3625166998536,3.6838376859863287,1.091398513190656,7.2757806969044,30.71113876946525,0.19561234885009715,0.0,3.2972594794950467,547.6513779303883,3.4882253371362313,0.0,7.2757806969044,307.11138769465254,5476.513779303883,5783.625166998536,488.5785166998536,0.053100154112170915,0.946899845887829,20.0,266.9,266.9,5338.0,727.34,3882540.92,30.711138769465254,547.6513779303883,578.3625166998536
Sonora,Tubutama,65,Caborca,139,Avena forrajera en verde,2018,2019,30.938952,-111.354073,744.0,4,3.272727272727273,0.8181818181818182,690.6963804043663,4.399340002575582,1.027989107465625,8.55949078477466,16.81251592356688,6.615,25.259999999999998,24.000127388535027,11.38,34.22,9.624904458598728,-2.1,18.78,34.721783439490444,12.96,92.8,16.357261146496814,4.05,27.41,2.447770700636943,0.95,6.18,92.65,0.5901273885350319,0.0,25.7,74.12,0.4721019108280255,0.0,20.560000000000002,8.112371241047173,3.988467695844426,15.593381074350814,0.13413998194946136,11,6,0,24,648.0957759807276,4.127998573125653,0.9251901967190627,9.843414402490858,25.16981314745379,0.1603172811939732,0.0,4.36,622.9259628332737,3.96768129193168,0.0,9.843414402490858,251.69813147453792,6229.2596283327375,6480.957759807276,573.9757759807276,0.038836564100986,0.9611634358990139,18.0,270.0,200.0,3600.0,432.0,1555200.0,27.966459052726435,692.1399587036375,720.106417756364
