Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Ures,66,Ures,142,Ajo,2010,2011,29.358207,-110.322957,544.0,631.0368497568619,5.2586404146405155,1.1961517156166594,9.747477874700609,17.140291666666666,9.13,25.575000000000003,25.172166666666666,13.84,34.21,9.108416666666667,1.88,17.23,40.59733333333334,13.16,87.18,20.30858333333333,5.65,29.9,2.724416666666667,1.4,7.28,81.11,0.6759166666666666,0.0,22.06,64.888,0.5407333333333334,0.0,17.648,11.203064993424567,4.383312086390987,17.670938180649514,0.12853449054718696,12,4,0,9,604.4033141303252,5.036694284419377,1.0205594569608412,9.747477874700609,23.521837746042323,0.19601531455035268,0.0,2.9440000000000004,580.8814763842829,4.840678969869024,0.0,9.747477874700609,235.21837746042323,5808.814763842829,6044.033141303253,539.5153141303251,0.03891745329008967,0.9610825467099104,6.8,27.0,27.0,183.6,12000.0,2203200.0,34.590937861826944,854.2374652710043,888.8284031328312
Sonora,Ures,66,Ures,142,Ajo,2011,2012,29.358207,-110.322957,544.0,1186.3486406423167,5.595984153973192,1.9718061018473825,11.362928863606866,19.549339622641508,0.6899999999999997,30.545,27.949952830188682,5.31,38.13,11.148726415094341,-3.93,22.96,30.97433962264151,8.99,72.96,19.59235849056604,6.94,30.54,2.478820754716981,1.32,8.59,19.57,0.09231132075471699,0.0,4.4,15.656,0.07384905660377358,0.0,3.5200000000000005,10.019001881851684,4.621955083225885,17.661406610130236,0.016495993951157854,8,0,15,17,1042.8856532712452,4.919271949392666,1.9718061018473825,10.11269524636773,15.334203190612948,0.07233114712553278,0.0,3.198203190612948,1027.5514500806325,4.8469408022671345,0.0,10.11269524636773,0.0,0.0,0.0,1027.2296532712453,0.014703628477881323,0.9852963715221189,5.8,69.0,69.0,400.2,14000.0,5602800.0,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2012,2013,29.358207,-110.322957,544.0,1142.6546548606332,5.364575844416118,1.156879323632745,9.87765174173829,18.92462441314554,6.38,31.285,27.14723004694836,12.5,39.97,10.702018779342723,0.26,24.65,34.57582159624413,9.14,86.25,19.065915492957746,2.71,30.42,2.493521126760564,0.93,6.59,89.8,0.4215962441314554,0.0,45.88,71.84,0.33727699530516436,0.0,36.704,9.889251508796882,3.123788675397394,17.682361615077255,0.07858892414957404,12,4,24,21,990.0276171301439,4.6480169818316615,1.156879323632745,9.328450612789512,23.863556952389374,0.11203547864971537,0.0,4.0618694238598,966.1640601777544,4.5359815031819455,0.0,9.328450612789512,0.0,0.0,0.0,918.1876171301438,0.02410393057676935,0.9758960694232306,6.2,60.0,60.0,372.0,22000.0,8184000.0,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2013,2014,29.358207,-110.322957,544.0,1132.2814231232762,5.3409501090720575,1.5997949725501737,10.785271202769126,19.44997641509434,5.68,28.405,27.61221698113208,12.8,37.67,11.287735849056604,-2.58,21.54,33.90599056603774,4.97,80.26,18.819622641509433,4.56,30.91,2.420518867924528,1.19,5.03,53.58,0.2527358490566038,0.0,14.34,42.864000000000004,0.20218867924528303,0.0,11.472000000000001,9.85141131128403,3.820826756363321,17.330075773328872,0.047320391296542995,7,5,12,28,986.5702443975541,4.653633228290349,1.5997949725501737,8.801244881815139,17.768180839401026,0.08381217377075956,0.0,3.1064303227245884,968.8020635581531,4.56982105451959,0.0,8.801244881815139,0.0,0.0,0.0,943.7062443975541,0.0180100514284729,0.9819899485715271,8.0,64.0,64.0,512.0,15500.0,7936000.0,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2014,2015,29.358207,-110.322957,544.0,1157.4217757943397,5.459536678275187,1.5239167708967338,11.516843677877686,20.374103773584903,9.690000000000001,27.35,28.37504716981132,13.06,38.88,12.37316037735849,3.48,20.26,33.12990566037736,5.34,81.34,18.557216981132076,5.6,31.35,2.4078301886792453,1.23,5.35,33.22,0.15669811320754717,0.0,8.45,26.576,0.12535849056603773,0.0,6.76,9.68267895640938,4.197906463416395,17.22310833437549,0.028701723688584552,7,3,11,4,1014.5356181003616,4.785545368397932,1.5239167708967338,8.06179057451438,15.200415458501324,0.07170007291745907,0.0,2.1666365447962526,999.3352026418603,4.713845295480473,0.0,8.06179057451438,0.0,0.0,0.0,987.9596181003616,0.014982633618091112,0.985017366381909,7.6,45.0,45.0,342.0,15600.0,5335200.0,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2015,2016,29.358207,-110.322957,544.0,1026.9692529474025,4.84419458937454,1.2890385345978737,9.126985324369,20.13525943396226,7.93,27.619999999999997,27.660660377358493,14.01,36.88,12.609858490566037,0.42,22.47,44.8016037735849,15.87,86.49,18.147594339622643,3.05,30.31,2.2926415094339623,1.13,5.59,137.5,0.6485849056603774,0.0,25.27,110.0,0.5188679245283019,0.0,20.216,10.027980067767317,3.3183689345726597,17.685872899430592,0.13388911070645484,19,9,5,6,900.4253471768218,4.247289373475574,1.2890385345978737,8.38856013881157,43.271913779107194,0.20411280084484526,0.0,4.884419289308988,857.1534333977147,4.043176572630729,0.0,8.38856013881157,0.0,0.0,0.0,790.4253471768218,0.04805719198685512,0.951942808013145,7.6,28.0,28.0,212.8,16000.0,3404800.0,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2016,2017,29.358207,-110.322957,544.0,1105.5608156949406,5.1904263647649795,1.758058779282398,9.676941606067643,19.541431924882627,6.855,29.814999999999998,27.66981220657277,13.54,38.62,11.413051643192489,-0.26,22.05,38.85779342723005,9.92,80.95,18.780422535211265,4.6,30.78,2.4347417840375587,1.08,4.92,67.32000000000001,0.31605633802816907,0.0,11.3,53.85600000000001,0.25284507042253523,0.0,9.040000000000001,9.988948602236492,3.961450792023168,18.007677640611192,0.060892172591775116,15,5,13,21,969.9619237949771,4.5538118488027095,1.758058779282398,8.313550174479001,34.21343616252414,0.16062646085692084,0.0,3.396373500352444,935.7484876324531,4.393185387945789,0.0,8.313550174479001,0.0,0.0,0.0,916.1059237949771,0.03527296827143898,0.9647270317285612,7.7,40.0,40.0,308.0,18000.0,5544000.0,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2017,2018,29.358207,-110.322957,544.0,1146.9315460856592,5.410054462668204,1.3790013637777034,11.414206475179173,21.290896226415093,10.245,30.839999999999996,29.251509433962262,15.17,39.73,13.330283018867924,3.17,23.31,36.95981132075472,8.96,84.76,18.777547169811317,3.27,31.08,2.3389150943396224,0.95,6.79,87.47999999999999,0.4126415094339622,0.0,21.64,69.98400000000001,0.33011320754716983,0.0,17.312,9.94662592774724,3.359342173412851,18.04121919551565,0.07627307863190162,10,7,50,7,993.7803325486259,4.687643078059556,1.3790013637777034,8.501551867710024,20.145632519249666,0.09502656848702673,0.0,3.1443454016043515,973.6347000293761,4.592616509572529,0.0,8.501551867710024,0.0,0.0,0.0,923.7963325486259,0.02027171585050858,0.9797282841494912,7.5,62.5,62.5,468.75,18750.0,8789062.5,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2018,2019,29.358207,-110.322957,544.0,1221.1908501708162,5.760334198918945,1.3213908999842323,10.354132439599994,22.108962264150946,10.43,32.02,30.15759433962264,14.76,40.97,14.060330188679245,1.7,24.57,30.371745283018864,6.02,86.17,18.517075471698114,4.44,30.25,2.398632075471698,1.06,5.74,44.54,0.2100943396226415,0.0,26.14,35.632000000000005,0.16807547169811324,0.0,20.912000000000003,9.601914615080554,3.7862108801464287,17.625861882957587,0.03647259557649805,5,2,43,9,1067.2414537288746,5.034157800607899,1.3213908999842323,9.329594676305048,11.304560454079642,0.0533233983683002,0.0,1.8352527479559329,1055.936893274795,4.980834402239599,0.0,9.329594676305048,0.0,0.0,0.0,1031.6094537288745,0.010592317619018844,0.9894076823809812,6.8,76.5,76.5,520.2,19500.0,10143900.0,0.0,0.0,0.0
Sonora,Ures,66,Ures,142,Ajo,2019,2020,29.358207,-110.322957,544.0,964.6546292085757,4.550257684946112,0.988326270578398,10.996885382869984,18.610424528301888,7.449999999999999,28.54,26.03740566037736,11.41,38.51,11.183443396226417,0.94,22.19,46.8261320754717,14.12,87.86,17.67070754716981,2.93,30.25,2.2547641509433967,0.91,6.51,165.26,0.7795283018867925,0.0,45.21,132.20800000000003,0.6236226415094341,0.0,36.168,9.817917278287611,3.2627997390770087,18.22012766999608,0.1713151992393205,14,5,9,15,835.840222780553,3.942642560285627,0.988326270578398,7.697819768008988,28.432459805156142,0.13411537643941576,0.0,2.5091188232290067,807.4077629753967,3.808527183846211,0.0,7.697819768008988,0.0,0.0,0.0,703.6322227805529,0.03401662067730017,0.9659833793226997,6.9,73.0,73.0,503.7,18000.0,9066600.0,0.0,0.0,0.0
