Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2010,2011,29.136919,-109.991392,757.0,1,1.0,0.0,395.93809074034294,4.212107348301521,1.3034113575814932,7.789119098494008,15.551542553191485,9.14,21.975,23.509148936170213,12.58,32.61,7.593936170212767,0.8,13.25,45.56329787234042,22.42,87.64,18.241702127659575,4.06,27.58,2.248191489361702,1.11,7.21,112.37,1.1954255319148936,0.0,42.18,89.89600000000002,0.956340425531915,0.0,33.744,10.015520443029407,3.7533446455383306,15.888143821254051,0.2838069956590574,13,6,0,9,394.0065281242202,4.19155880983213,0.45845913470392125,8.957486963268108,25.101459043231745,0.26703679833225263,0.0,3.4393633788330717,368.90506908098854,3.924522011499878,0.0,8.957486963268108,251.01459043231745,3689.0506908098855,3940.065281242203,304.1105281242202,0.06370823134006018,0.93629176865994,19.3,4.0,4.0,77.2,400.0,30880.0,13.00593732809935,191.14252283989043,204.14846016798978
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2011,2012,29.136919,-109.991392,757.0,3,1.75,0.25,748.5221116489641,4.767656762095313,1.7318231481997988,8.660525317176228,17.946050955414012,1.13,25.339999999999996,26.595987261146494,8.25,35.9,9.296114649681531,-5.99,17.59,29.87420382165605,9.5,76.87,18.25872611464968,6.25,27.19,2.0419108280254776,1.16,4.47,4.859999999999999,0.03095541401273885,0.0,2.96,3.888,0.024764331210191084,0.0,2.368,8.938492164327839,4.413126975716756,15.04706678301948,0.006492794166485763,1,0,3,13,688.4093083282479,4.384772664511133,0.9970108451341962,7.794472785458606,3.511596620429769,0.02236685745496668,0.0,1.9915966204297684,684.8977117078181,4.362405807056166,0.0,7.794472785458606,35.11596620429769,6848.9771170781805,6884.093083282478,684.5213083282479,0.005101030125460428,0.9948989698745395,19.7,4.0,4.0,78.8,410.0,32308.0,1.7825363555481062,347.66381304965387,349.446349405202
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2012,2013,29.136919,-109.991392,757.0,3,1.5,0.16666666666666666,668.3934038271168,4.230337998905802,0.9579319039140037,8.03835928144349,16.52433544303797,7.140000000000001,24.64,24.698797468354428,11.97,34.88,8.34987341772152,-0.01,16.48,39.96329113924051,10.16,92.72,17.220759493670887,2.99,28.78,2.0660759493670886,0.82,4.46,120.06,0.759873417721519,0.0,34.29,96.048,0.6078987341772152,0.0,27.432000000000002,8.866278654813273,3.2323326453243784,15.506422666113352,0.1796247528963558,12,7,0,19,615.5362414478885,3.8957989965056234,0.2873795711742011,7.234523353299141,19.528789198507308,0.1235999316361222,0.0,3.032,596.0074522493812,3.7721990648695014,0.0,7.234523353299141,195.2878919850731,5960.074522493813,6155.3624144788855,519.4882414478885,0.031726465289145155,0.9682735347108549,19.4,4.0,4.0,77.6,420.0,32592.0,10.066386184797583,307.2203362110213,317.28672239581886
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2013,2014,29.136919,-109.991392,757.0,1,1.0,0.0,704.3649868465659,4.486401190105515,1.6387933886894157,8.24278786866778,17.854681528662418,4.85,25.29,26.038535031847132,13.04,36.58,9.670828025477705,-3.89,19.29,33.94464968152867,11.64,74.37,17.070509554140127,4.78,28.23,2.0220382165605093,0.81,4.09,34.08,0.2170700636942675,0.0,12.25,27.264000000000003,0.17365605095541403,0.0,9.8,8.677738698052659,4.127703045970251,15.525882277200164,0.048384006355250246,6,2,2,31,646.8727220926742,4.120208420972447,0.7457630178403466,7.418509081801002,17.19149470983968,0.10949996630471134,0.0,3.3920000000000003,629.6812273828344,4.010708454667736,0.0,7.418509081801002,171.9149470983968,6296.812273828345,6468.727220926741,619.6087220926742,0.026576317291945945,0.973423682708054,19.41,6.0,6.0,116.46,441.34,51398.46,8.85702973201426,324.41073023329955,333.2677599653138
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2014,2015,29.136919,-109.991392,757.0,1,1.0,0.0,706.8646795549212,4.502322799712874,1.3587855431638038,8.780340356742599,19.014968152866242,9.365,25.44,26.867133757961785,12.77,34.97,11.162802547770701,3.8,18.17,36.680382165605096,13.31,82.37,16.759999999999998,4.34,27.47,2.026815286624204,0.91,4.98,26.599999999999998,0.16942675159235668,0.0,6.01,21.28,0.13554140127388536,0.0,4.808,8.64188768079565,3.757783568660842,15.43576939191558,0.0376309649772694,8,3,0,4,656.2126362789803,4.179698320248282,0.7186060856607926,7.902306321068339,12.44644178273698,0.07927669925310178,0.0,2.3242501297741955,643.7661944962433,4.1004216209951805,0.0,7.902306321068339,124.4644178273698,6437.661944962433,6562.126362789803,634.9326362789803,0.018967086420819144,0.9810329135791809,19.38,6.0,6.0,116.28,454.54,52853.91,6.422312581391631,332.18069891447027,338.6030114958619
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2015,2016,29.136919,-109.991392,757.0,1,1.0,0.0,646.9972814812418,4.121001792874152,1.1492356867786733,7.447042765734087,18.831178343949045,8.02,26.560000000000002,26.327643312101912,13.42,36.33,11.334713375796179,0.83,20.34,43.24828025477707,16.4,88.11,16.069426751592356,3.05,26.95,1.9407643312101905,1.04,4.96,131.15,0.8353503184713376,0.0,33.38,104.92000000000002,0.6682802547770702,0.0,26.704000000000004,8.591342980829172,3.332453933495935,16.16428216848798,0.20270564305887645,11,7,1,6,602.0461110207066,3.8346886052274303,0.9122546573926781,8.19966999840665,26.03939735915181,0.1658560341347249,0.0,3.176,576.0067136615547,3.668832571092705,0.0,8.19966999840665,260.3939735915181,5760.0671366155475,6020.461110207066,497.12611102070656,0.04325149998063225,0.9567485000193677,19.1,4.0,4.0,76.4,460.0,35144.0,13.633192334634455,301.5741956343218,315.20738796895625
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2016,2017,29.136919,-109.991392,757.0,2,1.1666666666666667,0.0,695.56042780415,4.402281188633861,1.702574892625901,8.586869410961972,17.8725,5.8100000000000005,24.945,26.24962025316456,12.78,35.57,9.495379746835443,-1.62,17.67,38.25316455696203,14.13,79.51,17.285126582278483,2.85,28.32,2.010632911392405,1.02,3.61,65.50999999999999,0.4146202531645569,0.0,12.13,52.408,0.33169620253164556,0.0,9.704,8.900596173003644,3.2155143038128937,15.604546369877145,0.09418304633403576,13,4,3,22,645.7696038610353,4.08714939152554,0.5515960255183854,7.728182469865775,24.935900630616448,0.15782215588997753,0.0,2.9086011312364004,620.8337032304189,3.929327235635563,0.0,7.728182469865775,249.35900630616447,6208.337032304189,6457.696038610354,593.3616038610353,0.038614237154436376,0.9613857628455637,18.6,4.0,4.0,74.4,509.19,37883.74,13.406398188503465,333.7815608765693,347.1879590650728
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2017,2018,29.136919,-109.991392,757.0,1,1.0,0.0,696.6905990964271,4.437519739467689,1.5312811200340695,7.969471312596051,19.37308917197452,10.415,28.095,27.19910828025478,15.64,37.12,11.547070063694267,3.71,21.33,39.30152866242038,15.76,79.76,16.827770700636943,2.87,27.95,2.004458598726115,0.64,5.27,74.25999999999999,0.47299363057324834,0.0,23.01,59.408,0.37839490445859875,0.0,18.408,8.788808385531203,3.1071037463599778,15.893020439359358,0.10658963978602767,11,4,9,7,633.0345134349716,4.032066964553959,1.1363178387932953,7.1725241813364455,21.52930457591193,0.13712932850899318,0.0,3.275660542274245,611.5052088590596,3.8949376360449657,0.0,7.1725241813364455,215.2930457591193,6115.052088590596,6330.345134349715,573.6265134349716,0.034009685284123965,0.9659903147158759,19.3,2.0,2.0,38.6,520.0,20072.0,11.155080091146077,316.8420771290464,327.9971572201925
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2018,2019,29.136919,-109.991392,757.0,4,2.5454545454545454,0.6363636363636364,727.8419643760628,4.635936078828426,1.7375012510181407,8.470091589716056,20.332515923566877,10.795,27.945,28.339554140127387,16.45,36.41,12.32547770700637,2.53,20.07,32.44535031847134,10.57,79.93,16.52624203821656,3.69,28.02,1.974203821656051,0.77,5.04,29.389999999999997,0.18719745222929934,0.0,18.34,23.512,0.1497579617834395,0.0,14.672,8.39866687470729,3.523396710935822,15.19813050431788,0.040379644810936886,3,1,10,5,674.2553398763556,4.294619999212456,1.1388123524456666,7.62308243074445,10.43040473915453,0.06643569897550657,0.0,2.3682783004836683,663.824935137201,4.228184300236949,0.0,7.62308243074445,104.30404739154531,6638.24935137201,6742.553398763555,650.7433398763555,0.015469517439887462,0.9845304825601124,18.75,2.0,2.0,37.5,570.0,21375.0,5.562882527549084,354.0399654065072,359.6028479340563
Sonora,Villa Pesqueira,68,Mazatán,145,Avena forrajera en verde,2019,2020,29.136919,-109.991392,757.0,0,0.0,0.0,595.4005476449964,3.79236017608278,0.9580997439152955,7.381164268068773,17.051751592356688,7.335000000000001,23.895,24.411337579617832,11.91,33.67,9.692165605095543,-0.68,17.59,46.11006369426752,26.06,84.89,15.836305732484078,3.06,27.38,1.8621019108280257,0.8,4.89,111.14,0.7078980891719745,0.0,29.34,88.912,0.5663184713375796,0.0,23.472,8.57396351969627,3.2536926441117777,15.677841085687213,0.18666425558322877,12,5,0,16,545.7531584278614,3.476134767056442,0.8100849365082121,6.643047841261896,24.45836230126452,0.15578574714181223,0.0,3.152,521.2947961265969,3.32034901991463,0.0,6.643047841261896,244.58362301264518,5212.947961265969,5457.531584278614,456.8411584278614,0.04481579615905689,0.9551842038409432,17.5,5.0,5.0,87.5,580.0,50750.0,13.97620702929401,297.88274064376964,311.85894767306365
