Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,max_intensidad_sequia,indice_estres_sequia_acumulado,fraccion_quincenas_sequia_severa,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2011,2012,28.415575,-108.92544,1595.0,5,4.333333333333333,1.0,607.9946870827746,6.333277990445569,3.208638066956867,7.405748400380136,22.033125000000002,10.885,29.835,32.02375,18.97,40.65,12.042499999999999,2.8,20.09,26.661145833333332,5.9,74.75,29.189375000000002,13.18,33.49,0.9420833333333333,0.45,1.27,66.61,0.6938541666666667,0.0,14.88,53.288000000000004,0.5550833333333334,0.0,11.904000000000002,17.11230212546637,9.709426273671044,19.60379736979351,0.10955687839905659,8,5,29,2,500.6757169556354,5.215372051621202,2.1561120057078997,7.035460980361129,23.526871282984082,0.24507157586441752,0.0,4.722285599665119,477.1488456726513,4.970300475756784,0.0,7.035460980361129,235.2687128298408,4771.488456726513,5006.757169556354,447.38771695563537,0.04699023836434389,0.9530097616356561,7.4,7.0,7.0,51.8,5000.0,259000.0,31.793069301329837,644.7957373954746,676.5888066968045
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2012,2013,28.415575,-108.92544,1595.0,2,2.0,0.0,591.5008588004483,6.161467279171337,3.4681644910129394,7.446659696702888,22.352708333333336,11.775,28.939999999999998,31.929999999999996,20.51,39.04,12.775416666666667,1.26,20.16,28.52145833333333,7.8,77.51,28.202291666666667,14.87,33.59,0.8880208333333334,0.44,1.18,85.94,0.8952083333333333,0.0,13.78,68.75200000000001,0.7161666666666667,0.0,11.024000000000001,16.69227111619364,10.757719889554805,18.942714577553822,0.14529142049647156,12,7,26,5,486.3832929766893,5.066492635173847,2.487710313307686,7.074326711867743,40.60298736384418,0.42294778504004354,0.0,4.455383358668737,445.78030561284504,4.643544850133803,0.0,7.074326711867743,406.0298736384418,4457.80305612845,4863.832929766892,417.6312929766893,0.08347940389841915,0.9165205961015807,6.4,8.0,8.0,51.2,6000.0,307200.0,63.44216775600653,696.5317275200704,759.9738952760769
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2013,2014,28.415575,-108.92544,1595.0,1,1.0,0.0,584.5092931720956,6.088638470542662,4.344695114710679,7.540105918195712,21.715677083333333,10.735000000000001,28.48,31.32791666666667,19.36,39.5,12.103437500000004,1.6,20.35,32.104375,7.69,69.57,28.40833333333333,19.0,32.91,0.8874999999999998,0.41,1.29,74.81,0.7792708333333334,0.0,8.52,59.848000000000006,0.6234166666666667,0.0,6.816,17.001298948891826,13.235002622816538,19.632593190218486,0.12798769989440337,16,9,23,2,479.670822555169,4.996571068283011,2.2894212269829683,7.163100622285926,51.04252633649827,0.5316929826718569,0.0,5.704000000000001,428.6282962186708,4.464878085611154,0.0,7.163100622285926,510.4252633649827,4286.282962186708,4796.708225551691,419.822822555169,0.10641157213732266,0.8935884278626774,7.0,4.0,4.0,28.0,5500.0,154000.0,72.9178947664261,612.326137455244,685.2440322216701
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2014,2015,28.415575,-108.92544,1595.0,2,2.0,0.0,575.9716429202705,5.999704613752818,3.2122169642591514,7.493962942806091,22.140104166666664,12.53,30.560000000000002,31.26104166666667,20.89,41.85,13.019166666666665,2.25,20.51,32.415625,8.36,78.23,27.4890625,11.84,32.28,0.8794791666666666,0.36,1.27,53.25,0.5546875,0.0,12.44,42.599999999999994,0.4437499999999999,0.0,9.952,16.568473897970332,8.318210708883809,19.778490764801056,0.09245246819793729,12,3,18,4,476.2052234599789,4.960471077708114,1.6910802859132017,7.119264795665786,29.69479638598566,0.30932079568735066,0.0,4.292681036943879,446.51042707399324,4.651150282020763,0.0,7.119264795665786,296.9479638598566,4465.104270739932,4762.052234599789,433.6052234599789,0.0623571412556781,0.9376428587443218,7.3,6.0,6.0,43.8,5698.63,249599.99,40.67780326847351,611.6581192794428,652.3359225479163
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2015,2016,28.415575,-108.92544,1595.0,0,0.0,0.0,508.5088533712455,5.29696722261714,2.2551980967483356,7.234628255461559,20.328645833333333,13.375,28.240000000000002,28.59572916666667,18.07,37.19,12.061562499999999,4.43,20.69,47.71677083333333,20.36,83.78,25.51125,9.78,32.83,0.7941666666666668,0.33,1.21,162.33,1.6909375000000002,0.0,14.83,129.864,1.3527500000000001,0.0,11.864,16.03766469370146,7.66098377987255,19.948184235148865,0.3192274803551714,21,16,8,2,422.1977049911217,4.397892760324185,1.1275990483741678,6.872896842688481,74.72512747283932,0.7783867445087429,0.0,5.931404428989642,347.4725775182824,3.6195060158154413,0.0,6.872896842688481,747.2512747283931,3474.725775182824,4221.977049911216,292.33370499112175,0.17699084241684993,0.82300915758315,8.13,2.0,2.0,16.26,5450.0,88617.0,91.91282591985154,427.3955443029303,519.3083702227818
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2016,2017,28.415575,-108.92544,1595.0,2,1.8333333333333333,0.0,550.3261737041881,5.732564309418627,3.148074186909015,7.4851703631842295,20.972968750000003,10.969999999999999,29.655,30.26114583333333,20.95,41.49,11.684791666666667,0.99,19.75,36.79260416666667,12.74,75.57,26.948125,8.01,33.11,0.8667708333333333,0.33,1.33,100.16,1.0433333333333332,0.0,11.79,80.128,0.8346666666666667,0.0,9.432,16.436016979530734,6.567281717904279,19.54187636466029,0.18200115637937675,19,10,9,6,453.31597462381364,4.722041402331392,1.5740370934545076,7.110911845025018,57.080200806155986,0.5945854250641248,0.0,5.269241193265252,396.2357738176577,4.127455977267267,0.0,7.110911845025018,570.8020080615598,3962.3577381765767,4533.159746238137,373.18797462381366,0.1259170291837261,0.874082970816274,9.97,5.5,5.5,54.84,7000.0,383880.0,57.251956676184534,397.42805799163256,454.6800146678171
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2017,2018,28.415575,-108.92544,1595.0,1,1.0,0.0,588.8308537015085,6.13365472605738,4.036430969145658,7.415117466955462,22.420885416666664,11.685,30.925,31.911562500000002,19.43,41.32,12.930208333333333,3.94,21.18,30.37697916666667,10.0,64.89,28.393124999999998,17.31,32.9,0.8853125,0.5,1.45,52.92,0.55125,0.0,9.52,42.336,0.441,0.0,7.616,16.85828976593854,11.834620903432135,19.644809983555476,0.08987300795692735,11,4,21,5,481.8383254348523,5.019149223279712,2.051803377072324,7.044361593607689,32.315819611684844,0.3366231209550505,0.0,3.76753082047935,449.5225058231674,4.682526102324661,0.0,7.036361593607689,323.15819611684844,4495.225058231674,4818.383254348522,439.5023254348523,0.06706776506937316,0.9329322349306267,9.54,24.0,24.0,228.92,6000.0,1373520.0,33.87402475019376,471.1975952024816,505.07161995267535
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2018,2019,28.415575,-108.92544,1595.0,4,3.0,0.6666666666666666,579.8403711834417,6.040003866494184,2.36508747489963,7.535921857557217,22.848020833333333,15.145000000000001,29.200000000000003,32.05135416666666,22.91,39.46,13.644687500000002,2.62,19.76,31.646666666666665,8.86,78.32,27.35739583333334,9.24,32.95,0.8760416666666666,0.4,1.3,89.21000000000001,0.9292708333333334,0.0,34.64,71.36800000000001,0.7434166666666667,0.0,27.712000000000003,16.4018209844907,7.350556894127381,19.772586454056814,0.1538526884872199,11,4,21,1,474.8134835372459,4.945973786846311,2.1689711996714287,7.159125764679356,33.358033441249965,0.3474795150130205,0.0,4.399733866985078,441.45545009599596,4.5984942718332915,0.0,7.159125764679356,333.58033441249967,4414.554500959959,4748.134835372459,403.4454835372459,0.07025502560024342,0.9297449743997567,10.99,19.5,19.5,214.32,7840.0,1680268.8,30.353078654458567,401.6883076396687,432.0413862941273
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2019,2020,28.415575,-108.92544,1595.0,2,2.0,0.0,579.5624238506931,6.037108581778053,3.4203212996268375,7.324037443608783,20.737760416666667,11.78,29.575000000000003,30.03635416666667,20.01,40.05,11.439166666666667,2.95,20.73,35.83958333333334,18.42,73.85,28.768958333333334,14.59,32.93,0.930625,0.44,1.3,43.45,0.4526041666666667,0.0,13.5,34.760000000000005,0.36208333333333337,0.0,10.8,17.407391373202447,10.530986559534904,19.677008813086736,0.07497035385992104,8,3,13,3,478.6543756548742,4.985983079738273,2.131583640319042,6.957835571428344,24.994787642235558,0.26036237127328704,0.0,4.28597496037037,453.65958801263855,4.725620708464985,0.0,6.957835571428344,249.9478764223556,4536.595880126386,4786.543756548742,443.8943756548742,0.05221886378462282,0.9477811362153771,13.73,20.0,20.0,274.56,7589.91,2083885.69,18.2045066585838,330.4148492444564,348.6193559030402
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2020,2021,28.415575,-108.92544,1595.0,0,0.0,0.0,566.5090932721571,5.901136388251636,1.69220884368896,7.355937812620046,21.917812499999997,11.045,28.9,30.953333333333337,15.62,39.18,12.882291666666667,2.57,19.49,39.719166666666666,19.43,84.51,27.543645833333333,7.92,32.36,0.8342708333333334,0.39,1.12,98.67999999999999,1.0279166666666666,0.0,15.92,78.944,0.8223333333333334,0.0,12.736,16.9508014806253,6.413505891938263,19.653719045838447,0.17418961349768317,18,8,21,2,471.6003930010076,4.912504093760496,0.84610442184448,6.988140921989043,55.04672468056186,0.5734033820891861,0.0,5.660621967906459,416.55366832044575,4.33910071167131,0.0,6.988140921989043,550.4672468056186,4165.536683204457,4716.003930010076,392.6563930010076,0.11672323750681066,0.8832767624931893,11.3,25.0,25.0,282.5,7393.81,2088751.33,48.71391564651492,368.6315648853502,417.3454805318651
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2021,2022,28.415575,-108.92544,1595.0,4,3.8333333333333335,1.0,572.9031379198666,5.96774101999861,3.0624015521062242,7.4388627659845294,22.128229166666667,13.33,29.975,31.158541666666668,20.22,41.32,13.097916666666665,4.02,19.85,33.85822916666667,11.8,82.44,27.52135416666667,13.91,32.62,0.8679166666666666,0.37,1.24,120.04,1.2504166666666667,0.0,24.42,96.03200000000001,1.0003333333333335,0.0,19.536,16.575788316847763,10.155875670029541,19.59903719529975,0.20952931142225703,17,9,13,2,470.2651091014756,4.898594886473704,1.902911517927409,7.066919627685302,53.80926897002987,0.5605132184378111,0.0,4.7840122229619775,416.45584013144577,4.338081668035893,0.0,7.066919627685302,538.0926897002987,4164.558401314458,4702.651091014757,374.23310910147563,0.11442326451316356,0.8855767354868365,11.5,22.0,22.0,253.0,8000.0,2024000.0,46.79066866959119,362.135513157779,408.92618182737016
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2022,2023,28.415575,-108.92544,1595.0,3,2.5,0.5,574.4305259257135,5.983651311726182,3.798860363064652,7.2316518286257,22.293854166666662,15.14,28.099999999999998,31.369583333333335,23.73,38.19,13.218125,5.15,19.29,37.28822916666667,5.41,85.79,27.69802083333333,17.82,32.41,0.8411458333333334,0.27,1.26,197.73000000000002,2.0596875000000003,0.0,15.56,158.18400000000003,1.6477500000000003,0.0,12.448,16.712151707535963,12.53652290407157,19.72729204290307,0.3442191719901231,23,15,12,0,470.3713141353511,4.899701188909908,2.49030719650861,6.870069237194414,86.83095654275084,0.9044891306536545,0.0,5.86576324390457,383.54035759260023,3.9952120582562523,0.0,6.870069237194414,868.3095654275085,3835.4035759260023,4703.713141353511,312.1873141353511,0.18460087580460935,0.8153991241953906,11.8,15.0,15.0,177.0,9300.0,1646100.0,73.58555639216173,325.0342013496612,398.6197577418229
Sonora,Yécora,69,Sahuaripa,146,Calabacita,2023,2024,28.415575,-108.92544,1595.0,3,2.2,0.2,586.5898137170869,6.110310559552989,3.270198613965742,7.309859653832403,22.014583333333334,13.305,32.095,31.53916666666667,22.49,41.74,12.49,2.18,23.84,28.955520833333335,13.66,54.42,28.174791666666668,12.47,32.61,0.90625,0.58,1.16,15.670000000000002,0.16322916666666668,0.0,4.85,12.536,0.13058333333333333,0.0,3.88,16.787847001791604,9.064582832155818,19.93462961215566,0.02671372675345785,4,0,20,5,480.2242435747453,5.002335870570263,2.4501941891917407,6.9443666711407825,12.536,0.13058333333333333,0.0,3.88,467.6882435747453,4.87175253723693,1.171195523930665,6.9443666711407825,125.36,4676.882435747453,4802.242435747453,467.6882435747453,0.02610447133339867,0.9738955286666013,11.21,5.0,5.0,56.05,9765.0,547328.25,11.182872435325601,417.20628329593694,428.3891557312625
Sonora,Yécora,69,Sahuaripa,146,Pepino,2011,2012,28.415575,-108.92544,1595.0,5,4.0,1.0,569.3314067624591,5.37105100719301,3.208638066956867,7.405748400380136,24.638113207547168,20.08,29.835,32.027830188679246,23.01,40.65,17.248396226415096,12.31,20.09,58.642547169811316,12.58,90.18,24.259528301886796,13.18,33.39,0.5516037735849056,0.25,1.07,427.99000000000007,4.037641509433963,0.0,19.73,256.794,2.422584905660377,0.0,11.838,15.72681291279997,9.709426273671044,19.360712805948857,0.7517414197010378,64,31,27,0,494.4915357642987,4.6650144883424405,3.0608217890992875,7.285513230110437,182.16457775720656,1.718533752426477,0.0,6.296380799553491,312.32695800709223,2.9464807359159644,0.0,7.285513230110437,1821.6457775720655,3123.2695800709225,4944.915357642988,237.69753576429872,0.3683876559699821,0.6316123440300181,6.4,13.0,13.0,83.2,5000.0,416000.0,284.6321527456352,488.01087188608165,772.6430246317168
Sonora,Yécora,69,Sahuaripa,146,Pepino,2012,2013,28.415575,-108.92544,1595.0,2,1.3333333333333333,0.0,522.1483496249544,4.925927826650514,2.8807988726692377,7.336141177832984,23.621933962264148,19.08,28.939999999999998,30.234811320754712,20.87,39.04,17.009056603773587,13.43,20.16,65.63349056603775,11.19,93.37,22.546132075471697,13.54,32.0,0.5070754716981132,0.23,1.06,555.4099999999999,5.239716981132074,0.0,27.16,333.246,3.143830188679245,0.0,16.296,14.850901605461948,9.667835360201613,18.942714577553822,1.063701533096746,73,42,21,0,452.54683466294006,4.269309760971133,2.160599154501928,6.897182688747533,216.97462592723286,2.0469304332757816,0.0,5.412,235.57220873570714,2.2223793276953505,0.0,6.897182688747533,2169.7462592723286,2355.7220873570714,4525.4683466294,119.30083466294008,0.47945231146923617,0.5205476885307637,6.29,6.5,6.5,40.88,6000.73,245310.0,344.95171053614126,374.5186148421417,719.470325378283
Sonora,Yécora,69,Sahuaripa,146,Pepino,2013,2014,28.415575,-108.92544,1595.0,2,1.6666666666666667,0.0,534.2617155913206,5.040204864069062,2.5649607957850944,7.540105918195712,24.324481132075476,19.335,28.48,31.490283018867927,21.67,39.5,17.15867924528302,13.19,20.35,62.0111320754717,11.5,89.2,22.71849056603774,10.95,32.91,0.5275471698113208,0.18,1.0,423.66,3.996792452830189,0.0,15.31,254.196,2.398075471698113,0.0,9.186,14.984194105901272,8.082719956535453,18.769432947910055,0.7929821427146307,67,40,23,0,464.7700542694412,4.384623153485294,1.923720596838821,6.772202870821183,195.59985917310067,1.8452816903122704,0.0,5.253460018244877,269.17019509634054,2.539341463173024,0.0,6.628202870821183,1955.9985917310066,2691.7019509634056,4647.700542694412,210.57405426944118,0.4208529731558513,0.5791470268441488,6.0,2.0,2.0,12.0,5500.0,66000.0,325.9997652885011,448.61699182723424,774.6167571157354
Sonora,Yécora,69,Sahuaripa,146,Pepino,2014,2015,28.415575,-108.92544,1595.0,2,1.6,0.0,523.8786318078558,4.942251243470337,2.731724267690417,7.493962942806091,23.8038679245283,19.75,30.560000000000002,30.066603773584905,22.87,41.85,17.5411320754717,14.33,20.51,67.78216981132074,10.06,90.96,22.63735849056604,12.79,32.0,0.5038679245283019,0.21,0.96,501.24000000000007,4.728679245283019,0.0,53.44,300.744,2.8372075471698115,0.0,32.064,15.039562557187653,9.140382281641722,19.778490764801056,0.9567864951282096,72,37,16,0,455.0456727583123,4.292883705267097,2.048793200767813,6.959991314191798,198.4971875036464,1.8726149764494942,0.0,5.036412327649416,256.54848525466593,2.4202687288176032,0.0,6.959991314191798,1984.9718750364639,2565.4848525466596,4550.456727583123,154.3016727583123,0.4362137679508797,0.5637862320491203,6.33,6.0,6.0,38.0,5700.0,216600.0,313.5816548240859,405.28986612111527,718.8715209452012
Sonora,Yécora,69,Sahuaripa,146,Pepino,2015,2016,28.415575,-108.92544,1595.0,0,0.0,0.0,518.4199053898628,4.890753824432668,1.8566434706023092,7.234628255461559,23.661415094339624,19.755,28.240000000000002,29.813113207547172,22.56,37.19,17.509716981132073,12.73,20.69,70.40141509433963,20.36,92.8,22.661886792452826,7.38,32.72,0.46971698113207555,0.22,1.01,580.9200000000001,5.480377358490567,0.0,22.51,348.55199999999996,3.288226415094339,0.0,13.506,15.14535908732259,6.0290281285175125,19.948184235148865,1.1205588249223104,84,55,7,0,453.2904693335061,4.276325182391567,1.3924826029517319,6.243583609462781,260.4037197014351,2.456638865107878,0.0,5.7780000000000005,192.88674963207097,1.8196863172836883,0.0,5.214197587533332,2604.0371970143506,1928.8674963207097,4532.90469333506,104.73846933350615,0.5744742881629933,0.42552571183700655,7.34,5.0,5.0,36.72,5600.0,205632.0,354.773460083699,262.7884872371539,617.5619473208528
