Estado,Municipio,IdMunicipio,DDR,IdDDR,Cultivo,Anio,AnioFin,Lat,Lon,Z_m,ET0_total_mm,ET0_mean_mm_d,ET0_min_mm_d,ET0_max_mm_d,Tmean_ciclo_mean_C,Tmean_ciclo_min_C,Tmean_ciclo_max_C,Tmax_ciclo_mean_C,Tmax_ciclo_min_C,Tmax_ciclo_max_C,Tmin_ciclo_mean_C,Tmin_ciclo_min_C,Tmin_ciclo_max_C,RH_mean_pct,RH_min_pct,RH_max_pct,Rs_mean_MJ_m2_d,Rs_min_MJ_m2_d,Rs_max_MJ_m2_d,Ws_mean_m_s,Ws_min_m_s,Ws_max_m_s,Ptot_total_mm,Ptot_mean_mm_d,Ptot_min_mm_d,Ptot_max_mm_d,Pef_total_mm,Pef_mean_mm_d,Pef_min_mm_d,Pef_max_mm_d,Rn_mean_MJ_m2_d,Rn_min_MJ_m2_d,Rn_max_MJ_m2_d,ratio_Ptot_ET0,dias_lluvia_ge_1mm,dias_lluvia_ge_5mm,dias_estres_calor,dias_riesgo_helada,ETc_total_mm,ETc_mean_mm_d,ETc_min_mm_d,ETc_max_mm_d,ETverde_total_mm,ETverde_mean_mm_d,ETverde_min_mm_d,ETverde_max_mm_d,ETazul_total_mm,ETazul_mean_mm_d,ETazul_min_mm_d,ETazul_max_mm_d,UACverde_m3_ha,UACazul_m3_ha,UACtotal_m3_ha,deficit_hidrico_mm,frac_verde,frac_azul,Rend_t_ha,SupSembradaTotal_ha,SupCosechadaTotal_ha,VolumenTotal_t,PMR,Valorproduccion,HHverde_m3_ton,HHazul_m3_ton,HHtotal_m3_ton
Sonora,Banámichi,13,Ures,142,Ajo,2010,2011,30.063494,-110.298452,836.0,515.2966159842763,4.294138466535636,0.9520537275966195,8.709340269872635,13.372666666666666,5.619999999999999,23.445,21.429250000000003,10.41,31.8,5.316083333333334,-2.08,15.09,46.072,22.13,91.62,19.8105,4.23,30.32,2.479,1.19,7.65,127.07000000000002,1.058916666666667,0.0,31.12,101.656,0.8471333333333334,0.0,24.896,11.076326521582187,3.77943575605368,17.813204600501884,0.2465958363752915,16,8,0,62,495.9368366876533,4.132806972397111,0.8901241325532996,8.709340269872635,29.493244201332928,0.2457770350111077,0.0,2.6777460584296757,466.4435924863204,3.887029937386003,0.0,8.709340269872635,294.93244201332925,4664.435924863204,4959.3683668765325,394.2808366876533,0.0594697590893174,0.9405302409106826,6.4,4.0,4.0,25.6,12000.0,307200.0,46.08319406458269,728.8181132598755,774.9013073244582
Sonora,Banámichi,13,Ures,142,Ajo,2011,2012,30.063494,-110.298452,836.0,1024.0137722072134,4.830253642486856,1.3873282747000866,10.19904482526324,16.34495283018868,-4.755,27.18,24.935471698113208,-0.64,35.43,7.754433962264152,-8.87,19.54,33.25169811320755,10.11,79.35,19.315283018867927,7.01,31.15,2.2891981132075467,1.02,8.6,27.6,0.130188679245283,0.0,6.41,22.08,0.1041509433962264,0.0,5.128,9.890150584231636,4.579553336743891,17.406851791812997,0.0269527625009471,8,2,2,58,891.5991157340886,4.205656206292871,1.3873282747000866,7.330364102083744,17.139911196316486,0.0808486377184739,0.0,3.10209516437004,874.4592045377722,4.124807568574397,0.0,7.330364102083744,0.0,0.0,0.0,869.5191157340886,0.0192237866703182,0.9807762133296818,5.3,4.0,4.0,21.2,14000.0,296800.0,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2012,2013,30.063494,-110.298452,836.0,961.0979581443446,4.512196986593168,0.9331630481200982,9.222333080733442,15.573591549295774,2.335,26.82,23.912394366197184,7.39,37.68,7.234788732394365,-2.86,21.11,38.06619718309859,9.54,90.88,18.785446009389677,2.47,30.89,2.2328169014084507,0.96,6.42,124.64,0.5851643192488263,0.0,42.76,99.712,0.468131455399061,0.0,34.208,9.802472908541796,3.0399823583158687,17.754045331695544,0.1296850117553581,13,8,7,76,826.4086827310273,3.879852970568203,0.9331630481200982,6.97935799735377,22.302831965698697,0.10470813129436,0.0,2.4083360664681357,804.1058507653286,3.775144839273843,0.0,6.97935799735377,0.0,0.0,0.0,726.6966827310273,0.0269876544520256,0.9730123455479744,6.5,2.0,2.0,13.0,21800.0,283400.0,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2013,2014,30.063494,-110.298452,836.0,980.903141581461,4.626901611233307,1.386266967752351,9.248476405717478,16.279575471698116,1.5400000000000005,26.155,24.604575471698112,8.55,34.82,7.954575471698113,-5.47,17.9,34.53933962264151,5.49,85.59,18.6175,6.21,31.28,2.1841037735849054,1.03,5.58,51.5,0.2429245283018868,0.0,14.72,41.2,0.1943396226415094,0.0,11.776000000000002,9.672230580824577,4.456711094984595,17.290680187459298,0.0525026353947334,9,3,0,68,847.5321440498644,3.997793132310681,1.386266967752351,6.605742360941136,18.573552497267325,0.0876110966852232,0.0,2.450786771669582,828.9585915525971,3.910182035625458,0.0,6.605742360941136,0.0,0.0,0.0,806.3321440498644,0.021914864973162,0.978085135026838,6.9,2.0,2.0,13.8,13800.0,190440.0,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2018,2019,30.063494,-110.298452,836.0,1040.682086743534,4.908877767658179,1.011265565705947,9.310310197068077,18.74540094339623,6.38,29.005,26.858490566037737,11.35,37.38,10.632311320754718,-1.94,21.32,33.47056603773585,6.94,89.17,18.278160377358493,3.84,30.26,2.183490566037736,1.0,5.6,73.32000000000001,0.3458490566037736,0.0,34.7,58.656000000000006,0.2766792452830189,0.0,27.760000000000005,9.520686919092215,3.815423525036621,17.53480059838939,0.0704537926942034,10,3,12,27,902.4466152031428,4.2568236566185975,1.011265565705947,7.331578097560846,18.98139713351185,0.0895348921392068,0.0,2.5029196905254536,883.465218069631,4.167288764479391,0.0,7.331578097560846,0.0,0.0,0.0,843.7906152031428,0.0210332631468057,0.9789667368531944,7.6,8.0,8.0,60.8,18200.0,1106560.0,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2019,2020,30.063494,-110.298452,836.0,823.7337898334802,3.885536744497548,0.9433402395600216,8.92666561509731,15.4011320754717,4.015,25.25,22.77117924528302,7.92,34.73,8.031084905660377,-3.81,19.52,48.8263679245283,21.93,90.38,17.35872641509434,2.64,30.56,2.061037735849057,0.79,6.27,221.2,1.0433962264150942,0.0,41.51,176.96,0.8347169811320755,0.0,33.208,9.6035843111603,3.1468395835068743,18.16939747105809,0.268533357172001,26,12,0,50,712.7421505714213,3.361991276280289,0.9433402395600216,6.248665930568117,44.59322424296157,0.2103453973724602,0.0,4.2301607901358125,668.1489263284598,3.151645878907829,0.0,6.248665930568117,0.0,0.0,0.0,535.7821505714213,0.0625657177805608,0.9374342822194393,7.25,9.5,9.5,68.88,18000.0,1239840.0,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2020,2021,30.063494,-110.298452,836.0,780.0572728505174,3.662240717608063,0.7177515893002921,8.79366858274909,15.302159624413148,2.8,26.965,22.438544600938968,9.25,37.1,8.165774647887323,-4.93,19.46,55.320845070422536,26.76,95.56,17.492159624413148,2.38,30.17,2.042676056338028,0.82,5.81,379.57,1.782018779342723,0.0,88.3,227.742,1.0692112676056338,0.0,52.98,9.826085496666744,2.9236591048036527,17.785637988993884,0.4865924762331357,29,17,3,56,671.132076431009,3.1508548189249246,0.7177515893002921,6.438688839269734,44.78324126217179,0.2102499589773323,0.0,2.191839576881077,626.3488351688371,2.940604859947592,0.0,6.438688839269734,0.0,0.0,0.0,443.390076431009,0.0667279106972849,0.933272089302715,6.83,6.0,6.0,41.0,18700.0,766700.0,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2021,2022,30.063494,-110.298452,836.0,1034.807344889737,4.881166721178004,1.2731243282191569,9.304939657603573,16.81507075471698,3.18,27.795,25.382924528301885,7.41,37.79,8.247216981132075,-2.8,19.79,31.058301886792453,10.52,87.81,18.936839622641507,7.63,30.2,2.2977830188679245,1.05,5.24,80.12,0.3779245283018868,0.0,23.0,64.096,0.3023396226415094,0.0,18.4,9.613668103686225,4.654565426075052,18.05498680554097,0.0774250399319857,8,3,16,66,898.6412122283551,4.238873642586581,1.2731243282191569,6.513457760322501,15.9577213544243,0.0752722705397372,0.0,2.7840000000000003,882.6834908739309,4.163601372046844,0.0,6.513457760322501,0.0,0.0,0.0,834.5452122283551,0.0177576113105852,0.9822423886894148,7.56,9.0,9.0,68.04,23250.0,1581930.0,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2022,2023,30.063494,-110.298452,836.0,994.2407627420056,4.689814918594365,1.2472328913680215,11.129620909062655,16.931745283018866,4.52,26.05,25.31641509433962,12.5,38.33,8.547075471698113,-3.8,17.75,36.25584905660377,5.54,88.39,18.851462264150943,4.6,31.38,2.1858490566037734,1.07,5.16,74.59,0.3518396226415095,0.0,35.99,59.67200000000001,0.2814716981132076,0.0,28.792,9.840597934422746,3.782806917592093,17.194093713237685,0.0750220699001407,8,4,4,55,858.7030440233509,4.050486056713919,1.2472328913680215,7.79073463634386,15.87291196846982,0.074872226266367,0.0,2.992968862849419,842.8301320548811,3.975613830447553,0.0,7.79073463634386,0.0,0.0,0.0,799.0310440233509,0.0184847510195133,0.9815152489804868,8.5,10.0,10.0,85.0,30364.71,2581000.35,0.0,0.0,0.0
Sonora,Banámichi,13,Ures,142,Ajo,2023,2024,30.063494,-110.298452,836.0,879.0715758704458,4.146564037124745,1.0007997269045357,8.979096130645319,15.215542452830189,4.0200000000000005,25.17,23.12301886792453,10.21,36.62,7.308066037735848,-3.74,18.31,43.57462264150944,12.98,85.23,17.93231132075472,1.66,30.36,2.1769811320754715,1.01,5.03,89.51,0.4222169811320755,0.0,17.77,71.608,0.3377735849056604,0.0,14.216,9.638136232864984,2.7668415204940966,17.435265979856982,0.1018233355018541,16,4,3,71,760.2796467608912,3.5862247488721284,1.0007997269045357,6.285367291451723,30.858384762384027,0.1455584186904907,0.0,2.458352676072441,729.4212619985071,3.4406663301816374,0.0,6.285367291451723,0.0,0.0,0.0,688.6716467608912,0.0405882031616309,0.9594117968383692,7.5,8.0,8.0,60.0,31275.65,1876539.0,0.0,0.0,0.0
