CVE_MUN,NOMBRE_MUN,Fecha,Anio,Mes,Dia,Quincena,Categoria,Intensidad
1,Aconchi,2003-01-31,2003,1,31,2,D2,3
1,Aconchi,2003-02-28,2003,2,28,2,D2,3
1,Aconchi,2003-03-31,2003,3,31,2,D2,3
1,Aconchi,2003-04-30,2003,4,30,2,D1,2
1,Aconchi,2003-05-31,2003,5,31,2,D1,2
1,Aconchi,2003-06-30,2003,6,30,2,D0,1
1,Aconchi,2003-07-31,2003,7,31,2,D0,1
1,Aconchi,2003-09-30,2003,9,30,2,D0,1
1,Aconchi,2003-12-31,2003,12,31,2,D0,1
1,Aconchi,2004-01-31,2004,1,31,2,D0,1
1,Aconchi,2005-10-31,2005,10,31,2,D1,2
1,Aconchi,2005-11-30,2005,11,30,2,D0,1
1,Aconchi,2005-12-31,2005,12,31,2,D0,1
1,Aconchi,2006-01-31,2006,1,31,2,D2,3
1,Aconchi,2006-02-28,2006,2,28,2,D3,4
1,Aconchi,2006-03-31,2006,3,31,2,D2,3
1,Aconchi,2006-04-30,2006,4,30,2,D2,3
1,Aconchi,2006-05-31,2006,5,31,2,D3,4
1,Aconchi,2006-06-30,2006,6,30,2,D4,5
1,Aconchi,2006-07-31,2006,7,31,2,D2,3
1,Aconchi,2006-08-31,2006,8,31,2,D1,2
1,Aconchi,2006-12-31,2006,12,31,2,D0,1
1,Aconchi,2007-02-28,2007,2,28,2,D0,1
1,Aconchi,2007-03-31,2007,3,31,2,D0,1
1,Aconchi,2007-04-30,2007,4,30,2,D1,2
1,Aconchi,2007-05-31,2007,5,31,2,D1,2
1,Aconchi,2007-06-30,2007,6,30,2,D2,3
1,Aconchi,2007-07-31,2007,7,31,2,D2,3
1,Aconchi,2007-08-31,2007,8,31,2,D1,2
1,Aconchi,2008-02-29,2008,2,29,2,D0,1
1,Aconchi,2008-03-31,2008,3,31,2,D0,1
1,Aconchi,2008-04-30,2008,4,30,2,D0,1
1,Aconchi,2008-05-31,2008,5,31,2,D0,1
1,Aconchi,2008-06-30,2008,6,30,2,D0,1
1,Aconchi,2008-07-31,2008,7,31,2,D0,1
1,Aconchi,2009-01-31,2009,1,31,2,D0,1
1,Aconchi,2009-02-28,2009,2,28,2,D0,1
1,Aconchi,2009-03-31,2009,3,31,2,D0,1
1,Aconchi,2009-04-30,2009,4,30,2,D0,1
1,Aconchi,2009-05-31,2009,5,31,2,D0,1
1,Aconchi,2009-06-30,2009,6,30,2,D0,1
1,Aconchi,2009-08-31,2009,8,31,2,D0,1
1,Aconchi,2009-09-30,2009,9,30,2,D1,2
1,Aconchi,2009-11-30,2009,11,30,2,D0,1
1,Aconchi,2009-12-31,2009,12,31,2,D0,1
1,Aconchi,2010-01-31,2010,1,31,2,D0,1
1,Aconchi,2010-12-31,2010,12,31,2,D0,1
1,Aconchi,2011-01-31,2011,1,31,2,D0,1
1,Aconchi,2011-02-28,2011,2,28,2,D2,3
1,Aconchi,2011-03-31,2011,3,31,2,D3,4
1,Aconchi,2011-04-30,2011,4,30,2,D3,4
1,Aconchi,2011-05-31,2011,5,31,2,D3,4
