DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20150101,11.14,24.84,0.4,2.2,14.56,2.6,64.38
20150102,15.29,20.23,0.11,1.81,10.82,-0.98,49.97
20150103,15.6,20.79,0.0,1.39,14.29,-3.23,52.34
20150104,15.73,22.51,0.0,2.96,22.22,0.96,38.66
20150105,15.33,22.96,0.0,2.48,23.8,2.46,33.08
20150106,13.33,25.88,0.0,2.11,26.52,5.41,33.69
20150107,8.93,29.82,0.04,1.79,22.39,10.05,58.89
20150108,12.62,27.87,0.36,1.36,21.5,11.2,49.71
20150109,12.58,27.37,0.02,1.38,20.45,9.06,51.48
20150110,14.82,25.81,0.0,1.09,20.23,5.17,55.63
20150111,12.58,26.33,0.0,1.85,20.28,6.42,48.45
20150112,14.49,26.71,0.0,1.23,20.03,9.08,48.42
20150113,14.92,25.89,0.0,1.52,20.84,8.48,50.76
20150114,12.11,25.91,0.0,1.89,18.75,6.15,57.2
20150115,15.21,25.2,0.0,3.93,20.18,3.53,51.81
20150116,10.82,27.46,0.0,1.97,21.06,5.9,42.83
20150117,10.0,27.34,0.0,1.02,23.9,6.04,38.25
20150118,16.2,25.48,0.0,1.4,26.08,5.16,27.71
20150119,16.48,24.77,0.0,1.63,26.48,6.97,29.87
20150120,16.7,24.49,0.0,1.66,26.3,9.22,28.6
20150121,16.38,24.33,0.0,2.49,21.69,7.54,32.46
20150122,17.14,22.66,0.0,3.66,18.22,3.11,43.43
20150123,16.61,22.88,0.0,3.83,21.2,-0.34,35.07
20150124,11.42,26.28,0.0,2.65,19.71,4.97,26.96
20150125,12.49,28.45,0.11,1.41,21.7,6.09,34.7
20150126,7.01,30.89,1.03,1.71,22.69,11.22,51.74
20150127,15.68,29.15,0.13,1.06,24.53,11.11,65.34
20150128,16.13,28.9,0.0,1.07,23.95,12.12,49.96
20150129,8.42,30.99,7.46,1.64,23.52,12.11,56.15
20150130,3.05,30.6,28.23,3.02,15.3,11.68,88.75
20150131,11.34,28.8,16.58,2.64,13.75,8.72,81.58
20150201,17.07,25.41,0.0,1.55,19.0,3.75,63.43
20150202,17.93,25.42,0.0,2.3,23.41,5.87,51.22
20150203,18.03,25.55,0.0,1.65,23.76,5.07,47.28
20150204,18.3,25.42,0.0,1.68,25.7,6.44,43.09
20150205,17.97,25.96,0.0,1.68,27.41,7.75,37.78
20150206,18.47,26.09,0.0,1.5,27.56,9.52,36.3
20150207,19.04,25.8,0.0,1.53,27.52,10.46,34.28
20150208,19.4,25.07,0.0,1.85,28.91,7.21,33.65
20150209,19.26,25.16,0.0,1.65,28.85,7.81,32.79
20150210,19.56,25.83,0.0,1.62,28.44,8.69,32.64
20150211,19.31,25.72,0.0,2.13,25.41,7.36,37.51
20150212,18.82,26.5,0.0,5.39,20.01,9.0,48.7
20150213,18.29,28.16,0.0,2.11,23.68,6.84,51.74
20150214,10.36,31.66,0.78,1.49,21.38,11.4,66.95
20150215,8.62,30.95,3.22,1.4,20.46,12.1,76.96
20150216,17.27,29.21,5.31,1.22,20.8,11.23,73.44
20150217,19.46,27.12,0.0,1.6,24.07,9.62,62.17
20150218,19.83,26.21,0.0,2.01,26.74,6.32,37.1
20150219,20.4,25.66,0.0,1.85,27.37,8.71,34.73
20150220,13.51,29.62,0.01,1.87,25.79,12.91,32.51
20150221,14.68,29.05,0.29,2.46,23.98,10.73,44.37
20150222,19.69,27.18,0.0,3.18,22.29,9.42,60.31
20150223,20.95,25.68,0.0,2.65,22.74,7.82,60.75
20150224,18.6,25.23,0.0,2.72,19.21,4.62,54.32
20150225,21.75,23.69,0.06,2.24,22.07,1.3,45.63
20150226,22.1,23.88,0.0,2.22,23.75,3.77,38.41
20150227,21.63,24.81,0.0,3.25,21.22,5.41,48.1
20150228,17.78,27.78,0.0,3.26,21.17,6.05,73.83
20150301,20.69,27.06,0.0,2.57,20.79,6.57,70.3
20150302,6.32,30.17,14.05,3.67,15.16,10.4,86.68
20150303,17.48,27.61,19.41,3.08,18.64,5.78,67.01
20150304,16.96,26.94,1.0,1.68,14.83,5.08,64.34
20150305,22.99,24.79,0.0,4.11,20.57,3.75,49.85
20150306,23.31,25.63,0.0,2.43,25.18,5.54,40.11
20150307,11.33,29.06,0.0,1.49,18.8,10.91,44.44
20150308,22.56,25.46,0.0,0.89,23.62,8.0,43.46
20150309,23.51,25.34,0.0,1.49,24.99,7.01,39.04
20150310,23.42,25.84,0.0,2.04,25.31,7.91,38.42
20150311,23.15,26.68,0.0,3.01,26.59,8.1,37.63
20150312,16.14,31.0,0.0,1.99,24.42,10.21,46.22
20150313,21.76,29.21,0.01,2.14,23.69,10.78,51.81
20150314,24.09,26.29,0.0,4.76,24.47,9.3,35.1
20150315,24.0,26.81,0.0,3.53,26.01,9.94,40.15
20150316,22.99,28.55,0.15,2.12,26.1,9.86,51.62
20150317,15.06,32.15,0.39,1.84,21.66,13.05,68.29
20150318,12.93,32.35,15.44,1.37,18.47,12.36,78.57
20150319,19.46,30.12,4.6,1.22,21.31,9.22,64.32
20150320,22.6,28.57,1.97,1.52,22.31,8.0,56.02
20150321,23.7,28.16,1.16,1.16,23.94,11.03,48.77
20150322,25.27,27.47,0.0,1.24,27.81,9.99,43.34
20150323,25.82,26.61,0.0,1.91,29.77,11.94,34.64
20150324,26.6,25.35,0.0,2.29,29.06,11.38,29.34
20150325,25.81,26.4,0.0,1.44,27.04,8.98,33.73
20150326,26.12,27.05,0.0,2.46,28.56,9.82,35.37
20150327,26.59,26.72,0.0,1.66,31.59,8.87,28.54
20150328,26.5,27.13,0.0,1.52,33.19,12.4,25.73
20150329,21.21,30.54,0.0,1.83,29.9,14.74,31.64
20150330,21.7,31.63,0.0,2.13,30.9,16.15,36.56
20150331,13.61,31.66,0.02,1.64,25.95,14.74,46.7
20150401,26.22,28.18,0.0,2.08,28.79,12.97,45.67
20150402,26.78,26.77,0.0,2.83,28.38,13.05,38.8
20150403,18.75,29.18,0.0,1.26,30.25,11.73,30.19
20150404,23.31,29.96,0.0,2.14,26.66,14.95,37.01
20150405,23.11,28.24,0.0,2.45,29.23,13.8,28.69
20150406,26.97,27.41,0.0,2.54,29.16,15.01,24.17
20150407,26.28,28.28,0.0,2.94,30.12,12.71,29.05
20150408,27.44,27.47,0.0,2.8,29.05,13.12,29.89
20150409,20.53,28.2,0.0,2.54,27.74,10.97,30.03
20150410,21.16,29.0,0.0,2.84,27.79,12.22,37.12
20150411,17.6,30.01,8.43,2.98,29.8,9.79,36.1
20150412,21.31,29.21,9.74,2.03,17.94,9.09,69.18
20150413,27.49,28.01,0.0,1.7,27.47,10.37,47.09
20150414,27.65,28.99,0.0,2.04,28.65,9.73,38.86
20150415,26.73,28.23,0.0,2.65,27.55,11.61,41.82
20150416,28.77,25.55,0.0,2.53,25.87,9.42,26.87
20150417,30.22,23.83,0.0,1.77,25.85,4.93,25.18
20150418,29.83,25.17,0.0,1.59,27.16,6.55,27.16
20150419,28.2,27.06,0.0,1.77,29.04,9.39,26.03
20150420,27.79,26.9,0.0,2.21,28.15,13.21,24.45
20150421,29.3,26.13,0.0,2.82,27.45,10.69,28.73
20150422,29.22,26.38,0.0,3.25,26.64,9.26,33.41
20150423,25.92,27.89,0.59,3.8,24.81,10.34,46.23
20150424,29.09,26.26,0.0,2.77,25.06,8.96,43.78
20150425,29.51,26.4,0.0,3.12,26.57,9.49,36.96
20150426,26.87,27.4,0.0,3.19,23.61,7.93,45.13
20150427,30.0,26.34,0.0,2.0,27.27,7.43,34.61
20150428,29.82,28.14,0.0,3.93,29.05,11.81,29.99
20150429,29.68,28.3,0.0,2.41,30.14,11.05,24.68
20150430,30.31,27.78,0.0,1.49,32.12,10.85,24.27
20150501,29.64,29.05,0.0,1.94,32.57,15.3,25.62
20150502,29.62,29.22,0.0,2.9,31.91,16.76,33.08
20150503,27.34,30.57,0.0,3.11,29.43,14.93,45.29
20150504,25.14,30.25,0.0,3.88,26.12,13.32,53.12
20150505,29.78,27.95,0.0,2.49,28.01,11.27,41.15
20150506,29.93,27.22,0.0,3.54,27.76,10.33,34.76
20150507,26.58,28.8,0.0,3.5,26.53,10.22,48.06
20150508,30.57,25.7,0.0,3.48,26.44,9.45,38.5
20150509,31.22,25.24,0.0,2.1,27.27,7.91,27.59
20150510,31.43,26.35,0.0,1.78,29.86,8.38,22.38
20150511,25.84,29.18,0.0,2.51,32.45,12.24,17.79
20150512,8.35,29.7,0.72,2.77,22.69,11.51,45.59
20150513,28.66,29.42,0.39,2.73,30.12,9.78,49.46
20150514,22.05,30.68,0.02,4.41,24.54,13.79,49.25
20150515,29.59,27.65,0.05,4.55,26.29,12.18,46.29
20150516,30.91,26.98,0.0,2.67,26.87,10.55,42.1
20150517,30.78,27.75,0.0,2.7,28.73,13.12,26.34
20150518,31.09,27.22,0.0,3.51,30.52,12.3,28.97
20150519,31.94,26.38,0.0,2.43,30.8,12.51,21.36
20150520,30.6,27.1,0.0,2.95,31.23,12.33,21.33
20150521,28.85,27.82,0.0,3.9,28.83,12.78,27.79
20150522,29.63,27.3,0.0,3.65,28.95,9.9,25.81
20150523,31.75,26.16,0.0,2.87,27.22,11.14,31.25
20150524,31.13,26.8,0.0,3.43,27.66,10.18,28.7
20150525,31.36,27.29,0.0,2.42,29.95,11.72,27.06
20150526,31.77,27.21,0.0,2.4,32.41,13.54,22.2
20150527,31.67,27.81,0.0,2.48,33.56,15.51,19.43
20150528,31.64,28.37,0.0,2.47,34.1,15.67,24.7
20150529,31.49,28.85,0.0,2.38,35.57,18.97,20.01
20150530,30.91,30.69,0.0,1.97,36.73,19.25,21.71
20150531,30.22,31.93,0.0,2.08,38.75,20.18,23.57
20150601,31.02,30.92,0.0,3.13,39.14,20.47,24.04
20150602,31.14,30.82,0.0,2.98,38.18,19.54,15.8
20150603,31.92,30.12,0.0,3.03,37.97,20.36,13.64
20150604,24.45,34.05,0.0,3.02,35.24,20.21,19.79
20150605,26.16,34.99,0.0,3.2,35.65,20.33,33.3
20150606,30.04,33.08,0.0,3.03,36.49,19.0,29.08
20150607,12.53,36.37,0.0,1.08,34.33,21.64,30.13
20150608,13.25,36.64,3.33,2.13,33.5,21.71,51.02
20150609,27.56,35.17,0.24,3.34,34.27,20.5,58.34
20150610,30.62,33.3,0.0,2.56,36.36,19.74,47.16
20150611,31.58,31.09,0.0,2.59,36.89,19.38,31.97
20150612,32.06,28.62,0.0,2.7,37.92,18.03,16.03
20150613,32.35,28.74,0.0,2.66,35.58,17.22,17.61
20150614,31.48,29.77,0.0,1.97,38.19,17.87,19.87
20150615,31.1,30.97,0.0,2.66,39.06,19.59,22.58
20150616,30.22,32.7,0.0,1.75,40.16,20.27,24.11
20150617,29.58,34.04,0.0,1.7,40.81,23.55,26.02
20150618,29.74,34.3,0.0,1.58,42.08,22.35,21.19
20150619,29.91,34.31,0.18,2.54,42.28,22.39,22.21
20150620,29.52,34.54,0.58,3.36,39.22,21.08,32.92
20150621,29.6,34.71,0.62,2.88,38.86,20.77,38.44
20150622,29.31,34.3,4.15,3.07,39.09,21.23,31.19
20150623,29.66,35.12,6.84,2.35,39.73,21.82,32.75
20150624,28.88,35.42,7.5,2.02,35.61,22.32,49.42
20150625,25.01,35.59,4.64,1.62,33.32,22.01,58.28
20150626,24.11,35.78,7.8,1.64,33.29,20.46,62.71
20150627,26.99,35.79,0.15,1.3,35.8,22.08,56.11
20150628,26.57,35.9,0.09,2.56,37.23,22.89,50.37
20150629,27.39,35.08,1.16,2.43,36.06,21.71,57.72
20150630,24.9,34.97,2.17,2.0,36.49,21.88,58.32
20150701,27.63,34.32,4.42,1.86,31.03,22.17,61.89
20150702,27.49,35.18,8.36,1.8,34.92,21.23,54.62
20150703,27.84,35.78,2.45,1.89,34.26,20.13,56.7
20150704,21.23,35.92,19.17,1.4,26.75,20.93,75.11
20150705,22.25,35.53,5.45,2.13,26.68,20.9,80.11
20150706,28.31,34.82,0.27,1.77,32.26,20.42,69.51
20150707,29.07,34.63,0.01,1.99,34.97,21.23,56.46
20150708,29.11,34.54,0.0,2.8,34.13,21.46,51.89
20150709,25.74,34.56,2.57,2.95,31.6,19.67,57.95
20150710,19.25,35.43,0.09,2.14,29.88,19.18,57.2
20150711,29.1,34.31,0.18,2.0,35.16,20.17,47.61
20150712,28.09,35.96,2.57,1.75,37.61,22.64,44.94
20150713,24.87,36.75,1.77,1.96,33.89,22.49,54.42
20150714,24.08,35.35,19.26,1.32,24.85,21.5,72.8
20150715,26.69,34.62,3.47,1.09,30.57,20.49,66.55
20150716,24.09,35.14,4.73,0.98,28.34,20.59,67.7
20150717,24.21,34.92,1.54,1.4,29.23,20.0,69.33
20150718,21.53,34.99,17.98,1.92,29.4,20.39,74.95
20150719,28.38,34.2,9.52,1.3,31.62,19.44,64.74
20150720,28.42,34.79,0.08,1.78,33.89,20.12,55.0
20150721,26.0,34.75,8.66,1.54,29.64,21.15,71.48
20150722,23.68,35.21,2.66,1.49,31.3,20.72,65.83
20150723,21.4,35.44,12.74,1.6,25.03,20.03,85.75
20150724,22.96,35.9,3.93,1.07,31.93,19.34,71.69
20150725,27.7,35.95,11.33,1.12,31.95,21.27,68.14
20150726,20.81,35.75,0.76,1.95,32.45,20.97,71.53
20150727,27.07,34.28,0.01,1.06,30.82,19.96,67.8
20150728,26.92,35.13,3.9,1.4,30.44,21.18,74.18
20150729,27.05,34.84,0.15,1.54,31.47,20.33,69.97
20150730,28.15,35.57,7.68,1.23,32.11,20.24,65.1
20150731,26.71,36.01,6.52,1.45,32.72,21.15,62.19
20150801,22.55,36.18,0.24,1.38,30.34,21.86,63.73
20150802,26.37,35.52,6.8,0.97,32.71,20.52,63.35
20150803,21.42,36.2,0.09,0.64,28.69,22.98,63.98
20150804,26.48,35.54,1.99,1.2,29.67,21.71,67.86
20150805,26.67,35.17,9.08,1.18,28.82,21.15,74.7
20150806,22.22,35.55,5.18,1.79,31.8,22.07,71.56
20150807,21.77,35.23,0.81,1.61,30.4,21.3,70.0
20150808,25.62,34.11,0.77,0.94,29.81,20.98,71.33
20150809,18.33,35.04,17.5,1.13,29.43,21.22,69.45
20150810,25.69,34.72,7.24,1.07,28.9,19.43,75.55
20150811,25.8,35.0,0.95,1.55,31.04,20.9,70.77
20150812,23.76,36.16,0.13,1.49,33.1,21.79,60.76
20150813,26.36,35.39,0.0,1.22,35.9,21.39,53.31
20150814,25.84,36.53,0.0,1.11,36.8,22.28,52.52
20150815,26.33,36.93,3.61,1.84,35.59,22.47,60.33
20150816,24.3,35.9,16.43,1.76,35.31,22.3,70.66
20150817,21.4,35.66,21.07,1.9,30.93,21.37,80.39
20150818,21.76,36.15,0.74,1.65,30.73,20.42,75.49
20150819,25.46,34.75,0.29,1.51,31.81,20.38,67.86
20150820,25.36,34.27,0.14,1.22,32.51,21.29,68.91
20150821,24.19,34.38,0.5,1.51,28.91,20.52,81.68
20150822,22.67,33.92,0.1,1.04,26.77,20.56,79.64
20150823,25.21,34.37,4.83,1.24,30.85,20.81,66.59
20150824,22.89,35.27,0.96,1.27,31.17,20.29,64.99
20150825,22.68,35.3,2.93,0.95,30.7,21.38,69.94
20150826,24.76,35.24,0.41,1.38,31.93,21.62,64.81
20150827,20.92,35.87,4.86,1.19,33.37,21.01,62.2
20150828,24.33,35.78,0.8,0.83,33.58,21.49,59.98
20150829,24.11,35.74,5.44,1.61,32.03,21.55,64.12
20150830,22.87,35.48,0.24,1.89,32.94,20.41,68.26
20150831,15.63,35.3,1.92,1.12,28.23,21.32,77.32
20150901,23.09,34.76,0.5,0.97,29.22,20.23,73.92
20150902,11.17,36.05,5.36,0.74,29.83,20.98,66.83
20150903,7.04,35.72,12.36,1.03,26.59,20.17,78.66
20150904,15.31,35.52,1.7,1.37,26.68,19.53,79.89
20150905,21.41,35.12,0.0,1.57,30.73,19.46,67.4
20150906,21.09,35.61,0.34,1.18,29.54,20.19,69.61
20150907,24.18,35.29,0.04,1.4,32.86,20.63,63.11
20150908,11.36,35.46,6.55,0.88,27.92,20.71,76.32
20150909,16.06,34.85,0.14,1.13,27.69,19.93,75.11
20150910,14.83,36.0,8.56,1.14,26.39,20.37,78.41
20150911,21.78,35.42,0.91,1.0,30.99,19.45,65.93
20150912,21.56,35.76,0.0,1.8,32.94,19.83,58.34
20150913,20.41,34.5,0.01,1.75,30.47,19.84,63.69
20150914,22.12,33.45,0.3,1.66,30.24,18.89,68.73
20150915,20.64,34.63,0.37,1.65,30.41,20.32,69.88
20150916,22.28,34.07,0.0,1.42,32.15,19.33,65.92
20150917,22.39,34.22,0.01,1.5,33.41,19.93,56.9
20150918,23.44,34.23,2.93,1.02,34.84,20.23,55.18
20150919,11.3,36.05,1.04,1.93,27.06,20.41,77.38
20150920,4.51,35.01,22.29,1.71,24.07,19.6,83.17
20150921,10.82,35.22,34.75,3.53,25.37,19.36,90.85
