DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20230101,6.28,25.95,7.84,6.02,13.51,4.65,77.16
20230102,10.69,24.31,1.95,4.11,9.48,0.57,73.55
20230103,10.89,23.16,0.45,2.85,12.09,-0.38,73.39
20230104,14.24,22.0,0.0,1.38,15.06,1.55,54.86
20230105,11.96,23.28,0.01,2.26,19.19,-0.05,45.47
20230106,14.23,22.37,0.0,1.6,18.2,2.29,50.47
20230107,14.25,21.98,0.0,2.64,16.4,2.31,48.64
20230108,14.81,20.91,0.0,2.09,18.39,0.04,43.95
20230109,14.59,21.99,0.0,1.87,20.1,4.28,36.25
20230110,10.64,22.85,0.0,1.76,16.56,3.92,38.33
20230111,12.99,23.52,0.0,2.66,16.32,2.16,48.73
20230112,14.77,21.91,0.0,4.25,15.27,1.56,39.98
20230113,14.81,22.78,0.0,3.14,19.9,1.22,43.49
20230114,12.21,25.03,0.0,2.78,20.35,2.67,43.89
20230115,3.09,26.66,5.87,5.33,11.31,6.38,63.84
20230116,1.78,27.6,10.87,5.42,10.65,6.13,76.0
20230117,8.56,24.81,11.09,4.66,9.58,-1.36,75.59
20230118,12.02,21.59,0.04,2.48,8.1,-3.34,72.12
20230119,15.63,19.96,0.0,1.84,13.67,-1.64,55.45
20230120,15.89,19.26,0.0,3.09,12.34,-3.08,56.08
20230121,16.5,18.14,0.0,2.25,9.17,-5.1,58.24
20230122,16.5,19.9,0.0,2.36,14.46,-2.89,48.28
20230123,9.79,23.6,0.61,3.42,5.81,-5.12,60.26
20230124,16.25,18.42,0.0,2.66,7.98,-6.09,70.19
20230125,16.88,18.69,0.0,1.92,11.22,-4.3,59.39
20230126,16.88,18.21,0.0,4.04,8.64,-4.34,51.43
20230127,17.15,19.4,0.05,2.18,13.48,-4.08,45.5
20230128,14.63,20.81,0.0,2.61,15.47,-1.93,41.4
20230129,17.18,19.69,0.0,3.67,15.6,-2.91,47.06
20230130,17.57,19.87,0.0,2.96,16.07,-2.44,60.39
20230131,17.4,20.67,0.0,2.17,13.93,-1.03,61.51
20230201,14.33,22.92,0.21,1.44,13.07,0.02,63.7
20230202,17.72,20.57,0.0,1.62,15.63,-1.58,57.85
20230203,16.1,21.89,0.0,4.35,17.63,-0.69,40.79
20230204,18.16,21.13,0.0,1.71,21.14,-0.93,38.15
20230205,18.36,22.07,0.0,2.46,23.87,5.3,31.37
20230206,18.56,20.55,0.0,3.63,16.78,0.29,45.44
20230207,17.66,19.32,0.0,2.46,10.18,-3.88,52.09
20230208,18.68,19.52,0.0,1.74,14.09,-3.43,54.83
20230209,19.07,19.19,0.0,3.34,14.73,-1.84,41.97
20230210,19.74,18.71,0.0,5.74,11.31,-3.16,40.25
20230211,12.82,24.19,0.0,4.18,19.25,-0.37,35.22
20230212,17.81,22.57,0.0,3.31,20.22,2.54,40.56
20230213,13.18,23.42,0.76,4.44,9.49,0.14,65.07
20230214,16.41,22.72,0.43,6.25,11.86,-2.32,71.96
20230215,11.63,23.48,3.88,5.6,7.16,-5.65,61.03
20230216,20.75,17.61,0.0,2.99,9.17,-5.98,41.53
20230217,15.2,21.53,0.0,6.67,11.06,-4.35,35.8
20230218,18.79,24.52,0.04,2.21,19.15,1.59,52.4
