DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20130101,11.97,22.34,0.0,0.98,21.96,4.99,48.3
20130102,14.36,24.05,0.14,1.39,22.6,9.37,58.69
20130103,6.35,25.56,1.84,0.73,18.38,9.0,67.82
20130104,16.56,21.34,0.14,1.06,22.5,8.19,58.54
20130105,16.98,21.5,0.0,1.27,25.29,7.74,47.16
20130106,15.13,23.95,0.0,1.55,28.16,7.46,35.38
20130107,16.61,23.63,0.19,1.49,22.86,8.53,42.91
20130108,9.31,25.4,5.11,1.09,16.21,6.85,62.65
20130109,16.55,22.01,0.56,1.36,23.24,4.04,52.09
20130110,15.41,23.14,0.09,1.11,23.29,6.73,50.31
20130111,5.86,26.9,0.03,0.86,20.76,9.52,47.09
20130112,17.44,19.83,0.0,1.53,16.78,4.92,41.6
20130113,17.48,18.66,0.0,1.48,18.15,2.38,37.29
20130114,17.67,19.03,0.0,1.62,17.49,3.54,34.51
20130115,18.17,18.36,0.0,1.46,18.19,1.44,29.65
20130116,18.34,19.43,0.0,2.08,26.59,4.38,21.04
20130117,17.53,22.65,0.0,2.16,28.83,8.41,21.86
20130118,13.3,27.05,0.0,1.35,28.93,11.49,36.26
20130119,16.61,25.69,0.0,1.29,28.89,15.96,47.45
20130120,17.04,25.41,0.0,1.26,30.27,13.18,45.38
20130121,15.54,26.3,0.34,1.3,28.67,14.01,41.72
20130122,16.99,25.44,0.22,1.02,29.7,12.16,46.12
20130123,15.58,26.18,0.0,1.64,30.06,12.55,40.59
20130124,15.42,27.6,0.0,1.16,30.8,17.06,34.89
20130125,15.82,28.07,0.02,1.26,31.6,15.43,35.35
20130126,8.98,29.73,0.51,1.11,26.64,16.97,52.97
20130127,13.89,26.4,0.05,1.33,25.67,12.61,66.38
20130128,13.5,25.88,0.0,1.7,22.77,11.11,69.95
20130129,18.97,21.55,0.0,1.87,19.51,6.88,50.46
20130130,17.84,23.19,0.0,1.22,25.26,4.81,27.62
20130131,13.43,26.41,0.01,1.54,30.47,9.55,24.75
20130201,17.2,25.13,0.16,1.26,29.02,11.16,26.42
20130202,16.2,26.74,0.0,1.5,33.17,12.59,21.63
20130203,9.99,29.27,0.05,1.3,30.75,16.4,28.67
20130204,12.88,28.39,0.49,1.39,28.65,16.4,34.0
20130205,15.38,26.81,0.04,1.38,26.68,14.08,39.95
20130206,18.84,23.09,0.13,1.33,25.79,10.78,39.1
20130207,20.41,21.84,0.0,1.32,27.19,10.73,29.22
20130208,13.1,26.43,0.0,1.28,26.16,12.01,27.34
20130209,16.5,26.07,0.0,1.44,22.6,10.53,38.3
20130210,11.91,26.49,0.0,1.43,22.5,9.04,32.99
20130211,14.92,26.46,0.03,1.59,20.63,7.74,51.88
20130212,20.53,21.4,0.0,1.48,21.96,6.15,48.59
20130213,21.74,20.04,0.0,1.47,23.88,5.41,28.78
20130214,21.9,21.04,0.0,1.55,28.24,5.38,22.54
20130215,14.92,24.55,0.0,1.15,26.78,8.63,19.37
20130216,21.47,23.47,0.0,2.27,30.67,13.18,20.79
20130217,20.36,23.51,0.0,1.4,28.3,12.64,21.76
20130218,21.39,22.82,0.0,1.42,29.85,10.08,19.03
20130219,9.33,27.58,0.05,1.22,25.59,13.93,22.67
20130220,22.23,22.11,0.6,1.5,22.86,8.94,45.65
20130221,22.97,20.16,1.43,1.28,22.87,6.47,45.05
20130222,22.61,20.97,0.0,1.28,24.64,7.24,26.3
20130223,23.37,21.0,0.0,1.44,28.94,8.03,24.61
20130224,22.46,21.39,0.0,1.62,24.73,9.97,33.62
20130225,23.64,20.64,0.0,1.41,25.84,5.52,28.47
20130226,17.11,24.35,0.0,1.36,27.28,8.42,17.36
20130227,22.89,22.54,0.0,1.33,28.04,11.43,19.0
20130228,20.84,22.82,0.0,2.02,29.45,9.52,12.05
20130301,24.87,20.57,0.0,2.25,32.22,9.15,12.95
20130302,24.71,21.77,0.0,2.1,34.64,10.54,12.98
20130303,24.79,22.46,0.0,1.85,33.87,13.08,14.3
20130304,23.8,23.3,0.0,1.71,31.16,14.12,15.52
20130305,21.96,26.85,0.0,1.58,31.56,15.62,19.53
20130306,16.63,27.09,0.0,1.03,29.42,16.93,23.24
20130307,12.5,28.02,0.76,1.4,29.47,15.32,27.27
20130308,14.38,29.56,0.11,1.73,25.82,14.41,45.72
20130309,23.39,22.64,0.01,1.74,23.04,8.86,47.32
20130310,25.42,20.69,0.0,1.35,23.86,6.71,28.53
20130311,25.19,21.83,0.0,1.9,31.55,8.78,20.38
20130312,26.13,22.57,0.0,1.73,33.84,10.84,14.06
20130313,25.63,23.34,0.0,1.61,36.03,11.5,13.27
20130314,25.83,24.03,0.0,1.71,36.66,13.67,13.82
20130315,24.75,25.21,0.0,1.66,33.89,16.2,17.39
20130316,25.62,24.29,0.0,1.77,33.11,15.16,18.31
20130317,26.38,22.9,0.0,2.0,30.67,14.31,27.03
20130318,26.38,22.83,0.0,1.69,31.89,13.01,23.51
20130319,25.42,24.68,0.0,1.72,32.71,14.36,19.29
20130320,25.82,25.48,0.0,1.78,36.78,14.84,16.6
20130321,22.89,25.42,0.0,1.67,32.69,16.72,20.91
20130322,26.44,24.43,0.0,2.17,30.93,14.8,33.5
20130323,27.17,23.08,0.0,2.02,29.42,13.64,42.27
20130324,27.67,22.4,0.0,1.72,32.72,12.28,24.88
20130325,26.41,24.62,0.0,1.6,32.75,12.69,20.24
20130326,27.34,23.73,0.0,1.71,33.31,13.89,16.16
20130327,25.64,25.92,0.0,1.62,31.89,17.89,19.56
20130328,23.59,26.35,0.0,1.83,32.46,15.62,27.98
20130329,25.93,26.39,0.0,1.67,33.87,17.24,23.84
20130330,22.31,28.13,0.0,2.03,35.44,18.33,17.79
20130331,22.51,26.91,0.0,2.1,34.89,18.85,20.35
20130401,28.3,24.23,0.0,1.83,33.56,16.2,23.63
20130402,28.23,24.02,0.0,1.64,31.81,15.0,30.04
20130403,28.59,23.61,0.0,1.65,33.3,14.88,24.64
20130404,27.81,25.48,0.0,1.58,36.46,14.16,20.26
20130405,26.14,25.75,0.0,1.37,32.89,19.32,21.6
20130406,28.8,24.37,0.0,1.98,34.05,15.03,23.87
20130407,28.36,24.9,0.0,2.19,33.57,15.27,28.18
20130408,28.46,25.33,0.0,2.6,30.83,15.4,36.78
20130409,27.71,24.2,0.0,2.28,27.7,13.76,52.24
20130410,28.16,22.97,0.0,1.7,26.31,11.61,31.43
20130411,29.63,22.61,0.0,1.64,31.64,10.27,20.41
20130412,29.53,23.16,0.0,2.08,29.59,12.56,23.72
20130413,29.48,23.3,0.0,1.77,29.73,12.69,33.88
20130414,29.56,24.08,0.0,1.78,30.2,13.79,37.44
20130415,27.7,24.68,0.0,1.54,30.14,15.54,31.5
20130416,29.74,24.11,0.0,1.79,31.64,14.17,36.41
20130417,29.24,24.73,0.0,2.04,29.77,13.5,49.38
20130418,29.46,23.66,0.0,1.63,31.51,14.24,31.44
20130419,30.75,23.61,0.0,2.03,35.1,12.15,14.24
20130420,30.95,23.98,0.0,1.79,34.21,12.76,15.55
20130421,30.4,24.19,0.0,1.67,33.68,16.26,16.89
20130422,30.83,23.88,0.0,1.66,34.77,18.92,14.49
20130423,30.75,23.99,0.0,1.85,33.31,16.55,21.94
20130424,30.18,24.57,0.0,1.81,34.69,14.84,22.62
20130425,30.11,24.8,0.0,1.81,34.76,17.78,22.43
20130426,30.64,24.49,0.0,1.77,36.23,16.71,20.08
20130427,31.05,24.53,0.0,1.9,35.56,18.14,14.12
20130428,30.88,24.27,0.0,1.73,35.02,16.58,17.25
20130429,29.79,25.64,0.0,1.95,34.96,16.24,20.19
20130430,30.27,25.37,0.0,1.94,34.78,17.64,26.67
20130501,30.96,24.86,0.0,1.93,34.21,16.34,30.38
20130502,30.65,26.22,0.0,1.82,39.35,16.47,22.83
20130503,24.86,28.52,0.0,3.22,36.8,20.12,25.91
20130504,29.08,26.27,0.0,2.57,33.61,17.67,33.65
20130505,30.52,25.87,0.0,2.22,33.03,15.88,34.12
20130506,25.4,28.64,0.0,2.07,34.47,17.27,28.91
20130507,29.04,27.33,0.0,1.94,34.08,20.21,30.25
20130508,25.05,27.78,0.0,1.98,32.11,16.8,31.25
20130509,26.42,27.76,0.0,1.84,33.4,19.29,25.41
20130510,29.22,25.31,0.0,2.05,32.33,16.38,25.58
20130511,27.13,27.71,0.0,1.64,34.57,15.35,25.54
20130512,22.76,29.23,0.34,2.08,35.89,18.29,31.48
20130513,26.65,28.82,0.06,2.44,35.43,19.68,30.6
20130514,31.33,25.27,0.0,1.74,34.44,18.49,25.57
20130515,31.15,26.4,0.0,1.82,35.91,18.06,23.1
20130516,31.22,26.36,0.0,1.88,35.98,19.37,23.95
20130517,25.17,27.64,0.0,1.49,33.94,19.55,25.85
20130518,31.83,24.6,0.0,1.87,37.29,18.18,22.6
20130519,31.83,25.29,0.0,2.06,36.94,17.19,18.56
20130520,31.74,25.5,0.0,1.92,36.75,17.53,21.95
20130521,32.0,25.88,0.0,1.81,37.45,18.42,23.32
20130522,30.6,27.16,0.0,1.63,37.25,20.14,21.46
20130523,27.61,28.07,0.0,1.85,36.91,19.32,25.34
20130524,31.19,26.38,0.0,1.83,36.77,20.91,23.84
20130525,31.17,26.94,0.0,1.96,37.6,18.52,22.64
20130526,31.42,26.89,0.0,1.95,37.94,19.76,22.45
20130527,31.54,26.15,0.0,1.97,37.13,20.63,20.9
20130528,30.88,26.45,0.0,1.71,36.29,19.56,22.98
20130529,31.45,25.89,0.0,2.42,35.19,17.51,36.89
20130530,31.9,26.19,0.0,2.04,35.35,18.19,40.51
20130531,31.88,27.27,0.0,1.71,38.5,20.22,32.56
20130601,32.04,27.27,0.0,1.74,40.5,20.43,25.98
20130602,30.79,28.18,0.0,1.93,40.45,20.76,28.84
20130603,30.28,29.14,0.01,1.91,39.86,22.36,28.93
20130604,30.63,28.81,0.0,2.15,40.68,22.14,27.47
20130605,31.81,27.91,0.0,2.26,41.26,21.8,26.88
20130606,32.3,26.85,0.0,2.04,38.58,21.79,21.88
20130607,29.93,29.23,0.0,1.82,37.98,20.95,29.64
20130608,22.19,33.22,0.31,1.96,36.15,21.19,52.3
20130609,27.18,31.17,0.02,1.91,37.67,22.85,52.17
20130610,24.69,32.76,0.09,1.82,37.33,23.69,44.76
20130611,27.21,31.18,0.4,2.07,38.58,23.03,44.31
20130612,27.01,32.21,0.04,2.05,37.79,23.17,41.49
20130613,24.3,33.7,1.6,1.89,37.15,23.17,40.36
20130614,28.99,32.16,0.4,1.8,37.85,23.43,37.46
20130615,28.3,31.47,0.14,1.81,39.36,24.18,33.76
20130616,28.28,31.91,1.03,2.05,40.28,24.63,31.12
20130617,30.15,31.46,0.85,1.86,40.34,24.05,34.9
20130618,28.62,31.58,0.17,1.77,41.68,24.51,30.2
20130619,27.9,31.69,0.01,1.86,40.66,24.07,32.45
20130620,28.12,32.12,0.48,2.04,39.18,24.82,45.27
20130621,29.1,31.84,2.32,1.99,39.91,25.82,42.74
20130622,27.67,32.02,0.71,2.02,39.35,23.74,45.88
20130623,28.79,31.64,0.72,1.87,39.41,23.91,43.07
20130624,28.81,31.84,2.55,1.92,37.98,23.92,42.15
20130625,27.83,32.94,5.32,1.73,37.43,23.23,46.9
20130626,24.93,33.49,11.42,1.57,32.38,23.05,70.8
20130627,25.36,32.91,2.58,1.49,32.95,22.26,66.12
20130628,28.06,33.33,0.67,1.72,37.5,21.94,56.74
20130629,28.18,31.94,0.23,1.78,40.51,21.85,48.02
20130630,25.38,32.66,0.02,1.82,38.59,24.45,48.66
20130701,22.56,32.94,8.58,1.45,35.6,23.85,58.69
20130702,24.02,32.94,3.58,0.87,30.62,23.38,68.62
20130703,23.42,32.79,4.15,1.12,34.57,23.99,61.44
20130704,25.93,32.09,0.35,1.1,34.8,23.76,63.67
20130705,19.57,33.3,0.88,1.21,34.26,24.2,60.39
20130706,27.11,32.29,0.02,1.35,35.57,24.41,59.55
20130707,23.1,33.54,0.65,2.14,37.26,23.61,54.9
20130708,16.28,34.14,6.93,2.07,32.94,23.34,69.08
20130709,14.57,33.19,8.95,1.25,30.41,23.18,77.31
20130710,21.62,32.89,3.69,1.18,33.92,22.09,63.69
20130711,24.38,32.72,5.22,1.34,34.21,22.91,60.32
20130712,24.87,32.91,3.82,1.53,34.14,22.76,64.59
20130713,24.32,32.62,7.69,1.39,35.23,22.05,67.63
20130714,27.14,31.35,0.89,1.55,36.15,22.94,62.6
20130715,15.7,33.11,6.86,1.22,29.86,24.24,75.33
20130716,19.85,33.02,6.54,1.08,31.43,23.87,76.88
20130717,12.04,32.8,35.88,1.19,27.12,22.79,87.06
20130718,10.69,32.54,20.8,1.43,26.5,22.05,89.15
20130719,12.5,33.73,7.61,1.7,29.51,21.37,79.53
20130720,17.08,33.47,2.13,1.13,30.91,21.68,74.08
20130721,20.72,32.82,1.44,1.38,31.89,21.49,70.48
20130722,22.06,33.0,1.34,1.25,32.34,21.34,67.05
20130723,21.61,33.27,6.68,1.14,32.45,21.48,68.22
20130724,20.36,33.38,3.1,1.01,30.62,22.08,72.93
20130725,25.35,32.83,6.71,0.81,33.28,23.54,68.69
20130726,27.57,31.96,0.48,1.12,34.82,23.42,69.26
