DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20120101,14.26,24.15,0.0,3.07,29.75,11.42,28.09
20120102,14.24,23.77,0.0,3.23,30.8,11.53,27.99
20120103,13.55,24.92,0.0,2.9,29.07,11.84,28.66
20120104,14.53,23.37,0.0,3.0,27.82,11.21,28.73
20120105,14.87,22.06,0.0,3.23,26.42,10.23,28.05
20120106,14.57,22.55,0.0,1.68,24.68,9.54,27.15
20120107,14.35,22.9,0.0,2.67,23.0,8.04,35.79
20120108,14.65,20.91,0.0,2.43,16.12,5.53,43.94
20120109,14.19,21.4,0.0,2.36,19.36,3.08,42.48
20120110,14.79,22.15,0.0,2.01,21.84,5.5,38.19
20120111,12.63,24.37,0.0,1.45,19.17,7.44,36.44
20120112,6.95,27.23,0.0,2.01,21.34,7.65,34.58
20120113,15.41,21.24,0.0,2.38,22.38,4.93,34.67
20120114,10.56,25.24,1.93,2.55,21.36,5.91,28.97
20120115,9.07,26.82,0.03,1.57,19.32,9.91,37.59
20120116,9.91,26.32,0.77,2.36,19.21,9.02,68.2
20120117,15.59,21.86,0.0,1.28,20.35,6.75,63.54
20120118,15.79,22.34,0.0,1.88,23.91,5.49,36.27
20120119,16.07,22.42,0.0,1.79,25.75,8.44,26.86
20120120,16.14,22.12,0.0,1.68,24.26,10.04,25.24
20120121,10.17,25.25,0.0,2.44,22.6,6.49,37.31
20120122,16.11,21.66,0.0,2.42,20.68,4.7,51.33
20120123,14.26,24.07,0.0,1.82,21.33,7.33,34.07
20120124,15.51,22.61,0.0,2.85,17.29,4.48,54.83
20120125,16.21,22.11,0.0,2.58,20.64,4.38,42.91
20120126,16.52,22.72,0.0,2.4,26.11,6.94,31.22
20120127,16.01,24.72,0.0,1.61,25.51,9.43,32.63
20120128,16.31,24.89,0.0,2.1,25.64,11.36,35.28
20120129,16.98,22.71,0.0,2.94,26.46,9.12,30.41
20120130,17.03,22.4,0.0,2.15,24.34,8.25,29.89
20120131,16.97,22.25,0.0,2.33,22.48,7.02,34.33
20120201,16.82,21.93,0.0,2.02,22.59,6.52,31.19
20120202,17.6,20.89,0.0,2.13,21.74,7.93,27.38
20120203,16.27,21.92,0.0,2.09,20.46,4.09,28.89
20120204,15.88,23.77,0.0,1.64,22.41,7.36,28.24
20120205,17.27,22.99,0.0,2.04,23.84,7.97,31.4
20120206,16.37,24.04,0.0,1.81,23.63,8.95,32.3
20120207,16.95,25.04,0.07,2.17,21.13,10.11,35.6
20120208,12.1,27.15,1.09,2.35,21.6,10.14,50.61
20120209,17.85,24.16,0.0,2.27,25.19,9.12,47.84
20120210,18.46,23.58,0.0,1.66,26.84,9.38,31.2
