DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20190101,15.32,22.77,0.0,1.1,15.09,-0.53,50.22
20190102,12.95,22.65,0.06,1.26,9.02,-3.65,63.8
20190103,16.45,20.86,0.0,1.01,19.72,-3.44,38.19
20190104,16.08,22.86,0.0,1.15,23.33,1.05,30.09
20190105,12.03,26.43,0.06,1.06,21.48,4.24,41.36
20190106,2.98,29.47,12.24,0.76,12.41,8.75,85.25
20190107,13.4,27.09,0.07,0.77,22.29,5.76,66.25
20190108,6.86,29.86,0.01,0.69,20.08,8.74,64.7
20190109,9.72,31.16,0.05,0.98,23.77,12.01,62.57
20190110,6.99,29.62,9.51,1.0,20.5,8.21,71.12
20190111,14.66,27.06,1.61,0.79,17.92,6.57,67.71
20190112,15.79,24.83,0.0,1.09,18.62,2.02,58.97
20190113,16.28,23.79,0.0,1.16,17.92,2.8,58.74
20190114,10.74,26.47,0.03,0.93,19.33,1.5,46.73
20190115,14.27,26.85,0.0,1.03,20.03,5.19,59.84
20190116,13.43,27.92,0.0,0.74,20.74,8.32,60.96
20190117,12.93,27.3,0.0,0.9,22.56,7.09,46.53
20190118,16.76,25.55,0.0,1.17,21.49,7.07,46.8
20190119,17.3,24.51,0.0,1.31,21.34,3.41,44.51
20190120,17.3,24.56,0.0,1.38,25.73,3.32,34.21
20190121,16.63,25.4,0.0,1.48,22.66,5.11,43.13
20190122,17.71,23.01,0.0,0.99,13.78,0.82,55.15
20190123,18.14,21.67,0.0,0.98,19.03,-2.16,40.44
20190124,17.56,24.08,0.0,1.02,22.85,4.03,30.05
20190125,17.51,23.86,0.0,0.89,22.66,4.67,34.64
20190126,18.27,22.51,0.0,0.97,20.62,4.01,31.03
20190127,18.24,22.97,0.0,1.14,23.27,2.37,29.89
20190128,16.89,24.99,0.0,1.02,22.07,8.17,25.4
20190129,11.78,26.87,0.0,0.88,19.34,4.84,39.51
20190130,17.22,24.79,0.0,1.05,20.01,6.39,38.15
20190131,18.06,24.57,0.0,1.05,19.95,5.94,43.2
20190201,15.78,26.95,0.0,1.31,19.68,6.89,59.9
20190202,10.31,29.23,0.0,1.02,20.11,5.11,64.7
20190203,12.04,29.8,0.01,1.17,21.08,7.36,54.84
20190204,15.48,28.92,4.43,1.35,21.03,6.32,63.44
20190205,5.55,29.56,15.42,1.09,15.2,10.13,87.41
20190206,12.84,27.55,3.54,1.46,15.44,5.31,75.69
