DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20200101,14.55,22.21,0.01,1.49,15.45,1.47,77.69
20200102,14.0,22.56,0.38,2.07,12.38,-0.26,72.65
20200103,14.69,20.3,0.0,2.18,13.2,-2.55,63.98
20200104,14.77,21.62,0.0,2.1,21.33,0.52,52.38
20200105,15.25,21.44,0.0,1.63,22.62,3.63,50.21
20200106,15.56,20.61,0.0,3.59,18.09,1.69,52.25
20200107,14.88,20.82,0.0,3.25,20.0,0.58,50.76
20200108,13.98,21.61,0.0,1.98,16.34,3.92,56.41
20200109,15.17,21.45,0.0,3.08,14.71,-0.5,67.23
20200110,15.09,21.32,0.01,2.61,11.55,-1.23,73.83
20200111,15.26,20.12,0.0,1.77,15.53,-2.92,54.64
20200112,14.99,21.26,0.0,1.63,17.8,1.54,44.0
20200113,15.93,20.96,0.0,1.53,19.65,4.18,40.71
20200114,13.2,24.27,0.0,1.43,19.85,5.25,41.91
20200115,8.56,25.93,0.0,1.16,17.83,9.25,45.26
20200116,3.34,27.91,1.57,1.44,17.42,4.95,64.36
20200117,16.03,21.7,0.0,1.48,18.75,4.95,70.96
20200118,16.48,21.12,0.0,2.65,20.04,1.74,65.9
20200119,15.96,23.37,0.0,2.28,22.08,3.45,61.8
20200120,14.17,25.78,0.0,2.02,22.19,5.24,64.97
20200121,4.84,27.3,9.74,2.01,12.4,7.56,81.48
20200122,14.36,24.06,2.0,1.5,16.85,5.43,78.81
20200123,16.2,22.56,0.0,2.25,18.37,2.92,71.27
20200124,15.43,24.01,0.0,1.49,20.04,2.43,60.17
20200125,15.26,24.23,0.0,1.43,19.79,8.18,61.85
20200126,16.49,23.0,0.0,1.51,19.93,7.74,65.83
20200127,16.57,22.86,0.0,1.86,18.45,3.56,59.78
20200128,17.53,21.25,0.0,2.04,17.33,0.36,52.93
20200129,16.06,21.88,0.0,2.03,17.1,2.91,46.92
20200130,17.42,21.65,0.0,1.89,16.14,0.74,61.49
20200131,17.99,20.8,0.0,3.24,15.73,0.51,57.3
20200201,18.14,21.63,0.0,3.01,20.96,1.17,50.4
20200202,16.05,23.52,0.0,2.01,20.98,4.48,49.78
20200203,13.17,25.77,0.53,4.07,16.09,3.86,80.53
20200204,14.05,22.68,2.23,3.64,10.09,-3.56,70.08
20200205,18.32,18.07,0.0,2.56,8.87,-5.41,52.61
20200206,18.47,20.12,0.0,1.91,14.37,-4.22,52.13
20200207,18.79,21.61,0.0,1.7,19.86,-0.06,50.07
20200208,18.98,21.79,0.0,2.02,20.63,4.12,50.97
20200209,13.58,24.46,0.01,3.39,16.33,2.09,65.96
20200210,9.74,26.66,15.47,4.06,15.27,3.49,84.75
20200211,9.02,27.09,7.4,2.54,10.24,2.66,81.67
20200212,17.52,22.39,1.36,1.59,14.36,1.84,67.08
20200213,19.81,21.13,0.0,1.83,17.56,0.0,54.22
20200214,18.79,22.55,0.0,1.5,19.38,2.44,48.63
20200215,19.55,23.43,0.0,1.39,20.53,5.52,48.09
20200216,18.3,23.9,0.0,1.49,22.74,5.34,45.8
20200217,13.65,25.5,0.0,1.18,19.97,9.61,42.82
20200218,17.9,24.61,0.0,1.76,23.56,6.76,44.97
20200219,15.1,26.01,0.0,1.6,21.56,10.58,45.13
20200220,19.91,24.65,0.0,1.93,24.29,5.84,50.04
20200221,10.01,28.53,0.03,2.91,21.36,7.62,66.44
20200222,5.17,29.34,3.53,3.09,20.05,9.21,74.29
20200223,20.41,22.71,0.09,2.78,16.84,4.85,68.28
20200224,21.67,21.75,0.0,2.45,20.39,1.45,64.05
20200225,22.41,20.79,0.0,4.21,17.92,2.31,46.2
20200226,23.0,19.14,0.0,6.3,15.43,-0.61,36.92
20200227,19.9,22.1,0.0,4.32,19.56,-0.06,37.11
20200228,18.0,25.61,0.0,1.82,23.12,4.44,34.21
20200229,18.27,24.88,0.0,2.4,22.59,8.91,40.52
20200301,11.84,25.92,0.0,2.63,15.44,6.19,59.67
20200302,13.86,27.2,3.19,3.4,17.19,4.7,67.3
20200303,14.46,26.45,10.94,1.47,10.94,3.15,72.04
20200304,22.9,22.58,0.01,1.77,19.83,0.95,61.89
20200305,22.55,23.17,0.0,3.62,22.85,3.89,53.13
20200306,22.48,24.51,0.0,2.52,24.09,6.52,49.51
20200307,20.76,24.94,0.5,3.11,23.73,8.84,53.05
20200308,4.01,26.73,18.46,3.08,12.03,8.68,88.15
20200309,22.33,24.45,0.11,2.27,22.42,8.94,70.16
20200310,12.89,28.05,0.4,1.28,21.11,10.06,60.52
20200311,13.6,29.48,0.62,1.53,20.84,12.8,68.72
20200312,5.74,29.7,20.14,3.05,17.15,11.08,85.81
