DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20120101,14.45,25.91,0.0,3.98,27.81,9.04,28.57
20120102,14.45,25.83,0.0,4.97,27.74,9.85,27.63
20120103,14.24,25.87,0.0,2.8,27.55,9.18,29.3
20120104,14.88,24.97,0.0,3.4,24.68,9.41,29.44
20120105,15.2,23.38,0.0,3.21,24.06,8.9,23.22
20120106,14.8,24.18,0.0,1.56,22.82,9.88,23.1
20120107,13.49,25.13,0.0,2.66,20.34,6.0,34.32
20120108,15.16,22.38,0.0,2.4,13.99,2.86,44.82
20120109,14.84,22.64,0.0,2.72,16.86,1.37,47.63
20120110,15.24,23.15,0.0,1.93,20.85,2.96,39.29
20120111,13.94,25.42,0.0,1.57,18.37,5.94,35.41
20120112,11.08,27.34,0.0,2.14,20.02,6.79,34.98
20120113,15.65,23.05,0.0,2.96,20.21,3.75,35.27
20120114,9.31,27.49,1.65,2.83,19.93,4.57,27.42
20120115,12.9,27.22,0.05,1.67,17.71,9.89,36.01
20120116,14.19,27.11,3.14,2.41,17.08,7.32,68.17
20120117,15.71,23.6,0.0,1.42,18.8,4.61,61.47
20120118,14.67,25.09,0.0,1.93,23.27,3.45,34.2
20120119,16.39,23.73,0.0,1.81,24.52,7.06,25.05
20120120,16.61,22.84,0.0,1.68,23.11,9.21,22.34
20120121,14.13,25.2,0.0,2.26,21.68,4.81,33.84
20120122,16.52,23.16,0.0,2.32,18.99,2.61,51.13
20120123,15.46,24.53,0.0,1.86,20.51,5.55,34.43
20120124,16.19,23.63,0.0,2.75,15.21,3.63,53.97
20120125,16.59,23.54,0.0,2.51,19.19,2.35,46.67
20120126,16.96,23.54,0.0,2.1,25.07,4.41,30.16
20120127,16.84,24.81,0.0,1.42,24.08,11.02,26.77
20120128,16.5,26.67,0.0,2.27,23.65,9.52,33.81
20120129,17.08,24.63,0.0,3.33,24.16,7.32,30.85
20120130,17.09,23.85,0.0,2.17,22.75,6.21,33.53
20120131,17.27,23.09,0.0,2.42,21.02,6.02,35.1
20120201,16.85,23.82,0.0,1.94,21.54,4.67,32.5
20120202,17.92,22.54,0.0,2.09,19.88,6.49,26.56
20120203,16.19,24.57,0.0,1.96,18.77,2.37,30.07
20120204,14.68,26.02,0.0,1.67,19.87,6.22,30.14
20120205,17.64,24.28,0.0,2.56,22.27,5.86,35.31
20120206,17.33,25.0,0.0,2.02,21.43,6.24,37.06
20120207,16.96,26.4,0.09,2.27,19.96,7.91,38.12
20120208,8.43,28.88,1.42,2.6,18.91,8.09,54.88
20120209,18.0,25.73,0.0,2.55,23.46,6.6,53.37
20120210,18.67,24.96,0.0,1.8,24.72,6.99,34.66
20120211,18.85,24.75,0.0,3.56,24.37,7.42,33.48
20120212,18.82,23.74,0.0,3.14,17.96,6.32,53.45
20120213,19.14,23.4,0.0,2.48,17.68,2.3,53.9
20120214,16.16,24.63,0.23,3.18,13.13,3.66,59.42
20120215,19.78,23.19,0.0,2.34,16.82,-0.43,50.76
20120216,11.33,27.53,4.86,2.65,12.88,2.51,62.69
20120217,15.52,25.05,1.02,1.43,13.89,2.45,70.37
20120218,20.04,23.54,0.0,1.43,19.28,2.68,50.78
20120219,20.43,23.0,0.05,2.78,17.75,2.36,47.94
20120220,20.72,23.43,0.0,1.47,20.51,2.88,38.37
20120221,20.76,23.46,0.0,1.96,22.05,4.8,29.66
20120222,21.1,23.6,0.0,1.84,24.49,5.34,26.88
20120223,21.14,24.22,0.0,2.07,24.91,7.78,24.58
20120224,20.93,25.07,0.0,2.08,24.19,6.13,31.44
20120225,21.2,24.83,0.0,2.17,24.66,6.63,29.48
20120226,21.38,24.84,0.0,3.07,23.49,6.46,34.34
20120227,20.86,25.35,0.0,5.57,20.84,7.16,51.21
20120228,21.85,23.66,0.0,2.79,16.27,4.39,55.01
20120229,22.0,22.5,0.0,1.88,21.44,2.74,33.12
20120301,22.41,22.72,0.0,2.41,22.1,5.94,27.59
20120302,22.6,22.74,0.0,3.42,19.51,4.05,30.61
20120303,23.48,22.13,0.0,4.25,22.34,2.61,18.7
20120304,23.48,24.18,0.0,3.42,29.53,8.24,19.19
20120305,15.03,26.56,0.0,2.89,27.18,10.12,20.84
20120306,23.13,24.54,0.0,4.17,25.63,7.02,22.55
20120307,22.78,24.17,0.0,4.15,18.0,2.16,42.27
20120308,23.86,22.22,0.0,3.88,17.03,-0.08,26.98
20120309,23.51,22.95,0.0,5.83,19.19,4.55,34.1
20120310,23.33,23.94,0.0,3.77,19.66,3.45,36.34
20120311,23.68,24.22,0.0,2.03,23.96,3.61,26.64
20120312,21.09,24.67,0.0,2.14,24.88,7.73,17.82
20120313,23.74,23.52,0.0,2.61,25.99,5.22,15.94
20120314,24.02,24.49,0.0,1.94,26.77,8.31,18.32
20120315,24.68,25.06,0.0,1.97,28.17,10.03,14.74
20120316,25.61,24.23,0.0,2.67,28.53,10.41,13.08
20120317,24.03,26.43,0.0,4.68,24.64,8.48,37.77
20120318,10.08,28.3,5.13,6.2,11.85,5.64,67.24
20120319,11.12,27.5,5.18,3.52,8.38,2.42,74.83
20120320,25.4,22.53,0.0,3.54,16.0,-1.3,45.43
20120321,25.82,23.54,0.0,2.95,23.71,2.67,29.79
20120322,25.87,24.91,0.0,2.44,26.92,7.45,28.93
20120323,25.97,25.11,0.0,2.49,26.56,7.13,28.53
20120324,24.8,26.38,0.0,2.68,27.86,8.04,26.93
20120325,20.5,27.4,0.0,3.96,24.57,9.57,33.64
20120326,26.31,24.59,0.0,1.71,24.49,7.94,47.59
20120327,26.7,24.4,0.0,2.38,27.62,8.14,27.53
20120328,26.55,25.11,0.0,2.5,29.64,10.02,21.54
20120329,26.73,25.13,0.0,2.58,28.85,12.33,20.39
20120330,26.87,25.78,0.0,2.19,29.67,11.48,17.15
20120331,27.12,25.94,0.0,3.11,30.35,9.88,21.09
20120401,27.33,24.23,0.0,3.44,24.32,8.58,33.72
20120402,28.04,22.97,0.0,3.52,20.63,4.43,20.13
20120403,28.44,22.88,0.0,2.21,25.21,4.19,16.64
20120404,27.02,25.55,0.0,1.77,27.67,7.25,14.95
20120405,26.31,26.06,0.0,3.22,27.67,10.46,14.93
20120406,24.84,27.94,0.0,1.78,27.34,10.3,21.86
20120407,25.7,28.39,0.0,2.79,30.5,12.96,16.31
20120408,26.64,27.78,0.0,2.77,31.37,12.26,17.25
20120409,27.61,27.07,0.0,2.85,31.49,14.19,16.75
20120410,25.13,27.74,0.0,3.22,26.79,14.23,21.83
20120411,27.13,26.09,0.0,3.08,22.88,9.68,49.71
20120412,26.79,25.62,0.0,2.05,23.2,8.0,38.76
20120413,28.27,24.6,0.0,3.32,23.78,8.08,21.49
20120414,22.86,25.96,0.64,5.3,16.64,6.12,54.22
20120415,28.97,23.64,0.0,2.57,22.58,2.85,33.88
20120416,29.24,25.68,0.0,2.62,28.01,7.93,22.75
20120417,29.43,26.76,0.0,2.81,32.29,11.81,12.3
20120418,29.72,26.02,0.0,2.94,31.92,13.15,11.93
20120419,29.03,26.71,0.0,2.17,31.28,12.92,13.63
20120420,29.11,27.5,0.0,2.08,35.27,13.68,17.07
20120421,29.19,28.48,0.0,2.75,35.9,15.97,14.95
20120422,29.32,27.83,0.0,2.77,37.17,17.29,13.37
20120423,24.81,29.15,0.0,2.99,33.84,17.28,21.71
20120424,29.91,26.79,0.0,2.44,34.37,14.45,17.4
20120425,17.1,30.66,0.0,2.7,30.29,16.54,16.26
20120426,29.26,28.11,0.0,3.6,25.01,12.46,32.06
20120427,30.29,26.71,0.0,2.19,31.22,9.34,22.13
20120428,30.08,27.23,0.0,2.37,31.87,12.35,21.46
20120429,29.91,27.15,0.0,2.75,29.85,12.0,26.12
20120430,30.08,27.52,0.0,2.43,31.09,14.33,22.85
20120501,30.44,26.79,0.0,3.12,31.0,11.99,25.45
20120502,30.43,26.34,0.0,3.6,29.11,10.83,27.84
20120503,30.91,26.12,0.0,3.03,32.18,11.42,28.09
20120504,31.08,26.33,0.0,2.37,33.64,13.75,13.91
