DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20240101,13.96,24.78,0.03,2.37,20.06,4.65,41.03
20240102,14.2,24.34,0.07,0.83,16.86,7.18,58.15
20240103,14.77,23.57,0.0,1.8,19.77,3.98,43.09
20240104,12.91,24.18,0.13,2.14,13.78,3.31,57.0
20240105,15.4,21.74,0.0,1.32,14.98,1.03,46.65
20240106,16.08,20.58,0.0,1.91,16.71,-0.42,34.84
20240107,15.55,21.45,0.15,3.8,15.24,1.26,32.52
20240108,16.3,20.0,0.01,1.98,9.24,-2.42,40.82
20240109,16.23,20.16,0.0,1.85,16.8,-4.13,25.18
20240110,16.3,21.09,0.0,2.09,18.94,2.77,18.73
20240111,15.45,22.28,0.01,3.37,13.69,0.02,49.24
20240112,16.47,20.55,0.0,1.91,18.21,-2.99,30.45
20240113,16.29,22.37,0.0,1.48,21.54,3.65,16.24
20240114,16.04,23.92,0.0,1.9,23.99,5.51,20.17
20240115,16.17,23.81,0.0,1.72,22.37,6.36,24.16
20240116,15.61,24.03,0.0,1.21,22.93,5.95,22.79
20240117,15.84,24.36,0.0,1.84,24.67,7.91,19.4
20240118,16.13,24.48,0.0,1.53,25.4,7.75,20.42
20240119,14.23,25.96,0.0,1.37,25.34,9.79,17.48
20240120,12.02,27.71,0.82,1.95,23.55,11.89,21.39
20240121,9.88,28.13,0.15,2.09,19.45,8.0,45.6
20240122,6.88,27.49,4.32,2.1,13.72,6.37,75.82
20240123,5.88,29.25,19.05,2.59,12.92,7.22,89.48
20240124,11.84,26.91,1.59,1.27,15.52,6.17,75.9
20240125,16.53,24.41,0.0,1.49,19.23,4.16,62.67
20240126,17.35,23.21,0.0,1.81,18.12,4.21,53.84
20240127,16.7,24.62,0.0,2.42,23.72,4.07,38.12
20240128,15.41,25.91,0.0,1.63,24.93,5.62,36.02
20240129,16.18,27.15,0.0,1.48,26.43,7.64,35.72
20240130,3.07,30.13,4.23,1.47,18.25,10.03,60.18
20240131,16.95,27.07,0.0,1.68,23.25,8.03,59.1
20240201,16.97,26.66,0.01,3.15,22.73,9.01,56.9
20240202,10.97,27.61,5.07,3.46,14.98,4.74,66.56
20240203,17.4,24.02,0.09,1.99,15.45,3.64,63.68
20240204,17.13,25.1,0.0,1.12,20.07,3.16,45.92
20240205,16.23,25.54,0.0,1.42,24.88,3.04,32.74
20240206,4.72,29.09,2.41,2.66,19.43,9.38,43.67
20240207,12.65,26.86,17.87,3.38,11.64,4.51,78.18
20240208,17.73,23.28,0.01,2.04,17.07,1.04,63.95
20240209,13.45,25.79,0.19,1.9,16.92,3.57,57.15
20240210,8.13,26.4,3.4,3.38,9.55,2.44,81.77
20240211,19.1,21.8,0.02,1.9,13.33,-1.19,60.98
20240212,20.47,20.98,0.0,1.36,21.43,-2.27,31.63
