DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20100101,15.51,24.9,0.03,1.69,26.2,4.4,37.8
20100102,15.61,24.36,0.0,1.29,25.19,8.45,33.92
20100103,15.78,24.31,0.0,1.41,25.44,8.14,33.16
20100104,15.96,23.92,0.0,1.61,26.38,5.22,33.63
20100105,15.32,24.47,0.0,1.51,25.09,6.11,31.24
20100106,15.19,23.35,0.0,1.43,24.18,7.89,27.75
20100107,16.24,22.97,0.0,1.65,23.43,6.73,29.08
20100108,15.95,23.46,0.0,1.37,23.68,7.26,30.84
20100109,15.95,24.41,0.0,1.57,24.33,4.97,33.01
20100110,11.78,25.94,0.0,1.81,23.75,4.37,30.1
20100111,14.58,25.74,0.0,1.28,23.65,7.79,33.21
20100112,16.05,25.18,0.0,1.72,25.36,6.52,36.63
20100113,13.8,25.72,0.0,1.74,23.34,6.56,36.9
20100114,15.99,23.53,0.0,1.88,19.0,6.16,39.0
20100115,15.36,24.05,0.0,2.16,22.51,4.68,43.26
20100116,14.79,25.72,0.0,1.5,21.47,3.86,42.48
20100117,11.26,25.65,0.0,1.81,21.37,6.82,32.59
20100118,16.5,24.56,0.0,2.05,22.72,5.63,38.93
20100119,16.73,24.15,0.03,2.48,20.74,6.5,49.55
20100120,7.62,29.22,4.12,2.45,16.46,6.87,80.41
20100121,7.62,30.12,1.81,4.94,17.95,9.04,79.91
20100122,3.79,30.77,51.37,6.98,15.29,9.58,87.64
20100123,11.13,26.97,4.94,2.89,13.72,6.44,76.77
20100124,18.04,21.66,0.0,2.07,16.12,1.28,56.33
20100125,17.71,23.08,0.0,1.38,23.76,1.27,39.12
20100126,16.9,24.59,0.0,1.48,23.27,9.0,38.88
20100127,6.16,28.58,12.08,2.48,18.7,8.45,70.67
20100128,7.92,28.3,9.93,1.85,13.61,7.8,83.53
20100129,16.89,24.57,0.06,1.1,18.0,4.99,67.44
20100130,13.99,26.29,0.0,1.57,18.13,3.36,65.16
20100131,14.0,27.02,0.0,1.43,18.26,6.47,67.21
20100201,14.6,25.79,0.0,1.23,19.01,5.87,68.87
20100202,11.55,27.02,4.41,1.68,19.4,8.09,72.31
20100203,7.72,29.43,21.7,2.19,13.1,7.56,89.1
20100204,16.26,26.8,0.77,0.87,17.31,7.16,73.0
20100205,18.93,23.82,0.0,1.01,20.57,4.78,62.43
20100206,19.48,23.24,0.0,1.67,21.66,6.01,55.91
20100207,19.31,23.76,0.0,2.03,18.47,5.63,65.78
20100208,17.69,24.17,0.82,1.33,17.01,4.46,61.79
20100209,16.79,24.18,1.81,1.53,17.06,4.02,54.04
20100210,8.32,27.7,10.06,2.49,12.93,5.74,78.79
20100211,20.06,22.77,0.36,1.12,15.03,2.52,68.78
20100212,19.35,24.23,0.0,1.52,19.93,3.64,55.3
20100213,19.78,24.53,0.0,1.32,23.65,3.81,47.9
20100214,20.41,24.37,0.0,1.25,22.82,6.35,43.87
20100215,19.78,24.6,0.0,1.51,24.05,4.69,46.7
20100216,20.72,24.55,0.0,1.37,24.08,9.3,39.44
20100217,20.75,24.56,0.0,1.43,23.29,5.49,46.89
20100218,21.12,23.91,0.0,1.69,22.38,7.37,43.19
20100219,20.04,24.95,0.0,2.15,21.28,5.85,49.53
20100220,19.64,24.76,0.02,2.86,17.96,4.74,63.85
20100221,16.14,26.21,0.06,1.87,17.31,5.75,67.33
