DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20080101,14.17,21.31,0.0,5.25,14.56,-2.97,37.62
20080102,12.1,24.01,0.0,3.62,18.92,0.11,39.9
20080103,10.33,24.43,0.0,1.45,19.28,0.72,48.41
20080104,10.18,24.82,0.01,1.87,15.93,5.17,57.86
20080105,11.95,24.13,0.0,3.17,18.23,4.1,64.77
20080106,13.54,23.29,0.01,4.23,13.92,3.71,67.27
20080107,11.93,23.13,0.01,5.21,9.95,5.61,84.49
20080108,15.28,21.42,0.0,0.96,17.37,3.74,61.37
20080109,15.23,21.0,0.0,2.01,15.27,1.87,58.06
20080110,15.45,20.39,0.0,1.05,17.12,0.29,42.63
20080111,14.57,21.12,0.0,1.27,16.83,2.62,34.44
20080112,15.93,19.4,0.0,1.44,15.86,-0.13,40.66
20080113,15.78,19.53,0.0,1.83,14.41,-1.67,41.27
20080114,14.45,20.34,0.0,3.85,9.77,-4.25,45.74
20080115,16.12,20.15,0.0,1.83,12.59,-3.75,47.17
20080116,15.61,19.55,0.0,2.55,11.03,-1.84,43.59
20080117,12.15,22.1,0.01,1.21,7.43,-3.38,62.67
20080118,15.89,19.59,0.0,1.19,10.94,-4.01,53.56
20080119,15.69,18.67,0.0,2.56,11.03,-3.71,42.41
20080120,16.08,20.36,0.0,1.75,15.71,-2.7,43.06
20080121,16.92,19.29,0.0,2.71,13.28,-1.96,41.94
20080122,9.23,23.46,0.0,1.66,13.43,-0.14,38.75
20080123,5.74,25.4,0.23,1.7,11.75,1.93,72.27
20080124,6.85,25.71,1.29,2.13,8.62,3.86,91.17
20080125,15.85,22.7,0.45,1.62,15.24,3.2,60.27
20080126,10.45,24.95,0.0,0.97,13.76,3.6,47.06
20080127,9.58,27.06,3.31,1.66,15.76,7.24,65.74
20080128,8.34,26.0,9.51,4.56,13.73,3.65,77.46
20080129,17.79,20.03,0.04,2.51,13.82,1.27,64.13
20080130,17.63,19.78,0.0,3.65,13.53,-1.3,52.85
20080131,18.3,18.14,0.0,2.0,12.02,-5.18,47.19
20080201,15.89,21.94,0.0,2.13,14.1,-1.6,36.33
20080202,15.09,21.8,0.0,3.21,14.81,-0.19,38.98
