DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20070101,7.72,23.04,0.0,1.89,17.09,-0.05,40.18
20070102,13.8,21.39,0.39,3.36,16.18,-0.21,54.53
20070103,14.05,22.38,0.0,2.98,15.7,0.78,58.88
20070104,15.01,21.79,0.0,1.74,18.64,4.09,42.13
20070105,13.38,22.49,0.03,3.35,15.12,0.52,66.47
20070106,15.27,20.04,0.0,3.5,13.27,0.13,64.64
20070107,15.62,20.23,0.0,5.23,15.18,0.42,39.69
20070108,14.96,21.63,0.0,5.02,21.6,0.5,31.26
20070109,14.84,23.32,0.0,3.7,23.34,3.14,36.35
20070110,5.95,26.92,0.16,1.87,18.77,3.15,46.13
20070111,13.25,26.54,0.49,2.69,17.9,6.64,73.64
20070112,8.05,26.43,2.32,4.88,14.84,5.49,79.51
20070113,10.54,24.64,0.02,3.1,12.33,0.76,72.09
20070114,16.47,17.74,0.0,1.41,10.34,-3.71,35.88
20070115,15.36,19.02,0.0,1.85,13.61,-5.07,31.98
20070116,16.35,18.78,0.0,3.19,16.34,-3.75,44.44
20070117,11.73,20.94,0.0,1.99,10.93,-3.97,54.56
20070118,8.13,24.39,4.93,1.74,10.76,0.54,75.58
20070119,11.88,24.3,19.08,2.3,9.82,0.41,80.25
20070120,11.03,23.5,1.3,2.05,9.41,0.33,70.2
20070121,14.33,22.33,0.33,2.33,11.56,-0.4,59.99
20070122,10.75,22.02,3.79,1.68,6.62,-2.62,66.2
20070123,16.81,19.5,0.01,3.27,11.06,-3.65,61.92
20070124,16.37,20.42,0.0,5.74,10.74,-2.7,60.02
20070125,13.67,23.09,0.13,5.31,10.99,0.04,69.26
20070126,15.77,22.58,0.04,1.63,13.32,-0.44,72.44
20070127,17.35,20.44,0.0,1.26,18.02,0.6,50.17
20070128,14.78,22.43,0.0,1.39,19.42,2.47,34.97
20070129,16.75,23.22,0.02,1.78,18.26,0.97,45.46
20070130,5.86,26.62,0.68,2.56,10.96,2.55,76.91
20070131,8.69,25.08,1.47,2.81,10.18,1.37,83.96
20070201,9.56,25.5,0.07,2.64,11.58,0.15,71.5
20070202,18.24,20.09,0.0,1.97,14.55,-2.5,62.01
20070203,18.8,19.82,0.0,3.55,17.39,-1.78,40.89
20070204,18.46,21.14,0.0,3.42,21.96,1.43,30.21
20070205,18.77,21.79,0.0,2.13,23.71,1.63,29.08
20070206,18.65,22.42,0.0,1.82,25.18,3.4,31.33
20070207,18.48,23.31,0.0,1.76,23.85,10.12,24.75
20070208,15.58,24.43,0.0,1.63,23.27,7.87,33.43
20070209,18.26,23.96,0.0,1.08,23.28,8.51,38.48
20070210,17.33,25.27,0.0,1.33,24.48,8.17,41.7
20070211,12.2,26.53,0.0,2.86,17.47,5.92,63.89
20070212,18.93,22.51,0.0,1.93,18.64,3.67,54.56
20070213,11.56,24.4,0.07,3.08,13.91,2.17,62.98
20070214,15.42,22.35,0.0,2.0,11.2,0.91,58.23
20070215,20.61,19.9,0.0,3.14,16.82,-1.37,52.29
20070216,20.41,21.32,0.0,3.12,20.03,-0.24,35.83
20070217,18.46,23.97,0.0,3.86,23.32,4.94,35.6
20070218,17.97,24.72,0.0,2.7,21.84,5.4,40.77
20070219,15.96,25.05,0.14,4.04,16.79,2.72,62.06
20070220,19.22,22.24,0.0,1.22,17.0,1.11,50.96
20070221,21.52,21.54,0.0,1.87,22.82,0.62,36.95
20070222,19.87,22.89,0.0,2.27,21.99,5.6,31.54
20070223,20.27,21.16,0.01,4.19,16.55,0.96,47.55
20070224,22.5,19.11,0.0,2.21,16.18,-2.49,41.05
20070225,22.34,20.57,0.0,2.02,22.92,-1.6,28.08
20070226,22.14,21.35,0.0,2.26,23.79,5.45,22.32
20070227,22.2,22.71,0.0,2.53,23.12,6.14,24.94
20070228,21.11,21.57,0.0,3.61,15.99,0.78,41.5
20070301,23.45,19.08,0.0,2.12,16.13,-3.19,37.6
20070302,20.76,21.03,0.0,2.77,18.49,-2.44,28.98
20070303,23.01,19.82,0.0,5.81,14.92,0.43,24.4
20070304,22.4,20.47,0.0,7.47,16.53,-2.02,23.32
20070305,19.45,24.69,0.0,2.96,22.89,2.07,27.5
20070306,23.31,22.93,0.0,1.78,27.42,3.73,28.02
20070307,21.04,25.36,0.0,1.81,27.88,10.05,19.35
20070308,23.31,24.2,0.0,1.62,26.79,10.84,22.21
20070309,23.16,24.26,0.0,1.65,25.98,7.12,33.7
20070310,23.36,23.92,0.0,1.84,27.34,10.29,22.31
