DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20090101,14.48,22.75,0.0,1.31,21.26,5.76,36.85
20090102,13.49,23.38,0.0,1.5,18.18,7.51,45.56
20090103,14.74,22.06,0.0,2.11,17.56,3.63,63.28
20090104,7.65,25.57,0.95,2.17,15.74,3.3,75.92
20090105,13.32,22.58,1.52,1.54,14.5,2.82,72.02
20090106,15.22,20.34,0.0,1.62,16.33,2.22,53.91
20090107,15.34,21.04,0.0,2.17,20.01,-0.02,42.45
20090108,15.12,21.16,0.0,1.42,20.71,2.7,36.51
20090109,15.29,21.45,0.0,1.7,21.47,6.3,33.8
20090110,16.25,19.21,0.0,5.79,15.51,3.49,41.65
20090111,15.74,20.59,0.0,4.84,21.02,1.51,30.56
20090112,16.24,20.88,0.0,3.44,23.44,3.51,26.76
20090113,16.07,21.02,0.0,2.65,24.0,3.88,32.15
20090114,16.24,20.66,0.0,1.98,23.68,3.54,32.22
20090115,16.38,20.79,0.0,1.67,23.92,2.75,28.3
20090116,15.96,22.22,0.0,1.64,24.92,4.87,32.45
20090117,15.08,23.94,0.0,1.46,24.38,7.35,38.05
20090118,15.36,24.66,0.0,1.62,21.64,8.67,45.05
20090119,10.73,28.07,0.0,1.46,25.46,9.13,37.37
20090120,12.27,28.57,0.34,1.81,24.7,11.89,38.43
20090121,12.66,29.56,0.09,1.48,25.58,13.8,51.07
20090122,4.27,29.53,2.41,1.43,19.23,11.9,63.74
20090123,10.03,28.63,1.43,1.59,19.99,10.16,76.95
20090124,16.52,23.68,0.01,1.44,22.74,9.15,62.14
20090125,16.33,23.09,0.0,1.78,24.21,6.82,50.25
20090126,7.59,26.76,0.0,2.37,16.29,7.81,63.64
20090127,16.08,20.47,0.0,2.35,16.83,2.88,45.13
20090128,17.93,19.92,0.0,2.66,20.87,0.76,23.95
20090129,18.03,20.1,0.0,3.61,20.42,1.91,25.01
20090130,17.86,21.1,0.0,3.06,24.06,3.6,23.11
20090131,17.56,22.36,0.0,1.87,23.54,5.19,31.47
20090201,17.93,21.15,0.0,1.64,22.65,5.51,26.58
20090202,18.68,20.69,0.0,3.13,23.79,4.07,27.13
20090203,18.61,20.65,0.0,1.8,26.21,4.0,21.81
20090204,16.95,22.47,0.0,1.76,25.56,4.87,21.49
20090205,18.55,22.41,0.0,2.26,26.66,6.97,21.08
20090206,16.99,23.22,0.0,2.47,24.18,7.93,28.85
20090207,13.95,24.31,0.03,2.83,19.57,6.33,47.16
20090208,11.58,26.74,5.64,2.9,13.38,4.48,71.49
20090209,15.17,23.39,0.16,2.96,15.83,3.05,71.03
20090210,18.28,21.77,2.28,3.36,13.16,1.04,57.96
