DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20050101,10.88,24.21,0.33,1.91,17.15,3.34,62.72
20050102,3.86,28.24,2.57,2.22,14.07,7.13,79.94
20050103,4.91,28.42,25.88,3.01,14.9,7.2,90.08
20050104,7.63,27.56,10.62,5.09,12.01,5.26,83.19
20050105,7.76,24.06,0.63,1.29,9.19,0.78,71.09
20050106,14.32,21.32,0.0,1.64,15.82,-2.39,48.51
20050107,14.85,21.69,0.0,1.99,16.07,1.66,50.64
20050108,15.03,22.08,0.0,2.02,19.88,3.8,50.82
20050109,10.33,24.81,0.0,0.88,21.55,7.04,37.69
20050110,14.93,24.29,0.0,1.69,22.68,10.55,31.54
20050111,13.82,24.51,0.04,2.83,19.65,5.26,42.62
20050112,15.81,21.17,0.29,2.77,12.43,-0.54,63.82
20050113,16.15,20.2,0.0,2.34,13.97,-3.88,57.12
20050114,7.68,25.07,0.0,1.8,12.35,0.56,47.59
20050115,16.16,21.76,0.0,2.07,20.96,2.82,38.3
20050116,15.94,22.23,0.0,2.21,23.64,1.78,46.38
20050117,15.42,23.29,0.0,1.33,22.91,5.58,47.05
20050118,15.49,23.72,0.0,2.49,21.92,4.07,57.0
20050119,13.18,25.73,0.0,2.2,22.8,4.81,54.09
20050120,6.68,29.06,3.56,0.84,19.98,8.95,70.31
20050121,6.34,28.58,4.65,1.43,16.76,7.84,81.12
20050122,13.92,24.99,0.05,1.98,18.57,4.31,70.7
20050123,11.93,27.51,4.84,2.27,19.54,5.4,67.1
20050124,13.44,25.06,1.34,1.64,18.04,7.59,64.1
20050125,15.77,24.68,0.0,1.36,19.36,7.07,60.06
20050126,5.65,28.36,20.56,2.13,15.59,8.31,84.08
20050127,13.39,25.74,6.68,1.93,16.18,6.86,73.78
20050128,17.42,21.95,0.0,0.93,17.79,3.44,49.71
20050129,17.2,21.61,0.0,2.5,16.91,3.34,46.91
20050130,17.92,19.84,0.0,1.42,13.7,-1.21,56.97
20050131,17.89,20.46,0.0,2.02,15.43,-2.12,57.81
20050201,15.85,22.35,0.02,1.98,14.79,-1.48,63.68
20050202,15.51,22.01,0.0,4.99,12.74,0.72,57.15
20050203,17.97,21.55,0.0,3.79,17.16,-0.52,55.7
20050204,2.29,27.24,1.16,2.2,14.86,1.31,73.08
20050205,11.11,27.68,1.9,1.86,15.49,3.52,75.95
20050206,8.51,27.02,0.74,2.76,11.84,4.43,82.4
20050207,16.05,23.34,0.02,2.45,15.18,2.26,75.06
